NPC编号	对象类型	名称	模型编号	头像	NPC类型	NPC种类ID	响应范围	选择操作分类	脚本编号	采集范围	采集时特效名	采集后特效名	采集后特效持续时间（毫秒）	刷新时间（ms）	采集动作名	读条时间(ms)	采集类型	参数1	参数2	回收	掉落	采集地点	最多可采集次数	体力	工具限制（不填写表示没有限制）	多人同时采集（填1允许）	AI编辑包	鼠标形状
Gather_qy_jmy001	MineNpc	煤炭	npc\cj_102005	icon\shenghuo\cl_02010002.png	153	3	5	2	npc\gather_npc.lua	3				360000	interact041	3000	1	10915	0		qy_jmy002		1					
	//丐帮、锦衣奇遇																											
Gather_qy_gb001	MineNpc	野狗	npc\petm_c_1504b	icon\funcnpc\itemnpc032.png	153	3	12	2	npc\gather_npc.lua	3				-1	interact173	1500	1	17602	0		key_qy_gb008		1					
Gather_qy_jy105_yishu	MineNpc	锦衣卫遗书任务	npc\itemnpc542	icon\prop\prop056.png	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	10000	1	17404	0		key_qy_jy105_yishu		1					
Gather_qy_msjmy101_xiang	MineNpc	神秘的雕像	npc\itemnpc656	icon\monster\monster137.png	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	10000	1	10919	0		key_qy_msjmy104_diaoxiang		1					
	//锦衣师门奇遇																											
Gather_qy_gb302_an01	MineNpc	 暗哨一	npc\itemnpc031	icon\funcnpc\itemnpc031.png	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	10000	1	17610	0		key_qy_gb301_an01		9999					
Gather_qy_gb302_an02	MineNpc	暗哨二	npc\itemnpc031	icon\funcnpc\itemnpc031.png	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	10000	1	17610	0		key_qy_gb301_an02		9999					
Gather_qy_gb302_an03	MineNpc	暗哨三	npc\itemnpc031	icon\funcnpc\itemnpc031.png	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	10000	1	17610	0		key_qy_gb301_an03		9999					
Gather_qy_gb302_bang	MineNpc	打狗棒	npc\itemnpc566	icon\equip\cosh_0023.png	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	10000	1	17611	0		key_qy_gb302_bang		9999					
Gather_qy_gb401_huo	MineNpc	丐帮货物	npc\biaoche_jg02a	icon\funcnpc\itemnpc005.png	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	10000	1	17636	0		key_qy_gb401_huo		9999					
																												
	//少林3内																											
Gather_qy_shaolin_pandingcao	MineNpc	攀顶草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	18857	0	0	key_shaolin_pandingcao		1					
Gather_qy_shaolin_mingnanhua	MineNpc	明南花	npc\cj_040024	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	18857	0	0	key_shaolin_mingnanhua		1					
Gather_qy_wudang_jindancao	MineNpc	金丹草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	18732	0	0	key_wudang_jindancao		1					
Gather_qy_wudang_nanminghua	MineNpc	南明花	npc\cj_040024	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	18732	0	0	key_wudang_nanminghua		1					
Gather_qy_wudang_wusui	MineNpc	污秽物	npc\cj_106026a	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	18877	0	0	key_shaolin_wuhui		1					
Gather_qy_gb413_cao	MineNpc	金银花	npc\itemnpc066	icon\funcnpc\itemnpc066.png	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	10000	1	17633	0		key_qy_gb413_cao		9999					
Gather_qy_shaolin_mucai	MineNpc	柴堆	npc\itemnpc038	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact021b	3000	1	18875	0	0	key_shaolin_mucai		1					
Gather_qy_wd_shoupa	MineNpc	带血手帕	npc\itemnpc160	icon\funcnpc\prop291.png	153	3	2	2	npc\gather_npc.lua	3				30000	interact017	2000	1	18739	0		key_qy_wd_daixueshoupa		1					
																												
Gather_qy_em_xiao	MineNpc	硝	npc\cj_102005	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	2000	1	18446	0		qy_em_xiao		1					
Gather_qy_em_tan	MineNpc	木炭	npc\cj_102017	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	2000	1	18446	0		qy_em_tan		1					
Gather_qy_em_liuhuang	MineNpc	硫磺	npc\cj_102013	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	2000	1	18446	0		qy_em_liuhuang		1					
qy_em_shiti	MineNpc	土堆	npc\itemnpc075	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				10	interact017	2000	1	18503	0		key_qy_em_shiti		1					
	//葵花宝典																											
GatherSkill001001	MineNpc	玉器	npc\itemnpc170	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				10000	interact041	5000	1	240	0		TaskItemSkill_001001		1			1		9
GatherSkill001002	MineNpc	锦鸡蛋	npc\itemnpc227	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				10000	interact017	5000	1	241	0		TaskItemSkill_001004		1			1		9
GatherSkill001003	MineNpc	黄色灯笼椒	npc\cj_041160b	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				10000	interact017	5000	1	242	0		TaskItemSkill_001005		1			1		9
GatherSkill001004	MineNpc	小钳子	npc\fbmac003020	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				10000	interact017	5000	1	244	0		TaskItemSkill_001008		1			1		9
GatherSkill001005	MineNpc	大麦杆子	npc\cj_040051	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				10000	interact017	5000	1		0				1			1		9
GatherSkill001006	MineNpc	一包大麻粉	npc\itemnpc165	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				10000	interact017	5000	1	245	0		TaskItemSkill_001009		1			1		9
																												
GatherNpc_wxqy_bbsx	MineNpc	宝箱	npc\itemnpc533	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				-1	interact017	3000	1	10302;10305;10310	0		Item_qywx_003		1					
	//猴子奇遇																											
Gather_cwqy_futiancao	MineNpc	攀顶草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	12225	0	0	item_cwqy_futiancao		1					
Gather_cwqy_bolanhua	MineNpc	明南花	npc\cj_040024	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	12225	0	0	item_cwqy_bolanhua		1					
Gather_cwqy_monkeyfood	MineNpc	猴饵	npc\itemnpc169	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	12233	0	0	key_cwqy_monkeyfood02		10					28
Gather_cwqy_monkeyhair	MineNpc	织物	npc\itemnpc439	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	12231	0	0	key_cwqy_monkeyhair01		1					28
Gather_cwqy_monkeydown	MineNpc	昏迷猴子	npc\petm_y_1003_cwqy	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	4				30000	interact017	5000	1	12234	0		key_cwqy_monkeycaught		1					9
GatherNpc_wxqy_jm	MineNpc	剑模	npc\fbmac004012h	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				-1	interact017	3000	1	10345	0		Item_qywx_004		1					28
npc_4nei_emei04	MineNpc	水盆	npc\itemnpc553		172	3	3	2	npc\gather_npc.lua	2				2000	interact017	3000	1		0				1					9
npc_4nei_emei05	MineNpc	掉落的信物	npc\itemnpc177		153	3	3	2	npc\gather_npc.lua	2				2000	interact017	3000	1	56013	0		item_4nei_emei02		1					9
npc_4nei_emei06	MineNpc	显示地点	npc\itemboxnpc001		153	3	3	2	npc\gather_npc.lua	2				2000	interact017	3000	1	56021	0		item_4nei_emei03		1					9
npc_4nei_emei09	MineNpc	纸条	npc\itemnpc160		153	3	3	2	npc\gather_npc.lua	2				2000	interact017	3000	1	56002	0		item_4nei_emei01		1					9
npc_4nei_jzt_x02	MineNpc	羊皮卷轴采集	npc\itemnpc160		153	3	3	2	npc\gather_npc.lua	2				2000	interact017	3000	1	57043	0		item_4nei_jzt_x02		1					9
WorldNpc01712_task	MineNpc	紫砂壶	npc\itemnpc161	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	10301	0	0	qy_taskitem_001		1					
	//四内																											
Gather_4nei_jdc	MineNpc	金顶草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	55507	0	0	item_4nei_jdc		1					
Gather_4nei_nwh	MineNpc	泥丸花	npc\cj_040024	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	55507	0	0	item_4nei_nwh		1					
Gather_4nei_st	MineNpc	尸体	npc\kqshiti01	icon\monster\fbnpc00001.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	55509	0	0	item_4nei_st		1				1870	
Gather_4nei_yc	MineNpc	尸体	npc\itemnpc005	icon\funcnpc\itemnpc005.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	55509	0	0	item_4nei_yc		1					
Gather_4nei_gb001	MineNpc	金银花	npc\itemnpc066	icon\funcnpc\itemnpc066.png	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	10000	1	56512	0		Item_4nei_gb001		9999					
Gather_4nei_gb003	MineNpc	金银花	npc\itemnpc075	icon\funcnpc\	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	10000	1	56508	0		Item_4nei_gb003		9999					
Gather_4nei_gb004	MineNpc	金银花	npc\itemnpc075	icon\funcnpc\	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	10000	1	56531	0		Item_4nei_gb004		9999					
Gather_4nei_gb005	MineNpc	金银花	npc\itemnpc410	icon\funcnpc\	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	10000	1	56536	0		Item_4nei_gb005		9999					
Gather_4nei_hxc	MineNpc	活血草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	55510	0	0	item_4nei_hxc		1					
Gather_4nei_hsh	MineNpc	红腮花	npc\cj_040024	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	55510	0	0	item_4nei_hsh		1					
Gather_4nei_wdyp	MineNpc	武当腰牌	npc\itemnpc129	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	55512	0	0	item_4nei_wdyp		1					
Gather_4nei_tjt	MineNpc	太极图碎片	npc\itemnpc005	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	55512	0	0	item_4nei_tjt		1					
Gather_4nei_sdst	MineNpc	师弟尸体	npc\worldnpc224b	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	55512	0	0	item_4nei_xj		1					
Gather_4nei_fenmu	MineNpc	坟墓	npc\itemnpc134	icon\funcnpc\worldnpc224.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact006a	3000	1	55521	0	0	useitem_4nei_gh		1					
Gather_4nei_tjtxl	MineNpc	信件	npc\itemnpc005	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	55523	0	0	item_4nei_tjtxl		1					
Gather_4nei_zsms	MineNpc	酒坛子	npc\itemnpc001	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	55501	0	0	item_4nei_zsms		1					
																												
Gather_4nei_gb001	MineNpc	金银花	npc\itemnpc066	icon\funcnpc\itemnpc066.png	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	5000	1	56512	0		Item_4nei_gb001		9999					
Gather_4nei_gb003	MineNpc	金银花	npc\itemnpc075	icon\funcnpc\	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	5000	1	56508	0		Item_4nei_gb003		9999					
Gather_4nei_gb004	MineNpc	金银花	npc\itemnpc075	icon\funcnpc\	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	5000	1	56531	0		Item_4nei_gb004		9999					
Gather_4nei_gb005	MineNpc	金银花	npc\itemnpc410	icon\funcnpc\	153	3	2	2	npc\gather_npc.lua	2				60000	interact017	2000	1	56536	0		Item_4nei_gb005		9999					
		//四内唐门																										
Gather_npc_4nei_tmtmjdd	MineNpc	唐美娇毒鼎	npc\itemnpc604	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	57502	0	0	Item_4nei_tmjduding01		1					28
Gather_npc_4nei_tmlchj	MineNpc	唐门毒瓶	npc\itemnpc666	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	57511	0	0	Item_4nei_tmlchj		1					28
Gather_npc_4nei_tmbylhz	MineNpc	暴雨梨花针部件	npc\npcitem622	icon\funcnpc\task.png	153	3	4	2	npc\gather_npc.lua	4				3000	interact017	3000	1	57516	0	0	Item_4nei_tmbylhz01		9999					28
Gather_npc_4nei_tmhearttear	MineNpc	眼泪	npc\itemnpc057m_tear	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				-1	interact017	3000	1	57527	0	0	Item_4nei_tmtear		1					28
Gather_npc_4nei_tmaerolite	MineNpc	陨石	npc\box001	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				-1	interact006a	13000	1	57522	0	0	Item_4nei_tmaerolite		1					28
	//测试																											
Gather_szwe_001	MineNpc	百姓仰着尸体	npc\itemnpc410	icon\funcnpc\	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_002	MineNpc	高手尸体	npc\monster247a	icon\monsternpc\monster246.png	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_003	MineNpc	高手尸体	npc\monster247a	icon\monsternpc\monster247a.png	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_004	MineNpc	高手尸体	npc\monster258a	icon\monsternpc\monster258a.png	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_005	MineNpc	高手尸体	npc\monster258a	icon\monsternpc\monster246.png	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_006	MineNpc	小怪尸体	npc\Kqshiti06	icon\funcnpc\Kqshiti06.png	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_007	MineNpc	一滩血迹	npc\itemnpc162	icon\funcnpc\itemnpc162.png	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_008	MineNpc	碎尸块	npc\itemnpc416	icon\funcnpc\itemnpc416.png	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_009	MineNpc	官差尸体	npc\kqshiti01	icon\funcnpc\Kqshiti06.png	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_010	MineNpc	百姓侧躺尸体	npc\itemnpc409	icon\funcnpc\itemnpc409.png	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_011	MineNpc	女式破衣服	npc\itemnpc136	icon\funcnpc\itemnpc136.png	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_012	MineNpc	破车	npc\biaoche_jg02a	icon\funcnpc\biaoche_jg02a.png	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_013	MineNpc	残剑	npc\itemnpc146	icon\funcnpc\itemnpc146.png	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_014	MineNpc	断刀	npc\itemnpc148	icon\funcnpc\itemnpc148.png	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_015	MineNpc	煎药炉	npc\npcitem196	icon\funcnpc\npcitem196.png	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_016	MineNpc	碎石头	npc\npcitem649	icon\funcnpc\	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_017	MineNpc	药罐测试	npc\itemnpc419	icon\funcnpc\	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_018	MineNpc	药罐	npc\itemnpc050	icon\funcnpc\	109	3	2	2	npc\gather_npc.lua	2				60000														
Gather_szwe_019	MineNpc	药罐测试	npc\itemnpc171	icon\funcnpc\	109	3	2	2	npc\gather_npc.lua	2				60000														
GatherNpc_nmp_sj001	MineNpc	金针沈家草药1	npc\cj_040003	icon\funcnpc\task.png	153	3	2	28	npc\gather_npc.lua	2				30000	interact041	4000	1	41636	0		Item_nmp_sj001		99999					
GatherNpc_nmp_sj002	MineNpc	金针沈家草药2	npc\itemnpc066	icon\funcnpc\itemnpc066.png	153	3	2	28	npc\gather_npc.lua	2				60000	interact041	4000	1	41636	0		Item_nmp_sj002		99999					
GatherNpc_nmp_sj003	MineNpc	金针沈家草药3	npc\itemnpc066	icon\funcnpc\itemnpc066.png	153	3	2	28	npc\gather_npc.lua	2				60000	interact041	4000	1		0				99999					
GatherNpc_nmp_sjdw002	MineNpc	昏迷兔子	npc\monster118_01	icon\funcnpc\task.png	153	3	2	28	npc\gather_npc.lua	2				30000	interact041	2000	1	41650	0		Item_nmp_sjdw002		1					
GatherNpc_nmp_sjdw003	MineNpc	昏迷梅花鹿	npc\monster008_01	icon\funcnpc\task.png	153	3	2	28	npc\gather_npc.lua	2				30000	interact041	2000	1	41644	0		Item_nmp_sjdw003		1					
GatherNpc_nmp_sjdw004	MineNpc	昏迷貂	npc\monster001_01	icon\funcnpc\task.png	153	3	2	28	npc\gather_npc.lua	2				30000	interact041	2000	1	41644	0		Item_nmp_sjdw004		1					
GatherNpc_nmp_sj004	MineNpc	金针沈家草药1	npc\itemnpc211	icon\funcnpc\task.png	153	3	2	28	npc\gather_npc.lua	2				10000	interact041	2000	4	41646	0		Item_nmp_sj004		1					
GatherNpc_nmp_sj005	MineNpc	金针沈家草药2	npc\itemnpc204	icon\funcnpc\itemnpc066.png	153	3	2	28	npc\gather_npc.lua	2				10000	interact041	2000	4	41646	0		Item_nmp_sj005		1					
GatherNpc_nmp_sj006	MineNpc	金针沈家草药2	npc\itemnpc168	icon\funcnpc\itemnpc066.png	153	3	2	28	npc\gather_npc.lua	2				10000	interact041	2000	4	41646	0		Item_nmp_sj006		1					
Gather_jzsj_hu_001	MineNpc	火焰草	npc\cj_160300	icon\funcnpc\itemnpc066.png	153	3	2	28	npc\gather_npc.lua	2				-1	interact017	10000	1	41539	0		item_jzsj_41539		5					
Gather_jzsj_hu_002	MineNpc	寒霜草	npc\cj_160250	icon\funcnpc\	153	3	2	28	npc\gather_npc.lua	2				-1	interact017	10000	1	41540	0		item_jzsj_41540		5					
Gather_jzsj_hou_001	MineNpc	黄金枝	npc\cj_ty0001d	icon\funcnpc\	153	3	2	28	npc\gather_npc.lua	2				-1	interact017	10000	1	41541	0		item_jzsj_41541		5					
Gather_jzsj_ying_001	MineNpc	银色妖姬草	npc\cj_150001	icon\funcnpc\	153	3	2	28	npc\gather_npc.lua	2				-1	interact017	10000	1	41543	0		item_jzsj_41543		5					
																												
																												
	//万兽山庄																											
Gather_wssz_001	MineNpc	火把堆	npc\itemnpc552	icon\funcnpc\itemnpc038.png	153	3	5	2		5				-1	interact041	3000	4				blade_huoba_004		9999999			1		28
Gather_lxc_fz01	MineNpc	凌霄城风筝堆	npc\itemnpc673	icon\prop\prop480.png	153	3	5	2		3				-1	interact041	3000	4				skillitem_lx_fengzheng		99			1		28
																												
																												
Gather_khdnpc_ck0001	MineNpc	快活岛锦盒	npc\itemnpc201	icon\funcnpc\task.png	153	3	5	2		5				10	interact041	3000	4				drop_khd_ck0001		999999			1		28
Gather_khdnpc_ck0002	MineNpc	快活岛锦盒	npc\itemnpc201	icon\funcnpc\task.png	153	3	5	2		5				10	interact041	3000	4				drop_khd_ck0001		999999			1		28
																												
GatherNpc_5nei_gbmhl001	MineNpc	昏迷梅花鹿	npc\monster008_01	icon\funcnpc\task.png	153	3	2	7	npc\gather_npc.lua	2				30000	interact041	2000	1	56557	0		Item_5nei_gbmhl001		1					
GatherNpc_5nei_gbhyz001	MineNpc	胡杨草	npc\cj_160250	icon\funcnpc\	153	3	2	7	npc\gather_npc.lua	2				30000	interact017	10000	1	56557	0		Item_5nei_gbhyz001		1					
																												
Gather_tm5nei_note	MineNpc	信件	npc\itemnpc542	icon\funcnpc\task.png	153	3	3	2	npc\gather_npc.lua	2				30000	interact017	3000	1	57556	0	0	Item_tm5nei_note		1					28
Gather_0tm5nei_flower	MineNpc	相思成血	npc\itemnpc200	icon\funcnpc\task.png	153	3	3	2	npc\gather_npc.lua	2				30000	interact017	3000	1	57566	0	0	Item_0tm5nei_flower		1					28
																												
Gather_clone033_ck_001	MineNpc	御林军尸体	npc\monster105_ck_1	icon\funcnpc\task.png	153	3	5	2		5				-1	interact041	500	4				drop_clone033_ck_1		1					9
Gather_clone033_ck_002	MineNpc	百姓尸体	npc\worldnpc060_ck_1	icon\funcnpc\task.png	153	3	5	2		5				-1	interact041	500	4				drop_clone033_ck_1		1					9
Gather_clone033_ck_003	MineNpc	叛军尸体	npc\fbnpc00033y_ck_1	icon\funcnpc\task.png	153	3	5	2		5				-1	interact041	500	4				drop_clone033_ck_1		1					9
npc_5neijy_58538npc01	MineNpc	尸体	npc\fbboss00124a	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	58538	0	0	item_5neijy_58537jhs		999999					28
Npc_5neijz_57033c_01	MineNpc	呕吐物	npc\itemnpc226	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	57033	0	0	Item_5neijz_57033a		999999					28
																												
	//五内-武当																											
Gather_5nei_wd_yao	MineNpc	药	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	55556	0	0	item_5nei_wd_yao		1					
Gather_5nei_wd_diao	MineNpc	药	npc\petm_010102	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	55561	0	0	item_5nei_wd_diao		1					
Gather_5nei_z2_lqc	MineNpc	连青城	npc\Boss080	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				30000	interact017	3000	1	55569	0	0	item_5nei_z2_ss		1					
Gather_5nei_z2_ywt	MineNpc	连青城	npc\itemnpc167	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				5000	interact017	3000	1	55569	0	0	useitem_5nei_z2_ywt		999999					
Gather_5nei_nx_hua	MineNpc	无名花	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	55540	0	0	item_5nei_nx_hua		10					
Gather_5nei_nx_hua1	MineNpc	无名花	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	55541	0	0	item_5nei_nx_hua1		10					
																												
	//血刀门日常——g																											
xdm_xueshizi_gdj	MineNpc	血石子	npc\itemnpc480	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20892	0	0	xdm_item_xueshizi_gdj		1			1		28
Gather_xdm_st_gdj	MineNpc	水桶	npc\itemnpc014	icon\prop\prop069.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	2000	1	20898	0	0	xdm_xst_gdj003		1			1		28
Gather_xdm_hs_gdj	MineNpc	黑石	npc\itemnpc207	icon\prop\prop433.png	153	3	2	2	npc\gather_npc.lua	2				10000	interact017	2000	1	20899	0	0	xdm_hs_gdj004		1			1		28
Gather_xdm_dy_xhd	MineNpc	信号弹	npc\itemnpc005	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20843	0	0	useitem_xdm_dy_xhd		1			1		
Gather_xdm_dy_zc	MineNpc	大漠奇草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20922	0	0	item_xdm_dy_qihua		1			1		
Gather_xdm_dy_zc1	MineNpc	大漠奇草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20923	0	0	item_xdm_dy_qihua1		1			1		
Gather_xdm_dy_zc2	MineNpc	大漠奇草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20924	0	0	item_xdm_dy_qihua2		1			1		
Gather_xdm_dy_zc3	MineNpc	大漠奇草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20925	0	0	item_xdm_dy_qihua3		1			1		
Gather_xdm_dy_zc4	MineNpc	大漠奇草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20926	0	0	item_xdm_dy_qihua4		1			1		
Gather_xdm_dy_zc5	MineNpc	大漠奇草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20927	0	0	item_xdm_dy_qihua5		1			1		
Gather_xdm_dy_zc6	MineNpc	大漠奇草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20928	0	0	item_xdm_dy_qihua6		1			1		
Gather_xdm_dy_zc7	MineNpc	大漠奇草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20929	0	0	item_xdm_dy_qihua7		1			1		
Gather_xdm_dy_xg	MineNpc	血棺	npc\itemnpc1457	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20838	0	0	item_xdm_dy_xg		1			1		
Gather_xdm_dy_xg1	MineNpc	血棺	npc\itemnpc1457	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20949	0	0	item_xdm_dy_xg1		1			1		
Gather_xdm_dy_zcxg	MineNpc	大漠奇草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20970	0	0	item_xdm_dy_qihuaxg		1			1		
Gather_xdm_dy_zcxg1	MineNpc	大漠奇草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20971	0	0	item_xdm_dy_qihuaxg1		1			1		
Gather_xdm_dy_zcxg2	MineNpc	大漠奇草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20972	0	0	item_xdm_dy_qihuaxg2		1			1		
Gather_xdm_dy_zcxg3	MineNpc	大漠奇草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20973	0	0	item_xdm_dy_qihuaxg3		1			1		
Gather_xdm_dy_zcxg4	MineNpc	大漠奇草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20974	0	0	item_xdm_dy_qihuaxg4		1			1		
Gather_xdm_dy_zcxg5	MineNpc	大漠奇草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20976	0	0	item_xdm_dy_qihuaxg5		1			1		
Gather_xdm_dy_zcxg6	MineNpc	大漠奇草	npc\cj_040003	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	2				3000	interact017	3000	1	20977	0	0	item_xdm_dy_qihuaxg6		1			1		
