	ini注释名称	副本分组场景刷新属性包	对象类型	Npc类型	实力包编号	AI类型	表现AI包编号	是否转身	模型编号	模型半径	图片	材质类型	脚本编号	级别	怪物强度	跑步速度	修为经验	掉落	技能表	主动被动	响应范围	走路速度	锁定位移攻击	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	鼠标形状	模型缩放	武器名称	武器持握方式	武器类型	出生状态	随机动作	刷新时间	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	进入切磋前对话	结束切磋后对话	空闲状态对话	进入战斗对话	脱离战斗对话	死亡对话	召唤对话	受到伤害状态对话	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	能否移动	是否停止AI	攻击防御比重	"战斗频率,毫秒"	使用锁定技能概率	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	"追击范围,米"	附加随机能力编号	普通攻击	AI编辑包	直接触发	格挡方式(-1表示不格挡)	存在时间	防御概率	连招表	播放的动作名	npc等待时间	只关心距离脱离战斗	使用轻功	穿云纵速度	是否可以战斗
npcclone013012_05	万毒宫精英女隐卫	773	PlayActNpc	2	295	1	1		npc\monster182	1	icon\monster\monster182.png		npc\clone\clone013\PlayActNewNpc.lua	49	2	5		clonenpcdrop_tm	"clone013_jiansu,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					dk_rl_npcitem217	dknife1_2		appear		-1	0											39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0		clone013_yuancheng		1	-1									
npcclone013013_05	万毒宫近程炼毒弟子(对话)	773	AttackNpc	2	295	1	4		npc\worldnpc384	1	icon\funcnpc\worldnpc384.png			47	2	5		clonenpcdrop_tm	"clone013_cuidu,1,30;clone013_huikan,1,40"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					b_r_npcitem153	blade1_1				-1	0										39117-39121	39118-39122	39119-39126	39114-39117		39119-39124			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013014_05	万毒宫远程炼毒弟子(对话)	774	AttackNpc	2	295	1	4		npc\worldnpc248	1	icon\funcnpc\worldnpc248.png			47	2	5		clonenpcdrop_tm	"clone013_yc_jianmo,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0						hand1_1				-1	0										39117-39121	39118-39122	39119-39126	39114-39117		39119-39124			0	0	0				1500		1000		5	1			0		clone013_yuancheng		1	-1									
npcclone013015_05	万毒宫炼毒师(对话)	774	AttackNpc	2	295	1	4		npc\worldnpc245	1	icon\funcnpc\worldnpc245.png			50	2	5		clonenpcdrop_tm	"clone013_yc_dufen,1,40;clone013_jitui,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0						hand1_1				-1	0										39117-39121	39118-39122	39119-39126	39114-39117		39119-39124			0	0	0				1500		1000		5	2			0				1	-1									
npcclone013016_05	暗玉灵蜂	774	AttackNpc	7	57	1	4		npc\fb_monster007	0.2	icon\monster\monster007.png		npc\clone\clone013\npcclone013016.lua	48	2	5		TMchushiMon001	"clone013_f_shanbi,1,20;clone013_f_zhenfen,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	1			0				1	-1									
npcclone013017_05	彩雪蛛母	772	AttackNpc	7	57	1	4		npc\petm_c_0201	0.2	icon\monster\monster006.png		npc\clone\clone013\npcclone013017.lua	48	2	5		TMchushiMon001	"clone013_z_du,1,20;clone013_z_zhuwang,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	1			0				1	-1									
npcclone013018_05	赤红蝎王	773	AttackNpc	7	57	1	4		npc\petm_c_0400	0.2	icon\monster\monster013.png		npc\clone\clone013\npcclone013018.lua	48	2	5		TMchushiMon001	"clone013_x_fangyu,1,20;clone013_x_du,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	1			0				1	-1									
npcclone013019_05	银丝蛇	771	AttackNpc	7	295	1	4		npc\petm_y_0100	0.3	icon\monster\monster117.png		npc\clone\clone013\npcclone013019.lua	45	2	5		TMchushiMon001	"clone013_s_siyao,1,20"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	1			0				1	-1									
npcclone013020_05	金丝蛇王	770	AttackNpc	7	57	1	4		npc\petm_c_0100	0.2	icon\monster\monster117.png		npc\clone\clone013\npcclone013020.lua	48	2	5		TMchushiMon001	"clone013_s_siyao,1,20;clone013_s_du,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	1			0				1	-1									
npcclone013021_05	万毒宫烧火杂役(对话)	773	AttackNpc	2	295	1	4		npc\monster239	1	icon\monster\monster239.png			46	2	5		clonenpcdrop_tm	"clone013_huoba,1,30;clone013_huikan,1,40"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					b_r_npcitem167	blade1_1				-1	0										39113-39116	39115-39117	39113-39118	39110-39113		39114-39118			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013022_05	万毒宫杂役(对话)	773	AttackNpc	2	295	1	4		npc\monster440	1	icon\monster\monster440.png			46	2	5		clonenpcdrop_tm	"clone013_jiyun,1,30;clone013_huikan,1,40"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					b_r_npcitem154	blade3_1				-1	0										39109-39112	39115-39117	39113-39118	39110-39113		39114-39118			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013023_05	万毒宫婢女-黄(对话)	770	AttackNpc	2	294	1	4		npc\monster183	1	icon\monster\monster183.png			46	2	5		clonenpcdrop_tm	"clone013_luanci,1,40;clone013_xiadu,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					dk_rl_npcitem217	dknife1_2				-1	0										39122-39131	39123-39134	39127-39137	39118-39126		39125-39135			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013024_05	万毒宫婢女-紫(对话)	770	AttackNpc	2	294	1	4		npc\monster184	1	icon\monster\monster184.png			46	2	5		clonenpcdrop_tm	"clone013_yc_dubiao,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					dk_rl_npcitem217	dknife1_2				-1	0										39122-39131	39123-39134	39127-39137	39118-39126		39125-39135			0	0	0				1500		1000		5	1			0		clone013_yuancheng		1	-1									
npcclone013025_05	万毒宫婢女-蓝(对话)	770	AttackNpc	2	295	1	4		npc\monster186	1	icon\monster\monster186.png			46	2	5		clonenpcdrop_tm	"clone013_luanci,1,40;clone013_xiadu,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					dk_rl_npcitem217	dknife1_2				-1	0										39122-39131	39123-39134	39127-39137	39118-39126		39125-39135			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013026_05	万毒宫婢女-粉(对话)	770	AttackNpc	2	295	1	4		npc\monster187	1	icon\monster\monster187.png			46	2	5		clonenpcdrop_tm	"clone013_yc_dubiao,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					dk_rl_npcitem217	dknife1_2				-1	0										39122-39131	39123-39134	39127-39137	39118-39126		39125-39135			0	0	0				1500		1000		5	1			0		clone013_yuancheng		1	-1									
																																																																																							
																																																																																							
																																																																																							
npcclone013001_06	万毒宫护院(对话)	768	AttackNpc	2	295	1	4		npc\worldnpc292	1	icon\funcnpc\worldnpc292.png			46	2	5		clonenpcdrop_tm	"clone013_duzhua,1,40;clone013_jitui,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0						hand1_1				-1	0											39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013002_06	玉灵蜂	768	AttackNpc	7	295	1	4		npc\fb_monster007	0.3	icon\monster\monster007.png		npc\clone\clone013\npcclone013002.lua	45	2	5		TMchushiMon001	"clone013_f_shanbi,1,20"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	2			0				1	-1									
npcclone013003_06	彩雪蛛	768	AttackNpc	7	295	1	4		npc\petm_y_0203	0.3	icon\monster\monster006.png		npc\clone\clone013\npcclone013003.lua	45	2	5		TMchushiMon001	"clone013_z_du,1,20"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	2			0				1	-1									
npcclone013004_06	灰白蝎	769	AttackNpc	7	295	1	4		npc\petm_y_0403	0.3	icon\monster\monster013.png		npc\clone\clone013\npcclone013004.lua	45	2	5		TMchushiMon001	"clone013_x_fangyu,1,20"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	2			0				1	-1									
npcclone013005_06	万毒宫远程守卫(对话)	769	AttackNpc	2	295	1	4		npc\monster134	1	icon\monster\monster134.png			47	2	5		clonenpcdrop_tm	"Clone_tm_mhb01,1,30;Clone_tm_mhb02,1,;Clone_tm_mhb03,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					dk_rl_npcitem217	dknife1_2				-1	0										39101-39108	39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0		clone013_yuancheng		1	-1									
npcclone013006_06	万毒宫近程守卫(对话)	770	AttackNpc	2	294	1	4		npc\monster258	1	icon\monster\monster258.png			47	2	5		clonenpcdrop_tm	"clone013_huikan,1,40;clone013_jidao,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					b_r_npcitem061	blade1_1				-1	0										39101-39108	39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013007_06	万毒宫远程男隐卫	770	PlayActNpc	2	295	1	1		npc\monster072	1	icon\monster\monster072.png		npc\clone\clone013\PlayActNewNpc.lua	47	2	5		clonenpcdrop_tm	"Clone_tm_mhb01,1,30;Clone_tm_mhb02,1,;Clone_tm_mhb03,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					k_l_npcitem307	knife1_1		appear		-1	0											39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0		clone013_yuancheng		1	-1									
npcclone013008_06	万毒宫近程男隐卫	771	PlayActNpc	2	295	1	1		npc\monster246	1	icon\monster\monster246.png		npc\clone\clone013\PlayActNewNpc.lua	47	2	5		clonenpcdrop_tm	"clone013_cisha,1,40;clone013_bisha,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					k_r_npcitem307	knife1_1		appear		-1	0											39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013009_06	万毒宫远程女隐卫	771	PlayActNpc	2	295	1	1		npc\monster058	1	icon\monster\monster058.png		npc\clone\clone013\PlayActNewNpc.lua	47	2	5		clonenpcdrop_tm	"Clone_tm_mhb01,1,30;Clone_tm_mhb02,1,;Clone_tm_mhb03,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					dk_rl_npcitem300	dknife1_2		appear		-1	0											39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0		clone013_yuancheng		1	-1									
npcclone013010_06	万毒宫近程女隐卫	772	PlayActNpc	2	295	1	1		npc\worldnpc246	1	icon\funcnpc\worldnpc246.png		npc\clone\clone013\PlayActNewNpc.lua	47	2	5		clonenpcdrop_tm	"clone013_dingshen,1,30;clone013_luanci,1,40"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					dk_rl_npcitem217	dknife1_2		appear		-1	0											39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013011_06	万毒宫精英男隐卫	772	PlayActNpc	2	295	1	1		npc\monster043	1	icon\monster\monster043.png		npc\clone\clone013\PlayActNpc.lua	49	2	5		clonenpcdrop_tm	"clone013_jianqi,1,40;clone013_quntijitui,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0								appear		-1	0											39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013012_06	万毒宫精英女隐卫	773	PlayActNpc	2	295	1	1		npc\monster182	1	icon\monster\monster182.png		npc\clone\clone013\PlayActNewNpc.lua	49	2	5		clonenpcdrop_tm	"clone013_jiansu,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					dk_rl_npcitem217	dknife1_2		appear		-1	0											39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0		clone013_yuancheng		1	-1									
npcclone013013_06	万毒宫近程炼毒弟子(对话)	773	AttackNpc	2	295	1	4		npc\worldnpc384	1	icon\funcnpc\worldnpc384.png			47	2	5		clonenpcdrop_tm	"clone013_cuidu,1,30;clone013_huikan,1,40"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					b_r_npcitem153	blade1_1				-1	0										39117-39121	39118-39122	39119-39126	39114-39117		39119-39124			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013014_06	万毒宫远程炼毒弟子(对话)	774	AttackNpc	2	295	1	4		npc\worldnpc248	1	icon\funcnpc\worldnpc248.png			47	2	5		clonenpcdrop_tm	"clone013_yc_jianmo,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0						hand1_1				-1	0										39117-39121	39118-39122	39119-39126	39114-39117		39119-39124			0	0	0				1500		1000		5	1			0		clone013_yuancheng		1	-1									
npcclone013015_06	万毒宫炼毒师(对话)	774	AttackNpc	2	294	1	4		npc\worldnpc245	1	icon\funcnpc\worldnpc245.png			50	2	5		clonenpcdrop_tm	"clone013_yc_dufen,1,40;clone013_jitui,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0						hand1_1				-1	0										39117-39121	39118-39122	39119-39126	39114-39117		39119-39124			0	0	0				1500		1000		5	2			0				1	-1									
npcclone013016_06	暗玉灵蜂	774	AttackNpc	7	57	1	4		npc\fb_monster007	0.2	icon\monster\monster007.png		npc\clone\clone013\npcclone013016.lua	48	2	5		TMchushiMon001	"clone013_f_shanbi,1,20;clone013_f_zhenfen,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	1			0				1	-1									
npcclone013017_06	彩雪蛛母	772	AttackNpc	7	57	1	4		npc\petm_c_0201	0.2	icon\monster\monster006.png		npc\clone\clone013\npcclone013017.lua	48	2	5		TMchushiMon001	"clone013_z_du,1,20;clone013_z_zhuwang,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	1			0				1	-1									
npcclone013018_06	赤红蝎王	773	AttackNpc	7	57	1	4		npc\petm_c_0400	0.2	icon\monster\monster013.png		npc\clone\clone013\npcclone013018.lua	48	2	5		TMchushiMon001	"clone013_x_fangyu,1,20;clone013_x_du,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	1			0				1	-1									
npcclone013019_06	银丝蛇	771	AttackNpc	7	295	1	4		npc\petm_y_0100	0.3	icon\monster\monster117.png		npc\clone\clone013\npcclone013019.lua	45	2	5		TMchushiMon001	"clone013_s_siyao,1,20"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	1			0				1	-1									
npcclone013020_06	金丝蛇王	770	AttackNpc	7	57	1	4		npc\petm_c_0100	0.2	icon\monster\monster117.png		npc\clone\clone013\npcclone013020.lua	48	2	5		TMchushiMon001	"clone013_s_siyao,1,20;clone013_s_du,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	1			0				1	-1									
npcclone013021_06	万毒宫烧火杂役(对话)	773	AttackNpc	2	294	1	4		npc\monster239	1	icon\monster\monster239.png			46	2	5		clonenpcdrop_tm	"clone013_huoba,1,30;clone013_huikan,1,40"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					b_r_npcitem167	blade1_1				-1	0										39113-39116	39115-39117	39113-39118	39110-39113		39114-39118			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013022_06	万毒宫杂役(对话)	773	AttackNpc	2	295	1	4		npc\monster440	1	icon\monster\monster440.png			46	2	5		clonenpcdrop_tm	"clone013_jiyun,1,30;clone013_huikan,1,40"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					b_r_npcitem154	blade3_1				-1	0										39109-39112	39115-39117	39113-39118	39110-39113		39114-39118			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013023_06	万毒宫婢女-黄(对话)	770	AttackNpc	2	295	1	4		npc\monster183	1	icon\monster\monster183.png			46	2	5		clonenpcdrop_tm	"clone013_luanci,1,40;clone013_xiadu,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					dk_rl_npcitem217	dknife1_2				-1	0										39122-39131	39123-39134	39127-39137	39118-39126		39125-39135			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013024_06	万毒宫婢女-紫(对话)	770	AttackNpc	2	295	1	4		npc\monster184	1	icon\monster\monster184.png			46	2	5		clonenpcdrop_tm	"clone013_yc_dubiao,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					dk_rl_npcitem217	dknife1_2				-1	0										39122-39131	39123-39134	39127-39137	39118-39126		39125-39135			0	0	0				1500		1000		5	1			0		clone013_yuancheng		1	-1									
npcclone013025_06	万毒宫婢女-蓝(对话)	770	AttackNpc	2	294	1	4		npc\monster186	1	icon\monster\monster186.png			46	2	5		clonenpcdrop_tm	"clone013_luanci,1,40;clone013_xiadu,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					dk_rl_npcitem217	dknife1_2				-1	0										39122-39131	39123-39134	39127-39137	39118-39126		39125-39135			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013026_06	万毒宫婢女-粉(对话)	770	AttackNpc	2	295	1	4		npc\monster187	1	icon\monster\monster187.png			46	2	5		clonenpcdrop_tm	"clone013_yc_dubiao,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					dk_rl_npcitem217	dknife1_2				-1	0										39122-39131	39123-39134	39127-39137	39118-39126		39125-39135			0	0	0				1500		1000		5	1			0		clone013_yuancheng		1	-1									
																																																																																							
																																																																																							
npcclone013001_07	万毒宫护院(对话)	768	AttackNpc	2	295	1	4		npc\worldnpc292	1	icon\funcnpc\worldnpc292.png			46	2	5		clonenpcdrop_tm	"clone013_duzhua,1,40;clone013_jitui,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0						hand1_1				-1	0											39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013002_07	玉灵蜂	768	AttackNpc	7	295	1	4		npc\fb_monster007	0.3	icon\monster\monster007.png		npc\clone\clone013\npcclone013002.lua	45	2	5		TMchushiMon001	"clone013_f_shanbi,1,20"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	2			0				1	-1									
npcclone013003_07	彩雪蛛	768	AttackNpc	7	295	1	4		npc\petm_y_0203	0.3	icon\monster\monster006.png		npc\clone\clone013\npcclone013003.lua	45	2	5		TMchushiMon001	"clone013_z_du,1,20"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	2			0				1	-1									
npcclone013004_07	灰白蝎	769	AttackNpc	7	295	1	4		npc\petm_y_0403	0.3	icon\monster\monster013.png		npc\clone\clone013\npcclone013004.lua	45	2	5		TMchushiMon001	"clone013_x_fangyu,1,20"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	2			0				1	-1									
npcclone013005_07	万毒宫远程守卫(对话)	769	AttackNpc	2	295	1	4		npc\monster134	1	icon\monster\monster134.png			47	2	5		clonenpcdrop_tm	"Clone_tm_mhb01,1,30;Clone_tm_mhb02,1,;Clone_tm_mhb03,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					dk_rl_npcitem217	dknife1_2				-1	0										39101-39108	39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0		clone013_yuancheng		1	-1									
npcclone013006_07	万毒宫近程守卫(对话)	770	AttackNpc	2	294	1	4		npc\monster258	1	icon\monster\monster258.png			47	2	5		clonenpcdrop_tm	"clone013_huikan,1,40;clone013_jidao,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					b_r_npcitem061	blade1_1				-1	0										39101-39108	39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013007_07	万毒宫远程男隐卫	770	PlayActNpc	2	295	1	1		npc\monster072	1	icon\monster\monster072.png		npc\clone\clone013\PlayActNewNpc.lua	47	2	5		clonenpcdrop_tm	"Clone_tm_mhb01,1,30;Clone_tm_mhb02,1,;Clone_tm_mhb03,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					k_l_npcitem307	knife1_1		appear		-1	0											39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0		clone013_yuancheng		1	-1									
npcclone013008_07	万毒宫近程男隐卫	771	PlayActNpc	2	294	1	1		npc\monster246	1	icon\monster\monster246.png		npc\clone\clone013\PlayActNewNpc.lua	47	2	5		clonenpcdrop_tm	"clone013_cisha,1,40;clone013_bisha,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					k_r_npcitem307	knife1_1		appear		-1	0											39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013009_07	万毒宫远程女隐卫	771	PlayActNpc	2	295	1	1		npc\monster058	1	icon\monster\monster058.png		npc\clone\clone013\PlayActNewNpc.lua	47	2	5		clonenpcdrop_tm	"Clone_tm_mhb01,1,30;Clone_tm_mhb02,1,;Clone_tm_mhb03,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					dk_rl_npcitem300	dknife1_2		appear		-1	0											39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0		clone013_yuancheng		1	-1									
npcclone013010_07	万毒宫近程女隐卫	772	PlayActNpc	2	294	1	1		npc\worldnpc246	1	icon\funcnpc\worldnpc246.png		npc\clone\clone013\PlayActNewNpc.lua	47	2	5		clonenpcdrop_tm	"clone013_dingshen,1,30;clone013_luanci,1,40"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					dk_rl_npcitem217	dknife1_2		appear		-1	0											39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013011_07	万毒宫精英男隐卫	772	PlayActNpc	2	295	1	1		npc\monster043	1	icon\monster\monster043.png		npc\clone\clone013\PlayActNpc.lua	49	2	5		clonenpcdrop_tm	"clone013_jianqi,1,40;clone013_quntijitui,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0								appear		-1	0											39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013012_07	万毒宫精英女隐卫	773	PlayActNpc	2	295	1	1		npc\monster182	1	icon\monster\monster182.png		npc\clone\clone013\PlayActNewNpc.lua	49	2	5		clonenpcdrop_tm	"clone013_jiansu,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					dk_rl_npcitem217	dknife1_2		appear		-1	0											39101-39114	39101-39112	39101-39109		39101-39113			0	0	0				1500		1000		5	1			0		clone013_yuancheng		1	-1									
npcclone013013_07	万毒宫近程炼毒弟子(对话)	773	AttackNpc	2	295	1	4		npc\worldnpc384	1	icon\funcnpc\worldnpc384.png			47	2	5		clonenpcdrop_tm	"clone013_cuidu,1,30;clone013_huikan,1,40"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					b_r_npcitem153	blade1_1				-1	0										39117-39121	39118-39122	39119-39126	39114-39117		39119-39124			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013014_07	万毒宫远程炼毒弟子(对话)	774	AttackNpc	2	295	1	4		npc\worldnpc248	1	icon\funcnpc\worldnpc248.png			47	2	5		clonenpcdrop_tm	"clone013_yc_jianmo,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0						hand1_1				-1	0										39117-39121	39118-39122	39119-39126	39114-39117		39119-39124			0	0	0				1500		1000		5	1			0		clone013_yuancheng		1	-1									
npcclone013015_07	万毒宫炼毒师(对话)	774	AttackNpc	2	295	1	4		npc\worldnpc245	1	icon\funcnpc\worldnpc245.png			50	2	5		clonenpcdrop_tm	"clone013_yc_dufen,1,40;clone013_jitui,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0						hand1_1				-1	0										39117-39121	39118-39122	39119-39126	39114-39117		39119-39124			0	0	0				1500		1000		5	2			0				1	-1									
npcclone013016_07	暗玉灵蜂	774	AttackNpc	7	57	1	4		npc\fb_monster007	0.2	icon\monster\monster007.png		npc\clone\clone013\npcclone013016.lua	48	2	5		TMchushiMon001	"clone013_f_shanbi,1,20;clone013_f_zhenfen,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	1			0				1	-1									
npcclone013017_07	彩雪蛛母	772	AttackNpc	7	57	1	4		npc\petm_c_0201	0.2	icon\monster\monster006.png		npc\clone\clone013\npcclone013017.lua	48	2	5		TMchushiMon001	"clone013_z_du,1,20;clone013_z_zhuwang,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	1			0				1	-1									
npcclone013018_07	赤红蝎王	773	AttackNpc	7	57	1	4		npc\petm_c_0400	0.2	icon\monster\monster013.png		npc\clone\clone013\npcclone013018.lua	48	2	5		TMchushiMon001	"clone013_x_fangyu,1,20;clone013_x_du,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	1			0				1	-1									
npcclone013019_07	银丝蛇	771	AttackNpc	7	295	1	4		npc\petm_y_0100	0.3	icon\monster\monster117.png		npc\clone\clone013\npcclone013019.lua	45	2	5		TMchushiMon001	"clone013_s_siyao,1,20"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	1			0				1	-1									
npcclone013020_07	金丝蛇王	770	AttackNpc	7	57	1	4		npc\petm_c_0100	0.2	icon\monster\monster117.png		npc\clone\clone013\npcclone013020.lua	48	2	5		TMchushiMon001	"clone013_s_siyao,1,20;clone013_s_du,1,30"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0										-1	1																		0	0	0				1500		1000		5	1			0				1	-1									
npcclone013021_07	万毒宫烧火杂役(对话)	773	AttackNpc	2	295	1	4		npc\monster239	1	icon\monster\monster239.png			46	2	5		clonenpcdrop_tm	"clone013_huoba,1,30;clone013_huikan,1,40"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					b_r_npcitem167	blade1_1				-1	0										39113-39116	39115-39117	39113-39118	39110-39113		39114-39118			0	0	0				1500		1000		5	1			0				1	-1									
npcclone013022_07	万毒宫杂役(对话)	773	AttackNpc	2	294	1	4		npc\monster440	1	icon\monster\monster440.png			46	2	5		clonenpcdrop_tm	"clone013_jiyun,1,30;clone013_huikan,1,40"	0	16	1.3	0	2	1500	60	1800	npc_foundplayer	0	0					b_r_npcitem154	blade3_1				-1	0										39109-39112	39115-39117	39113-39118	39110-39113		39114-39118			0	0	0				1500		1000		5	1			0				1	-1									
