NPC编号	ini注释名称	对象类型	副本分组场景刷新属性包	实力包编号	AI类型	表现AI包编号	NPC类型	是否转身	模型编号	模型半径	图片	材质类型	脚本编号	级别	怪物强度	跑步速度	修为经验	掉落	掉落数量	技能表	主动被动	响应范围	走路速度	锁定位移攻击	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	缩放	武器名称	武器持握方式	武器类型	出生状态	随机动作	刷新时间	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	进入切磋前对话	结束切磋后对话	空闲状态对话	进入战斗对话	脱离战斗对话	死亡对话	召唤对话	受到伤害状态对话	碰撞时对话	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	不能移动	攻击防御比重	防御概率	"战斗频率,毫秒"	使用锁定技能概率	锁定技能间隔	召唤类型	召唤ID	召唤半径	表演概率	表演时间	"追击范围,米"	只关心距离脱离战斗	附加随机能力编号	普通攻击	势力归属	势力关系表	AI编辑包	直接触发	接任务表	交任务表	善恶参数	时间轴	格挡方式(-1表示不格挡)	破防几率	破防使用技能	格挡CD	使用轻功	轻功使用概率(默认为0)	脱战回血	连招表	加载蓝条	黑幕对话	不会反击	动作集	无受击动作（1不播放）	上半身受击动作（1不播放）	NPC优先显示	动态图标	商店ID	天气包	是否可见	动态副本积分	动态buff包	动态技能包	动态副本限制套路标志	伤害判定奖励类BOSS类型	追击高度差	竞拍掉落	团队显示道具
npcclonetl_ynjx_04	怨念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_gb_lhz01,3,0;Npc_gb_lhz02,3,0;Npc_gb_lhz03,3,0;Npc_gb_lhz04,3,0;Npc_gb_lhz05,3,0;Npc_gb_lhz06,3,0;Npc_gb_lhz07,3,0;Npc_gb_lhz08,3,0;jn_tg_yanxing,1,0"	0	50	1.5		2		5		npc_foundplayer							hand1_1				-1	0											80005	80005	80005		80005										1000		2000	1		100						jxxl_bpt_01	1005	"1003,0"	1735	1					5	1		20	15							0h	1	1													
npcclonetl_chjx_05	仇恨	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jy_yzq01,3,0;Npc_jy_yzq02,3,0;Npc_jy_yzq03,3,0;Npc_jy_yzq04,3,0;Npc_jy_yzq05,3,0;Npc_jy_yzq06,3,0;Npc_jy_yzq07,3,0;Npc_jy_yzq07_sky,3,0;Npc_jy_yzq08,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							hand1_1				-1	0											80001	80001	80001		80001										1000		2000	1		100						Npc_jy_yzq01	1005	"1003,0"	1726	1					5	1		20	15							0h	1	1													
npcclonetl_tnjx_05	贪念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jy_yzq01,3,0;Npc_jy_yzq02,3,0;Npc_jy_yzq03,3,0;Npc_jy_yzq04,3,0;Npc_jy_yzq05,3,0;Npc_jy_yzq06,3,0;Npc_jy_yzq07,3,0;Npc_jy_yzq07_sky,3,0;Npc_jy_yzq08,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							hand1_1				-1	0											80002	80002	80002		80002										1000		2000	1		100						Npc_jy_yzq01	1005	"1003,0"	1727	1					5	1		20	15							0h	1	1													
npcclonetl_znjx_05	执念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jy_yzq01,3,0;Npc_jy_yzq02,3,0;Npc_jy_yzq03,3,0;Npc_jy_yzq04,3,0;Npc_jy_yzq05,3,0;Npc_jy_yzq06,3,0;Npc_jy_yzq07,3,0;Npc_jy_yzq07_sky,3,0;Npc_jy_yzq08,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							hand1_1				-1	0											80003	80003	80003		80003										1000		2000	1		100						Npc_jy_yzq01	1005	"1003,0"	1728	1					5	1		20	15							0h	1	1													
npcclonetl_wnjx_05	妄念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jy_yzq01,3,0;Npc_jy_yzq02,3,0;Npc_jy_yzq03,3,0;Npc_jy_yzq04,3,0;Npc_jy_yzq05,3,0;Npc_jy_yzq06,3,0;Npc_jy_yzq07,3,0;Npc_jy_yzq07_sky,3,0;Npc_jy_yzq08,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							hand1_1				-1	0											80004	80004	80004		80004										1000		2000	1		100						Npc_jy_yzq01	1005	"1003,0"	1729	1					5	1		20	15							0h	1	1													
npcclonetl_ynjx_05	怨念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jy_yzq01,3,0;Npc_jy_yzq02,3,0;Npc_jy_yzq03,3,0;Npc_jy_yzq04,3,0;Npc_jy_yzq05,3,0;Npc_jy_yzq06,3,0;Npc_jy_yzq07,3,0;Npc_jy_yzq07_sky,3,0;Npc_jy_yzq08,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							hand1_1				-1	0											80005	80005	80005		80005										1000		2000	1		100						Npc_jy_yzq01	1005	"1003,0"	1730	1					5	1		20	15							0h	1	1													
npcclonetl_chjx_06	仇恨	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jl_zfd01,3,0;Npc_jl_zfd02,3,0;Npc_jl_zfd03,3,0;Npc_jl_zfd04,3,0;Npc_jl_zfd05,3,0;Npc_jl_zfd06,3,0;Npc_jl_zfd07,3,0;Npc_jl_zfd07_sky,3,0;jn_tg_yanxing,1,0;jxxl_bpt_04,1,0"	0	50	1.5		2		5		npc_foundplayer							dsword1_2				-1	0											80001	80001	80001		80001										1000		2000	1		100						jxxl_bpt_04	1005	"1003,0"	1741	1					5	1		20	15							4h	1	1													
npcclonetl_tnjx_06	贪念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jl_zfd01,3,0;Npc_jl_zfd02,3,0;Npc_jl_zfd03,3,0;Npc_jl_zfd04,3,0;Npc_jl_zfd05,3,0;Npc_jl_zfd06,3,0;Npc_jl_zfd07,3,0;Npc_jl_zfd07_sky,3,0;jn_tg_yanxing,1,0;jxxl_bpt_04,1,0"	0	50	1.5		2		5		npc_foundplayer							dsword1_3				-1	0											80002	80002	80002		80002										1000		2000	1		100						jxxl_bpt_04	1005	"1003,0"	1742	1					5	1		20	15							4h	1	1													
npcclonetl_znjx_06	执念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jl_zfd01,3,0;Npc_jl_zfd02,3,0;Npc_jl_zfd03,3,0;Npc_jl_zfd04,3,0;Npc_jl_zfd05,3,0;Npc_jl_zfd06,3,0;Npc_jl_zfd07,3,0;Npc_jl_zfd07_sky,3,0;jn_tg_yanxing,1,0;jxxl_bpt_04,1,0"	0	50	1.5		2		5		npc_foundplayer							dsword1_4				-1	0											80003	80003	80003		80003										1000		2000	1		100						jxxl_bpt_04	1005	"1003,0"	1743	1					5	1		20	15							4h	1	1													
npcclonetl_wnjx_06	妄念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jl_zfd01,3,0;Npc_jl_zfd02,3,0;Npc_jl_zfd03,3,0;Npc_jl_zfd04,3,0;Npc_jl_zfd05,3,0;Npc_jl_zfd06,3,0;Npc_jl_zfd07,3,0;Npc_jl_zfd07_sky,3,0;jn_tg_yanxing,1,0;jxxl_bpt_04,1,0"	0	50	1.5		2		5		npc_foundplayer							dsword1_5				-1	0											80004	80004	80004		80004										1000		2000	1		100						jxxl_bpt_04	1005	"1003,0"	1744	1					5	1		20	15							4h	1	1													
npcclonetl_ynjx_06	怨念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jl_zfd01,3,0;Npc_jl_zfd02,3,0;Npc_jl_zfd03,3,0;Npc_jl_zfd04,3,0;Npc_jl_zfd05,3,0;Npc_jl_zfd06,3,0;Npc_jl_zfd07,3,0;Npc_jl_zfd07_sky,3,0;jn_tg_yanxing,1,0;jxxl_bpt_04,1,0"	0	50	1.5		2		5		npc_foundplayer							dsword1_6				-1	0											80005	80005	80005		80005										1000		2000	1		100						jxxl_bpt_04	1005	"1003,0"	1745	1					5	1		20	15							4h	1	1													
npcclonetl_chjx_07	仇恨	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jz_xytf03,3,0;Npc_jz_xytf01,3,0;Npc_jz_xytf02,3,0;Npc_jz_xytf04,3,0;Npc_jz_xytf05,3,0;Npc_jz_xytf06,3,0;Npc_jz_xytf07,3,0;jn_tg_yanxing,1,0;Npc_jz_xytf07_sky,3,0"	0	50	1.5		2		5		npc_foundplayer							hand1_1				-1	0											80001	80001	80001		80001										1000		2000	1		100						Npc_jz_xytf01	1005	"1003,0"	1736	1					5	1		20	15							0h	1	1													
npcclonetl_tnjx_07	贪念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jz_xytf03,3,0;Npc_jz_xytf01,3,0;Npc_jz_xytf02,3,0;Npc_jz_xytf04,3,0;Npc_jz_xytf05,3,0;Npc_jz_xytf06,3,0;Npc_jz_xytf07,3,0;jn_tg_yanxing,1,0;Npc_jz_xytf07_sky,3,0"	0	50	1.5		2		5		npc_foundplayer							hand1_1				-1	0											80002	80002	80002		80002										1000		2000	1		100						Npc_jz_xytf01	1005	"1003,0"	1737	1					5	1		20	15							0h	1	1													
npcclonetl_znjx_07	执念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jz_xytf03,3,0;Npc_jz_xytf01,3,0;Npc_jz_xytf02,3,0;Npc_jz_xytf04,3,0;Npc_jz_xytf05,3,0;Npc_jz_xytf06,3,0;Npc_jz_xytf07,3,0;jn_tg_yanxing,1,0;Npc_jz_xytf07_sky,3,0"	0	50	1.5		2		5		npc_foundplayer							hand1_1				-1	0											80003	80003	80003		80003										1000		2000	1		100						Npc_jz_xytf01	1005	"1003,0"	1738	1					5	1		20	15							0h	1	1													
npcclonetl_wnjx_07	妄念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jz_xytf03,3,0;Npc_jz_xytf01,3,0;Npc_jz_xytf02,3,0;Npc_jz_xytf04,3,0;Npc_jz_xytf05,3,0;Npc_jz_xytf06,3,0;Npc_jz_xytf07,3,0;jn_tg_yanxing,1,0;Npc_jz_xytf07_sky,3,0"	0	50	1.5		2		5		npc_foundplayer							hand1_1				-1	0											80004	80004	80004		80004										1000		2000	1		100						Npc_jz_xytf01	1005	"1003,0"	1739	1					5	1		20	15							0h	1	1													
npcclonetl_ynjx_07	怨念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jz_xytf03,3,0;Npc_jz_xytf01,3,0;Npc_jz_xytf02,3,0;Npc_jz_xytf04,3,0;Npc_jz_xytf05,3,0;Npc_jz_xytf06,3,0;Npc_jz_xytf07,3,0;jn_tg_yanxing,1,0;Npc_jz_xytf07_sky,3,0"	0	50	1.5		2		5		npc_foundplayer							hand1_1				-1	0											80005	80005	80005		80005										1000		2000	1		100						Npc_jz_xytf01	1005	"1003,0"	1740	1					5	1		20	15							0h	1	1													
npcclonetl_chjx_08	仇恨	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_tm_jsc01,3,0;Npc_tm_jsc02,3,0;Npc_tm_jsc03,3,0;Npc_tm_jsc04,3,0;Npc_tm_jsc05,3,0;Npc_tm_jsc06,3,0;Npc_tm_jsc07,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							knife1_1				-1	0											80001	80001	80001		80001										1000		2000	1		100						Npc_tm_jsc07	1005	"1003,0"	1721	1					5	1		20	15							3h	1	1													
npcclonetl_tnjx_08	贪念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_tm_jsc01,3,0;Npc_tm_jsc02,3,0;Npc_tm_jsc03,3,0;Npc_tm_jsc04,3,0;Npc_tm_jsc05,3,0;Npc_tm_jsc06,3,0;Npc_tm_jsc07,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							knife1_1				-1	0											80002	80002	80002		80002										1000		2000	1		100						Npc_tm_jsc07	1005	"1003,0"	1722	1					5	1		20	15							3h	1	1													
npcclonetl_znjx_08	执念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_tm_jsc01,3,0;Npc_tm_jsc02,3,0;Npc_tm_jsc03,3,0;Npc_tm_jsc04,3,0;Npc_tm_jsc05,3,0;Npc_tm_jsc06,3,0;Npc_tm_jsc07,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							knife1_1				-1	0											80003	80003	80003		80003										1000		2000	1		100						Npc_tm_jsc07	1005	"1003,0"	1723	1					5	1		20	15							3h	1	1													
npcclonetl_wnjx_08	妄念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_tm_jsc01,3,0;Npc_tm_jsc02,3,0;Npc_tm_jsc03,3,0;Npc_tm_jsc04,3,0;Npc_tm_jsc05,3,0;Npc_tm_jsc06,3,0;Npc_tm_jsc07,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							knife1_1				-1	0											80004	80004	80004		80004										1000		2000	1		100						Npc_tm_jsc07	1005	"1003,0"	1724	1					5	1		20	15							3h	1	1													
npcclonetl_ynjx_08	怨念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_tm_jsc01,3,0;Npc_tm_jsc02,3,0;Npc_tm_jsc03,3,0;Npc_tm_jsc04,3,0;Npc_tm_jsc05,3,0;Npc_tm_jsc06,3,0;Npc_tm_jsc07,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							knife1_1				-1	0											80005	80005	80005		80005										1000		2000	1		100						Npc_tm_jsc07	1005	"1003,0"	1725	1					5	1		20	15							3h	1	1													
npcclonetl_chjx_10	仇恨	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jh_mjh01,3,0;Npc_jh_mjh02,3,0;Npc_jh_mjh03,3,0;Npc_jh_mjh04,3,0;Npc_jh_mjh05,3,0;Npc_jh_mjh06,3,0;Npc_jh_mjh07,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							blade1_1				-1	0											80001	80001	80001		80001										1000		2000	1		100						Npc_jh_mjh03	1005	"1003,0"	5191	1					5	1		20	15							3h	1	1													
npcclonetl_tnjx_10	贪念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jh_mjh01,3,0;Npc_jh_mjh02,3,0;Npc_jh_mjh03,3,0;Npc_jh_mjh04,3,0;Npc_jh_mjh05,3,0;Npc_jh_mjh06,3,0;Npc_jh_mjh07,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							blade1_1				-1	0											80002	80002	80002		80002										1000		2000	1		100						Npc_jh_mjh03	1005	"1003,0"	5192	1					5	1		20	15							3h	1	1													
npcclonetl_znjx_10	执念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jh_mjh01,3,0;Npc_jh_mjh02,3,0;Npc_jh_mjh03,3,0;Npc_jh_mjh04,3,0;Npc_jh_mjh05,3,0;Npc_jh_mjh06,3,0;Npc_jh_mjh07,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							blade1_1				-1	0											80003	80003	80003		80003										1000		2000	1		100						Npc_jh_mjh03	1005	"1003,0"	5193	1					5	1		20	15							3h	1	1													
npcclonetl_wnjx_10	妄念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jh_mjh01,3,0;Npc_jh_mjh02,3,0;Npc_jh_mjh03,3,0;Npc_jh_mjh04,3,0;Npc_jh_mjh05,3,0;Npc_jh_mjh06,3,0;Npc_jh_mjh07,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							blade1_1				-1	0											80004	80004	80004		80004										1000		2000	1		100						Npc_jh_mjh03	1005	"1003,0"	5194	1					5	1		20	15							3h	1	1													
npcclonetl_ynjx_10	怨念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jh_mjh01,3,0;Npc_jh_mjh02,3,0;Npc_jh_mjh03,3,0;Npc_jh_mjh04,3,0;Npc_jh_mjh05,3,0;Npc_jh_mjh06,3,0;Npc_jh_mjh07,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							blade1_1				-1	0											80005	80005	80005		80005										1000		2000	1		100						Npc_jh_mjh03	1005	"1003,0"	5195	1					5	1		20	15							3h	1	1													
npcclonetl_chjx_09	仇恨	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jh_tmjt01,1,0;Npc_jh_tmjt02,1,0;Npc_jh_tmjt03,1,0;Npc_jh_tmjt04,1,0;Npc_jh_tmjt05,1,0;Npc_jh_tmjt06,1,0;Npc_jh_tmjt07,1,0;"	0	50	1.5		2		5		npc_foundplayer							blade1_1				-1	0											80001	80001	80001		80001										1000		2000	1		100						jxxl_bpt_01	1005	"1003,0"	1704	1					5	1		20	15							1h	1	1													
npcclonetl_tnjx_09	贪念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jh_tmjt01,1,0;Npc_jh_tmjt02,1,0;Npc_jh_tmjt03,1,0;Npc_jh_tmjt04,1,0;Npc_jh_tmjt05,1,0;Npc_jh_tmjt06,1,0;Npc_jh_tmjt07,1,0;"	0	50	1.5		2		5		npc_foundplayer							blade1_1				-1	0											80002	80002	80002		80002										1000		2000	1		100						jxxl_bpt_01	1005	"1003,0"	1700	1					5	1		20	15							1h	1	1													
npcclonetl_znjx_09	执念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jh_tmjt01,1,0;Npc_jh_tmjt02,1,0;Npc_jh_tmjt03,1,0;Npc_jh_tmjt04,1,0;Npc_jh_tmjt05,1,0;Npc_jh_tmjt06,1,0;Npc_jh_tmjt07,1,0;"	0	50	1.5		2		5		npc_foundplayer							blade1_1				-1	0											80003	80003	80003		80003										1000		2000	1		100						jxxl_bpt_01	1005	"1003,0"	1701	1					5	1		20	15							1h	1	1													
npcclonetl_wnjx_09	妄念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jh_tmjt01,1,0;Npc_jh_tmjt02,1,0;Npc_jh_tmjt03,1,0;Npc_jh_tmjt04,1,0;Npc_jh_tmjt05,1,0;Npc_jh_tmjt06,1,0;Npc_jh_tmjt07,1,0;"	0	50	1.5		2		5		npc_foundplayer							blade1_1				-1	0											80004	80004	80004		80004										1000		2000	1		100						jxxl_bpt_01	1005	"1003,0"	1702	1					5	1		20	15							1h	1	1													
npcclonetl_ynjx_09	怨念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jh_tmjt01,1,0;Npc_jh_tmjt02,1,0;Npc_jh_tmjt03,1,0;Npc_jh_tmjt04,1,0;Npc_jh_tmjt05,1,0;Npc_jh_tmjt06,1,0;Npc_jh_tmjt07,1,0;"	0	50	1.5		2		5		npc_foundplayer							blade1_1				-1	0											80005	80005	80005		80005										1000		2000	1		100						jxxl_bpt_01	1005	"1003,0"	1703	1					5	1		20	15							1h	1	1													
npcclonetl_chjx_11	仇恨	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jh_jyjf01,3,0;Npc_jh_jyjf02,3,0;Npc_jh_jyjf03,3,0;Npc_jh_jyjf04,3,0;Npc_jh_jyjf05,3,0;Npc_jh_jyjf06,3,0;Npc_jh_jyjf07,3,0;Npc_jh_jyjf08,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							sword1_1				-1	0											80001	80001	80001		80001										1000		2000	1		100						Npc_jh_jyjf01	1005	"1003,0"	5477	1					5	1		20	15							2h	1	1													
npcclonetl_tnjx_11	贪念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jh_jyjf01,3,0;Npc_jh_jyjf02,3,0;Npc_jh_jyjf03,3,0;Npc_jh_jyjf04,3,0;Npc_jh_jyjf05,3,0;Npc_jh_jyjf06,3,0;Npc_jh_jyjf07,3,0;Npc_jh_jyjf08,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							sword1_1				-1	0											80002	80002	80002		80002										1000		2000	1		100						Npc_jh_jyjf01	1005	"1003,0"	5478	1					5	1		20	15							2h	1	1													
npcclonetl_znjx_11	执念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jh_jyjf01,3,0;Npc_jh_jyjf02,3,0;Npc_jh_jyjf03,3,0;Npc_jh_jyjf04,3,0;Npc_jh_jyjf05,3,0;Npc_jh_jyjf06,3,0;Npc_jh_jyjf07,3,0;Npc_jh_jyjf08,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							sword1_1				-1	0											80003	80003	80003		80003										1000		2000	1		100						Npc_jh_jyjf01	1005	"1003,0"	5479	1					5	1		20	15							2h	1	1													
npcclonetl_wnjx_11	妄念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jh_jyjf01,3,0;Npc_jh_jyjf02,3,0;Npc_jh_jyjf03,3,0;Npc_jh_jyjf04,3,0;Npc_jh_jyjf05,3,0;Npc_jh_jyjf06,3,0;Npc_jh_jyjf07,3,0;Npc_jh_jyjf08,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							sword1_1				-1	0											80004	80004	80004		80004										1000		2000	1		100						Npc_jh_jyjf01	1005	"1003,0"	5480	1					5	1		20	15							2h	1	1													
npcclonetl_ynjx_11	怨念	BossNpc		205	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_jh_jyjf01,3,0;Npc_jh_jyjf02,3,0;Npc_jh_jyjf03,3,0;Npc_jh_jyjf04,3,0;Npc_jh_jyjf05,3,0;Npc_jh_jyjf06,3,0;Npc_jh_jyjf07,3,0;Npc_jh_jyjf08,3,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							sword1_1				-1	0											80005	80005	80005		80005										1000		2000	1		100						Npc_jh_jyjf01	1005	"1003,0"	5481	1					5	1		20	15							2h	1	1													
npcclonetl_chjx_01_a	仇恨	BossNpc		207	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_sl_dmgf03,5,0;Npc_sl_dmgf01,5,0;Npc_sl_dmgf02,5,0;Npc_sl_dmgf04,5,0;Npc_sl_dmgf05,5,0;Npc_sl_dmgf06,5,0;Npc_sl_dmgf07_sky,5,0"	0	50	1.5		2		5		npc_foundplayer							lstuff1_1				-1	0											80001	80001	80001		80001										1000		2000	1		100						Npc_sl_dmgf01	1005	"1003,0"	1470	1					5	1		20	15							7h	1	1													
npcclonetl_tnjx_01_a	贪念	BossNpc		207	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_sl_dmgf03,5,0;Npc_sl_dmgf01,5,0;Npc_sl_dmgf02,5,0;Npc_sl_dmgf04,5,0;Npc_sl_dmgf05,5,0;Npc_sl_dmgf06,5,0;Npc_sl_dmgf07_sky,5,1"	0	50	1.5		2		5		npc_foundplayer							lstuff1_1				-1	0											80002	80002	80002		80002										1000		2000	1		100						Npc_sl_dmgf01	1005	"1003,0"	1471	1					5	1		20	15							7h	1	1													
npcclonetl_znjx_01_a	执念	BossNpc		207	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_sl_dmgf03,5,0;Npc_sl_dmgf01,5,0;Npc_sl_dmgf02,5,0;Npc_sl_dmgf04,5,0;Npc_sl_dmgf05,5,0;Npc_sl_dmgf06,5,0;Npc_sl_dmgf07_sky,5,2"	0	50	1.5		2		5		npc_foundplayer							lstuff1_1				-1	0											80003	80003	80003		80003										1000		2000	1		100						Npc_sl_dmgf01	1005	"1003,0"	1472	1					5	1		20	15							7h	1	1													
npcclonetl_wnjx_01_a	妄念	BossNpc		207	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_sl_dmgf03,5,0;Npc_sl_dmgf01,5,0;Npc_sl_dmgf02,5,0;Npc_sl_dmgf04,5,0;Npc_sl_dmgf05,5,0;Npc_sl_dmgf06,5,0;Npc_sl_dmgf07_sky,5,3"	0	50	1.5		2		5		npc_foundplayer							lstuff1_1				-1	0											80004	80004	80004		80004										1000		2000	1		100						Npc_sl_dmgf01	1005	"1003,0"	1473	1					5	1		20	15							7h	1	1													
npcclonetl_ynjx_01_a	怨念	BossNpc		207	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_sl_dmgf03,5,0;Npc_sl_dmgf01,5,0;Npc_sl_dmgf02,5,0;Npc_sl_dmgf04,5,0;Npc_sl_dmgf05,5,0;Npc_sl_dmgf06,5,0;Npc_sl_dmgf07_sky,5,4"	0	50	1.5		2		5		npc_foundplayer							lstuff1_1				-1	0											80005	80005	80005		80005										1000		2000	1		100						Npc_sl_dmgf01	1005	"1003,0"	1474	1					5	1		20	15							7h	1	1													
npcclonetl_chjx_02_a	仇恨	BossNpc		207	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_wd_qfjf01,5,0;Npc_wd_qfjf02,5,0;Npc_wd_qfjf03,5,0;Npc_wd_qfjf04,5,0;Npc_wd_qfjf05,5,0;Npc_wd_qfjf06,5,0;Npc_wd_qfjf07,5,0;Npc_wd_qfjf02_sky,5,0;Npc_wd_qfjf06_sky,5,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,0"	0	50	1.5		2		5		npc_foundplayer							sword1_1				-1	0											80001	80001	80001		80001										1000		2000	1		100						Npc_wd_qfjf01	1005	"1003,0"	1460	1					5	1		20	15							2h	1	1													
npcclonetl_tnjx_02_a	贪念	BossNpc		207	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_wd_qfjf01,5,0;Npc_wd_qfjf02,5,0;Npc_wd_qfjf03,5,0;Npc_wd_qfjf04,5,0;Npc_wd_qfjf05,5,0;Npc_wd_qfjf06,5,0;Npc_wd_qfjf07,5,0;Npc_wd_qfjf02_sky,5,0;Npc_wd_qfjf06_sky,5,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,1"	0	50	1.5		2		5		npc_foundplayer							sword1_1				-1	0											80002	80002	80002		80002										1000		2000	1		100						Npc_wd_qfjf01	1005	"1003,0"	1461	1					5	1		20	15							2h	1	1													
npcclonetl_znjx_02_a	执念	BossNpc		207	1	4	184		npc\b_xinmo	1				82	3	6				"Npc_wd_qfjf01,5,0;Npc_wd_qfjf02,5,0;Npc_wd_qfjf03,5,0;Npc_wd_qfjf04,5,0;Npc_wd_qfjf05,5,0;Npc_wd_qfjf06,5,0;Npc_wd_qfjf07,5,0;Npc_wd_qfjf02_sky,5,0;Npc_wd_qfjf06_sky,5,0;jn_tg_yanxing,1,0;jn_tg_yanxing_back,1,2"	0	50	1.5		2		5		npc_foundplayer							sword1_1				-1	0											80003	80003	80003		80003										1000		2000	1		100						Npc_wd_qfjf01	1005	"1003,0"	1462	1					5	1		20	15							2h	1	1													
