NPC编号	对象类型	名称	模型编号	NPC类型	NPC种类ID	响应范围	触发事件编号	触发类型	触发任务ID	是否可见	交互顺序	脚本编号	AI编辑包	触发条件	世界触发器相关	存在时间	触发高度
EventNpc34681	EventNpc	触发点	npc\worldnpc140	47	4	8		2	6003	1	2						
																	
																	
																	
EventNpc30295	EventNpc	风铃谷演出	npc\worldnpc140	47	4	8		2	30295	1	1						
EventNpc30309	EventNpc	剑冢	npc\worldnpc140	47	4	8		2	30309	1	1						
EventNpc30320	EventNpc	星宿海采药	npc\worldnpc140	47	4	8		2	30320	1	1						
EventNpc30327	EventNpc	四处逛逛	npc\worldnpc140	47	4	8		2	30327	1	1						
EventNpc30331	EventNpc	四处逛逛	npc\worldnpc140	47	4	8		2	30331	1	1						
EventNpc30454	EventNpc	万梅山庄	npc\worldnpc140	47	4	8		2	30454	1	1						
																	
																	
EventNpc28338	EventNpc	客栈外	npc\worldnpc140	47	4	8		2	28338	1	1						
EventNpc28344	EventNpc	燕门世家门口	npc\worldnpc140	47	4	8		2	28344	1	1						
EventNpc28354	EventNpc	往星宿海的路上	npc\worldnpc140	47	4	8		2	28354	1	1						
EventNpc28362	EventNpc	星宿老仙门外	npc\worldnpc140	47	4	8		2	28362	1	1						
EventNpc28364	EventNpc	老婆婆触发点	npc\worldnpc140	47	4	8		2	28364	1	1						
EventNpc28376	EventNpc	南宫秋月处	npc\worldnpc140	47	4	8		2	28376	1	1						
EventNpc28387	EventNpc	泛黄平原小姑娘触发点	npc\worldnpc140	47	4	8		2	28387	1	1						
EventNpc28388	EventNpc	小伙子触发点	npc\worldnpc140	47	4	8		2	28388	1	1						
EventNpc28389	EventNpc	鬼影触发点	npc\worldnpc140	47	4	8		2	28389	1	1						
EventNpc28397	EventNpc	西村墓林触发点	npc\worldnpc140	47	4	8		2	28397	1	1						
EventNpc28400	EventNpc	幽冥宫门口触发点	npc\worldnpc140	47	4	8		2	28400	1	1						
EventNpc28413	EventNpc	蒙面客触发点	npc\worldnpc140	47	4	8		2	28413	1	1						
EventNpc28428	EventNpc	古墓派门口触发点	npc\worldnpc140	47	4	8		2	28428	1	1						
EventNpc28436	EventNpc	班婆婆触发点	npc\worldnpc140	47	4	8		2	28436	1	1						
EventNpc28439	EventNpc	凹槽触发点	npc\worldnpc140	47	4	8		2	28439	1	1						
EventNpc28440	EventNpc	油灯触发点	npc\worldnpc140	47	4	8		2	28440	1	1						
EventNpc28469	EventNpc	可疑点触发点	npc\worldnpc140	47	4	8		2	28469	1	1						
EventNpc28625	EventNpc	守卫触发点	npc\worldnpc140	47	4	8		2	28625	1	1						
EventNpc28637	EventNpc	村里触发点	npc\worldnpc140	47	4	8		2	28637	1	1						
EventNpc28641	EventNpc	白衣师兄触发点	npc\worldnpc140	47	4	8		2	28641	1	1						
EventNpc28649	EventNpc	女子触发点	npc\worldnpc140	47	4	8		2	28649	1	1						
EventNpc28651	EventNpc	河边触发点	npc\worldnpc140	47	4	8		2	28651	1	1						
EventNpc48017	EventNpc	极乐谷触发点	npc\worldnpc140	47	4	8		2	48017	1	1						
EventNpc87017-1	EventNpc	极乐谷清扫点	npc\worldnpc140	47	4	8		2	87017	1	1						
EventNpc87017-2	EventNpc	极乐谷清扫点	npc\worldnpc140	47	4	8		2	87017	1	1						
EventNpc87017-3	EventNpc	极乐谷清扫点	npc\worldnpc140	47	4	8		2	87017	1	1						
																	
																	
EventNpc26546_1	EventNpc	蛇窟前追踪对白	npc\worldnpc140	47	4	8		2	26546	1	1						
EventNpc26546_2	EventNpc	蛇窟前追踪对白	npc\worldnpc140	47	4	8		2	26546	1	1						
EventNpc26557	EventNpc	萧天放击败主角黑幕	npc\worldnpc140	47	4	8		2	26557	1	1						
EventNpc26562	EventNpc	萧天放离开黑幕	npc\worldnpc140	47	4	8		2	26563	1	1						
EventNpc26570	EventNpc	带唐笑天冲出蛇窟	npc\worldnpc140	47	4	8	108	4	26570	1	1						
EventNpc22017	EventNpc	老龙庙后土	npc\worldnpc140	47	4	8		2	22017	1	3						
EventNpc22032	EventNpc	去旁边盐帮中人处看看	npc\worldnpc140	47	4	8	129	4	22032	1	1						
EventNpc22037	EventNpc	盐帮外放动画	npc\worldnpc140	47	4	8	132	4	22037	1	2						
EventNpc22038	EventNpc	盐帮外放动画	npc\worldnpc140	47	4	8	132	4	22038	1	2						
EventNpc84623	EventNpc	触发戏子人生	npc\worldnpc140	47	4	8	162	4	84623	1	1						
EventNpc84627	EventNpc	隐风与绾绾相遇	npc\worldnpc140	47	4	8		2	84627	1	1						
EventNpc84628	EventNpc	绾绾决定跟随老尼出家	npc\worldnpc140	47	4	8	160	4	84637	1	1						
EventNpc84629	EventNpc	驿站血案，老尼身亡	npc\worldnpc140	47	4	8	161	4	84637	1	1						
																	
EventNpc30627	EventNpc	河边	npc\worldnpc140	47	4	8		2	30627	1	1						
EventNpc30633	EventNpc	村外灌木林	npc\worldnpc140	47	4	8		2	30634	1	1						
																	
																	
EventNpc26409	EventNpc	极乐谷山下扶桑集结处	npc\worldnpc140	47	4	8		2	26409	1	1						
EventNpc40207	EventNpc	向九尘被砍处	npc\worldnpc140	47	4	8	1	1	40207	1							
EventNpc40198	EventNpc	梅村触发点	npc\worldnpc140	47	4	8		5	40198	1	1						
EventNpc26297	EventNpc	黑衣人触发点	npc\worldnpc140	47	4	8		2	26297	1	1						
																	
EventNpc40193	EventNpc	山下	npc\worldnpc140	47	4	8		2	40193	1	1						
EventNpc40077	EventNpc	山门	npc\worldnpc140	47	4	8		2	40077	1	1						
EventNpc40146	EventNpc	四处	npc\worldnpc140	47	4	8		2	40146	1	1						
EventNpc40161	EventNpc	回去	npc\worldnpc140	47	4	8		2	40161	1	1						
EventNpc40170	EventNpc	回去	npc\worldnpc140	47	4	8		2	40170	1	1						
EventNpc40171	EventNpc	马兰查所说埋藏地点	npc\worldnpc140	47	4	8		2	48049	1	1						
EventNpc42045	EventNpc	弯弯的树附近	npc\worldnpc140	47	4	8		2	42045	1	1						
																	
trapnpc	EventNpc	刺探触发器	npc\npcitem339	47	4	8				1		interact\spy\spring_spy.lua					
EventNpc24603	EventNpc	aaa	npc\worldnpc140	47	4	1				1							
																	
EventNpc26624	EventNpc	暴雨梨花针	npc\worldnpc140	47	4	8	106	4	26624	1	1						
EventNpc80952	EventNpc	帮丫鬟打水任务触发NPC（80952）	npc\worldnpc140	47	4	8			34600	1	1						
																	
	//红名系统																
EventNpcRN01	EventNpc	千灯镇，烟雨庄，恶人谷，鸡鸣驿	npc\worldnpc140	47	4	8		1		1							
EventNpcRN02	EventNpc	燕京，洛阳，成都，苏州	npc\worldnpc140	47	4	8		1		1							
EventNpcRN03	EventNpc	少林	npc\worldnpc140	47	4	8		1		1							
EventNpcRN04	EventNpc	武当	npc\worldnpc140	47	4	8		1		1							
EventNpcRN05	EventNpc	峨眉	npc\worldnpc140	47	4	8		1		1							
EventNpcRN06	EventNpc	丐帮	npc\worldnpc140	47	4	8		1		1							
EventNpcRN07	EventNpc	唐门	npc\worldnpc140	47	4	8		1		1							
EventNpcRN08	EventNpc	君子	npc\worldnpc140	47	4	8		1		1							
EventNpcRN09	EventNpc	锦衣卫	npc\worldnpc140	47	4	8		1		1							
EventNpcRN010	EventNpc	极乐	npc\worldnpc140	47	4	8		1		1							
EventNpcRN011	EventNpc	金陵	npc\worldnpc140	47	4	8		1		1							
EventNpcRN_world01	EventNpc	野外触发	npc\worldnpc140	47	4	8		1		1							
EventNpcRN012	EventNpc	皇宫	npc\worldnpc140	47	4	8		1		1							
EventNpcRN_behead	EventNpc	囚车消失触发	npc\itemnpc057e	250	4	15		4		1							
																	
EventNpcEyYy001	EventNpc	园中角落	npc\worldnpc140	47	4	8		2	80633	1							
EventNpcEyYy002	EventNpc	园中角落	npc\worldnpc140	47	4	8		2	80633	2							
EventNpcEyYy003	EventNpc	龙王庙外	npc\worldnpc140	47	4	8		2	80635	1							
																	
EventNpcCJ001	EventNpc	触发刷怪	npc\worldnpc140	47	4	8				1							
EventNpcCJ002	EventNpc	触发刷怪	npc\worldnpc140	47	4	8				1							
EventNpcCJ003	EventNpc	触发刷怪	npc\worldnpc140	47	4	8				1							
																	
EventNpc26010	EventNpc	洛阳城门	npc\worldnpc140	47	4	8		2	26010	1	2						
EventNpc26015_2	EventNpc	洛阳府衙	npc\worldnpc140	47	4	8		2	26015	1	2						
EventNpc26015_1	EventNpc	洛阳	npc\worldnpc140	47	4	8		2	26015	1	1						
EventNpc26017	EventNpc	护送出怪（突然钻出个吴雪冰）	npc\worldnpc140	47	4	8		2	26017	1	2						
EventNpc42098	EventNpc	去找崔鸣来	npc\worldnpc140	47	4	8		2	42098	1	1						
EventNpc42144	EventNpc	回锦衣卫	npc\worldnpc140	47	4	8		2	42144	1	1						
EventNpcLHX	EventNpc	受伤趟床上令狐雪专用寻路用触发NPC	npc\worldnpc140	47	4	8		2	24183	1	1						
																	
																	
EventNpc506_1	EventNpc	千灯矿工合成点触发器	npc\worldnpc140	47	4	2		2	506	1	2						
EventNpc507_1	EventNpc	千灯裁缝合成点触发器	npc\worldnpc140	47	4	2		2	507	1	2						
EventNpc508_1	EventNpc	千灯金匠合成点触发器	npc\worldnpc140	47	4	2		2	508	1	2						
EventNpc509_1	EventNpc	千灯铁匠合成点触发器	npc\worldnpc140	47	4	2		2	509	1	2						
EventNpc510_1	EventNpc	千灯厨师合成点触发器	npc\worldnpc140	47	4	2		2	510	1	2						
EventNpc513_1	EventNpc	千灯农田触发器	npc\worldnpc140	47	4	2		2	513	1	2						
EventNpc707_2	EventNpc	恶人谷矿工合成点触发器	npc\worldnpc140	47	4	2		2	707	1	2						
EventNpc708_2	EventNpc	恶人谷裁缝合成点触发器	npc\worldnpc140	47	4	2		2	708	1	2						
EventNpc709_2	EventNpc	恶人谷金匠合成点触发器	npc\worldnpc140	47	4	2		2	709	1	2						
EventNpc710_2	EventNpc	恶人谷铁匠合成点触发器	npc\worldnpc140	47	4	2		2	710	1	2						
EventNpc711_2	EventNpc	恶人谷厨师合成点触发器	npc\worldnpc140	47	4	2		2	711	1	2						
EventNpc714_2	EventNpc	恶人谷农田触发器	npc\worldnpc140	47	4	2		2	714	1	2						
EventNpc727_3	EventNpc	烟雨庄矿工合成点触发器	npc\worldnpc140	47	4	2		2	727	1	2						
EventNpc728_3	EventNpc	烟雨庄裁缝合成点触发器	npc\worldnpc140	47	4	2		2	728	1	2						
EventNpc729_3	EventNpc	烟雨庄金匠合成点触发器	npc\worldnpc140	47	4	2		2	729	1	2						
EventNpc730_3	EventNpc	烟雨庄铁匠合成点触发器	npc\worldnpc140	47	4	2		2	730	1	2						
EventNpc731_3	EventNpc	烟雨庄厨师合成点触发器	npc\worldnpc140	47	4	2		2	731	1	2						
EventNpc734_3	EventNpc	烟雨庄农田触发器	npc\worldnpc140	47	4	2		2	734	1	2						
EventNpc747_4	EventNpc	漠河镇矿工合成点触发器	npc\worldnpc140	47	4	2		2	747	1	2						
EventNpc748_4	EventNpc	漠河镇裁缝合成点触发器	npc\worldnpc140	47	4	2		2	748	1	2						
EventNpc749_4	EventNpc	漠河镇金匠合成点触发器	npc\worldnpc140	47	4	2		2	749	1	2						
EventNpc750_4	EventNpc	漠河镇铁匠合成点触发器	npc\worldnpc140	47	4	2		2	750	1	2						
EventNpc751_4	EventNpc	漠河镇厨师合成点触发器	npc\worldnpc140	47	4	2		2	751	1	2						
EventNpc754_4	EventNpc	漠河镇农田触发器	npc\worldnpc140	47	4	2		2	754	1	2						
EventNpc767_16	EventNpc	洛阳矿工合成点触发器	npc\worldnpc140	47	4	2		2	767	1	2						
EventNpc768_16	EventNpc	洛阳裁缝合成点触发器	npc\worldnpc140	47	4	2		2	768	1	2						
EventNpc769_16	EventNpc	洛阳金匠合成点触发器	npc\worldnpc140	47	4	2		2	769	1	2						
EventNpc770_16	EventNpc	洛阳铁匠合成点触发器	npc\worldnpc140	47	4	2		2	770	1	2						
EventNpc771_16	EventNpc	洛阳厨师合成点触发器	npc\worldnpc140	47	4	2		2	771	1	2						
EventNpc774_16	EventNpc	洛阳农田触发器	npc\worldnpc140	47	4	2		2	774	1	2						
EventNpc787_17	EventNpc	成都矿工合成点触发器	npc\worldnpc140	47	4	2		2	787	1	2						
EventNpc788_17	EventNpc	成都裁缝合成点触发器	npc\worldnpc140	47	4	2		2	788	1	2						
EventNpc789_17	EventNpc	成都金匠合成点触发器	npc\worldnpc140	47	4	2		2	789	1	2						
EventNpc790_17	EventNpc	成都铁匠合成点触发器	npc\worldnpc140	47	4	2		2	790	1	2						
EventNpc791_17	EventNpc	成都厨师合成点触发器	npc\worldnpc140	47	4	2		2	791	1	2						
EventNpc794_17	EventNpc	成都农田触发器	npc\worldnpc140	47	4	2		2	794	1	2						
																	
	//新手引导																
Event_yd_qd01	EventNpc	千灯剧本1打坐调息任务	npc\worldnpc140	47	4	10		6		1	1	Adventure\yd\play_movie.lua		10304			
Event_yd_qd02	EventNpc	千灯剧本2打坐调息任务	npc\worldnpc140	47	4	10		6		1	1	Adventure\yd\play_movie.lua		10305			
Event_yd_yyz01	EventNpc	烟雨庄剧本打坐调息任务	npc\worldnpc140	47	4	10		6		1	1	Adventure\yd\play_movie.lua		10306			
Event_yd_cd01	EventNpc	成都剧本打坐调息任务	npc\worldnpc140	47	4	10		6		1	1	Adventure\yd\play_movie.lua		10307			
Event_yd_jmy01	EventNpc	鸡鸣驿剧本打坐调息任务	npc\worldnpc140	47	4	10		6		1	1	Adventure\yd\play_movie.lua		10308			
Event_yd_ly01	EventNpc	洛阳剧本打坐调息任务	npc\worldnpc140	47	4	10		6		1	1	Adventure\yd\play_movie.lua		10309			
Event_yd_zdjm	EventNpc	新手任务进入13号分组场景	npc\worldnpc140	47	4	20		6		1		Adventure\switch_gscene13.lua					
Event_yd_creatnpc	EventNpc	进入分组场景后创建判断是否需要创建特效NPC	npc\worldnpc140	47	4	20		6		1		Adventure\ydtask_creatnpc.lua					
Event_yd_qd03	EventNpc	千灯剧本1恩仇新手引导任务-入	npc\itemnpc057e	47	4	20		6		1	1						
Event_yd_qd04	EventNpc	千灯剧本1恩仇新手引导任务-出	npc\itemnpc057e	47	4	10		6		1	1	Adventure\yd_qdz.lua					
Event_yd_qd05	EventNpc	千灯剧本2恩仇新手引导任务-入	npc\itemnpc057e	47	4	10		6		1	1						
Event_yd_qd06	EventNpc	千灯剧本2恩仇新手引导任务-出	npc\itemnpc057e	47	4	20		6		1	1						
Event_yd_gs26	EventNpc	26号分组场景	npc\worldnpc140	47	4	3		6		1		Adventure\yd\Event_yd_gs26.lua		22899			
																	
																	
																	
	//奇遇君子堂																
Event_qy_jzt01	EventNpc	君子堂藏书台	npc\worldnpc140	47	4	15		2	17859	1	1		148				
Event_qy_jzt02	EventNpc	君子堂进逍遥塔	npc\worldnpc140	47	4	20		6		1	1	Adventure\junzitang\qy_jzt_xyt.lua		23471			
Event_qy_jzt03	EventNpc	君子堂出逍遥塔	npc\worldnpc140	47	4	40		6		1	1	Adventure\junzitang\qy_jzt_xytchu.lua					
																	
Event_qy_sz01	EventNpc	恶少的报复	npc\worldnpc140	47	4	10		4		1	1						
																	
	//奇遇塞外大漠																
Event_qy_swgj01	EventNpc	塞外高级1引导任务-入	npc\itemnpc057e	47	4	2		6		1	1	Adventure\Event_qy_swgj01.lua					
Event_qy_swgj02	EventNpc	塞外高级2引导任务-入	npc\itemnpc057e	47	4	25		6		1	1	Adventure\Event_qy_swgj02.lua					
Event_qy_swgj03	EventNpc	塞外高级3	npc\itemnpc057e	47	4	25		6		1	1	npc\clone\CJ\Event_condition.lua		10400			
PlotDoor_wmp_1nei_qyyd	EventNpc	无门派-奇遇分组场景进入	npc\itemnpc057e	47	4	25		6		1	1	npc\clone\CJ\Event_condition.lua		104267			
Event_qy_swgj04	EventNpc	塞外高级4	npc\itemnpc057e	47	4	25		6		1	1	npc\clone\CJ\EventNpc_qy_sz_outdoor.lua					
Event_qy_swgj05	EventNpc		npc\itemnpc057e	47	4	10		6		1	1	npc\clone\CJ\Event_condition.lua		10621			
Event_qy_swgj06	EventNpc	塞外高级6	npc\itemnpc057e	47	4	25		6		1	1	npc\clone\CJ\Event_condition.lua		10622			
Event_qy_swgj07	EventNpc	塞外高级7	npc\itemnpc057e	47	4	25		6		1	1	npc\clone\CJ\EventNpc_qy_sz_outdoor.lua					
Event_qy_swgj08	EventNpc	塞外高级8	npc\itemnpc057e	47	4	7		6		1	1	npc\clone\CJ\Event_condition.lua		10623			
Event_qy_swgj09	EventNpc	塞外高级9	npc\itemnpc057e	47	4	7		6		1	1	npc\clone\CJ\EventNpc_qy_sz_outdoor.lua					
Event_qy_swgj10	EventNpc	塞外高级10	npc\itemnpc057e	47	4	25		6		1	1	Adventure\sbdm\Event_qy_swgj06.lua					
Event_qy_swgj11	EventNpc	塞外高级11	npc\itemnpc057e	47	4	50		6		1	1	npc\clone\CJ\Event_condition.lua		10819			
Event_qy_swgj12	EventNpc	塞外高级12	npc\itemnpc057e	47	4	50		6		1	1	Adventure\sbdm\Event_qy_swgj12.lua					
Event_qy_swgj13	EventNpc	塞外高级13	npc\itemnpc057e	47	4	10		6		1	1	npc\clone\CJ\EventNpc_qy_sz_outdoor.lua					
																	
	//奇遇孔雀山庄																
Event_qy_kongque	EventNpc	孔雀山庄金陵	npc\itemnpc057e	47	4	25		6		1	1	npc\clone\CJ\Event_condition.lua		11254			
Event_qy_kongque1	EventNpc	孔雀山庄金陵1	npc\itemnpc057e	47	4	25		6		1	1	npc\clone\CJ\EventNpc_qy_sz_outdoor.lua					
Event_qy_kongque2	EventNpc	孔雀山庄成都	npc\itemnpc057e	47	4	50		6		1	1	npc\clone\CJ\Event_condition.lua		11256			
Event_qy_kongque3	EventNpc	孔雀山庄成都1	npc\itemnpc057e	47	4	50		6		1	1	npc\clone\CJ\EventNpc_qy_sz_outdoor.lua					
Event_qy_kongque4	EventNpc	孔雀山庄大老动画	npc\itemnpc057e	47	4	7		6		1	1	Adventure\sbdm\Event_qy_kongque4.lua					
Event_qy_kongque5	EventNpc	孔雀山庄金陵3	npc\itemnpc057e	47	4	25		6		1	1	npc\clone\CJ\Event_condition.lua		11255			
Event_qy_kongque6	EventNpc	孔雀山庄金陵4	npc\itemnpc057e	47	4	25		6		1	1	npc\clone\CJ\EventNpc_qy_sz_outdoor.lua					
Event_qy_kongque_01	EventNpc	孔雀山庄唐门	npc\itemnpc057e	47	4	50		6		1	1	Adventure\yd\Event_qy_kongque_01_indoor.lua		11377			
Event_qy_kongque_02	EventNpc	孔雀山庄唐门1	npc\itemnpc057e	47	4	50		6		1	1	npc\clone\CJ\EventNpc_qy_sz_outdoor.lua					
Event_qy_kongque_03	EventNpc	唐门跟随任务触发NPC1	npc\itemnpc057e	47	4	25		6		1	1	npc\qy_kongque_gensui01.lua		22940			
	//奇遇-111235-江南-苏州																
qy_111225_suzhou_yinbizhifa	EventNpc	吴大侠-隐蔽之法-进入分组场景触发	npc\worldnpc140	47	4	5		6		1	1	Adventure\sz\qy_suzhou_chuanrufenzuchangjing.lua		22821			
qy_111225_suzhou_baguaceshi	EventNpc	八卦测试	npc\worldnpc140	47	4	10		6		1	1	Adventure\sz\qy_suzhou_bagua.lua		9852			
qy_111225_suzhou_weizhuang	EventNpc	吴大侠-隐蔽之法-伪装npc	npc\worldnpc140	47	4	3		6		1	1	Adventure\sz\qy_suzhou_weizhuangnpc.lua					
																	
	//门派清规																
Event_shaolin_001	EventNpc	少林清规触发	npc\worldnpc140	47	4	10		4		1							
Event_wudang_001	EventNpc	武当清规触发	npc\worldnpc140	47	4	10		4		1							
Event_emei_001	EventNpc	峨眉清规触发	npc\worldnpc140	47	4	10		4		1							
Event_gaibang_001	EventNpc	丐帮清规触发	npc\worldnpc140	47	4	10		4		1							
Event_junzitang_001	EventNpc	君子堂清规触发	npc\worldnpc140	47	4	10		4		1							
Event_tangmen_001	EventNpc	唐门清规触发	npc\worldnpc140	47	4	10		4		1							
Event_jilegu_001	EventNpc	极乐谷清规触发	npc\worldnpc140	47	4	10		4		1							
Event_jinyiwei_001	EventNpc	锦衣卫清规触发	npc\worldnpc140	47	4	10		4		1							
	//青云堡奇遇																
Event_qingyunbao_001	EventNpc	青云堡洛阳触发NPC	npc\worldnpc140	47	4	25		6		1	1	Adventure\clone021\EventNpc_qy_qyb_001.lua		11198			
qy_120118_clone021_lukou_02	EventNpc	青云堡禁地奇遇-地狱难度-再遇恶人	npc\worldnpc140	47	4	12		6		1	1	Adventure\clone021\qy_clone021_zhaoxiansuo.lua		22927			
qy_120118_clone021_lukou_01	EventNpc	青云堡禁地奇遇-地狱难度-初遇恶人	npc\worldnpc140	47	4	12		6		1	1	Adventure\clone021\qy_clone021_event_task.lua		22932			
qy_120118_clone021_kezhan	EventNpc	青云堡禁地奇遇-地狱难度-传出客栈分组场景	npc\worldnpc140	47	4	5		6		1	1	Adventure\clone021\qy_clone021_event_leave.lua					
qy_120118_clone021_lukou_03	EventNpc	青云堡禁地奇遇-地狱难度-传出路口分组场景	npc\worldnpc140	47	4	40		6		1	1	Adventure\clone021\qy_clone021_event_leave.lua					
																	
	//奇遇塞外大漠																
qy_jinyiwei_17404	EventNpc	锦衣卫奇遇遗书任务	npc\worldnpc140	47	4	20		5	17404	1							
																	
EventNpc86500	EventNpc	唐门挑战触发	npc\worldnpc140	47	4	4		2	86500	1	1						
EventNpc86500_1	EventNpc	墓碑指定摆放点	npc\worldnpc140	47	4	4		2	86500	1							
EventNpc86504	EventNpc	骨灰埋藏点	npc\worldnpc141	47	4	4		2	86504	1							
	//少林门派内功奇遇																
Event_qy_120401_shaolin_01	EventNpc	少林门派内功奇遇--刑君可救人--陈宸--7047	npc\itemnpc057e	47	4	25		6		1	1						
Event_qy_120401_shaolin_02	EventNpc	少林门派内功奇遇--少林比武--陈宸--7048	npc\itemnpc057e	47	4	25		6		1	1						
Event_qy_120401_shaolin_03	EventNpc	少林门派内功奇遇--信鸽--陈宸--7049	npc\itemnpc057e	47	4	25		6		1	1						
Event_qy_120401_shaolin_05	EventNpc	三内投放青云堡删除Buff触发NPC	npc\itemnpc057e	47	4	25		6		1	1						
Event_qy_120401_shaolin_06	EventNpc	少林门派内功奇遇--刑君可--水府洞天--7060	npc\itemnpc057e	47	4	25		6		1	1						
Event_qy_120401_shaolin_07	EventNpc	少林门派内功奇遇--删除护送NPC	npc\itemnpc057e	47	4	50		6		1	1	Adventure\yd\qy_120401_sl_delnpc01.lua		24471			
Event_qy_120401_shaolin_08	EventNpc	少林门派内功奇遇--传送进入水府洞天	npc\itemnpc057e	47	4	25		6		1	1	npc\clone\CJ\Event_condition.lua		24436			
Event_qy_120401_shaolin_10	EventNpc	少林门派内功奇遇--跟踪祖明	npc\itemnpc057e	47	4	25		6		1	1	Adventure\yd\delzuming.lua		24451			
Event_qy_120401_shaolin_11	EventNpc	少林门派内功奇遇--比武分组场景进入	npc\itemnpc057e	47	4	25		6		1	1	Adventure\yd\qy_play_movie_biwu.lua		24462			
Event_qy_120401_shaolin_12	EventNpc	少林门派内功奇遇--比武分组场景穿出	npc\itemnpc057e	47	4	60		6		1	1	npc\clone\CJ\EventNpc_qy_sz_outdoor.lua					
Event_qy_120401_shaolin_13	EventNpc	少林门派内功奇遇--创建了尘长老	npc\itemnpc057e	47	4	25		6		1	1	Adventure\yd\qy_add_liaochen.lua		24463			
Event_qy_120401_shaolin_16	EventNpc	少林门派内功奇遇--创建NPCqy_120401_luoyang_sr01	npc\itemnpc057e	47	4	25		6		1	1	Adventure\yd\add_sr01_delLea.lua		24464			
Event_qy_120401_shaolin_17	EventNpc	少林门派内功奇遇--创建刑君可-青云堡	npc\itemnpc057e	47	4	48		6		1	1	Adventure\yd\qy_120401_sl_addnpc02.lua		24465			
Event_qy_120401_shaolin_18	EventNpc	少林门派内功奇遇--创建祖澄	npc\itemnpc057e	47	4	25		6		1	1	npc\clone\CJ\Event_condition.lua		23988			
Event_qy_120401_shaolin_19	EventNpc	少林门派内功奇遇--播放动画-第二波僧人	npc\itemnpc057e	47	4	25		6		1	1	Adventure\yd\qy_2play_movie_5955.lua		24470			
Event_qy_120401_shaolin_21	EventNpc	少林门派内功奇遇--青云堡触发NPC	npc\itemnpc057e	47	4	48		6		1	1	Adventure\yd\qy_sl_zhixian_end.lua		24474			
Event_qy_120401_shaolin_22	EventNpc	少林门派内功奇遇--穿出分组场景7088	npc\itemnpc057e	47	4	40		6		1	1	npc\clone\CJ\EventNpc_qy_sz_outdoor.lua					
Event_qy_120401_shaolin_23	EventNpc	少林门派内功奇遇--传入7109	npc\itemnpc057e	47	4	40		6		1	1	npc\clone\CJ\Event_condition.lua		14554			
Event_qy_120401_shaolin_24	EventNpc	少林门派内功奇遇--传入分组场景-7049	npc\itemnpc057e	47	4	35		6		1	1	npc\clone\CJ\Event_condition.lua		23855			
Event_qy_120401_shaolin_25	EventNpc	少林门派内功奇遇--传出分组场景-7049	npc\itemnpc057e	47	4	40		6		1	1	npc\clone\CJ\EventNpc_qy_sz_outdoor.lua					
																	
	//武当门派内功奇遇																
Event_qy_wudang_shuazi	EventNpc	三内投放武当强制目标NPC	npc\itemnpc057e	47	4	10		2	18714	1	2						
Event_wd_wfd	EventNpc	武当3内	npc\itemnpc057e	47	4	25		6		1	1	Adventure\sbdm\Event_wd_wfd.lua					
Event_wd_wfd1	EventNpc	武当3内	npc\itemnpc057e	47	4	25		6		1	1	npc\clone\CJ\EventNpc_qy_sz_outdoor.lua					
Event_wd_wfd2	EventNpc	武当3内	npc\itemnpc057e	47	4	25		6		1	1	Adventure\wdschool\Event_wd_wfd.lua					
Event_wd_fd	EventNpc	武当3内	npc\itemnpc057e	47	4	25		6		1	1	npc\clone\CJ\Event_condition.lua		14441			
Event_wd_fd1	EventNpc	武当3内	npc\itemnpc057e	47	4	25		6		1	1	npc\clone\CJ\EventNpc_qy_sz_outdoor.lua					
EventNpc34035	EventNpc	洛阳城	npc\worldnpc140	47	4	4		2	34066	1	2						
EventNpc34036	EventNpc	洛阳桥	npc\worldnpc140	47	4	4		2	34036	1	2						
EventNpc34038	EventNpc	酒楼门外	npc\worldnpc140	47	4	4		2	34038	1	3						
EventNpc34048	EventNpc	逃出洛阳	npc\worldnpc140	47	4	4		2	34048	1	1						
EventNpc34052	EventNpc	前往白云洞	npc\worldnpc140	47	4	4		2	34052	1	2						
EventNpc34054	EventNpc	洞外	npc\worldnpc140	47	4	4		2	34054	1	2						
EventNpc34063	EventNpc	逃跑	npc\worldnpc140	47	4	4		2	34063	1	1						
EventNpc34064	EventNpc	河边	npc\worldnpc140	47	4	4		2	34064	1	2						
EventNpc34064_1	EventNpc	河岸边	npc\worldnpc140	47	4	4	170	4	34064	1	3						
EventNpc87223	EventNpc	前往青云堡	npc\worldnpc140	47	4	4		2	87223	1	3						
EventNpc24050	EventNpc	前往客栈	npc\worldnpc140	47	4	4		2	24050	1	2						
EventNpc24050_1	EventNpc	乱云涧	npc\worldnpc140	47	4	4		2	24053	1	2						
EventNpc24050_2	EventNpc	前往峨眉	npc\worldnpc140	47	4	4		2	24062	1	1						
EventNpc24050_3	EventNpc	峨眉山院	npc\worldnpc140	47	4	4		2	24073	1	1						
EventNpc24050_4	EventNpc	峨眉	npc\worldnpc140	47	4	4		2	24075	1	1						
EventNpc86708	EventNpc	触发地区	npc\worldnpc140	47	4	5		2	86708	1	2						
EventNpc87017-2	EventNpc	极乐谷清扫点	npc\worldnpc140	47	4	8		2	87017	1	1						
EventNpc86718_1	EventNpc	触发地区	npc\worldnpc140	47	4	5		2	86718	1	2						
EventNpc86819_1	EventNpc	锦衣卫门派内	npc\worldnpc140	47	4	5		2	86819	1	1						
