NPC编号	对象类型	名称	模型编号	头像	类型	NPC种类ID	响应范围	选择操作分类	鼠标	农田类型	AI编辑包
FarmlandNpc0300	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0301	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0302	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0303	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0304	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0305	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0306	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0307	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0308	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0309	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0310	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0311	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0312	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0313	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0314	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0315	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0316	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0317	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0318	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0319	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0320	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0321	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0322	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0323	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0324	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0325	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0326	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0327	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0328	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0329	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0330	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0331	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0332	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0333	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0334	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0335	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0336	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0337	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0338	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0339	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0340	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0341	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0342	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0343	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0344	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0345	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0346	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0347	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0348	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0349	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0350	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0351	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0352	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0353	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0354	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0355	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0356	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0357	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0358	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0359	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0360	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0361	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0362	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0363	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0364	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0365	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0366	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0367	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0368	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0369	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0370	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0371	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0372	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0373	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0374	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0375	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0376	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0377	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0378	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0379	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0380	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0381	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0382	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0383	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0384	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0385	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0386	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0387	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0388	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0389	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0390	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0391	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0392	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0393	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0394	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0395	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0396	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0397	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0398	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0399	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0400	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
											
											
											
											
CanNpc0001	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0002	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0003	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0004	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0005	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0006	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0007	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0008	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0009	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0010	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0011	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0012	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0013	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0014	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0015	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0016	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0017	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0018	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0019	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0020	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0021	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0022	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0023	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0024	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0025	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0026	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0027	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0028	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0029	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0030	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0031	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0032	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0033	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0034	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0035	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0036	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0037	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0038	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0039	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0040	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0041	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0042	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0043	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0044	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0045	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0046	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0047	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0048	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0049	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0050	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0051	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0052	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0053	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0054	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0055	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0056	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0057	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0058	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0059	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0060	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0061	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0062	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0063	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0064	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0065	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0066	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0067	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0068	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0069	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0070	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0071	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0072	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0073	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0074	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0075	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0076	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0077	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0078	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0079	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0080	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0081	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0082	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0083	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0084	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0085	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0086	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0087	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0088	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0089	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0090	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0091	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0092	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0093	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0094	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0095	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0096	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0097	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0098	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0099	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0100	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0101	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0102	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0103	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0104	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0105	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0106	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0107	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0108	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0109	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0110	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0111	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0112	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0113	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0114	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0115	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0116	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0117	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0118	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0119	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0120	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0121	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0122	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0123	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0124	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0125	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0126	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0127	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0128	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0129	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0130	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0131	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0132	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0133	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0134	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0135	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0136	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0137	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0138	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0139	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0140	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0141	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0142	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0143	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0144	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0145	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0146	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0147	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0148	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0149	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0150	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0151	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0152	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0153	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0154	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0155	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0156	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0157	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0158	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0159	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0160	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0161	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0162	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0163	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0164	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0165	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0166	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0167	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0168	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0169	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0170	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0171	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0172	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0173	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0174	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0175	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0176	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0177	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0178	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0179	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
CanNpc0180	FarmManageNpc	蚕架	npc\cj_040102		200	4	5	5		2	
