NPC编号	对象类型	名称	模型编号			NPC种类ID	响应范围	选择操作分类	脚本编号	采集范围	采集动作名	读条时间(ms)	一次性开启编号	掉落	无拾取物消失时间（s）	最大消失时间(s)	宝箱开启前特效	宝箱开启后特效	钥匙数量	钥匙id	NPC特效名称	鼠标形状	开启条件	AI编辑包	分配类型	存在时间
thd_seekbox015	SeekBoxNpc	玉石竹节（茶壶）	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		154	thd_seekboxdl069	3	500						28	103531			
thd_seekbox016	SeekBoxNpc	《周易》	npc\itemnpc686	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		155	thd_seekboxdl070	3	500						28	103529			
thd_seekbox017	SeekBoxNpc	龙纹玉箫	npc\itemnpc472	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		156	thd_seekboxdl071	3	500						28	103529			
thd_seekbox018	SeekBoxNpc	金丝花纹锦盒	npc\itemnpc688	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		157	thd_seekboxdl072	3	500						28	103529			
thd_seekbox019	SeekBoxNpc	古旧木箱	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		158	thd_seekboxdl073	3	500						28	103529			
thd_seekbox020	SeekBoxNpc	鎏金葫芦	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		159	thd_seekboxdl074	3	500						28	103529			
thd_seekbox021	SeekBoxNpc	绿瓷方酒坛（酒坛）	npc\itemnpc872	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		160	thd_seekboxdl075	3	500						28	103530			
thd_seekbox022	SeekBoxNpc	桃木剑	npc\itemnpc205	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		161	thd_seekboxdl076	3	500						28	103530			
thd_seekbox023	SeekBoxNpc	特大酒坛（酒缸）	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		162	thd_seekboxdl077	3	500						28	103528			
thd_seekbox024	SeekBoxNpc	紫金罗盘	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		163	thd_seekboxdl078	3	500						28	103529			
thd_seekbox025	SeekBoxNpc	针灸铜人	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		164	thd_seekboxdl079	3	500						28	103528			
thd_seekbox026	SeekBoxNpc	小药瓶	npc\itemnpc666	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		165	thd_seekboxdl080	3	500						28	103528			
thd_seekbox027	SeekBoxNpc	《神农本草经》	npc\itemnpc053	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		166	thd_seekboxdl081	3	500						28	103528			
thd_seekbox028	SeekBoxNpc	《金匮要略》	npc\itemnpc021	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		167	thd_seekboxdl082	3	500						28	103528			
thd_seekbox029	SeekBoxNpc	《八阵图遗篇》	npc\itemnpc588	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		168	thd_seekboxdl083	3	500						28	103530			
thd_seekbox030	SeekBoxNpc	嵩阳铁剑	npc\itemnpc202	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		169	thd_seekboxdl084	3	500						28	103529			
thd_seekbox031	SeekBoxNpc	陨铁短匕（蛇形剑）	npc\itemnpc644	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		170	thd_seekboxdl085	3	500						28	103529			
thd_seekbox032	SeekBoxNpc	鬼头大刀	npc\itemnpc647	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		171	thd_seekboxdl086	3	500						28	103529			
thd_seekbox033	SeekBoxNpc	玉女剑	npc\itemnpc646	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		172	thd_seekboxdl087	3	500						28	103529			
thd_seekbox034	SeekBoxNpc	白玉挂坠（香包）	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		173	thd_seekboxdl088	3	500						28	103529			
thd_seekbox035	SeekBoxNpc	剑谱	npc\itemnpc047	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		174	thd_seekboxdl089	3	500						28	103528			
thd_seekbox036	SeekBoxNpc	《名花图鉴》	npc\itemnpc460	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		175	thd_seekboxdl090	3	500						28	103528			
thd_seekbox037	SeekBoxNpc	《广陵散残篇》	npc\itemnpc026	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		176	thd_seekboxdl091	3	500						28	103529			
thd_seekbox038	SeekBoxNpc	古琴	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		177	thd_seekboxdl092	3	500						28	103528			
thd_seekbox039	SeekBoxNpc	首饰若干	npc\itemnpc177	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		178	thd_seekboxdl093	3	500						28	103529			
thd_seekbox040	SeekBoxNpc	锦盒	npc\itemnpc688	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		179	thd_seekboxdl094	3	500						28	103529			
thd_seekbox041	SeekBoxNpc	黑色金属	npc\cj020100	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		180	thd_seekboxdl095	3	500						28	103530			
thd_seekbox042	SeekBoxNpc	铜色金属	npc\cj020040	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		181	thd_seekboxdl096	3	500						28	103529			
thd_seekbox043	SeekBoxNpc	灰色金属	npc\cj020001	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		182	thd_seekboxdl097	3	500						28	103528			
thd_seekbox044	SeekBoxNpc	精致木盒	npc\itemnpc005	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		183	thd_seekboxdl098	3	500						28	103528			
thd_seekbox045	SeekBoxNpc	锦囊	npc\itemnpc439	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		184	thd_seekboxdl099	3	500						28	103529			
thd_seekbox046	SeekBoxNpc	花纹石板（石块）	npc\cj020140	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		185	thd_seekboxdl100	3	500						28	103529			
thd_seekbox047	SeekBoxNpc	大宝箱	npc\itemnpc588	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		186	thd_seekboxdl101	3	500						28	103529			
thd_seekbox048	SeekBoxNpc	中宝箱	npc\itemnpc587	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		187	thd_seekboxdl102	3	500						28	103528			
thd_seekbox049	SeekBoxNpc	小宝箱	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		188	thd_seekboxdl103	3	500						28	103528			
thd_seekbox050	SeekBoxNpc	陶罐	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		189	thd_seekboxdl104	3	500						28	103528			
thd_seekbox051	SeekBoxNpc	瓷罐（钱币）	npc\itemnpc733	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		190	thd_seekboxdl105	3	500						28	103528			
thd_seekbox052	SeekBoxNpc	瓷花瓶	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		191	thd_seekboxdl106	3	500						28	103528			
thd_seekbox053	SeekBoxNpc	刀剑	npc\cj020040	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		192	thd_seekboxdl107	3	500						28	103528			
thd_seekbox054	SeekBoxNpc	石像	npc\cj020001	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		193	thd_seekboxdl108	3	500						28	103528			
