NPC编号	对象类型	名称	模型编号	头像	类型	响应范围	选择操作分类	脚本编号	交互家具类型	交互动作	交互家具最大使用次数	持续时间(min)	开始buffer	开始buffer_正太萝莉	奖励buffer1	奖励buffer2	NPC种类ID	玩家角度偏移	玩家坐标偏移	回复房屋耐久	家具使用条件	光源Buff	增加华丽度	玩家使用cd buffer	最大同时使用人数	存在时间(毫秒)	风水值	检索范围	最多有效风水家具数量	家具关系	AI编辑包	家具CD	共用绑定点	共用类型	NPC优先显示	NPC交互一	NPC交互二	NPC多重交互	灯的状态	家具绿圈隐藏	出生状态	家具新冷却
home_yi_tree_002	ShareFurnitureNpc	秋千树（双人分开）	npc\npcitem1085_2	icon\funcnpc\cj_040001.png	333	5	2		23			1			buf_jj_chair_005	buf_jj_chair_005_1					27148		200	buf_jj_not_chair	1		6	4	4	6		6	"1,Point01,interact594_2,buf_jj_ty_chair,,interact594_4;2,Point02,interact594_1,buf_jj_ty_chair,,interact594_3;"	2						1	action	627
home_yi_qqb_001	ShareFurnitureNpc	跷跷板	npc\npcitem1086	icon\funcnpc\cj_040001.png	333	5	2		23			1			buf_jj_chair_005	buf_jj_chair_005_1					27148		200	buf_jj_not_chair	1		6	4	4	6		6	"1,Point01,interact598_1,buf_jj_ty_chair,,interact598_5;2,Point02,interact598_2,buf_jj_ty_chair,,interact598_6;3,Point03,interact598_3,buf_jj_ty_chair,,interact598_7;4,Point04,interact598_4,buf_jj_ty_chair,,interact598_8;"	2						1	action	627
																																										
//圣诞家具																																										
home_sd_new_004	InterFurnNpc	月牙灯	npc\npcitem1074	icon\funcnpc\cj_040001.png	333	10	2		3			1									27148	buf_jj_light_sd_2	200		1		6	4	7	7										1		
home_sd_new_005	ShareFurnitureNpc	弈桌	npc\npcitem1075	icon\funcnpc\cj_040001.png	333	5	2		9			1			buf_jj_chair_006	buf_jj_chair_006_1					27148		200	buf_jj_not_chair	1		6	4	4	6		6	"1,Point01,sitdownchairloop,buf_jj_ty_chair,,sitdownchairloop;2,Point02,sitdownchairloop,buf_jj_ty_chair,,sitdownchairloop;3,Point03,sitdownchairloop,buf_jj_ty_chair,,sitdownchairloop;4,Point04,sitdownchairloop,buf_jj_ty_chair,,sitdownchairloop;"	2						1		627
home_sd_new_003	InterFurnNpc	灯凳	npc\npcitem1073	icon\funcnpc\cj_040001.png	333	10	2		25	sitdownchairloop		1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_jj_chair_006	buf_jj_chair_006_1			0		27148	buf_jj_light_sd_3	200	buf_jj_not_chair	1		1	2	6	13		6				3	5	1		1		627
																																										
//搓衣板																																										
home_jy_cyb_001	ShareFurnitureNpc	搓衣板	npc\npcitem1088_1	icon\funcnpc\cj_040001.png	333	5	2		26			1			buf_jj_cyb_001	buf_jj_cyb_001_1					27148		5	buf_jj_not_cyb	1		1	2	4	4		6	"1,Point01,interact596,buf_jj_ty_chair,,interact596;"	1						1		628
home_jy_cyb_002	ShareFurnitureNpc	搓衣板	npc\npcitem1088_2	icon\funcnpc\cj_040001.png	333	5	2		26			1			buf_jj_cyb_002	buf_jj_cyb_002_1					27148		20	buf_jj_not_cyb	1		2	2	4	4		6	"1,Point01,interact596,buf_jj_ty_chair,,interact596;"	1						1		628
home_jy_cyb_003	ShareFurnitureNpc	搓衣板	npc\npcitem1089_1	icon\funcnpc\cj_040001.png	333	5	2		26			1			buf_jj_cyb_003	buf_jj_cyb_003_1					27148		40	buf_jj_not_cyb	1		3	2	4	4		6	"1,Point01,interact596,buf_jj_ty_chair,,interact596;"	1						1		628
home_jy_cyb_004	ShareFurnitureNpc	搓衣板	npc\npcitem1089_2	icon\funcnpc\cj_040001.png	333	5	2		26			1			buf_jj_cyb_004	buf_jj_cyb_004_1					27148		100	buf_jj_not_cyb	1		4	2	4	4		6	"1,Point01,interact596,buf_jj_ty_chair,,interact596;"	1						1		628
home_jy_cyb_005	ShareFurnitureNpc	搓衣板	npc\npcitem1090_1	icon\funcnpc\cj_040001.png	333	5	2		26			1			buf_jj_cyb_005	buf_jj_cyb_005_1					27148		120	buf_jj_not_cyb	1		5	2	4	4		6	"1,Point01,interact596,buf_jj_ty_chair,,interact596;"	1						1		628
home_jy_cyb_006	ShareFurnitureNpc	搓衣板	npc\npcitem1090_2	icon\funcnpc\cj_040001.png	333	5	2		26			1			buf_jj_cyb_006	buf_jj_cyb_006_1					27148		200	buf_jj_not_cyb	1		6	2	4	4		6	"1,Point01,interact596,buf_jj_ty_chair,,interact596;"	1						1		628
																																										
//植物灯																																										
home_light_zhiwu_001	InterFurnNpc	莹草灯	npc\npcitem1087_1	icon\funcnpc\cj_040001.png	333	5	2		3			1									27148	buf_jj_light_zhiwu_1	200		1		6	4	7	7										1		
home_light_zhiwu_002	InterFurnNpc	蘑菇灯	npc\npcitem1087_2	icon\funcnpc\cj_040001.png	333	5	2		3			1									27148	buf_jj_light_zhiwu_2	120		1		5	4	7	7										1		
home_light_zhiwu_003	InterFurnNpc	金鱼草灯	npc\npcitem1087_3	icon\funcnpc\cj_040001.png	333	5	2		3			1									27148		120		1		6	4	7	7										1		
																																										
//武道为宗版本 																																										
home_jy_wdwz_001	ShareFurnitureNpc	武学人偶（天）	npc\fbnpc00184	icon\funcnpc\cj_040001.png	333	5	2		27			1			buff_dy_wxro_tian	buff_dy_wxro_tian					27148		200	buff_dy_wxro_tian1	1		6	4	7	5		6	"1,Point01,CS_dm_qys07_gongji,buf_jj_ty_chair,,interact606;"	1						1		629
home_jy_wdwz_002	ShareFurnitureNpc	武学人偶（地）	npc\fbnpc00182	icon\funcnpc\cj_040001.png	333	5	2		27			1			buff_dy_wxro_di	buff_dy_wxro_di					27148		120	buff_dy_wxro_di1	1		5	4	7	5		23	"1,Point01,CS_dm_qys07_gongji,buf_jj_ty_chair,,interact606;"	1						1		630
home_jy_wdwz_003	ShareFurnitureNpc	武学人偶（玄）	npc\fbnpc00185	icon\funcnpc\cj_040001.png	333	5	2		27			1			buff_dy_wxro_xuan	buff_dy_wxro_xuan					27148		100	buff_dy_wxro_xuan1	1		4	4	7	5		23	"1,Point01,CS_dm_qys07_gongji,buf_jj_ty_chair,,interact606;"	1						1		631
home_jy_wdwz_004	ShareFurnitureNpc	武学人偶（黄）	npc\fbnpc00183	icon\funcnpc\cj_040001.png	333	5	2		27			1			buff_dy_wxro_huang	buff_dy_wxro_huang					27148		40	buff_dy_wxro_huang1	1		3	4	7	5		23	"1,Point01,CS_dm_qys07_gongji,buf_jj_ty_chair,,interact606;"	1						1		632
																																										
//17圣诞家具																																										
home_sd_17new_001	InterFurnNpc	提灯组	npc\npcitem1138		333	5	2		3			1									27148	buf_jj_light_sd_6	200		1		6	4	7	7										1		
home_sd_17new_002	ShareFurnitureNpc	抱熊(椅）	npc\npcitem1139		333	5	2		23			1			buf_jj_pt_006_bf	buf_jj_pt_006_1_bf					27148		200		1		6	4	4	6		6	"1,Point01,interact141,buf_jj_ty_chair,,interact141;"							1		627
home_sd_17new_003	ShareFurnitureNpc	双人摇椅	npc\npcitem1142		333	5	2		23			1			buf_jj_chair_006	buf_jj_chair_006_1					27148		200		1		6	4	4	6		6	"1,Point01,interact617,buf_jj_ty_chair,,interact617;2,Point02,interact617,buf_jj_ty_chair,,interact617"							1		627
																																										
home_zq_18new_001	InterFurnNpc	月圆花灯架	npc\npcitem1148		333	10	2		3			1									27148	buf_jj_light_zq_1	200		1		6	4	7	7										1		
																																										
//18年十月家具																																										
home_10_new_003	InterFurnNpc	照明灯	npc\npcitem1152		333	5	2		3			1									27148	buf_jj_light_18sd_1	200		1		6	4	4	7										1		
home_10_new_004	InterFurnNpc	椅子	npc\npcitem1156		333	5	2		5	sitdownchairloop		1	buf_jj_ty_chair	buf_jj_ty_chair_new	buf_jj_chair_006	buf_jj_chair_006_1		0.15	0.15		27148		200	buf_jj_not_chair	1		6	4	7	13		6		1						1		627
home_10_new_005	ShareFurnitureNpc	床	npc\npcitem1154		333	5	2		7			1			buf_jj_yt_006_bf	buf_jj_yt_006_1_bf					27148		200	buf_jj_not_bed	1		6	4	4	6		6	"1,Point01,interact546,buf_jj_using_bed,,interact546"	1						1		626
