NPC±àºÅ	¶ÔÏóÀàÐÍ	Ãû³Æ	Ä£ÐÍ±àºÅ			NPCÖÖÀàID	ÏìÓ¦·¶Î§	Ñ¡Ôñ²Ù×÷·ÖÀà	½Å±¾±àºÅ	²É¼¯·¶Î§	²É¼¯¶¯×÷Ãû	¶ÁÌõÊ±¼ä(ms)	µôÂä	ÎÞÊ°È¡ÎïÏûÊ§Ê±¼ä£¨s£©	×î´óÏûÊ§Ê±¼ä(s)	±¦Ïä¿ªÆôÇ°ÌØÐ§	±¦Ïä¿ªÆôºóÌØÐ§	Ô¿³×ÊýÁ¿	Ô¿³×id	NPCÌØÐ§Ãû³Æ	Êó±êÐÎ×´	¿ªÆôÌõ¼þ	Ëõ·Å	·ÖÅäÀàÐÍ	´æÔÚÊ±¼ä	´óÌÓÉ±×¨ÓÃ	ÍÅ¶ÓÏÔÊ¾µÀ¾ß																
BoxNpc22019	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22020	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22021	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22022	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22023	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22024	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22025	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22026	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22027	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22028	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22029	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22030	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22031	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22032	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22033	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22034	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22035	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22036	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22037	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22038	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22039	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22040	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22041	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22042	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22043	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22044	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22045	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22046	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22047	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22048	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22049	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22050	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22051	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22052	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22053	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22054	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22055	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22056	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22057	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22058	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22059	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22060	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22061	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22062	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22063	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22064	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22065	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22066	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox001		120000						9																						
BoxNpc22300	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22301	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22302	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22303	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22304	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22305	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22306	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22307	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22308	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22309	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22310	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22311	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22312	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22313	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22314	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22315	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22316	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22317	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22318	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22319	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22320	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22321	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22322	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22323	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22324	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22325	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22326	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22327	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22328	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22329	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22330	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22331	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22332	BoxNpc	»õÏä	npc\itemnpc005a	icon\funcnpc\itemnpc005.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox002		120000						9																						
BoxNpc22100	BoxNpc	»õÏä	npc\itemboxnpc003_yunbiao	icon\funcnpc\itemboxnpc003.png	161		3	9	npc\escortbox.lua	2	interact041	3000	YunBiaoBox003		120000						9																						
BoxNpc22101	BoxNpc	»õÏä	npc\itemboxnpc003_yunbiao	icon\funcnpc\itemboxnpc003.png	161		3	9	npc\escortbox.lua	2	interact041	3000	ShengZhuBox001		120000						9																						
		//Ç§µÆÂé´üÈÎÎñ																																									
BoxNpc23001	BoxNpc	Âé´ü	npc\itemnpc165a	icon\funcnpc\task.png	161		3	9		2	interact017	3000	dmonrv04073		3000																												
																																											
		//ËÕÖÝÆæÓö																																									
BoxNpc_qy_suzhou_31001	BoxNpc	Äñ³²	npc\itemnpc227	icon\funcnpc\itemnpc227.png	161		3	9		1	interact017	3000	qy_key_suzhou_31001								9																						
BoxNpc_qy_suzhou_31002	BoxNpc	¾«ÖÂÐ¡ºÐ	npc\itemnpc201	icon\funcnpc\itemnpc201.png	161		3	9		1	interact017	3000	qy_key_suzhou_31002								9																						
BoxNpc_qy_suzhou_31003	BoxNpc	ÉñÃØ½õºÐ	npc\itemnpc201	icon\funcnpc\itemnpc201.png	161		3	9		1	interact041	3000	qy_key_suzhou_31003								9																						
BoxNpc_qy_suzhou_31004	BoxNpc	Äñ³²	npc\itemnpc227	icon\funcnpc\itemnpc227.png	161		3	9		1	interact017	3000	qy_key_suzhou_31004								9																						
BoxNpc_qy_suzhou_31005	BoxNpc	Äñ³²	npc\itemnpc227	icon\funcnpc\itemnpc227.png	161		3	9		1	interact017	3000	qy_key_suzhou_31005								9																						
BoxNpc_qy_suzhou_31006	BoxNpc	±¦Ïä	npc\itemnpc587	icon\funcnpc\itemnpc005.png	161		3	9		1	interact041	3000	tf_jn_aqsf_sen					1	key_qy_suzhou_WorldNpc01662		9																						
BoxNpc_qy_suzhou_31007	BoxNpc	±¦Ïä	npc\itemnpc587	icon\funcnpc\itemnpc005.png	161		3	9		1	interact041	3000	tf_jn_sh_ks					1	key_qy_suzhou_WorldNpc01315		9																						
BoxNpc_qy_suzhou_31008	BoxNpc	Ð¡ºÐ×Ó	npc\itemnpc201	icon\funcnpc\itemnpc201.png	161		3	9		1	interact017	3000	tf_jn_zs_pgd		3000						9																						
BoxNpc_qy_suzhou_31009	BoxNpc	±¦Ïä	npc\itemnpc587	icon\funcnpc\itemnpc005.png	161		3	9		1	interact041	3000	tf_jn_zf_jh					1	key_qy_suzhou_tiejiangtudi_5		9																						
																																											
																																											
																																											
		//¾ý×ÓÌÃÆæÓö																																									
BoxNpc_qy_junzitang0014	BoxNpc	Ä¾ÖÊ±¦Ïä	npc\itemnpc586	icon\funcnpc\itemnpc005.png	161		3	9		2	interact017	3000			3000						9																						
																																											
																																											
																																											
		//¶ëÃ¼ÆæÓö																																									
																																											
																																											
																																											
																																											
		//³É¶¼ÆæÓö																																									
																																											
																																											
																																											
		//Îäµ±ÈÎÎñ																																									
BoxNpc_mp_jl_48006	BoxNpc	ÂüÖéÉ³»ª	npc\itemnpc453	icon\funcnpc\itemnpc453.png	161		3	9		3	interact017	2000	task_renwu_00008		3000						28																						
	BoxNpc	ÀñºÐ	npc\itemnpc428	icon\funcnpc\itemnpc428.png	161		3	9		2	interact041	8000		3	900						28																						
	BoxNpc	ÀñºÐ	npc\itemnpc201	icon\funcnpc\itemnpc201.png	161		3	9		2	interact041	8000		3	900						28																						
																																											
																																											
																																											
		//³É¶¼Ö÷ÏßÈÎÎñ																																									
																																											
BoxNpc_zx_cd_34024	BoxNpc	ÂíÇ®×Ó	npc\itemnpc166	icon\funcnpc\task.png	161		20	2		3	interact017	1000	task_renwu_00001		10						28																						
BoxNpc_zx_cd_34025	BoxNpc	Ñó½ð»¨	npc\itemnpc228	icon\funcnpc\task.png	161		20	2		3	interact017	1000	task_renwu_00002		10						28																						
BoxNpc_zx_cd_34026	BoxNpc	»ÆÜÎ	npc\itemnpc054	icon\funcnpc\task.png	161		20	2		3	interact017	1000	task_renwu_00003		10						28																						
																																											
BoxNpc_mp_jy_42018	BoxNpc	Ä¾²ñ	npc\itemnpc038	icon\funcnpc\task.png	161		30	2		3	interact017	1000	task_renwu_00005		10						28																						
BoxNpc_mp_jy_42019	BoxNpc	»ðÊ¯	npc\itemnpc649	icon\funcnpc\task.png	161		30	2		3	interact017	1000	task_renwu_00006		10						28																						
BoxNpc_mp_jy_42020	BoxNpc	ÂéÓÍ	npc\fbmac003022	icon\prop\prop260.png	161		30	2		3	interact017	1000	task_renwu_00007		10						28																						
BoxNpc_mp_jy_42021	BoxNpc	»ð°Ñ	npc\npcitem167	icon\funcnpc\task.png	161		30	2		3	interact017	1000	task_renwu_00010		10						28																						
BoxNpc_zx_ts_01	BoxNpc	ÎäÆ÷¼Ü	npc\fbmac00040	icon\funcnpc\task.png	161		20	2		3	interact017	1000	NormalBox04001	10	300						28																						
BoxNpc_zx_ts_02	BoxNpc	Êé¶Ñ	npc\itemnpc686	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	task_renwu_00020	10	300						28																						
BoxNpc_zx_ts_03	BoxNpc	µÍ¼¶±¦Ïä1	npc\itemnpc691	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	task_renwu_00027	10	15			1	key_tsxjl_02		5																						
BoxNpc_zx_ts_04	BoxNpc	ÖÐ¼¶±¦Ïä1	npc\itemnpc695	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	task_renwu_00028	10	15			1	key_tsxjl_02		5																						
BoxNpc_zx_ts_05	BoxNpc	¸ß¼¶±¦Ïä	npc\itemnpc692	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	task_renwu_00029	10	15			1	key_tsxjl_02		5																						
BoxNpc_zx_ts_06	BoxNpc	µ¤Ò©¹Þ	npc\itemnpc687	icon\funcnpc\itemnpc001.png	161		3	9		2	interact041	3000	task_renwu_00022	10	300						28																						
BoxNpc_zx_ts_07	BoxNpc	ÆÑÍÅ	npc\itemnpc063	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	task_renwu_00011	10	300						28																						
BoxNpc_zx_ts_08	BoxNpc	¾ÆÌ³×Ó	npc\itemnpc001	icon\funcnpc\task.png	161		3	9		3	interact041	2000	task_renwu_00025	10	300						28																						
BoxNpc_zx_ts_09	BoxNpc	Ì¨µÆ	npc\fbmac009007	icon\funcnpc\itemnpc005.png	161		3	9		3	interact041	2000	task_renwu_00024	10	300						28																						
BoxNpc_zx_ts_10	BoxNpc	¹ñ×Ó	npc\itemnpc694	icon\funcnpc\itemnpc005.png	161		3	9		3	interact041	2000	task_renwu_00023	10	300						28																						
BoxNpc_zx_ts_11	BoxNpc	ºÐ×Ó	npc\itemnpc688	icon\funcnpc\itemnpc005.png	161		3	9		3	interact041	2000	task_renwu_00021	10	300						28																						
BoxNpc_zx_ts_12	BoxNpc	µÍ¼¶±¦Ïä2	npc\itemnpc690	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	task_renwu_00030	10	15			1	key_tsxjl_02		5																						
BoxNpc_zx_ts_13	BoxNpc	ÖÐ¼¶±¦Ïä2	npc\itemnpc693	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	task_renwu_00031	10	15			1	key_tsxjl_02		5																						
BoxNpc_zx_ts_14	BoxNpc	»ð¶Ñ	npc\itemnpc179	icon\funcnpc\itemnpc179.png	161		3	9		2	interact041	3000	task_renwu_00015	10	15						28																						
																																											
		//½ðÁê¹¥³Ç																																									
GatherWeatherWar01	BoxNpc	Ìß¹Ý1¼¶Ïä	npc\itemnpc891	icon\funcnpc\itemnpc891.png	161		3	9		2	interact017	8000	drop_citywar_01	1	3600						28																						
																																											
		//Ìß¹ÝÏä×Ó																																									
BoxTG01	BoxNpc	Ìß¹Ý1¼¶Ïä	npc\itemnpc586	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comd_drop_tgbox_box_001	6000	6000						28																						
BoxTG02	BoxNpc	Ìß¹Ý2¼¶Ïä	npc\itemnpc586	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comd_drop_tgbox_box_001	6000	6000						28																						
BoxTG03	BoxNpc	Ìß¹Ý3¼¶Ïä	npc\itemnpc587	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comd_drop_tgbox_box_002	6000	6000						28																						
BoxTG04	BoxNpc	Ìß¹Ý4¼¶Ïä	npc\itemnpc587	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comd_drop_tgbox_box_002	6000	6000						28																						
BoxTG05	BoxNpc	Ìß¹Ý5¼¶Ïä	npc\itemnpc588	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comd_drop_tgbox_box_003	6000	6000						28																						
BoxTG06	BoxNpc	Ìß¹Ý6¼¶Ïä	npc\itemnpc588	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comd_drop_tgbox_box_003	6000	6000						28																						
BoxTG07	BoxNpc	Ìß¹Ý7¼¶Ïä	npc\itemnpc589	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comd_drop_tgbox_box_004	6000	6000						28																						
BoxTG08	BoxNpc	Ìß¹Ý8¼¶Ïä	npc\itemnpc589	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comd_drop_tgbox_box_004	6000	6000						28																						
BoxTG09	BoxNpc	Ìß¹Ý9¼¶Ïä	npc\itemnpc590	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comd_drop_tgbox_box_005	6000	6000						28																						
BoxTG10	BoxNpc	Ìß¹Ý10¼¶Ïä	npc\itemnpc590	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comd_drop_tgbox_box_005	6000	6000						28																						
BoxTG11	BoxNpc	Ìß¹Ý11¼¶Ïä	npc\itemnpc591	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comd_drop_tgbox_box_006	6000	6000						28																						
BoxTG12	BoxNpc	Ìß¹Ý12¼¶Ïä	npc\itemnpc591	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comd_drop_tgbox_box_006	6000	6000						28																						
BoxTG13	BoxNpc	Ìß¹Ý13¼¶Ïä	npc\itemboxnpc002	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comd_drop_tgbox_box_006	6000	6000						28																						
BoxTG14	BoxNpc	Ìß¹Ý14¼¶Ïä	npc\itemboxnpc003	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comd_drop_tgbox_box_006	6000	6000						28																						
																																											
		//ä½»¨½£ÅÉ																																									
BoxTG0101	BoxNpc	½­×ðÌÃ	npc\itemnpc590	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comb_tg_boss1_1	6000	6000						28			1																			
BoxTG0102	BoxNpc	½­æ³æÃ	npc\itemnpc590	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comb_tg_boss2_1	6000	6000						28			1																			
BoxTG0103	BoxNpc	¹ÅÐ¥Ìì	npc\itemnpc590	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comb_tg_boss2_1	6000	6000						28			1																			
BoxTG0104	BoxNpc	ÁºÓ°·å	npc\itemnpc590	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comb_tg_boss2_1	6000	6000						28			1																			
BoxTG0105	BoxNpc	¾ý»´Ã÷	npc\itemnpc590	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comb_tg_boss2_1	6000	6000						28			1																			
BoxTG0106	BoxNpc	Î÷ÃÅ·ÉÑà	npc\itemnpc590	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	1000	comb_tg_boss2_1	6000	6000						28			1																			
