NPC±àºÅ	¶ÔÏóÀàÐÍ	Ãû³Æ	Ä£ÐÍ±àºÅ	NPCÀàÐÍ	ÏìÓ¦·¶Î§	Ñ¡Ôñ²Ù×÷·ÖÀà	ÐÔ±ð(0:ÄÐ 1:Å®)	½Å±¾±àºÅ	NPCËù¹Ò°óµãÊôÐÔ		Ö°ÒµID	AI±à¼­°ü	µÀ¾ßid	Ôö¼Ó»ªÀö¶È	·çË®Öµ	¼ìË÷·¶Î§	×î¶àÓÐÐ§·çË®¼Ò¾ßÊýÁ¿	¼Ò¾ßÀàÐÍ	¼Ò¾ßµµ´Î	¼Ò¾ßÂÌÈ¦Òþ²Ø
home_zhuo_sd_001	SaveFurnNpc	ÓÎÁúÏ·ÖéÔ²×À	npc\npcitem916	333	5	2			"2,Home_Point_1,,;1,Home_Point_2,,;1,Home_Point_3,,;1,Home_Point_4,,;1,Home_Point_5,,;"					200	6	4	5	12		1
home_pingfeng_sd_001	FurnitureNpc	ÆÁ·ç	npc\npcitem914	333	5	2								200	6	4	6	17		1
home_zhuang_sd_001	FurnitureNpc	Êá×±Ì¨	npc\npcitem918	333	5	2								200	6	3	5	15		1
home_xiangzi_sd_001	FurnitureNpc	±¦Ïä	npc\npcitem917	333	5	2								70	4	2	7	10		1
																				
//15ÄêÊ¥µ®																				
home_wuqi_007	WeaponRackNpc	éªÄ¾µÛ×ðÎäÆ÷¼Ü	npc\home_wuqi_07	333	5	2								200	6	4	3	1		1
home_yichu_sd_001	ClothespressNpc	½ðË¿ÁÕÀÅÒÂ³÷	npc\home_yichu_02	333	5	2								200	2	3	4	11	18	1
																				
//Í¥Ôº¼Ò¾ß																				
//µñÏñ																				
home_diaoxiang_001	FurnitureNpc	Ê¯Ê¨×ó	npc\npcitem1045	333	5	2								20	1	5	6	19		1
home_diaoxiang_002	FurnitureNpc	Ê¯Ê¨ÓÒ	npc\npcitem1045a	333	5	2								20	1	5	6	19		1
home_diaoxiang_003	FurnitureNpc	õùõ÷	npc\npcitem1046	333	5	2								40	1	5	6	19		1
																				
//ÅèÔÔ																				
home_penzai_new_001	FurnitureNpc	ÅèÔÔ-1	npc\npcitem1047	333	5	2								20	1	2	6	16		1
home_penzai_new_002	FurnitureNpc	ÅèÔÔ-1	npc\npcitem1048	333	5	2								30	1	2	6	16		1
home_penzai_new_003	FurnitureNpc	ÅèÔÔ-2	npc\npcitem1049	333	5	2								30	1	2	6	16		1
home_penzai_new_004	FurnitureNpc	ÅèÔÔ-2	npc\npcitem1050	333	5	2								40	1	2	6	16		1
																				
//Ê÷Ä¾																				
home_tree_001	FurnitureNpc	Ó£Ê÷	npc\npcitem1055	333	5	2								80	1	5	6	16		1
home_tree_002	FurnitureNpc	ºìÒ¶	npc\npcitem1056	333	5	2								80	1	5	6	16		1
home_tree_003	FurnitureNpc	ÁøÊ÷	npc\npcitem1057	333	5	2								80	1	5	6	16		1
home_tree_004	FurnitureNpc	ÌÒÊ÷	npc\npcitem1058	333	5	2								80	1	5	6	16		1
																				
//ÌíË®																				
home_tianshui_001	FurnitureNpc	ÌíË®-1	npc\npcitem1060	333	5	2								50	1	5	6	16		1
home_tianshui_002	FurnitureNpc	ÌíË®-2	npc\npcitem1061	333	5	2								100	1	5	6	16		1
home_tianshui_003	FurnitureNpc	ÌíË®-3	npc\npcitem1062	333	5	2								150	1	5	6	16		1
																				
//ÌÙ¼Ü																				
home_tengjia_001	FurnitureNpc	ÌÙ¼Ü-1	npc\npcitem1063	333	5	2								50	1	5	6	20		1
home_tengjia_002	FurnitureNpc	ÌÙ¼Ü-2	npc\npcitem1064	333	5	2								100	1	5	6	20		1
																				
//Ë®¾®																				
home_jing_001	FurnitureNpc	Ë®¾®-1	npc\npcitem1065	333	5	2								50	1	5	6	21		1
home_jing_002	FurnitureNpc	Ë®¾®-2	npc\npcitem1066	333	5	2								100	1	5	6	21		1
home_jing_003	FurnitureNpc	Ë®¾®-3	npc\npcitem1067	333	5	2								150	1	5	6	21		1
																				
//2016Ê¥µ®																				
home_sd_new_006	FurnitureNpc	×í»¨Òñ	npc\npcitem1072	333	5	2								200	6	6	6	20		1
home_sd_new_001	FurnitureNpc	±ù¾§»ð·ï	npc\npcitem1071	333	5	2								200	6	6	6	19		1
home_sd_new_002	FurnitureNpc	ÕÐ²ÆÑ©ß÷	npc\npcitem1068	333	5	2								200	6	10	6	19		1
home_sd_new_007	FurnitureNpc	ÒöÔµÄ¾	npc\npcitem1076	333	5	2								200	6	10	6	16		1
																				
home_qrj_dh_001	FurnitureNpc	Ãµ¹å»¨¹°ÃÅ	npc\npcitem1083	333	5	2								100	1	10	6	16		1
home_qrj_dh_002	FurnitureNpc	Ãµ¹å»¨»¨´Ô	npc\npcitem1084	333	5	2								100	1	10	6	16		1
																				
home_sbj_dh_001	FurnitureNpc	Äµµ¤»¨Æ¿	npc\npcitem1118	333	5	2								100	1	10	6	19		1
home_sbj_dh_002	FurnitureNpc	Äµµ¤ÆÁ·ç	npc\npcitem1119	333	5	2								100	1	10	6	17		1
																				
//ÐÂ°æ°ÚÉè																				
home_jy_jt_001	FurnitureNpc	Å®¶ùºì	npc\npcitem1094	333	5	2								30	3	10	6	19		1
home_jy_jt_002	FurnitureNpc	Äð¾ÆÌ³	npc\npcitem1095	333	5	2								20	2	10	6	19		1
home_jy_wg_001	FurnitureNpc	Íß¹Þ	npc\npcitem1096	333	5	2								20	2	10	6	19		1
home_jy_wg_002	FurnitureNpc	Íß¹Þ¶Ñ	npc\npcitem1097	333	5	2								30	3	10	6	19		1
home_jy_sb_001	FurnitureNpc	Ë«²ãÉ¹±â	npc\npcitem1098	333	5	2								20	2	10	6	19		1
home_jy_sb_002	FurnitureNpc	Èý²ãÉ¹±â	npc\npcitem1099	333	5	2								30	3	10	6	19		1
home_jy_sj_001	FurnitureNpc	´ÖÉþÉ¹¼Ü	npc\npcitem1100	333	5	2								20	2	10	6	19		1
home_jy_zt_001	FurnitureNpc	ÔîÌ¨	npc\npcitem1101	333	5	2								100	4	10	6	19		1
home_jy_jj_001	FurnitureNpc	¾Æ¼Ü	npc\npcitem1102	333	5	2								30	3	10	6	19		1
home_jy_tdm_001	FurnitureNpc	ÍÁµØÃí	npc\npcitem1103	333	5	2								100	4	10	6	19		1
home_jy_qs_001	FurnitureNpc	ÆæÊ¯	npc\npcitem1104	333	5	2								30	3	10	6	19		1
home_jy_qs_002	FurnitureNpc	ÆæÊ¯	npc\npcitem1105	333	5	2								20	2	10	6	19		1
home_jy_qs_003	FurnitureNpc	ÆæÊ¯	npc\npcitem1106	333	5	2								20	2	10	6	19		1
home_jy_qs_004	FurnitureNpc	ÆæÊ¯	npc\npcitem1107	333	5	2								20	2	10	6	19		1
home_jy_sg_001	FurnitureNpc	Ë®¸×	npc\npcitem1091_1	333	5	2								5	1	10	6	19		1
home_jy_sg_002	FurnitureNpc	Ë®¸×	npc\npcitem1091_2	333	5	2								30	3	10	6	19		1
home_jy_ymwqj_001	FurnitureNpc	ÑÃÃÅÎäÆ÷¼Ü	npc\npcitem1092_2	333	5	2								20	2	10	6	19		1
home_jy_ymwqj_002	FurnitureNpc	ÑÃÃÅÎäÆ÷¼Ü	npc\npcitem1092_1	333	5	2								30	3	10	6	16		1
home_jy_tree_001	FurnitureNpc	Ê÷	npc\npcitem1108	333	5	2								30	3	10	6	16		1
home_jy_tree_002	FurnitureNpc	Ê÷	npc\npcitem1109	333	5	2								30	3	10	6	16		1
home_jy_tree_003	FurnitureNpc	Ê÷	npc\npcitem1110	333	5	2								30	3	10	6	16		1
home_jy_tree_004	FurnitureNpc	Ê÷	npc\npcitem1111	333	5	2								30	3	10	6	16		1
home_jy_penzai_001	FurnitureNpc	ÅèÔÔ	npc\npcitem1112	333	5	2								5	1	10	6	16		1
home_jy_tree_005	FurnitureNpc	Ê÷	npc\npcitem1113	333	5	2								5	1	10	6	16		1
home_jy_penzai_002	FurnitureNpc	ÅèÔÔ	npc\npcitem1114	333	5	2								100	4	10	6	16		1
home_jy_penzai_003	FurnitureNpc	ÅèÔÔ	npc\npcitem1115	333	5	2								5	1	10	6	16		1
home_jy_penzai_004	FurnitureNpc	ÅèÔÔ	npc\npcitem1116	333	5	2								5	1	10	6	16		1
home_jy_tree_006	FurnitureNpc	Ê÷	npc\npcitem1117	333	5	2								5	1	10	6	16		1
																				
//17Ê¥µ®¼Ò¾ß																				
home_sd_17new_004	FurnitureNpc	ÎèÊ¨µñÏñ	npc\npcitem1140	333	5	2								200	6	10	6	19		1
home_sd_17new_006	FurnitureNpc	¶¬ÈÕÆÁ·ç	npc\npcitem1143	333	5	2								200	6	10	4	17		1
home_sd_17new_007	FurnitureNpc	¶¬ÈÕÊá×±Ì¨	npc\npcitem1145	333	5	2								200	6	10	4	15		1
home_sd_17new_008	FurnitureNpc	¶¬ÈÕÂäµØ»¨Æ¿	npc\npcitem1144	333	5	2								200	6	10	4	19		1
																				
//18ÄêÊ®ÔÂ¼Ò¾ß																				
home_10_new_001	FurnitureNpc	Ó©»ðµãµã	npc\npcitem1155	333	5	2						5511		200	6	10	6	19		1
home_10_new_002	FurnitureNpc	ÆÁ·ç	npc\npcitem1153	333	5	2								200	6	10	6	17		1
