NPC编号	对象类型	名称	模型编号	头像	类型	NPC种类ID	响应范围	选择操作分类	脚本编号	模型列表	采集动作名	刷新间隔时间(hour)	单次采集次数	最大单次采集次数	最大采集次数	掉落ID	偷窃掉落ID	成熟效果	风水值	检索范围	家具关系
home_caiji_qf012	HomeGatherNpc	采集家具	npc\itemnpc1117		333	4	5	2		npc\itemnpc1117;npc\itemnpc1161	life_ys_01	1		6	30	home_caiji_qiaofu002	home_caiji_qf002				
home_caiji_qf013	HomeGatherNpc	采集家具	npc\itemnpc1112		333	4	5	2		npc\itemnpc1112;npc\itemnpc1156	life_ys_01	1		1	5	home_caiji_qiaofu003	home_caiji_qf003				
home_caiji_qf014	HomeGatherNpc	采集家具	npc\itemnpc1113		333	4	5	2		npc\itemnpc1113;npc\itemnpc1157	life_ys_01	1		2	10	home_caiji_qiaofu003	home_caiji_qf003				
home_caiji_qf015	HomeGatherNpc	采集家具	npc\itemnpc1114		333	4	5	2		npc\itemnpc1114;npc\itemnpc1158	life_ys_01	1		3	15	home_caiji_qiaofu003	home_caiji_qf003				
home_caiji_qf016	HomeGatherNpc	采集家具	npc\itemnpc1115		333	4	5	2		npc\itemnpc1115;npc\itemnpc1159	life_ys_01	1		4	20	home_caiji_qiaofu003	home_caiji_qf003				
home_caiji_qf017	HomeGatherNpc	采集家具	npc\itemnpc1116		333	4	5	2		npc\itemnpc1116;npc\itemnpc1160	life_ys_01	1		5	25	home_caiji_qiaofu003	home_caiji_qf003				
home_caiji_qf018	HomeGatherNpc	采集家具	npc\itemnpc1117		333	4	5	2		npc\itemnpc1117;npc\itemnpc1161	life_ys_01	1		6	30	home_caiji_qiaofu003	home_caiji_qf003				
home_caiji_qf019	HomeGatherNpc	采集家具	npc\itemnpc1112		333	4	5	2		npc\itemnpc1112;npc\itemnpc1156	life_ys_01	1		1	5	home_caiji_qiaofu004	home_caiji_qf004				
home_caiji_qf020	HomeGatherNpc	采集家具	npc\itemnpc1113		333	4	5	2		npc\itemnpc1113;npc\itemnpc1157	life_ys_01	1		2	10	home_caiji_qiaofu004	home_caiji_qf004				
home_caiji_qf021	HomeGatherNpc	采集家具	npc\itemnpc1114		333	4	5	2		npc\itemnpc1114;npc\itemnpc1158	life_ys_01	1		3	15	home_caiji_qiaofu004	home_caiji_qf004				
home_caiji_qf022	HomeGatherNpc	采集家具	npc\itemnpc1115		333	4	5	2		npc\itemnpc1115;npc\itemnpc1159	life_ys_01	1		4	20	home_caiji_qiaofu004	home_caiji_qf004				
home_caiji_qf023	HomeGatherNpc	采集家具	npc\itemnpc1116		333	4	5	2		npc\itemnpc1116;npc\itemnpc1160	life_ys_01	1		5	25	home_caiji_qiaofu004	home_caiji_qf004				
home_caiji_qf024	HomeGatherNpc	采集家具	npc\itemnpc1117		333	4	5	2		npc\itemnpc1117;npc\itemnpc1161	life_ys_01	1		6	30	home_caiji_qiaofu004	home_caiji_qf004				
home_caiji_qf025	HomeGatherNpc	采集家具	npc\itemnpc1112		333	4	5	2		npc\itemnpc1112;npc\itemnpc1156	life_ys_01	1		1	5	home_caiji_qiaofu005	home_caiji_qf005				
home_caiji_qf026	HomeGatherNpc	采集家具	npc\itemnpc1113		333	4	5	2		npc\itemnpc1113;npc\itemnpc1157	life_ys_01	1		2	10	home_caiji_qiaofu005	home_caiji_qf005				
home_caiji_qf027	HomeGatherNpc	采集家具	npc\itemnpc1114		333	4	5	2		npc\itemnpc1114;npc\itemnpc1158	life_ys_01	1		3	15	home_caiji_qiaofu005	home_caiji_qf005				
home_caiji_qf028	HomeGatherNpc	采集家具	npc\itemnpc1115		333	4	5	2		npc\itemnpc1115;npc\itemnpc1159	life_ys_01	1		4	20	home_caiji_qiaofu005	home_caiji_qf005				
home_caiji_qf029	HomeGatherNpc	采集家具	npc\itemnpc1116		333	4	5	2		npc\itemnpc1116;npc\itemnpc1160	life_ys_01	1		5	25	home_caiji_qiaofu005	home_caiji_qf005				
home_caiji_qf030	HomeGatherNpc	采集家具	npc\itemnpc1117		333	4	5	2		npc\itemnpc1117;npc\itemnpc1161	life_ys_01	1		6	30	home_caiji_qiaofu005	home_caiji_qf005				
																					
																					
home_caiji_ys001	HomeGatherNpc	采集家具	npc\itemnpc1118		333	4	5	2		npc\itemnpc1118;npc\itemnpc1162	life_ys_01	1		1	5	home_caiji_yaoshi001	home_caiji_ys001				
home_caiji_ys002	HomeGatherNpc	采集家具	npc\itemnpc1119		333	4	5	2		npc\itemnpc1119;npc\itemnpc1163	life_ys_01	1		2	10	home_caiji_yaoshi001	home_caiji_ys001				
home_caiji_ys003	HomeGatherNpc	采集家具	npc\itemnpc1120		333	4	5	2		npc\itemnpc1120;npc\itemnpc1164	life_ys_01	1		3	15	home_caiji_yaoshi001	home_caiji_ys001				
home_caiji_ys004	HomeGatherNpc	采集家具	npc\itemnpc1121		333	4	5	2		npc\itemnpc1121;npc\itemnpc1165	life_ys_01	1		4	20	home_caiji_yaoshi001	home_caiji_ys001				
home_caiji_ys005	HomeGatherNpc	采集家具	npc\itemnpc1122		333	4	5	2		npc\itemnpc1122;npc\itemnpc1166	life_ys_01	1		5	25	home_caiji_yaoshi001	home_caiji_ys001				
home_caiji_ys006	HomeGatherNpc	采集家具	npc\itemnpc1123		333	4	5	2		npc\itemnpc1123;npc\itemnpc1167	life_ys_01	1		6	30	home_caiji_yaoshi001	home_caiji_ys001				
home_caiji_ys007	HomeGatherNpc	采集家具	npc\itemnpc1118		333	4	5	2		npc\itemnpc1118;npc\itemnpc1162	life_ys_01	1		1	5	home_caiji_yaoshi002	home_caiji_ys002				
home_caiji_ys008	HomeGatherNpc	采集家具	npc\itemnpc1119		333	4	5	2		npc\itemnpc1119;npc\itemnpc1163	life_ys_01	1		2	10	home_caiji_yaoshi002	home_caiji_ys002				
home_caiji_ys009	HomeGatherNpc	采集家具	npc\itemnpc1120		333	4	5	2		npc\itemnpc1120;npc\itemnpc1164	life_ys_01	1		3	15	home_caiji_yaoshi002	home_caiji_ys002				
home_caiji_ys010	HomeGatherNpc	采集家具	npc\itemnpc1121		333	4	5	2		npc\itemnpc1121;npc\itemnpc1165	life_ys_01	1		4	20	home_caiji_yaoshi002	home_caiji_ys002				
home_caiji_ys011	HomeGatherNpc	采集家具	npc\itemnpc1122		333	4	5	2		npc\itemnpc1122;npc\itemnpc1166	life_ys_01	1		5	25	home_caiji_yaoshi002	home_caiji_ys002				
home_caiji_ys012	HomeGatherNpc	采集家具	npc\itemnpc1123		333	4	5	2		npc\itemnpc1123;npc\itemnpc1167	life_ys_01	1		6	30	home_caiji_yaoshi002	home_caiji_ys002				
home_caiji_ys013	HomeGatherNpc	采集家具	npc\itemnpc1118		333	4	5	2		npc\itemnpc1118;npc\itemnpc1162	life_ys_01	1		1	5	home_caiji_yaoshi003	home_caiji_ys003				
home_caiji_ys014	HomeGatherNpc	采集家具	npc\itemnpc1119		333	4	5	2		npc\itemnpc1119;npc\itemnpc1163	life_ys_01	1		2	10	home_caiji_yaoshi003	home_caiji_ys003				
home_caiji_ys015	HomeGatherNpc	采集家具	npc\itemnpc1120		333	4	5	2		npc\itemnpc1120;npc\itemnpc1164	life_ys_01	1		3	15	home_caiji_yaoshi003	home_caiji_ys003				
home_caiji_ys016	HomeGatherNpc	采集家具	npc\itemnpc1121		333	4	5	2		npc\itemnpc1121;npc\itemnpc1165	life_ys_01	1		4	20	home_caiji_yaoshi003	home_caiji_ys003				
home_caiji_ys017	HomeGatherNpc	采集家具	npc\itemnpc1122		333	4	5	2		npc\itemnpc1122;npc\itemnpc1166	life_ys_01	1		5	25	home_caiji_yaoshi003	home_caiji_ys003				
home_caiji_ys018	HomeGatherNpc	采集家具	npc\itemnpc1123		333	4	5	2		npc\itemnpc1123;npc\itemnpc1167	life_ys_01	1		6	30	home_caiji_yaoshi003	home_caiji_ys003				
home_caiji_ys019	HomeGatherNpc	采集家具	npc\itemnpc1118		333	4	5	2		npc\itemnpc1118;npc\itemnpc1162	life_ys_01	1		1	5	home_caiji_yaoshi004	home_caiji_ys004				
home_caiji_ys020	HomeGatherNpc	采集家具	npc\itemnpc1119		333	4	5	2		npc\itemnpc1119;npc\itemnpc1163	life_ys_01	1		2	10	home_caiji_yaoshi004	home_caiji_ys004				
home_caiji_ys021	HomeGatherNpc	采集家具	npc\itemnpc1120		333	4	5	2		npc\itemnpc1120;npc\itemnpc1164	life_ys_01	1		3	15	home_caiji_yaoshi004	home_caiji_ys004				
home_caiji_ys022	HomeGatherNpc	采集家具	npc\itemnpc1121		333	4	5	2		npc\itemnpc1121;npc\itemnpc1165	life_ys_01	1		4	20	home_caiji_yaoshi004	home_caiji_ys004				
home_caiji_ys023	HomeGatherNpc	采集家具	npc\itemnpc1122		333	4	5	2		npc\itemnpc1122;npc\itemnpc1166	life_ys_01	1		5	25	home_caiji_yaoshi004	home_caiji_ys004				
home_caiji_ys024	HomeGatherNpc	采集家具	npc\itemnpc1123		333	4	5	2		npc\itemnpc1123;npc\itemnpc1167	life_ys_01	1		6	30	home_caiji_yaoshi004	home_caiji_ys004				
home_caiji_ys025	HomeGatherNpc	采集家具	npc\itemnpc1118		333	4	5	2		npc\itemnpc1118;npc\itemnpc1162	life_ys_01	1		1	5	home_caiji_yaoshi005	home_caiji_ys005				
home_caiji_ys026	HomeGatherNpc	采集家具	npc\itemnpc1119		333	4	5	2		npc\itemnpc1119;npc\itemnpc1163	life_ys_01	1		2	10	home_caiji_yaoshi005	home_caiji_ys005				
home_caiji_ys027	HomeGatherNpc	采集家具	npc\itemnpc1120		333	4	5	2		npc\itemnpc1120;npc\itemnpc1164	life_ys_01	1		3	15	home_caiji_yaoshi005	home_caiji_ys005				
home_caiji_ys028	HomeGatherNpc	采集家具	npc\itemnpc1121		333	4	5	2		npc\itemnpc1121;npc\itemnpc1165	life_ys_01	1		4	20	home_caiji_yaoshi005	home_caiji_ys005				
home_caiji_ys029	HomeGatherNpc	采集家具	npc\itemnpc1122		333	4	5	2		npc\itemnpc1122;npc\itemnpc1166	life_ys_01	1		5	25	home_caiji_yaoshi005	home_caiji_ys005				
home_caiji_ys030	HomeGatherNpc	采集家具	npc\itemnpc1123		333	4	5	2		npc\itemnpc1123;npc\itemnpc1167	life_ys_01	1		6	30	home_caiji_yaoshi005	home_caiji_ys005				
																					
																					
home_caiji_ds001	HomeGatherNpc	采集家具	npc\itemnpc1124		333	4	5	2		npc\itemnpc1124;npc\itemnpc1168	life_ys_01	1		1	5	home_caiji_dushi001	home_caiji_ds001				
home_caiji_ds002	HomeGatherNpc	采集家具	npc\itemnpc1125		333	4	5	2		npc\itemnpc1125;npc\itemnpc1169	life_ys_01	1		2	10	home_caiji_dushi001	home_caiji_ds001				
home_caiji_ds003	HomeGatherNpc	采集家具	npc\itemnpc1126		333	4	5	2		npc\itemnpc1126;npc\itemnpc1170	life_ys_01	1		3	15	home_caiji_dushi001	home_caiji_ds001				
home_caiji_ds004	HomeGatherNpc	采集家具	npc\itemnpc1127		333	4	5	2		npc\itemnpc1127;npc\itemnpc1171	life_ys_01	1		4	20	home_caiji_dushi001	home_caiji_ds001				
home_caiji_ds005	HomeGatherNpc	采集家具	npc\itemnpc1128		333	4	5	2		npc\itemnpc1128;npc\itemnpc1172	life_ys_01	1		5	25	home_caiji_dushi001	home_caiji_ds001				
home_caiji_ds006	HomeGatherNpc	采集家具	npc\itemnpc1129		333	4	5	2		npc\itemnpc1129;npc\itemnpc1173	life_ys_01	1		6	30	home_caiji_dushi001	home_caiji_ds001				
home_caiji_ds007	HomeGatherNpc	采集家具	npc\itemnpc1124		333	4	5	2		npc\itemnpc1124;npc\itemnpc1168	life_ys_01	1		1	5	home_caiji_dushi002	home_caiji_ds002				
home_caiji_ds008	HomeGatherNpc	采集家具	npc\itemnpc1125		333	4	5	2		npc\itemnpc1125;npc\itemnpc1169	life_ys_01	1		2	10	home_caiji_dushi002	home_caiji_ds002				
home_caiji_ds009	HomeGatherNpc	采集家具	npc\itemnpc1126		333	4	5	2		npc\itemnpc1126;npc\itemnpc1170	life_ys_01	1		3	15	home_caiji_dushi002	home_caiji_ds002				
home_caiji_ds010	HomeGatherNpc	采集家具	npc\itemnpc1127		333	4	5	2		npc\itemnpc1127;npc\itemnpc1171	life_ys_01	1		4	20	home_caiji_dushi002	home_caiji_ds002				
home_caiji_ds011	HomeGatherNpc	采集家具	npc\itemnpc1128		333	4	5	2		npc\itemnpc1128;npc\itemnpc1172	life_ys_01	1		5	25	home_caiji_dushi002	home_caiji_ds002				
home_caiji_ds012	HomeGatherNpc	采集家具	npc\itemnpc1129		333	4	5	2		npc\itemnpc1129;npc\itemnpc1173	life_ys_01	1		6	30	home_caiji_dushi002	home_caiji_ds002				
home_caiji_ds013	HomeGatherNpc	采集家具	npc\itemnpc1124		333	4	5	2		npc\itemnpc1124;npc\itemnpc1168	life_ys_01	1		1	5	home_caiji_dushi003	home_caiji_ds003				
home_caiji_ds014	HomeGatherNpc	采集家具	npc\itemnpc1125		333	4	5	2		npc\itemnpc1125;npc\itemnpc1169	life_ys_01	1		2	10	home_caiji_dushi003	home_caiji_ds003				
home_caiji_ds015	HomeGatherNpc	采集家具	npc\itemnpc1126		333	4	5	2		npc\itemnpc1126;npc\itemnpc1170	life_ys_01	1		3	15	home_caiji_dushi003	home_caiji_ds003				
home_caiji_ds016	HomeGatherNpc	采集家具	npc\itemnpc1127		333	4	5	2		npc\itemnpc1127;npc\itemnpc1171	life_ys_01	1		4	20	home_caiji_dushi003	home_caiji_ds003				
home_caiji_ds017	HomeGatherNpc	采集家具	npc\itemnpc1128		333	4	5	2		npc\itemnpc1128;npc\itemnpc1172	life_ys_01	1		5	25	home_caiji_dushi003	home_caiji_ds003				
home_caiji_ds018	HomeGatherNpc	采集家具	npc\itemnpc1129		333	4	5	2		npc\itemnpc1129;npc\itemnpc1173	life_ys_01	1		6	30	home_caiji_dushi003	home_caiji_ds003				
home_caiji_ds019	HomeGatherNpc	采集家具	npc\itemnpc1124		333	4	5	2		npc\itemnpc1124;npc\itemnpc1168	life_ys_01	1		1	5	home_caiji_dushi004	home_caiji_ds004				
home_caiji_ds020	HomeGatherNpc	采集家具	npc\itemnpc1125		333	4	5	2		npc\itemnpc1125;npc\itemnpc1169	life_ys_01	1		2	10	home_caiji_dushi004	home_caiji_ds004				
home_caiji_ds021	HomeGatherNpc	采集家具	npc\itemnpc1126		333	4	5	2		npc\itemnpc1126;npc\itemnpc1170	life_ys_01	1		3	15	home_caiji_dushi004	home_caiji_ds004				
home_caiji_ds022	HomeGatherNpc	采集家具	npc\itemnpc1127		333	4	5	2		npc\itemnpc1127;npc\itemnpc1171	life_ys_01	1		4	20	home_caiji_dushi004	home_caiji_ds004				
home_caiji_ds023	HomeGatherNpc	采集家具	npc\itemnpc1128		333	4	5	2		npc\itemnpc1128;npc\itemnpc1172	life_ys_01	1		5	25	home_caiji_dushi004	home_caiji_ds004				
home_caiji_ds024	HomeGatherNpc	采集家具	npc\itemnpc1129		333	4	5	2		npc\itemnpc1129;npc\itemnpc1173	life_ys_01	1		6	30	home_caiji_dushi004	home_caiji_ds004				
home_caiji_ds025	HomeGatherNpc	采集家具	npc\itemnpc1124		333	4	5	2		npc\itemnpc1124;npc\itemnpc1168	life_ys_01	1		1	5	home_caiji_dushi005	home_caiji_ds005				
home_caiji_ds026	HomeGatherNpc	采集家具	npc\itemnpc1125		333	4	5	2		npc\itemnpc1125;npc\itemnpc1169	life_ys_01	1		2	10	home_caiji_dushi005	home_caiji_ds005				
home_caiji_ds027	HomeGatherNpc	采集家具	npc\itemnpc1126		333	4	5	2		npc\itemnpc1126;npc\itemnpc1170	life_ys_01	1		3	15	home_caiji_dushi005	home_caiji_ds005				
home_caiji_ds028	HomeGatherNpc	采集家具	npc\itemnpc1127		333	4	5	2		npc\itemnpc1127;npc\itemnpc1171	life_ys_01	1		4	20	home_caiji_dushi005	home_caiji_ds005				
home_caiji_ds029	HomeGatherNpc	采集家具	npc\itemnpc1128		333	4	5	2		npc\itemnpc1128;npc\itemnpc1172	life_ys_01	1		5	25	home_caiji_dushi005	home_caiji_ds005				
home_caiji_ds030	HomeGatherNpc	采集家具	npc\itemnpc1129		333	4	5	2		npc\itemnpc1129;npc\itemnpc1173	life_ys_01	1		6	30	home_caiji_dushi005	home_caiji_ds005				
