NPC编号	ini注释名称	对象类型	NPC类型	实力包编号	级别	修为经验	怪物强度	掉落	掉落数量	走路速度	跑步速度	武器持握方式	是否转身	模型编号	模型半径	图片	npc声音	材质类型	脚本编号	技能表	AI类型	主动被动	响应范围	锁定位移攻击	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	刷新时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	武器名称	武器类型	出生状态	表现AI包编号	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	空闲状态对话	进入战斗对话	脱离战斗对话	死亡对话	召唤对话	受到伤害状态对话	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻击防御比重	防御概率	"战斗频率,毫秒"	无法被硬直	锁定技能间隔	召唤类型	召唤ID	召唤半径	表演概率	表演时间	"追击范围,米"	只关心距离脱离战斗	附加随机能力编号	普通攻击	势力归属	势力关系表	AI编辑包	直接触发	NPC可战斗设置	动作集	存在时间	缩放尺寸	格挡类型
swzhenfa_jyw07	弓箭手	CommonNpc	2	5	70		2			1.25	5	hand1_1		npc\fbnpc00493	0.975	icon\monster\fbnpc00493.png			npc\clone\schoolwar5\swzhenfa_jyw07.lua		1			0	2	8	60	40	-1									1																						1500	1	1000	0					50			clone017_shejian	1111	"1110,0"		1	1				
swzhenfa_jyw08	神弩护卫三	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster291	0.939861	icon\monster\monster291.png			npc\clone\schoolwar5\swzhenfa_jyw01.lua		1			0	2	8	60	40	-1				school01_sw_jyw003					1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_jyw09	神弩护卫四	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster291	0.939861	icon\monster\monster291.png			npc\clone\schoolwar5\swzhenfa_jyw01.lua		1			0	2	8	60	40	-1				school01_sw_jyw004					1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_jyw10	巡逻	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster383	0.939861	icon\monster\monster383.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_jyw11	劲弩	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\itemnpc618	0.5					"skill_schoolwar_jyw_qg_1,1,100;"	1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
																																																																				50							1	1				
																																																																				50							1	1				
																																																																				50							1	1				
	//丐帮-school02																																																																			50							1	1				
swzhenfa_gbsgz01	杀狗阵阵法核心弟子	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\worldnpc492	0.97	icon\monster\worldnpc492_1.png			npc\clone\schoolwar6\swzhenfa_gbsgz_first.lua		1		10	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_gbsgz02	杀狗阵核心弟子	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\worldnpc492	0.97	icon\monster\worldnpc492_1.png			npc\clone\schoolwar6\swzhenfa_gbsgz_first.lua		1		10	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_gbsgz03	杀狗阵核心弟子	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\worldnpc492	0.97	icon\monster\worldnpc492_1.png			npc\clone\schoolwar6\swzhenfa_gbsgz_first.lua		1		10	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_gbsgz04	杀狗阵阵法引导者	CommonNpc	2	6	65		2			1.25	5	hand1_1		npc\worldnpc493	0.97	icon\monster\worldnpc493.png			npc\clone\schoolwar6\swzhenfa_gbsgz_second.lua	"schoolwar_gaibang01,1,100"	1		10	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_gbsgz05	杀狗阵守阵弟子	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\worldnpc060	0.97	icon\monster\worldnpc493.png			npc\clone\schoolwar6\swzhenfa_gbsgz_second.lua		1		10	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_gbsgz11	杀狗阵护阵弟子	CommonNpc	2	6	65		2			1.25	5	hand1_1		npc\worldnpc561	0.97	icon\monster\monster115.png			npc\clone\schoolwar6\swzhenfa_gbsgz_third.lua		1		20	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
																																																																				50							1	1				
swzhenfa_gblhz01	罗正刚	CommonNpc	2	63	70		2			1.25	5	hand1_1		npc\worldnpc493	0.97	icon\monster\monster565.png			npc\clone\schoolwar6\swzhenfa_gblhz_main.lua		1		5	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_gblhz02	杨钱	CommonNpc	2	63	70		2			1.25	5	hand1_1		npc\worldnpc159	0.97	icon\monster\monster565.png			npc\clone\schoolwar6\swzhenfa_gblhz_main.lua		1		5	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_gblhz03	沈斌	CommonNpc	2	63	70		2			1.25	5	hand1_1		npc\worldnpc563	0.97	icon\monster\monster565.png			npc\clone\schoolwar6\swzhenfa_gblhz_main.lua		1		5	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_gblhz04	姚之毅	CommonNpc	2	63	70		2			1.25	5	hand1_1		npc\worldnpc060	0.97	icon\monster\monster565.png			npc\clone\schoolwar6\swzhenfa_gblhz_main.lua		1		5	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_gblhz05	叶春	CommonNpc	2	63	70		2			1.25	5	hand1_1		npc\worldnpc159	0.97	icon\monster\monster565.png			npc\clone\schoolwar6\swzhenfa_gblhz_main.lua		1		5	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_gblhz06	莲花落阵护阵弟子	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\worldnpc202	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_gblhz07	莲花落阵护阵弟子	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\worldnpc081	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_gblhz08	莲花落阵护阵弟子	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster459	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_gblhz09	莲花落阵护阵弟子	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster165	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_gblhz10	莲花落阵护阵弟子	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\worldnpc061	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swattnpc_gb01	丐帮看守弟子	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\worldnpc561	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40	-1									1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
																																																																				50							1	1				
	//君子堂-school03																																																																			50							1	1				
																																																																				50							1	1				
																																																																				50							1	1				
																																																																				50							1	1				
																																																																				50							1	1				
																																																																				50							1	1				
																																																																				50							1	1				
	//极乐谷-school04																																																																			50							1	1				
swzhenfa_jlg01	精英怪-五使阴风阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40										1																														50							1	1				
swzhenfa_jlg02	精英怪-五使阴风阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40										1																														50							1	1				
swzhenfa_jlg03	精英怪-五使阴风阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40										1																														50							1	1				
swzhenfa_jlg04	精英怪-五使阴风阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40										1																														50							1	1				
swzhenfa_jlg05	精英怪-五使阴风阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40										1																														50							1	1				
swzhenfa_jlg06	精英怪-极乐百花阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40										1																														50							1	1				
swzhenfa_jlg07	精英怪-极乐百花阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40										1																														50							1	1				
swzhenfa_jlg08	精英怪-极乐百花阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40										1																														50							1	1				
swzhenfa_jlg09	精英怪-极乐百花阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40										1																														50							1	1				
swzhenfa_jlg10	精英怪-极乐百花阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40										1																														50							1	1				
swzhenfa_jlg11	精英怪-极乐百花阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png					1		25	0	2	8	60	40										1																														50							1	1				
	//唐门-school05																																																																			50							1	1				
swzhenfa_tm01	精英怪	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster379	0.925	icon\monster\monster379.png					1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_tm02	精英怪	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster379	0.925	icon\monster\monster379.png					1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_tm03	精英怪	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster379	0.925	icon\monster\monster379.png					1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_tm04	精英怪	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster379	0.925	icon\monster\monster379.png					1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_tm05	精英怪	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster379	0.925	icon\monster\monster379.png					1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
																																																																				50							1	1				
																																																																				50							1	1				
																																																																				50							1	1				
																																																																				50							1	1				
																																																																				50							1	1				
																																																																				50							1	1				
	//峨眉-school06																																																																			50							1	1				
swzhenfa_em01	峨眉守山弟子	CommonNpc	2	51	70		2			1.25	5	hand1_1		npc\worldnpc525	0.97	icon\funcnpc\worldnpc525.png			npc\clone\schoolwar10\swzhenfa_em01.lua		1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_em02	峨眉守山弟子	CommonNpc	2	51	70		2			1.25	5	hand1_1		npc\worldnpc525	0.97	icon\funcnpc\worldnpc525.png			npc\clone\schoolwar10\swzhenfa_em01.lua		1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_em03	峨眉守山弟子	CommonNpc	2	51	70		2			1.25	5	hand1_1		npc\worldnpc525	0.97	icon\funcnpc\worldnpc525.png			npc\clone\schoolwar10\swzhenfa_em01.lua		1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_em04	峨眉守山弟子	CommonNpc	2	51	70		2			1.25	5	hand1_1		npc\worldnpc525	0.97	icon\funcnpc\worldnpc525.png			npc\clone\schoolwar10\swzhenfa_em01.lua		1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_em05	峨眉守山弟子	CommonNpc	2	51	70		2			1.25	5	hand1_1		npc\worldnpc525	0.97	icon\funcnpc\worldnpc525.png			npc\clone\schoolwar10\swzhenfa_em01.lua		1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_em06	峨眉守山弟子	CommonNpc	2	51	70		2			1.25	5	hand1_1		npc\worldnpc525	0.97	icon\funcnpc\worldnpc525.png			npc\clone\schoolwar10\swzhenfa_em01.lua		1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_em07	精英怪-梅花大阵	CommonNpc	2	52	70		2			1.25	5	hand1_1		npc\worldnpc597	0.97	icon\funcnpc\worldnpc597.png					1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_em08	精英怪-梅花大阵	CommonNpc	2	52	70		2			1.25	5	hand1_1		npc\worldnpc597	0.97	icon\funcnpc\worldnpc597.png					1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_em09	精英怪-梅花大阵	CommonNpc	2	52	70		2			1.25	5	hand1_1		npc\worldnpc597	0.97	icon\funcnpc\worldnpc597.png					1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_em10	精英怪-梅花大阵	CommonNpc	2	52	70		2			1.25	5	hand1_1		npc\worldnpc597	0.97	icon\funcnpc\worldnpc597.png					1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_em11	精英怪-梅花大阵	CommonNpc	2	52	70		2			1.25	5	hand1_1		npc\worldnpc597	0.97	icon\funcnpc\worldnpc597.png					1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_em12	精英怪-梅花大阵	CommonNpc	2	52	70		2			1.25	5	hand1_1		npc\worldnpc597	0.97	icon\funcnpc\worldnpc597.png					1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
																																																																				50							1	1				
																																																																				50							1	1				
																																																																				50							1	1				
																																																																				50							1	1				
																																																																				50							1	1				
																																																																				50							1	1				
swzhenfa_wd01	精英怪-天罡北斗阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png			npc\clone\schoolwar11\zhenfa_wd01_assistant.lua	"schoolwar_zhenfa_wd01,1,100"	1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_wd02	精英怪-天罡北斗阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png			npc\clone\schoolwar11\zhenfa_wd01_assistant.lua	"schoolwar_zhenfa_wd01,1,100"	1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_wd03	精英怪-天罡北斗阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png			npc\clone\schoolwar11\zhenfa_wd01_assistant.lua	"schoolwar_zhenfa_wd01,1,100"	1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_wd04	精英怪-天罡北斗阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png			npc\clone\schoolwar11\zhenfa_wd01_assistant.lua	"schoolwar_zhenfa_wd01,1,100"	1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_wd05	精英怪-天罡北斗阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png			npc\clone\schoolwar11\zhenfa_wd01_assistant.lua	"schoolwar_zhenfa_wd01,1,100"	1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_wd06	精英怪-天罡北斗阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png			npc\clone\schoolwar11\zhenfa_wd01_assistant.lua	"schoolwar_zhenfa_wd01,1,100"	1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_wd07	精英怪-天罡北斗阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png			npc\clone\schoolwar11\zhenfa_wd01_assistant.lua	"schoolwar_zhenfa_wd01,1,100"	1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_wd08	精英怪-太极八卦阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png			npc\clone\schoolwar11\zhenfa_wd02_assistant.lua	"schoolwar_zhenfa_wd01,1,100"	1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_wd09	精英怪-太极八卦阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png			npc\clone\schoolwar11\zhenfa_wd02_assistant.lua	"schoolwar_zhenfa_wd01,1,100"	1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_wd10	精英怪-太极八卦阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png			npc\clone\schoolwar11\zhenfa_wd02_assistant.lua	"schoolwar_zhenfa_wd01,1,100"	1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_wd11	精英怪-太极八卦阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png			npc\clone\schoolwar11\zhenfa_wd02_assistant.lua	"schoolwar_zhenfa_wd01,1,100"	1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_wd12	精英怪-太极八卦阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png			npc\clone\schoolwar11\zhenfa_wd02_assistant.lua	"schoolwar_zhenfa_wd01,1,100"	1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_wd13	精英怪-太极八卦阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png			npc\clone\schoolwar11\zhenfa_wd02_assistant.lua	"schoolwar_zhenfa_wd01,1,100"	1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_wd14	精英怪-太极八卦阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png			npc\clone\schoolwar11\zhenfa_wd02_assistant.lua	"schoolwar_zhenfa_wd01,1,100"	1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_wd15	精英怪-太极八卦阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\monster565	0.97	icon\monster\monster565.png			npc\clone\schoolwar11\zhenfa_wd02_assistant.lua	"schoolwar_zhenfa_wd01,1,100"	1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
																																																																				50							1	1				
																																																																				50							1	1				
	//少林-school08																																																																			50							1	1				
swzhenfa_sl01	精英怪-梵音驱魔阵	CommonNpc	2	6	70		2			1.25	5	hand1_1		npc\worldnpc115	0.888075	icon\funcnpc\worldnpc115.png			npc\clone\schoolwar12\swzhenfa_sl01.lua	"schoolwar_zhenfa_sl01,1,100"	1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
swzhenfa_sl07	精英怪-不朽铜人阵	CommonNpc	2	51	70		2			1.25	5	hand1_1		npc\monster026	0.888075	icon\monster\monster026.png			npc\clone\schoolwar12\swzhenfa_sl07.lua	"schoolwar_zhenfa_sl02,1,100"	1		25	0	2	8	60	40										1																						1500	1	1000	0					50				1111	"1110,0"		1	1				
																																																																				50							1	1				
																																																																				50							1	1				
																																																																				50							1	1				
																																																																				50							1	1				
	据点刷兵																																																																			50							1	1				
	//锦衣卫-school01																																																																			50							1	1				
swremon_jyw01	锦衣卫低级弟子（武当刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster290	0.965	icon\monster\monster290.png					1			0	2	8	60	40	-1				schoolwar_wd01					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_jyw02	锦衣卫高级弟子（武当刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster383	0.97	icon\monster\monster383.png					1			0	2	8	60	40	-1				schoolwar_wd01					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_jyw03	锦衣卫低级弟子（少林刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster290	0.965	icon\monster\monster290.png					1			0	2	8	60	40	-1				school08_sw_006					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_jyw04	锦衣卫高级弟子（少林刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster383	0.97	icon\monster\monster383.png					1			0	2	8	60	40	-1				school08_sw_006					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_jyw05	锦衣卫低级弟子（峨眉刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster290	0.965	icon\monster\monster290.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_jyw06	锦衣卫高级弟子（峨眉刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster383	0.97	icon\monster\monster383.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_jyw07	锦衣卫低级弟子（丐帮刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster290	0.965	icon\monster\monster290.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_jyw08	锦衣卫高级弟子（丐帮刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster383	0.97	icon\monster\monster383.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_jyw09	锦衣卫低级弟子（唐门刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster290	0.965	icon\monster\monster290.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_jyw10	锦衣卫高级弟子（唐门刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster383	0.97	icon\monster\monster383.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_jyw11	锦衣卫低级弟子（锦衣卫刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster290	0.965	icon\monster\monster290.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_jyw12	锦衣卫高级弟子（锦衣卫刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster383	0.97	icon\monster\monster383.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_jyw13	锦衣卫低级弟子（极乐谷刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster290	0.965	icon\monster\monster290.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_jyw14	锦衣卫高级弟子（极乐谷刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster383	0.97	icon\monster\monster383.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_jyw15	锦衣卫低级弟子（君子堂刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster290	0.965	icon\monster\monster290.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_jyw16	锦衣卫高级弟子（君子堂刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster383	0.97	icon\monster\monster383.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
																																																																				50							1	1				
																																																																				50							1	1				
	//丐帮-school02																																																																			50							1	1				
swremon_gb01	丐帮低级弟子（武当刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster239	0.96	icon\monster\monster239.png					1			0	2	8	60	40	-1				schoolwar_wd01					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_gb02	丐帮高级弟子（武当刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster165	0.9	icon\monster\monster165.png					1			0	2	8	60	40	-1				schoolwar_wd01					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_gb03	丐帮低级弟子（少林刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster239	0.96	icon\monster\monster239.png					1			0	2	8	60	40	-1				school08_sw_006					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_gb04	丐帮高级弟子（少林刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster165	0.9	icon\monster\monster165.png					1			0	2	8	60	40	-1				school08_sw_006					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_gb05	丐帮低级弟子（峨眉刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster239	0.96	icon\monster\monster239.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_gb06	丐帮高级弟子（峨眉刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster165	0.9	icon\monster\monster165.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_gb07	丐帮低级弟子（丐帮刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster239	0.96	icon\monster\monster239.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_gb08	丐帮高级弟子（丐帮刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster165	0.9	icon\monster\monster165.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_gb09	丐帮低级弟子（唐门刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster239	0.96	icon\monster\monster239.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_gb10	丐帮高级弟子（唐门刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster165	0.9	icon\monster\monster165.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_gb11	丐帮低级弟子（锦衣卫刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster239	0.96	icon\monster\monster239.png					1			0	2	8	60	40	-1				school01_sw_jyw006					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_gb12	丐帮高级弟子（锦衣卫刷）	CommonNpc	2	6	70		2			4	5	hand1_1		npc\monster165	0.9	icon\monster\monster165.png					1			0	2	8	60	40	-1				school01_sw_jyw006					1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
swremon_gb13	丐帮低级弟子（极乐谷刷）	CommonNpc	2	4	65		2			4	5	hand1_1		npc\monster239	0.96	icon\monster\monster239.png					1			0	2	8	60	40	-1									1																						1500	1	1000	0					50				1110	"1111,0"		1	1				
