NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	身份参数00000000'01	身份参数2	身份参数3	对话规则	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	空闲状态对话	碰撞时对话	AI条件执行编码表	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	所属帮会地块编号	AI编辑包	是否可见	缩放比例	刷新时间	直接触发	防御概率属性	是否预载入	缩放比例	据点属性
	//锦衣卫-school01																																																																																																													
schoolpose_flagnpc01	CommonNpc	师门阶位战装饰大旗			172								npc\itemnpc600																																																																																																	
schoolpose_blookEffect_jyw01	CommonNpc	师门阶位战围栏（大）			172								npc\itemnpc057n																																																																																																	
schoolpose_blookEffect_jyw02	CommonNpc	师门阶位战围栏（小）			172								npc\itemnpc057n																																																																																																	
schoolwar_guildnpc_jyw01	CommonNpc	三指峰（锦衣卫正西区域）		8	81	2	2					hand1_1	npc\worldnpc355	0.919563	icon\funcnpc\worldnpc355.png					0	npc\clone\schoolwar5\schoolwar_guildnpc_jyw01.lua							20				1																																																																														
schoolwar_guildnpc_jyw02	CommonNpc	落英谷（锦衣卫正南区域）		8	81	2	2					hand1_1	npc\worldnpc355	0.919563	icon\funcnpc\worldnpc355.png					0	npc\clone\schoolwar5\schoolwar_guildnpc_jyw02.lua							20				1																																																																														
schoolwar_guildnpc_jyw03	CommonNpc	无功能		8	81	2	2					hand1_1	npc\worldnpc207	0.89833	icon\funcnpc\worldnpc207.png					0								20				1																																																																														
schoolwar_guildnpc_jyw04	CommonNpc	无功能		8	81	2	2					hand1_1	npc\worldnpc207	0.89833	icon\funcnpc\worldnpc207.png					0								20				1																																																																														
schoolwar_guildnpc_jyw05	CommonNpc	无辜的民工		8	81	2	2						npc\worldnpc110	0.959009	icon\funcnpc\worldnpc110.png					0								20				1																																																																						107								
schoolwar_special_jyw01	CommonNpc	灯柱上的火焰1			172								npc\itemnpc057_jyw01															100																																																																																		
schoolwar_special_jyw02	CommonNpc	灯柱上的火焰2			172								npc\itemnpc057_jyw01															100																																																																																		
schoolwar_special_jyw03	CommonNpc	灯柱上的火焰3			172								npc\itemnpc057_jyw01															100																																																																																		
schoolwar_special_jyw04	CommonNpc	灯柱上的火焰4			172								npc\itemnpc057_jyw01															100																																																																																		
schoolwar_special_jyw05	CommonNpc	灯柱上的火焰5			172								npc\itemnpc057_jyw01															100																																																																																		
schoolwar_special_jyw06	CommonNpc	灯柱上的火焰6			172								npc\itemnpc057_jyw01															100																																																																																		
schoolwar_special_jyw07	CommonNpc	灯柱上的火焰7			172								npc\itemnpc057_jyw01															100																																																																																		
schoolwar_special_jyw08	CommonNpc	灯柱上的火焰8			172								npc\itemnpc057_jyw01															100																																																																																		
schoolwar_special_jyw09	CommonNpc	灯柱上的火焰9			172								npc\itemnpc057_jyw01															100																																																																																		
schoolwar_special_jyw10	CommonNpc	灯柱上的火焰10			172								npc\itemnpc057_jyw01															100																																																																																		
schoolwar_special_jyw11	CommonNpc	灯柱上的火焰11			172								npc\itemnpc057_jyw01															100																																																																																		
schoolwar_special_jyw12	CommonNpc	灯柱上的火焰12			172								npc\itemnpc057_jyw01															100																																																																																		
schoolwar_zhenfa_jyw01	CommonNpc	天机神弩			81	2	2						npc\itemnpc618								npc\clone\schoolwar5\schoolwar_zhenfa_jyw01.lua							20				1																																																																														
schoolwar_zhenfa_jyw02	CommonNpc	天机神弩			81	2	2						npc\itemnpc618								npc\clone\schoolwar5\schoolwar_zhenfa_jyw02.lua							20				1																																																																														
schoolwar_box_jyw01	CommonNpc	药品箱子			81	2	2						npc\itemboxnpc002															20				1																																																																														
schoolwar_npc_jyw01	CommonNpc	关押的弟子			81	2	2						npc\monster252								npc\clone\schoolwar5\schoolwar_npc_jyw01.lua																																																																																									
schoolwar_hole_jyw01	CommonNpc	黑洞 			172								npc\itemnpc132																																																																																																	
schoolwar_gongjian_jyw01	CommonNpc	检测npc			172								npc\itemnpc057								npc\clone\schoolwar5\schoolwar_gongjian_jyw01.lua																																																																																									
schoolwar_boss_jyw05	CommonNpc	检测npc			172								npc\itemnpc057								npc\clone\schoolwar5\schoolwar_boss_jyw05.lua																																																																																									
schoolwar_weiguan_jyw001	CommonNpc	围观弟子			81								npc\monster179																																																																																																	
schoolwar_weiguan_jyw002	CommonNpc	围观弟子			81								npc\monster121																																																																																																	
schoolwar_weiguan_jyw003	CommonNpc	围观弟子			81								npc\monster502																																																																																																	
schoolwar_weiguan_jyw004	CommonNpc	围观弟子			81								npc\monster383																																																																																																	
schoolwar_weiguan_jyw005	CommonNpc	围观弟子			81								npc\monster382																																																																																																	
schoolwar_weiguan_jyw006	CommonNpc	围观弟子			81								npc\monster179																																																																																																	
schoolwar_weiguan_jyw007	CommonNpc	围观弟子			81								npc\monster121																																																																																																	
schoolwar_weiguan_jyw008	CommonNpc	围观弟子			81								npc\monster502																																																																																																	
schoolwar_weiguan_jyw009	CommonNpc	围观弟子			81								npc\monster383																																																																																																	
schoolwar_weiguan_jyw010	CommonNpc	围观弟子			81								npc\monster382																																																																																																	
schoolwar_point_jyw01	CommonNpc	检测npc			172								npc\itemnpc057																																																																																																	
schoolwar_point_jyw02	CommonNpc	检测npc			172								npc\itemnpc057																																																																																																	
schoolwar_point_jyw03	CommonNpc	检测npc			172								npc\itemnpc057																																																																																																	
schoolwar_point_jyw04	CommonNpc	检测npc			172								npc\itemnpc057																																																																																																	
schoolwar_point_jyw05	CommonNpc	检测npc			172								npc\itemnpc057																																																																																																	
schoolwar_point_jyw06	CommonNpc	检测npc			172								npc\itemnpc057																																																																																																	
schoolwar_point_jyw07	CommonNpc	检测npc			172								npc\itemnpc057																																																																																																	
schoolwar_point_jyw08	CommonNpc	检测npc			172								npc\itemnpc057																																																																																																	
schoolwar_point_jyw09	CommonNpc	检测npc			172								npc\itemnpc057																																																																																																	
schoolwar_point_jyw010	CommonNpc	检测npc			172								npc\itemnpc057																																																																																																	
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
	//丐帮-school02																																																																																																													
schoolpose_flagnpc02	CommonNpc	师门阶位战装饰大旗			172								npc\itemnpc595																																																																																																	
schoolpose_blookEffect_gb01	CommonNpc	师门阶位战围栏（大）			172								npc\itemnpc057n																																																																																																	
schoolpose_blookEffect_gb02	CommonNpc	师门阶位战围栏（小）			172								npc\itemnpc057n																																																																																																	
																																																																																																														
schoolwar_weiguan_gb001	CommonNpc	围观弟子			81								npc\worldnpc259																																																																																																	
schoolwar_weiguan_gb002	CommonNpc	围观弟子			81								npc\worldnpc061																																																																																																	
schoolwar_weiguan_gb003	CommonNpc	围观弟子			81								npc\worldnpc081																																																																																																	
schoolwar_weiguan_gb004	CommonNpc	围观弟子			81								npc\worldnpc060																																																																																																	
schoolwar_weiguan_gb005	CommonNpc	围观弟子			81								npc\worldnpc492_1																																																																																																	
schoolwar_weiguan_gb006	CommonNpc	围观弟子			81								npc\worldnpc493																																																																																																	
schoolwar_weiguan_gb007	CommonNpc	围观弟子			81								npc\worldnpc159																																																																																																	
schoolwar_weiguan_gb008	CommonNpc	围观弟子			81								npc\worldnpc563																																																																																																	
schoolwar_weiguan_gb009	CommonNpc	围观弟子			81								npc\monster115																																																																																																	
schoolwar_weiguan_gb010	CommonNpc	围观弟子			81								npc\worldnpc061																																																																																																	
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
	//君子堂-school03																																																																																																													
schoolpose_flagnpc05	CommonNpc	师门阶位战装饰大旗			172								npc\itemnpc598																																																																																																	
schoolpose_blookEffect_jzt01	CommonNpc	师门阶位战围栏（大）			172								npc\itemnpc057n																																																																																																	
schoolpose_blookEffect_jzt02	CommonNpc	师门阶位战围栏（小）			172								npc\itemnpc057n																																																																																																	
schoolwarbox_item_jz01	CommonNpc	宝箱			172								npc\itemboxnpc002															20				1																																																																														
schoolwarbox_item_jz02	CommonNpc	宝箱			172								npc\itemboxnpc002															20				1																																																																														
schoolwarbox_item_jz03	CommonNpc	宝箱			172								npc\itemboxnpc002															20				1																																																																														
schoolwarbox_item_jz04	CommonNpc	宝箱			172								npc\itemboxnpc002															20				1																																																																														
schoolwar_guildnpc_jz01	CommonNpc	九里崖(君子堂西北区域)		8	81	2	2					hand1_1	npc\worldnpc355	0.919563	icon\funcnpc\worldnpc355.png					0	npc\clone\schoolwar7\schoolwar_guildnpc_jz01.lua							20				1																																																																														
schoolwar_guildnpc_jz02	CommonNpc	飞鹤山(君子堂东南区域)		8	81	2	2					hand1_1	npc\worldnpc355	0.919563	icon\funcnpc\worldnpc355.png					0	npc\clone\schoolwar7\schoolwar_guildnpc_jz02.lua							20				1																																																																														
schoolwar_guildnpc_jz03	CommonNpc	无功能		8	81	2	2					hand1_1	npc\worldnpc207	0.89833	icon\funcnpc\worldnpc207.png					0								20				1																																																																														
schoolwar_guildnpc_jz04	CommonNpc	无功能		8	81	2	2					hand1_1	npc\worldnpc207	0.89833	icon\funcnpc\worldnpc207.png					0								20				1																																																																														
schoolwar_jztwg01	CommonNpc	君子堂弟子			81	2	2			1.25	4	hand1_1	npc\monster160															5																						1	50		3			1																																																						
schoolwar_jztwg02	CommonNpc	君子堂弟子			81	2	2			1.25	4	hand1_1	npc\worldnpc191															5																						1	50		3			1																																																						
schoolwar_jztwg03	CommonNpc	君子堂弟子			81	2	2			1.25	4	hand1_1	npc\worldnpc204															5																						1	50		3			1																																																						
schoolwar_jztwg04	CommonNpc	君子堂弟子			81	2	2			1.25	4	hand1_1	npc\worldnpc358															5																						1	50		3			1																																																						
schoolwar_jztwg05	CommonNpc	君子堂弟子			81	2	2			1.25	4	hand1_1	npc\worldnpc253															5																						1	50		3			1																																																						
schoolwar_jztwg06	CommonNpc	君子堂弟子			81	2	2			1.25	4	hand1_1	npc\worldnpc101															5																						1	50		3			1																																																						
schoolwar_jztwg07	CommonNpc	君子堂弟子			81	2	2			1.25	4	hand1_1	npc\worldnpc358															5																						1	50		3			1																																																						
schoolwar_jztwg08	CommonNpc	君子堂弟子			81	2	2			1.25	4	hand1_1	npc\worldnpc191															5																						1	50		3			1																																																						
schoolwar_jztwg09	CommonNpc	君子堂弟子			81	2	2			1.25	4	hand1_1	npc\worldnpc204															5																						1	50		3			1																																																						
schoolwar_jztwg10	CommonNpc	君子堂弟子			81	2	2			1.25	4	hand1_1	npc\worldnpc358															5																						1	50		3			1																																																						
																																																																																																														
																																																																																																														
																																																																																																														
	//极乐谷-school04																																																																																																													
schoolpose_flagnpc04	CommonNpc	师门阶位战装饰大旗			172								npc\itemnpc599																																																																																																	
schoolpose_blookEffect_jlg01	CommonNpc	师门阶位战围栏（大）			172								npc\itemnpc057n																																																																																																	
schoolpose_blookEffect_jlg02	CommonNpc	师门阶位战围栏（小）			172								npc\itemnpc057n																																																																																																	
schoolwar_guildnpc_jlg01	CommonNpc	段天崖(极乐谷西北区域)		8	81	2	2					hand1_1	npc\worldnpc355	0.919563	icon\funcnpc\worldnpc355.png					0	npc\clone\schoolwar8\schoolwar_guildnpc_jlg01.lua							20				1																																																																														
schoolwar_guildnpc_jlg02	CommonNpc	舍身崖(极乐谷东南区域)		8	81	2	2					hand1_1	npc\worldnpc355	0.919563	icon\funcnpc\worldnpc355.png					0	npc\clone\schoolwar8\schoolwar_guildnpc_jlg02.lua							20				1																																																																														
schoolwar_guildnpc_jlg03	CommonNpc	无功能		8	81	2	2					hand1_1	npc\worldnpc207	0.89833	icon\funcnpc\worldnpc207.png					0								20				1																																																																														
schoolwar_guildnpc_jlg04	CommonNpc	无功能		8	81	2	2					hand1_1	npc\worldnpc207	0.89833	icon\funcnpc\worldnpc207.png					0								20				1																																																																														
schoolwar_jlgwg01	CommonNpc	极乐谷弟子			81	2	2			1.25	4	hand1_1	npc\worldnpc544													school_jlg01		5																																																																																		
schoolwar_jlgwg02	CommonNpc	极乐谷弟子			81	2	2			1.25	4	hand1_1	npc\worldnpc200													school_jlg02		5																																																																																		
schoolwar_jlgwg03	CommonNpc	极乐谷弟子			81	2	2			1.25	4	hand1_1	npc\monster243													school_jlg03		5																																																																																		
schoolwar_jlgwg04	CommonNpc	极乐谷弟子			81	2	2			1.25	4	hand1_1	npc\worldnpc545															5																																																																																		
schoolwar_jlgwg05	CommonNpc	极乐谷弟子			81	2	2			1.25	4	hand1_2	npc\monster156															5																																																																																		
schoolwar_jlgwg06	CommonNpc	极乐谷弟子			81	2	2			1.25	4	hand1_1	npc\monster243															5																																																																																		
schoolwar_jlgwg07	CommonNpc	极乐谷弟子			81	2	2			1.25	4	hand1_2	npc\monster134															5																																																																																		
schoolwar_jlgwg08	CommonNpc	极乐谷弟子			81	2	2			1.25	4	hand1_1	npc\worldnpc393															5																																																																																		
schoolwar_jlgwg09	CommonNpc	极乐谷弟子			81	2	2			1.25	4	hand1_1	npc\worldnpc200															5																																																																																		
schoolwar_jlgwg10	CommonNpc	极乐谷弟子			81	2	2			1.25	4	hand1_1	npc\worldnpc200															5																																																																																		
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
	//唐门-school05																																																																																																													
schoolpose_flagnpc_tm01	CommonNpc	师门阶位战装饰大旗			172								npc\itemnpc597																																																																																																	
schoolpose_blookEffect_tm01	CommonNpc	师门阶位战围栏（大）			172								npc\itemnpc057n																																																																																																	
schoolpose_blookEffect_tm02	CommonNpc	师门阶位战围栏（小）			172								npc\itemnpc057n																																																																																																	
schoolwar_zfnpc_tm01	CommonNpc	练毒炉			81	2	2						npc\itemnpc046	0.91						0	npc\clone\schoolwar9\schoolwar_zfnpc_tm.lua			0	0			10																																																																																		
schoolwar_zfnpc_tm02	CommonNpc	练毒炉			81	2	2						npc\itemnpc046	0.91						0	npc\clone\schoolwar9\schoolwar_zfnpc_tm.lua			0	0			10																																																																																		
schoolwar_zfnpc_tm03	CommonNpc	练毒炉			81	2	2						npc\itemnpc046	0.91						0	npc\clone\schoolwar9\schoolwar_zfnpc_tm.lua			0	0			10																																																																																		
schoolwar_guildnpc_tm01	CommonNpc	勾漏山（唐门东北区域）		8	81	2	2					hand1_1	npc\worldnpc355	0.919563	icon\funcnpc\worldnpc355.png					0	npc\clone\schoolwar9\schoolwar_guildnpc_tm01.lua							20				1																																																																														
schoolwar_guildnpc_tm02	CommonNpc	摘月峰（唐门正南区域）		8	81	2	2					hand1_1	npc\worldnpc355	0.919563	icon\funcnpc\worldnpc355.png					0	npc\clone\schoolwar9\schoolwar_guildnpc_tm02.lua							20				1																																																																														
schoolwar_guildnpc_tm03	CommonNpc	无功能		8	81	2	2					hand1_1	npc\worldnpc207	0.89833	icon\funcnpc\worldnpc207.png					0								20				1																																																																														
schoolwar_guildnpc_tm04	CommonNpc	无功能		8	81	2	2					hand1_1	npc\worldnpc207	0.89833	icon\funcnpc\worldnpc207.png					0								20				1																																																																														
itemnpc057_tm01	CommonNpc	毒雾迷障			172								npc\itemnpc057_tm01		icon\funcnpc\itemnpc057.png						npc\clone\schoolwar9\itemnpc057_tm01.lua							30																																																																																		
schoolwar_tmwg01	CommonNpc	唐门弟子			81	2	2			1.25	4	hand1_1	npc\monster378																																																																																																	
schoolwar_tmwg02	CommonNpc	唐门弟子			81	2	2			1.25	4	hand1_2	npc\worldnpc388																																																																																																	
schoolwar_tmwg03	CommonNpc	唐门弟子			81	2	2			1.25	4	hand1_1	npc\monster379																																																																																																	
schoolwar_tmwg04	CommonNpc	唐门弟子			81	2	2			1.25	4	hand1_1	npc\monster377																																																																																																	
schoolwar_tmwg05	CommonNpc	唐门弟子			81	2	2			1.25	4	hand1_1	npc\monster378																																																																																																	
schoolwar_tmwg06	CommonNpc	唐门弟子			81	2	2			1.25	4	hand1_1	npc\monster168																																																																																																	
schoolwar_tmwg07	CommonNpc	唐门弟子			81	2	2			1.25	4	hand1_1	npc\monster379																																																																																																	
schoolwar_tmwg08	CommonNpc	唐门弟子			81	2	2			1.25	4	hand1_2	npc\worldnpc386																																																																																																	
schoolwar_tmwg09	CommonNpc	唐门弟子			81	2	2			1.25	4	hand1_2	npc\worldnpc386																																																																																																	
schoolwar_tmwg10	CommonNpc	唐门弟子			81	2	2			1.25	4	hand1_1	npc\monster377																																																																																																	
																																																																																																														
	//峨眉-school06																																																																																																													
schoolpose_flagnpc03	CommonNpc	师门阶位战装饰大旗			172								npc\itemnpc596																																																																																																	
schoolpose_blookEffect_em01	CommonNpc	师门阶位战围栏（大）			172								npc\itemnpc057n																																																																																																	
schoolpose_blookEffect_em02	CommonNpc	师门阶位战围栏（小）			172								npc\itemnpc057n																																																																																																	
schoolwar_guildnpc_em01	CommonNpc	鸣鹤观（峨眉西南区域）		8	81	2	2					hand1_1	npc\worldnpc382	0.91	icon\funcnpc\worldnpc382.png					0	npc\clone\schoolwar12\schoolwar_guildnpc_sl01.lua							20				1																																																																														
schoolwar_guildnpc_en02	CommonNpc	梅林（峨眉东南区域）		8	81	2	2					hand1_1	npc\worldnpc382	0.91	icon\funcnpc\worldnpc382.png					0	npc\clone\schoolwar12\schoolwar_guildnpc_sl02.lua							20				1																																																																														
schoolwar_guildnpc_em03	CommonNpc	无功能		8	81	2	2					hand1_1	npc\worldnpc381	0.89	icon\funcnpc\worldnpc381.png					0								20				1																																																																														
schoolwar_guildnpc_en04	CommonNpc	无功能		8	81	2	2					hand1_1	npc\worldnpc381	0.89	icon\funcnpc\worldnpc381.png					0								20				1																																																																														
schoolwar_weiguan_em001	CommonNpc	围观弟子			81								npc\worldnpc527																																																																																																	
schoolwar_weiguan_em002	CommonNpc	围观弟子			81								npc\worldnpc528																																																																																																	
schoolwar_weiguan_em003	CommonNpc	围观弟子			81								npc\worldnpc529																																																																																																	
schoolwar_weiguan_em004	CommonNpc	围观弟子			81								npc\worldnpc527																																																																																																	
schoolwar_weiguan_em005	CommonNpc	围观弟子			81								npc\worldnpc528																																																																																																	
schoolwar_weiguan_em006	CommonNpc	围观弟子			81								npc\worldnpc529																																																																																																	
schoolwar_weiguan_em007	CommonNpc	围观弟子			81								npc\worldnpc527																																																																																																	
schoolwar_weiguan_em008	CommonNpc	围观弟子			81								npc\worldnpc528																																																																																																	
schoolwar_weiguan_em009	CommonNpc	围观弟子			81								npc\worldnpc529																																																																																																	
schoolwar_weiguan_em010	CommonNpc	围观弟子			81								npc\worldnpc529																																																																																																	
																																																																																																														
																																																																																																														
																																																																																																														
	//武当-school07																																																																																																													
schoolwar_special_wd01	CommonNpc	天罡北斗阵			172								npc\itemnpc577																																																																																																	
schoolwar_special_wd02	CommonNpc	太极八卦阵			172								npc\itemnpc578																																																																																																	
schoolwar_locknpc	CoopNpc	绑人玩法			172	2	2						npc\itemnpc572		icon\funcnpc\fbmac013006a.png													10				1																		1	1		1			1																																																						
schoolwar_block_wd01	CommonNpc	北斗阵			172								npc\itemnpc577															2																																																																																		
schoolwar_block_wd02	CommonNpc	八卦阵			172								npc\itemnpc578															2																																																																																		
schoolwar_hole_wd01	CommonNpc	刷兵据点			172								npc\itemnpc132																																																																																																	
schoolwar_guildnpc_wd01	CommonNpc	神风岭（武当东北区域）		8	81	2	2					hand1_1	npc\worldnpc355	0.919563	icon\funcnpc\worldnpc355.png					0	npc\clone\schoolwar11\schoolwar_guildnpc_wd01.lua							20				1																																																																														
schoolwar_guildnpc_wd02	CommonNpc	通天峰（武当西北区域）		8	81	2	2					hand1_1	npc\worldnpc355	0.919563	icon\funcnpc\worldnpc355.png					0	npc\clone\schoolwar11\schoolwar_guildnpc_wd02.lua							20				1																																																																														
schoolwar_guildnpc_wd03	CommonNpc	无功能		8	81	2	2					hand1_1	npc\worldnpc207	0.89833	icon\funcnpc\worldnpc207.png					0								20				1																																																																														
schoolwar_guildnpc_wd04	CommonNpc	无功能		8	81	2	2					hand1_1	npc\worldnpc207	0.89833	icon\funcnpc\worldnpc207.png					0								20				1																																																																														
schoolwar_relivenpc	CommonNpc	通用		8	66	2	2			0	-1	hand_0	npc\funcnpc004	0.947249	icon\funcnpc\funcnpc004.png					0	npc\clone\schoolwar12\schoolwar_relivenpc.lua		3	0	0			20				1																																																			Shop_schoolwar_001_1																											
schoolwar_relivenpc_1	CommonNpc	通用		8	66	2	2			0	-1	hand_0	npc\funcnpc004	0.947249	icon\funcnpc\funcnpc004.png					0	npc\clone\schoolwar12\schoolwar_relivenpc.lua		3	0	0			20				1																																																			Shop_schoolwar_001																											
schoolwar_medical_1	CommonNpc	装饰			172								npc\itemboxnpc001																																																																																																	
schoolwar_medical_2	CommonNpc	装饰			172								npc\itemnpc005																																																																																																	
schoolwar_salve	CommonNpc	装饰			172								npc\itemnpc041																																																																																																	
schoolpose_flagnpc	CommonNpc	师门阶位战装饰大旗			172								npc\itemnpc593																																																																																																	
schoolpose_blookEffect_wd01	CommonNpc	师门阶位战围栏（大）			172								npc\itemnpc057n																																																																																																	
schoolpose_blookEffect_wd02	CommonNpc	师门阶位战围栏（小）			172								npc\itemnpc057n																																																																																																	
schoolwar_funcnpc01	CommonNpc	门派战内功能NPC		8	81	2	2		1	1	5	hand1_1	npc\worldnpc207		icon\funcnpc\worldnpc207.png					0	npc\clone\schoolwar11\schoolwar_funcnpc01.lua		3	0	0			8																																																																																		
schoolwar_funcnpc02	CommonNpc	门派战复活点NPC（隐藏）			172								npc\itemnpc041								npc\schoolnpc\schoolwar_funcnpc02.lua							10																																																																																		
schoolwar_flag_jyw01	CommonNpc	旗子			172	2	2						npc\itemnpc422a																																																																																																	
schoolwar_nu_jyw01	CommonNpc	弩			172	2	2						npc\fbmac004007																																																																																																	
schoolwar_wdwg01	CommonNpc	武当弟子			81	2	2			1.25	4	hand1_1		npc\monster160												school_wd01																																																																																				
schoolwar_wdwg02	CommonNpc	武当弟子			81	2	2			1.25	4	hand1_1		npc\monster568												school_wd02																																																																																				
schoolwar_wdwg03	CommonNpc	武当弟子			81	2	2			1.25	4	hand1_2		npc\monster159												school_wd03																																																																																				
schoolwar_wdwg04	CommonNpc	武当弟子			81	2	2			1.25	4	hand1_2		npc\monster161												school_wd04																																																																																				
schoolwar_wdwg05	CommonNpc	武当弟子			81	2	2			1.25	4	hand1_1		npc\monster564												school_wd05																																																																																				
schoolwar_wdwg06	CommonNpc	武当弟子			81	2	2			1.25	4	hand1_1		npc\monster563												school_wd06																																																																																				
schoolwar_wdwg07	CommonNpc	武当弟子			81	2	2			1.25	4	hand1_1		npc\monster160												school_wd07																																																																																				
schoolwar_wdwg08	CommonNpc	武当弟子			81	2	2			1.25	4	hand1_1		npc\monster565												school_wd08																																																																																				
schoolwar_wdwg09	CommonNpc	武当弟子			81	2	2			1.25	4	hand1_1		npc\monster565																																																																																																
schoolwar_wdwg10	CommonNpc	武当弟子			81	2	2			1.25	4	hand1_1		npc\monster565																																																																																																
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
	//少林-school08																																																																																																													
schoolpose_flagnpc_sl01	CommonNpc	师门阶位战装饰大旗			172								npc\itemnpc594																																																																																																	
schoolpose_blookEffect_sl01	CommonNpc	师门阶位战围栏（大）			172								npc\itemnpc057n																																																																																																	
schoolpose_blookEffect_sl02	CommonNpc	师门阶位战围栏（小）			172								npc\itemnpc057n																																																																																																	
																																																																																																														
schoolwar_guildnpc_sl01	CommonNpc	嵩阳书院（少林正南区域）		8	81	2	2					hand1_1	npc\worldnpc355	0.919563	icon\funcnpc\worldnpc355.png					0	npc\clone\schoolwar12\schoolwar_guildnpc_sl01.lua							20				1																																																																														
schoolwar_guildnpc_sl02	CommonNpc	嵩阳书院（少林东南区域）		8	81	2	2					hand1_1	npc\worldnpc355	0.919563	icon\funcnpc\worldnpc355.png					0	npc\clone\schoolwar12\schoolwar_guildnpc_sl02.lua							20				1																																																																														
schoolwar_guildnpc_sl03	CommonNpc	无功能		8	81	2	2					hand1_1	npc\worldnpc207	0.89833	icon\funcnpc\worldnpc207.png					0								20				1																																																																														
schoolwar_guildnpc_sl04	CommonNpc	无功能		8	81	2	2					hand1_1	npc\worldnpc207	0.89833	icon\funcnpc\worldnpc207.png					0								20				1																																																																														
schoolwar_door_sl01	CommonNpc	刷兵据点			172	2	2						npc\itemnpc601								npc\clone\schoolwar12\schoolwar_door_sl01.lua																																																																																									
schoolwar_door_sl02	CommonNpc	刷兵据点			172	2	2						npc\itemnpc602								npc\clone\schoolwar12\schoolwar_door_sl02.lua																																																																																									
schoolwar_item_sl01	CommonNpc	破关道具			172	2	2						npc\itemnpc537								npc\clone\schoolwar12\schoolwar_item_sl01.lua																																																																																									
schoolwar_item_sl02	CommonNpc	炉火			172	2	2						npc\guildeffect009																																																																																																	
schoolwar_special_sl01	CommonNpc	梵音驱魔阵			212								npc\itemnpc057_em03		icon\funcnpc\itemnpc057.png									0	0			80																																																																																		
schoolwar_weiguan_sl001	CommonNpc	围观弟子			81								npc\monster126																																																																																																	
schoolwar_weiguan_sl002	CommonNpc	围观弟子			81								npc\monster140																																																																																																	
schoolwar_weiguan_sl003	CommonNpc	围观弟子			81								npc\monster145																																																																																																	
schoolwar_weiguan_sl004	CommonNpc	围观弟子			81								npc\monster155																																																																																																	
schoolwar_weiguan_sl005	CommonNpc	围观弟子			81								npc\worldnpc049																																																																																																	
schoolwar_weiguan_sl006	CommonNpc	围观弟子			81								npc\monster512																																																																																																	
schoolwar_weiguan_sl007	CommonNpc	围观弟子			81								npc\monster514																																																																																																	
schoolwar_weiguan_sl008	CommonNpc	围观弟子			81								npc\monster516																																																																																																	
schoolwar_weiguan_sl009	CommonNpc	围观弟子			81								npc\monster516																																																																																																	
schoolwar_weiguan_sl010	CommonNpc	围观弟子			81								npc\monster527																																																																																																	
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
	//师门职位战报名NPC																																																																																																													
SchoolFightFuncNpc01	CommonNpc	师门战报名官		8	223	2	2		1	1	5	hand1_1	npc\worldnpc207		icon\funcnpc\worldnpc207.png					0			3	0	0			20																																																																																		
SchoolFightFuncNpc02	CommonNpc	师门战报名官		8	223	2	2		1	1	5	hand1_1	npc\worldnpc207		icon\funcnpc\worldnpc207.png					0			3	0	0			20																																																																																		
SchoolFightFuncNpc03	CommonNpc	师门战报名官		8	223	2	2		1	1	5	hand1_1	npc\worldnpc207		icon\funcnpc\worldnpc207.png					0			3	0	0			20																																																																																		
SchoolFightFuncNpc04	CommonNpc	师门战报名官		8	223	2	2		1	1	5	hand1_1	npc\worldnpc207		icon\funcnpc\worldnpc207.png					0			3	0	0			20																																																																																		
SchoolFightFuncNpc05	CommonNpc	师门战报名官		8	223	2	2		1	1	5	hand1_1	npc\worldnpc207		icon\funcnpc\worldnpc207.png					0			3	0	0			20																																																																																		
SchoolFightFuncNpc06	CommonNpc	师门战报名官		8	223	2	2		1	1	5	hand1_1	npc\worldnpc207		icon\funcnpc\worldnpc207.png					0			3	0	0			20																																																																																		
