NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	NPC对话类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	模型半径	图片	出生状态	组成材料	武器名称	NPC种类ID	脚本编号	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	恩怨响应包编号			建筑耐久	建筑可修缮耐久	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	驿站	对话规则	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	是否有帮派仓库	AI条件执行编码表	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	主功能类型	主功能类型	是否是门牌	公会功能类型	相关属性包	对应等级	所属帮会地块编号	AI编辑包	直接触发	npc功能分类	是否预载入	脱战回血	NPC优先显示新增属性	模型字体	模型厚度	模型颜色	模型缩放	建造时间	外观替换	BUFF表	血量表	侧旗配置表	复活点配置表	王旗归属	检测范围	上高度差	下高度差	偏向最大时间	旗帜冷却最大时间	人数差阀值	归属战场	积分参数1-给玩家增加的积分	积分参数1-给阵营增加的积分	阵营1占领模型	阵营1占领模型
NewGuildWar_ReliveNpc_atk_010	GuildReliveNpc	进攻复活点			757		2	2			0	0		npc\1701_fuhuodian	10					0			0	0	0			10																																				4	17					1								-1																									801										"0.5,0.5,0.5"	120	"0,npc\1701_fuhuodian;1,npc\itemnpc1599_c;2,npc\1701_fuhuodian;3,npc\itemnpc1599_c;4,npc\1701_fuhuodian"	"0,buf_newguild_flagHP_shp_001;1,buf_newguild_flagHP_shp_002;2,buf_newguild_flagHP_shp_003;3,buf_newguild_flagHP_shp_004;4,buf_newguild_flagHP_shp_005"	"0,3000;1,300;2,3000;3,5000;4,5000"														
NewGuildWar_ReliveNpc_atk_011	GuildReliveNpc	进攻复活点			757		2	2			0	0		npc\1701_fuhuodian	10					0			0	0	0			10																																				4	17					1								-1																									902										"0.5,0.5,0.5"	120	"0,npc\1701_fuhuodian;1,npc\itemnpc1599_c;2,npc\1701_fuhuodian;3,npc\itemnpc1599_c;4,npc\1701_fuhuodian"	"0,buf_newguild_flagHP_shp_001;1,buf_newguild_flagHP_shp_002;2,buf_newguild_flagHP_shp_003;3,buf_newguild_flagHP_shp_004;4,buf_newguild_flagHP_shp_005"	"0,3000;1,300;2,3000;3,5000;4,5000"														
NewGuildWar_ReliveNpc_atk_012	GuildReliveNpc	进攻复活点			757		2	2			0	0		npc\1701_fuhuodian	10					0			0	0	0			10																																				4	17					1								-1																									1001										"0.5,0.5,0.5"	120	"0,npc\1701_fuhuodian;1,npc\itemnpc1599_c;2,npc\1701_fuhuodian;3,npc\itemnpc1599_c;4,npc\1701_fuhuodian"	"0,buf_newguild_flagHP_shp_001;1,buf_newguild_flagHP_shp_002;2,buf_newguild_flagHP_shp_003;3,buf_newguild_flagHP_shp_004;4,buf_newguild_flagHP_shp_005"	"0,3000;1,300;2,3000;3,5000;4,5000"														
NewGuildWar_ReliveNpc_atk_013	GuildReliveNpc	进攻复活点			757		2	2			0	0		npc\1701_fuhuodian	10					0			0	0	0			10																																				4	17					1								-1																																			"0.5,0.5,0.5"	120	"0,npc\1701_fuhuodian;1,npc\itemnpc1599_c;2,npc\1701_fuhuodian;3,npc\itemnpc1599_c;4,npc\1701_fuhuodian"	"0,buf_newguild_flagHP_shp_001;1,buf_newguild_flagHP_shp_002;2,buf_newguild_flagHP_shp_003;3,buf_newguild_flagHP_shp_004;4,buf_newguild_flagHP_shp_005"	"0,3000;1,300;2,3000;3,5000;4,5000"														
NewGuildWar_ReliveNpc_atk_014	GuildReliveNpc	进攻复活点			757		2	2			0	0		npc\1701_fuhuodian	10					0			0	0	0			10																																				4	17					1								-1																																			"0.5,0.5,0.5"	120	"0,npc\1701_fuhuodian;1,npc\itemnpc1599_c;2,npc\1701_fuhuodian;3,npc\itemnpc1599_c;4,npc\1701_fuhuodian"	"0,buf_newguild_flagHP_shp_001;1,buf_newguild_flagHP_shp_002;2,buf_newguild_flagHP_shp_003;3,buf_newguild_flagHP_shp_004;4,buf_newguild_flagHP_shp_005"	"0,3000;1,300;2,3000;3,5000;4,5000"														
NewGuildWar_ReliveNpc_atk_015	GuildReliveNpc	进攻复活点			757		2	2			0	0		npc\1701_fuhuodian	10					0			0	0	0			10																																				4	17					1								-1																																			"0.5,0.5,0.5"	120	"0,npc\1701_fuhuodian;1,npc\itemnpc1599_c;2,npc\1701_fuhuodian;3,npc\itemnpc1599_c;4,npc\1701_fuhuodian"	"0,buf_newguild_flagHP_shp_001;1,buf_newguild_flagHP_shp_002;2,buf_newguild_flagHP_shp_003;3,buf_newguild_flagHP_shp_004;4,buf_newguild_flagHP_shp_005"	"0,3000;1,300;2,3000;3,5000;4,5000"														
NewGuildWar_ReliveNpc_atk_016	GuildReliveNpc	进攻复活点			757		2	2			0	0		npc\1701_fuhuodian	10					0			0	0	0			10																																				4	17					1								-1																																			"0.5,0.5,0.5"	120	"0,npc\1701_fuhuodian;1,npc\itemnpc1599_c;2,npc\1701_fuhuodian;3,npc\itemnpc1599_c;4,npc\1701_fuhuodian"	"0,buf_newguild_flagHP_shp_001;1,buf_newguild_flagHP_shp_002;2,buf_newguild_flagHP_shp_003;3,buf_newguild_flagHP_shp_004;4,buf_newguild_flagHP_shp_005"	"0,3000;1,300;2,3000;3,5000;4,5000"														
NewGuildWar_SideFlag_n_001	GuildSideFlagNpc	大侧旗			757		2	2			0	0		npc\brokennpc\brokenitem049	2					0			0	0	0			5																																				4	11					1		3600	3600					-1																1									1404	5378									"0.5,0.5,0.5"																		
NewGuildWar_SideFlag_n_002	GuildSideFlagNpc	大侧旗			757		2	2			0	0		npc\brokennpc\brokenitem049	2					0			0	0	0			5																																				4	11					1								-1																1									1703	5378									"0.5,0.5,0.5"																		
NewGuildWar_SideFlag_n_003	GuildSideFlagNpc	大侧旗			757		2	2			0	0		npc\brokennpc\brokenitem049	2					0			0	0	0			5																																				4	11					1		3600	3600					-1																1									1301	5378									"0.5,0.5,0.5"																		
NewGuildWar_SideFlag_n_004	GuildSideFlagNpc	侧旗			757		2	2			0	0		npc\brokennpc\brokenitem049	2					0			0	0	0			5																																				4	11					1								-1																1									101	5378									"0.5,0.5,0.5"																		
NewGuildWar_SideFlag_n_005	GuildSideFlagNpc	侧旗			757		2	2			0	0		npc\brokennpc\brokenitem049	2					0			0	0	0			5																																				4	11					1		3600	3600					-1																1									302	5378									"0.5,0.5,0.5"																		
NewGuildWar_SideFlag_n_006	GuildSideFlagNpc	侧旗			757		2	2			0	0		npc\brokennpc\brokenitem049	2					0			0	0	0			5																																				4	11					1								-1																1									402	5378									"0.5,0.5,0.5"																		
NewGuildWar_SideFlag_n_007	GuildSideFlagNpc	侧旗			757		2	2			0	0		npc\brokennpc\brokenitem049	2					0			0	0	0			5																																				4	11					1		3600	3600					-1																1									503	5378									"0.5,0.5,0.5"																		
NewGuildWar_SideFlag_n_008	GuildSideFlagNpc	侧旗			757		2	2			0	0		npc\brokennpc\brokenitem049	2					0			0	0	0			5																																				4	11					1								-1																1									602	5378									"0.5,0.5,0.5"																		
NewGuildWar_SideFlag_n_009	GuildSideFlagNpc	侧旗			757		2	2			0	0		npc\brokennpc\brokenitem049	2					0			0	0	0			5																																				4	11					1		3600	3600					-1																1									703	5378									"0.5,0.5,0.5"																		
NewGuildWar_SideFlag_n_010	GuildSideFlagNpc	侧旗			757		2	2			0	0		npc\brokennpc\brokenitem049	2					0			0	0	0			5																																				4	11					1								-1																1									801	5378									"0.5,0.5,0.5"																		
NewGuildWar_SideFlag_n_011	GuildSideFlagNpc	侧旗			757		2	2			0	0		npc\brokennpc\brokenitem049	2					0			0	0	0			5																																				4	11					1		3600	3600					-1																1									902	5378									"0.5,0.5,0.5"																		
NewGuildWar_SideFlag_n_012	GuildSideFlagNpc	侧旗			757		2	2			0	0		npc\brokennpc\brokenitem049	2					0			0	0	0			5																																				4	11					1								-1																1									1001	5378									"0.5,0.5,0.5"																		
NewGuildWar_SideFlag_n_013	GuildSideFlagNpc	侧旗			757		2	2			0	0		npc\brokennpc\brokenitem049	2					0			0	0	0			5																																				4	11					1		3600	3600					-1																1																			"0.5,0.5,0.5"																		
NewGuildWar_SideFlag_n_014	GuildSideFlagNpc	侧旗			757		2	2			0	0		npc\brokennpc\brokenitem049	2					0			0	0	0			5																																				4	11					1								-1																1																			"0.5,0.5,0.5"																		
NewGuildWar_SideFlag_n_015	GuildSideFlagNpc	侧旗			757		2	2			0	0		npc\brokennpc\brokenitem049	2					0			0	0	0			5																																				4	11					1		3600	3600					-1																1																			"0.5,0.5,0.5"																		
NewGuildWar_SideFlag_n_016	GuildSideFlagNpc	侧旗			757		2	2			0	0		npc\brokennpc\brokenitem049	2					0			0	0	0			5																																				4	11					1								-1																1																			"0.5,0.5,0.5"																		
GuilBattledWar_npc_001	ChampionTowerNpc	蓝方神兽1			757		2	2			0	0		npc\brokennpc\brokenitem1958_2_1	2					0			0	0	0			5																																				135	30					1		2	2					-1																637	"638,0"									5504									"0.5,0.5,0.5"																		
GuilBattledWar_npc_002	ChampionTowerNpc	蓝方神兽2			757		2	2			0	0		npc\brokennpc\brokenitem1958_2_1	2					0			0	0	0			5																																				135	30					1		2	2					-1																637	"638,0"									5504									"0.5,0.5,0.5"																		
GuilBattledWar_npc_003	ChampionTowerNpc	蓝方神兽3			757		2	2			0	0		npc\brokennpc\brokenitem1958_1_1	2					0			0	0	0			5																																				135	30					1		2	2					-1																637	"638,0"									5505									"0.7,0.7,0.7"																		
GuilBattledWar_npc_004	ChampionTowerNpc	红方神兽1			757		2	2			0	0		npc\brokennpc\brokenitem1958_2_2	2					0			0	0	0			5																																				135	30					1		2	2					-1																638	"637,0"									5506									"0.5,0.5,0.5"																		
GuilBattledWar_npc_005	ChampionTowerNpc	红方神兽2			757		2	2			0	0		npc\brokennpc\brokenitem1958_2_2	2					0			0	0	0			5																																				135	30					1		2	2					-1																638	"637,0"									5506									"0.5,0.5,0.5"																		
GuilBattledWar_npc_006	ChampionTowerNpc	红方神兽3			757		2	2			0	0		npc\brokennpc\brokenitem1958_1_2	2					0			0	0	0			5																																				135	30					1		2	2					-1																638	"637,0"									5507									"0.7,0.7,0.7"																		
																																																																																																																																			
GuilBattledWar_npc_007	CommonNpc	回血			202		2	2			0	0		npc\fbmac004012f	2					0			0	0	0			5																																				135	54													-1																																																					
																																																																																																																																			
guild_kuafu_flag_2019_001	LuanDouFlagNpc	江湖得分旗帜npc003			756		2	2			1.25	4	handR_01	npc\itemnpc1655_1						0			3	0	0			100																																				135	30					1													1																					5549																	15	10	1	30	300	3	1	100	100	npc\itemnpc1655_2	npc\itemnpc1655_3
guild_kuafu_flag_2019_002	LuanDouFlagNpc	取消			756		2	2			1.25	4	handR_01	npc\itemnpc1655_1						0			3	0	0			100																																				135	30					1													1																					5549																	15	10	1	30	300	2	1	50	50	npc\itemnpc1655_2	npc\itemnpc1655_3
guild_kuafu_flag_2019_003	LuanDouFlagNpc	古殿			756		2	2			1.25	4	handR_01	npc\itemnpc1655_1						0			3	0	0			100																																				135	30					1													1																					5549																	15	10	1	30	300	2	1	5	5	npc\itemnpc1655_2	npc\itemnpc1655_3
guild_kuafu_flag_2019_004	LuanDouFlagNpc	江湖得分旗帜npc003			756		2	2			1.25	4	handR_01	npc\itemnpc1655_1						0			3	0	0			100																																				135	30					1													1																					5549																	15	10	1	30	300	3	1	50	50	npc\itemnpc1655_2	npc\itemnpc1655_3
guild_kuafu_flag_2019_005	LuanDouFlagNpc	江湖得分旗帜npc003			756		2	2			1.25	4	handR_01	npc\itemnpc1655_1						0			3	0	0			100																																				135	30					1													1																					5549																	15	10	1	30	300	3	1	50	50	npc\itemnpc1655_2	npc\itemnpc1655_3
guild_kuafu_flag_2019_006	LuanDouFlagNpc	江湖得分旗帜npc003			756		2	2			1.25	4	handR_01	npc\itemnpc1655_1						0			3	0	0			100																																				135	30					1													1																					5549																	15	10	1	30	300	3	1	50	50	npc\itemnpc1655_2	npc\itemnpc1655_3
guild_kuafu_flag_2019_007	LuanDouFlagNpc	江湖得分旗帜npc003			756		2	2			1.25	4	handR_01	npc\itemnpc1655_1						0			3	0	0			100																																				135	30					1													1																					5549																	15	10	1	30	300	3	1	50	50	npc\itemnpc1655_2	npc\itemnpc1655_3
