NPC编号	对象类型	名称	模型编号	头像	NPC类型	NPC种类ID	响应范围	选择操作分类	鼠标形状	脚本编号	采集范围	采集动作名	刷新时间（ms）	读条时间(ms)	采集类型	参数1	参数2	钓鱼难度	回收	掉落	掉落物品	采集地点	最多可采集次数	体力	消耗工具耐久	排行榜积分	影响时间	运营管理读取类别	运营管理读取名称	分解技能等级	身份掉落包	生活掉落包	生活心得	工具限制ID（不填写表示没有限制）	选中是否有绿色光圈	非vip采集次数	等同最多可采集次数	无拾取物消失时间	最大消失时间	AI编辑包	模型路径	限制包	NPC优先显示	是否求助	呼叫半径	采集成功添加BUFF
fishnpc10094	MineNpc	大口鲶群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	130	6		fishnpc10094	"fish_10069,fish_10078"	梅花岭	6	4	15	6	1000	13	13			994	45	207		3	6		3							
fishnpc10095	MineNpc	叶结鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	180	8		fishnpc10095	"fish_10097,fish_10099"	梅花岭	6	6	30	12	1000	13	13			995	45	207		3	6		3							
fishnpc10096	MineNpc	唇鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	180	9		fishnpc10096	"fish_10103,fish_10124"	梅花岭	4	6	30	12	1000	13	13			996	45	207		2	4		2							
fishnpc10097	MineNpc	太湖白鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	160	7		fishnpc10097	"fish_10082,fish_10093"	苏州	6	5	20	8	1000	13	13			997	45	207		3	6		3							
fishnpc10098	MineNpc	白肌银鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	180	9		fishnpc10098	"fish_10101,fish_10123"	苏州	6	6	30	12	1000	13	13			998	45	207		3	6		3							
fishnpc10099	MineNpc	太湖白虾群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	220	10		fishnpc10099	"fish_10144,fish_10150"	苏州	6	7	45	18	1000	13	13			999	45	207		3	6		3							
fishnpc10100	MineNpc	太湖银鱼群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	240	12		fishnpc10100	"fish_10164,fish_10182"	苏州	4	8	60	24	1000	13	13			1000	45	207		2	4		2							
																																														
fishnpc10001new	MineNpc	鲜活弓鱼群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	5	1		fishnpc10001	"fish_10003,fish_10005"	恶人谷	6	1	1	0	1000	13	13			3901	45	207		3	6		3							
fishnpc10002new	MineNpc	鲜活团头鲂群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	25	1		fishnpc10002	"fish_10011,fish_10015"	恶人谷	6	1	1	0	1000	13	13			3902	45	207		3	6		3							
fishnpc10003new	MineNpc	鲜活黑龙鱼群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	55	1		fishnpc10003	"fish_10020,fish_10024"	恶人谷	6	2	5	2	1000	13	13			3903	45	207		3	6		3							
fishnpc10004new	MineNpc	鲜活白甲鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	75	2		fishnpc10004	"fish_10025,fish_10079"	恶人谷	4	3	5	2	1000	13	13			3904	45	207		2	4		2							
fishnpc10005new	MineNpc	鲜活黄爪鱼群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	195	9		fishnpc10005	"fish_10106,fish_10128"	塞外草原	6	6	30	12	1000	13	13			3905	45	207		3	6		3							
fishnpc10006new	MineNpc	淘气条鳅群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	235	10		fishnpc10006	"fish_10145,fish_10153"	塞外草原	6	7	60	24	1000	13	13			3906	45	207		3	6		3							
fishnpc10007new	MineNpc	肥硕雅鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	255	12		fishnpc10007	"fish_10167,fish_10181"	塞外草原	6	8	80	32	1000	13	13			3907	45	207		3	6		3							
fishnpc10008new	MineNpc	肥硕高背鲫群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	285	15		fishnpc10008	"fish_10191,fish_10198"	塞外草原	4	9	100	40	1000	13	13			3908	45	207		2	4		2							
fishnpc10009new	MineNpc	肥硕鳙鱼群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	255	12		fishnpc10009	"fish_10169,fish_10177"	塞外大漠	6	8	80	32	1000	13	13			3909	45	207		3	6		3							
fishnpc10010new	MineNpc	肥硕白鱼群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	265	13		fishnpc10010	"fish_10170,fish_10185"	塞外大漠	6	8	80	32	1000	13	13			3910	45	207		3	6		3							
fishnpc10011new	MineNpc	肥硕赤梢鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	275	14		fishnpc10011	"fish_10187,fish_10196"	塞外大漠	6	9	80	32	1000	13	13			3911	45	207		3	6		3							
fishnpc10012new	MineNpc	凶猛黑鲫群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	295	15		fishnpc10012	"fish_10192,fish_10199"	塞外大漠	4	10	100	40	1000	13	13			3912	45	207		2	4		2							
fishnpc10013new	MineNpc	凶猛鳟鱼群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	5	1		fishnpc10013	"fish_10004,fish_10008"	千灯镇	6	1	1	0	1000	13	13			3913	45	207		3	6		3							
fishnpc10014new	MineNpc	肥硕岩原鲤群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	35	1		fishnpc10014	"fish_10012,fish_10014"	千灯镇	6	2	2	0	1000	13	13			3914	45	207		3	6		3							
fishnpc10015new	MineNpc	肥硕大肚鱼群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	45	1		fishnpc10015	"fish_10018,fish_10022"	千灯镇	6	2	2	0	1000	13	13			3915	45	207		3	6		3							
fishnpc10016new	MineNpc	鲜活春鲤群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	75	2		fishnpc10016	"fish_10026,fish_10046"	千灯镇	4	3	5	2	1000	13	13			3916	45	207		2	4		2							
fishnpc10017new	MineNpc	鲜活青竹鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	85	3		fishnpc10017	"fish_10033,fish_10045"	唐门	6	3	7	2	1000	13	13			3917	45	207		3	6		3							
fishnpc10018new	MineNpc	鲜活大头鲤群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	105	4		fishnpc10018	"fish_10050,fish_10061"	唐门	6	4	10	4	1000	13	13			3918	45	207		3	6		3							
fishnpc10019new	MineNpc	鲜活尖鳍鲤群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	155	7		fishnpc10019	"fish_10077,fish_10092"	唐门	6	5	20	8	1000	13	13			3919	45	207		3	6		3							
fishnpc10020new	MineNpc	肥硕泉水鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	185	9		fishnpc10020	"fish_10109,fish_10135"	唐门	4	6	30	12	1000	13	13			3920	45	207		2	4		2							
fishnpc10021new	MineNpc	肥硕石首鱼群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	85	3		fishnpc10021	"fish_10034,fish_10039"	峨眉	6	3	7	2	1000	13	13			3921	45	207		3	6		3							
fishnpc10022new	MineNpc	凶猛龙虾群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	115	4		fishnpc10022	"fish_10054,fish_10057"	峨眉	6	4	10	4	1000	13	13			3922	45	207		3	6		3							
fishnpc10023new	MineNpc	凶猛刺鳑鲏群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	145	7		fishnpc10023	"fish_10072,fish_10086"	峨眉	6	5	15	6	1000	13	13			3923	45	207		3	6		3							
fishnpc10024new	MineNpc	鲜活香榄鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	185	9		fishnpc10024	"fish_10111,fish_10132"	峨眉	4	6	30	12	1000	13	13			3924	45	207		2	4		2							
fishnpc10025new	MineNpc	鲜活胡鲶群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	125	5		fishnpc10025	"fish_10059,fish_10067"	念罗坝	6	4	10	4	1000	13	13			3925	45	207		3	6		3							
fishnpc10026new	MineNpc	鲜活半边鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	135	6		fishnpc10026	"fish_10068,fish_10073"	念罗坝	6	4	15	6	1000	13	13			3926	45	207		3	6		3							
fishnpc10027new	MineNpc	肥硕金线鲃群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	175	8		fishnpc10027	"fish_10090,fish_10100"	念罗坝	6	6	20	8	1000	13	13			3927	45	207		3	6		3							
fishnpc10028new	MineNpc	肥硕月光鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	185	9		fishnpc10028	"fish_10115,fish_10120"	念罗坝	4	6	30	12	1000	13	13			3928	45	207		2	4		2							
fishnpc10029new	MineNpc	肥硕石鱼群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	165	7		fishnpc10029	"fish_10080,fish_10087"	成都	6	5	20	8	1000	13	13			3929	45	207		3	6		3							
fishnpc10030new	MineNpc	肥硕长臀鮠群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	185	9		fishnpc10030	"fish_10102,fish_10133"	成都	6	6	30	12	1000	13	13			3930	45	207		3	6		3							
fishnpc10031new	MineNpc	肥硕燕鳐鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	235	10		fishnpc10031	"fish_10147,fish_10154"	成都	6	7	60	24	1000	13	13			3931	45	207		3	6		3							
fishnpc10032new	MineNpc	肥硕黄金斑群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	245	12		fishnpc10032	"fish_10162,fish_10173"	成都	4	8	60	24	1000	13	13			3932	45	207		2	4		2							
fishnpc10033new	MineNpc	肥硕直口鲮群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	205	9		fishnpc10033	"fish_10116,fish_10126"	向阳坡	6	6	45	18	1000	13	13			3933	45	207		3	6		3							
fishnpc10034new	MineNpc	鲜活月鳢群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	215	10		fishnpc10034	"fish_10139,fish_10148"	向阳坡	6	7	45	18	1000	13	13			3934	45	207		3	6		3							
fishnpc10035new	MineNpc	鲜活长体鳜群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	245	11		fishnpc10035	"fish_10151,fish_10158"	向阳坡	6	8	60	24	1000	13	13			3935	45	207		3	6		3							
fishnpc10036new	MineNpc	鲜活乌塘鳢群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	245	12		fishnpc10036	"fish_10165,fish_10171"	向阳坡	4	8	60	24	1000	13	13			3936	45	207		2	4		2							
fishnpc10037new	MineNpc	鲜活白头鳜群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	245	12		fishnpc10037	"fish_10159,fish_10174"	凌霄城	6	8	60	24	1000	13	13			3937	45	207		3	6		3							
fishnpc10038new	MineNpc	鲜活墨头鱼群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	265	13		fishnpc10038	"fish_10179,fish_10189"	凌霄城	6	8	80	32	1000	13	13			3938	45	207		3	6		3							
fishnpc10039new	MineNpc	鲜活暗鳜群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	275	14		fishnpc10039	"fish_10184,fish_10194"	凌霄城	6	9	80	32	1000	13	13			3939	45	207		3	6		3							
fishnpc10040new	MineNpc	鲜活抗浪鱼群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	295	15		fishnpc10040	"fish_10193,fish_10200"	凌霄城	4	10	100	40	1000	13	13			3940	45	207		2	4		2							
fishnpc10041new	MineNpc	淘气对虾群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	65	3		fishnpc10041	"fish_10027,fish_10040"	少林	6	2	5	2	1000	13	13			3941	45	207		3	6		3							
fishnpc10042new	MineNpc	淘气鲤鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	115	4		fishnpc10042	"fish_10053,fish_10062"	少林	6	4	10	4	1000	13	13			3942	45	207		3	6		3							
fishnpc10043new	MineNpc	肥硕黄尾鲴群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	155	7		fishnpc10043	"fish_10076,fish_10094"	少林	6	5	20	8	1000	13	13			3943	45	207		3	6		3							
fishnpc10044new	MineNpc	肥硕平鳍鳅群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	185	9		fishnpc10044	"fish_10108,fish_10129"	少林	4	6	30	12	1000	13	13			3944	45	207		2	4		2							
fishnpc10045new	MineNpc	肥硕鳓鱼群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	75	3		fishnpc10045	"fish_10030,fish_10042"	武当	6	3	5	2	1000	13	13			3945	45	207		3	6		3							
fishnpc10046new	MineNpc	肥硕黄颡鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	105	4		fishnpc10046	"fish_10052,fish_10065"	武当	6	4	10	4	1000	13	13			3946	45	207		3	6		3							
fishnpc10047new	MineNpc	肥硕鲌鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	175	7		fishnpc10047	"fish_10084,fish_10096"	武当	6	6	20	8	1000	13	13			3947	45	207		3	6		3							
fishnpc10048new	MineNpc	肥硕铜鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	185	9		fishnpc10048	"fish_10110,fish_10121"	武当	4	6	30	12	1000	13	13			3948	45	207		2	4		2							
fishnpc10049new	MineNpc	肥硕黑鲈群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	145	7		fishnpc10049	"fish_10074,fish_10091"	洛阳	6	5	15	6	1000	13	13			3949	45	207		3	6		3							
fishnpc10050new	MineNpc	鲜活刀鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	195	9		fishnpc10050	"fish_10104,fish_10131"	洛阳	6	6	30	12	1000	13	13			3950	45	207		3	6		3							
fishnpc10051new	MineNpc	肥硕大眼鳜群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	225	10		fishnpc10051	"fish_10141,fish_10156"	洛阳	6	7	45	18	1000	13	13			3951	45	207		3	6		3							
fishnpc10052new	MineNpc	鲜活火鲤群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	245	12		fishnpc10052	"fish_10163,fish_10178"	洛阳	4	8	60	24	1000	13	13			3952	45	207		2	4		2							
fishnpc10053new	MineNpc	鲜活大白鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	5	1		fishnpc10053	"fish_10002,fish_10006"	漠河镇	6	1	1	0	1000	13	13			3953	45	207		3	6		3							
fishnpc10054new	MineNpc	鲜活狗鱼群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	15	1		fishnpc10054	"fish_10009,fish_10013"	漠河镇	6	1	1	0	1000	13	13			3954	45	207		3	6		3							
fishnpc10055new	MineNpc	鲜活鲱鱼群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	55	1		fishnpc10055	"fish_10019,fish_10021"	漠河镇	6	2	5	2	1000	13	13			3955	45	207		3	6		3							
fishnpc10056new	MineNpc	肥硕马头鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	75	2		fishnpc10056	"fish_10031,fish_10043"	漠河镇	4	3	5	2	1000	13	13			3956	45	207		2	4		2							
fishnpc10057new	MineNpc	肥硕燕鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	85	3		fishnpc10057	"fish_10036,fish_10044"	丐帮	6	3	7	2	1000	13	13			3957	45	207		3	6		3							
fishnpc10058new	MineNpc	肥硕鲅鱼群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	95	4		fishnpc10058	"fish_10048,fish_10058"	丐帮	6	3	7	2	1000	13	13			3958	45	207		3	6		3							
fishnpc10059new	MineNpc	肥硕塘角鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	175	7		fishnpc10059	"fish_10083,fish_10098"	丐帮	6	6	20	8	1000	13	13			3959	45	207		3	6		3							
fishnpc10060new	MineNpc	鲜活香鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	185	9		fishnpc10060	"fish_10112,fish_10122"	丐帮	4	6	30	12	1000	13	13			3960	45	207		2	4		2							
fishnpc10061new	MineNpc	鲜活白鲦群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	145	7		fishnpc10061	"fish_10071,fish_10095"	燕京	6	5	15	6	1000	13	13			3961	45	207		3	6		3							
fishnpc10062new	MineNpc	鲜活灯笼鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	195	9		fishnpc10062	"fish_10105,fish_10130"	燕京	6	6	30	12	1000	13	13			3962	45	207		3	6		3							
fishnpc10063new	MineNpc	肥硕雪鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	235	10		fishnpc10063	"fish_10146,fish_10155"	燕京	6	7	60	24	1000	13	13			3963	45	207		3	6		3							
fishnpc10064new	MineNpc	肥硕花鱼群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	245	12		fishnpc10064	"fish_10161,fish_10183"	燕京	4	8	60	24	1000	13	13			3964	45	207		2	4		2							
fishnpc10065new	MineNpc	鲜活竹夹鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	205	9		fishnpc10065	"fish_10117,fish_10119"	泛黄平原	6	6	45	18	1000	13	13			3965	45	207		3	6		3							
fishnpc10066new	MineNpc	肥硕鮰鱼群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	215	10		fishnpc10066	"fish_10137,fish_10140"	泛黄平原	6	7	45	18	1000	13	13			3966	45	207		3	6		3							
fishnpc10067new	MineNpc	肥硕鲢鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	225	10		fishnpc10067	"fish_10143,fish_10152"	泛黄平原	6	7	45	18	1000	13	13			3967	45	207		3	6		3							
fishnpc10068new	MineNpc	肥硕细鳞鱼群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	245	12		fishnpc10068	"fish_10166,fish_10180"	泛黄平原	4	8	60	24	1000	13	13			3968	45	207		2	4		2							
fishnpc10069new	MineNpc	鲜活银鲫群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	205	9		fishnpc10069	"fish_10114,fish_10125"	蓬莱	6	6	45	18	1000	13	13			3969	45	207		3	6		3							
fishnpc10070new	MineNpc	鲜活青花鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	215	10		fishnpc10070	"fish_10138,fish_10142"	蓬莱	6	7	45	18	1000	13	13			3970	45	207		3	6		3							
fishnpc10071new	MineNpc	鲜活白鲳群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	245	11		fishnpc10071	"fish_10149,fish_10157"	蓬莱	6	8	60	24	1000	13	13			3971	45	207		3	6		3							
fishnpc10072new	MineNpc	鲜活胭脂鱼群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	245	12		fishnpc10072	"fish_10168,fish_10175"	蓬莱	4	8	60	24	1000	13	13			3972	45	207		2	4		2							
fishnpc10073new	MineNpc	鲜活赤鳞鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	255	12		fishnpc10073	"fish_10160,fish_10176"	幽云十八洲	6	8	80	32	1000	13	13			3973	45	207		3	6		3							
fishnpc10074new	MineNpc	鲜活红鲷鱼群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	265	13		fishnpc10074	"fish_10172,fish_10186"	幽云十八洲	6	8	80	32	1000	13	13			3974	45	207		3	6		3							
fishnpc10075new	MineNpc	鲜活大银鱼群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	275	14		fishnpc10075	"fish_10188,fish_10195"	幽云十八洲	6	9	80	32	1000	13	13			3975	45	207		3	6		3							
fishnpc10076new	MineNpc	凶猛白鲟群	npc\cj_101010	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	285	15		fishnpc10076	"fish_10190,fish_10197"	幽云十八洲	4	9	100	40	1000	13	13			3976	45	207		2	4		2							
fishnpc10077new	MineNpc	肥硕鳊鱼群	npc\cj_101004	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	5	1		fishnpc10077	"fish_10001,fish_10007"	烟雨庄	6	1	1	0	1000	13	13			3977	45	207		3	6		3							
fishnpc10078new	MineNpc	凶猛青鱼群	npc\cj_101005	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	25	1		fishnpc10078	"fish_10010,fish_10016"	烟雨庄	6	1	1	0	1000	13	13			3978	45	207		3	6		3							
fishnpc10079new	MineNpc	肥硕鲳鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	45	1		fishnpc10079	"fish_10017,fish_10023"	烟雨庄	6	2	2	0	1000	13	13			3979	45	207		3	6		3							
fishnpc10080new	MineNpc	淘气小黄鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	75	2		fishnpc10080	"fish_10035,fish_10041"	烟雨庄	4	3	5	2	1000	13	13			3980	45	207		2	4		2							
fishnpc10081new	MineNpc	淘气螃蟹群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	75	3		fishnpc10081	"fish_10032,fish_10047"	君子堂	6	3	5	2	1000	13	13			3981	45	207		3	6		3							
fishnpc10082new	MineNpc	淘气青蟹群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	115	4		fishnpc10082	"fish_10055,fish_10064"	君子堂	6	4	10	4	1000	13	13			3982	45	207		3	6		3							
fishnpc10083new	MineNpc	淘气花泥鳅群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	155	7		fishnpc10083	"fish_10075,fish_10089"	君子堂	6	5	20	8	1000	13	13			3983	45	207		3	6		3							
fishnpc10084new	MineNpc	淘气紫薄鳅群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	185	9		fishnpc10084	"fish_10118,fish_10134"	君子堂	4	6	30	12	1000	13	13			3984	45	207		2	4		2							
fishnpc10085new	MineNpc	淘气黄菇鱼群	npc\cj_101006	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	65	3		fishnpc10085	"fish_10028,fish_10038"	极乐谷	6	2	5	2	1000	13	13			3985	45	207		3	6		3							
fishnpc10086new	MineNpc	凶猛黄骨鱼群	npc\cj_101007	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	105	4		fishnpc10086	"fish_10051,fish_10060"	极乐谷	6	4	10	4	1000	13	13			3986	45	207		3	6		3							
fishnpc10087new	MineNpc	肥硕鲥鱼群	npc\cj_101008	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	165	7		fishnpc10087	"fish_10081,fish_10088"	极乐谷	6	5	20	8	1000	13	13			3987	45	207		3	6		3							
fishnpc10088new	MineNpc	凶猛金线鱼群	npc\cj_101009	icon\funcnpc\cj_010001.png	141	2	40	8	8		20	interact006	20000	5000	2	sh_yf	185	9		fishnpc10088	"fish_10107,fish_10127"	极乐谷	4	6	30	12	1000	13	13			3988	45	207		2	4		2							
