NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	性别	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	是否能接镖	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	身份参数01	身份参数2	身份参数3	对话规则	踢馆专用关联NPC	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	空闲状态对话	碰撞时对话	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	禁播受击动作	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	防御概率	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	NPC交互停留时间	门派职权	初始动作固定帧播放	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	所属帮会地块编号	AI编辑包	善恶参数	直接触发	对话类型	地位评分	世界触发器相关	报复等级	报复手段	是否可结婚	格挡方式(-1表示不格挡)	模型缩放	存在时间	退出发声对话	是否预载入模型	是否可被捕捉	捕捉道具	桃花岛骑鱼QTE	天气包	只关心距离脱离战斗	优先显示	动作集
gb012	CommonNpc	张迪芙		8	87	2	2			1.3	4.8	hand1_2	npc\worldnpc061			icon\funcnpc\worldnpc061.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb013	CommonNpc	王梅双		8	87	2	2			1.3	4.8	hand1_2	npc\worldnpc061			icon\funcnpc\worldnpc061.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb014	CommonNpc	柯元		8	87	2	2			1.25	4	hand1_1	npc\worldnpc493			icon\funcnpc\worldnpc493.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb015	CommonNpc	马东		8	87	2	2			1.25	4	hand1_1	npc\worldnpc493			icon\funcnpc\worldnpc493.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb016	CommonNpc	元诚杰		8	87	2	2			1.25	4	hand1_1	npc\worldnpc164			icon\funcnpc\worldnpc164.png					0				3	0	0			20				1			4	10	2	talkrule041002							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							3			2		2	25													
gb017	CommonNpc	席诚单		8	87	2	2			1.25	4	hand1_1	npc\worldnpc164			icon\funcnpc\worldnpc164.png					0				3	0	0			20				1			4	10	2	talkrule041002							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							4			2		2	25													
gb018	CommonNpc	李诚剑		8	87	2	2			1.25	4	hand1_1	npc\worldnpc164			icon\funcnpc\worldnpc164.png					0	npc\npc_qiecuo_change.lua			3	0	0			20				1			4	10	2	talkrule041002			1				159;169;179;191;192					1	2		1											1						1			2000	15		2000						1		0	10																							3			2		2	25													
gb019	CommonNpc	周成虎		8	87	2	2			1.25	4	hand1_1	npc\worldnpc164			icon\funcnpc\worldnpc164.png					0				3	0	0			20				1			4	10	2	talkrule041002							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							4			2		2	25													
gb020	CommonNpc	木诚直		8	87	2	2			1.25	4	hand1_1	npc\worldnpc164			icon\funcnpc\worldnpc164.png					0				3	0	0			20				1			4	10	2	talkrule041002							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							3			2		2	25													
gb021	CommonNpc	神秘人		8	87	2	2			1.25	4	hand1_1	npc\worldnpc574			icon\funcnpc\worldnpc574.png					0				3	0	0			20				1			6	2	1	talkrule060201							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							3			4																
gb022	CommonNpc	斗笠人		8	87	2	2			1.25	4	hand1_1	npc\worldnpc574			icon\funcnpc\worldnpc574.png					0				3	0	0			20				1			6	2	1	talkrule060201							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							4			4																
gb023	CommonNpc	神秘男子		8	87	2	2			1.25	4	hand1_1	npc\worldnpc574			icon\funcnpc\worldnpc574.png					0				3	0	0			20				1			6	2	1	talkrule060201							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							3			4																
gb024	CommonNpc	杂役		8	87	2	2			1.25	4	hand1_1	npc\worldnpc452			icon\funcnpc\worldnpc452.png					0				3	0	0			20				1			4	10	2	talkrule041002							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							4			2																
gb025	CommonNpc	杂役		8	87	2	2			1.25	4	hand1_1	npc\worldnpc452			icon\funcnpc\worldnpc452.png					0				3	0	0			20				1			4	10	2	talkrule041002							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							3			2																
gb026	CommonNpc	杂役		8	87	2	2			1.25	4	hand1_1	npc\worldnpc454			icon\funcnpc\worldnpc454.png					0				3	0	0			20				1			4	10	2	talkrule041002							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							3			2																
gb027	CommonNpc	神秘的老乞丐		8	87	2	2			1.25	4	hand1_1	npc\worldnpc492			icon\funcnpc\worldnpc492.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb028	CommonNpc	胡天霸		8	87	2	2			1.25	4	hand1_1	npc\monster189			icon\monster\monster189.png					0				3	0	0			20				1			7	7	5	talkrule070705							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			3		3	14													
gb029	CommonNpc	强盗		8	87	2	2			1.25	4	hand1_1	npc\monster413			icon\monster\monster413.png					0				3	0	0			20				1			6	2	1	talkrule060201							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			4																
gb030	CommonNpc	强盗		8	87	2	2			1.25	4	hand1_1	npc\monster413			icon\monster\monster413.png					0				3	0	0			20				1			6	2	1	talkrule060201							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			4																
gb031	CommonNpc	强盗		8	87	2	2			1.25	4	hand1_1	npc\monster413			icon\monster\monster413.png					0				3	0	0			20				1			6	2	1	talkrule060201							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			4																
gb032	CommonNpc	强盗		8	87	2	2			1.25	4	hand1_1	npc\monster413			icon\monster\monster413.png					0				3	0	0			20				1			6	2	1	talkrule060201							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			4																
gb033	CommonNpc	孔目白		8	87	2	2			1.4	4	hand1_1	npc\worldnpc229			icon\funcnpc\worldnpc229.png					0				3	0	0			20				1			6	2	2	talkrule060202							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			4																
gb034	CommonNpc	许大富		8	87	2	2			1.25	4	hand1_1	npc\monster039			icon\monster\monster039.png					0				3	0	0			20				1			7	2	11	talkrule070211							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb035	CommonNpc	水牛		8	112	2	2			1	4	hand_0	npc\monster551			icon\monster\monster551.png					0				3	0	0			20				1																		1	2		1											1						1			2000	15		2000								0	10																							1			0																
gb036	CommonNpc	王茂祥		8	87	2	2			1.25	4	hand1_1	npc\worldnpc511			icon\funcnpc\worldnpc511.png					0				3	0	0			20				1			7	2	19	talkrule070219							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb037	CommonNpc	闲逛的老乞丐		8	87	2	2			1.25	4	hand1_1	npc\worldnpc492			icon\funcnpc\worldnpc492.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb038	CommonNpc	江一居		8	87	2	2			1.25	4	hand1_1	npc\worldnpc159			icon\funcnpc\worldnpc159.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb039	CommonNpc	田马		8	87	2	2			1.25	4	hand1_1	npc\worldnpc159			icon\funcnpc\worldnpc159.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb040	CommonNpc	张强贵		8	87	2	2			1.25	4	hand1_1	npc\worldnpc159			icon\funcnpc\worldnpc159.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb041	CommonNpc	方保		8	87	2	2			1.25	4	hand1_1	npc\worldnpc159			icon\funcnpc\worldnpc159.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb042	CommonNpc	广成		8	87	2	2			1.25	4	hand1_1	npc\worldnpc519			icon\funcnpc\worldnpc519.png					0				3	0	0			20				1			6	2	2	talkrule060202							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			4																
gb043	CommonNpc	广天		8	87	2	2			1.25	4	hand1_1	npc\worldnpc520			icon\funcnpc\worldnpc520.png					0				3	0	0			20				1			6	2	2	talkrule060202							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			4																
gb044	CommonNpc	广福		8	87	2	2			1.25	4	hand1_1	npc\worldnpc521			icon\funcnpc\worldnpc521.png					0				3	0	0			20				1			6	2	2	talkrule060202							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			4																
gb045	CommonNpc	蒙面人		8	87	2	2			1.25	4	hand1_1	npc\monster246			icon\monster\monster246.png					0				3	0	0			20				1			6	2	2	talkrule060202							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			4																
gb046	CommonNpc	蒙面人		8	87	2	2			1.25	4	hand1_1	npc\monster246			icon\monster\monster246.png					0				3	0	0			20				1			6	2	2	talkrule060202							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			4																
gb047	CommonNpc	言潮		8	87	2	2			1.25	4	hand1_1	npc\worldnpc1240			icon\funcnpc\worldnpc404.png					0				3	0	0			20				1													159;169;179;191;192																																								10																										0																
gb048	CommonNpc	钱步多		8	87	2	2		1	1.2	4	hand1_1	npc\worldnpc211			icon\funcnpc\worldnpc211.png					0				3	0	0			20				1			8	4	2	talkrule080402							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			3		3	14													
gb049	CommonNpc	郝艾乾		8	87	2	2		1	1.1	4	hand1_1	npc\fbnpc00007			icon\monster\fbnpc00007.png					0				3	0	0			20				1			6	1	3	talkrule060103							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			5																
gb050	CommonNpc	刘大胆		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc513			icon\funcnpc\worldnpc513.png					0				3	0	0			20				1			7	1	6	talkrule070106							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			3																
gb051	CommonNpc	晁宝月		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc409			icon\funcnpc\worldnpc409.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb052	CommonNpc	茹眈		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc409			icon\funcnpc\worldnpc409.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb053	CommonNpc	楚献		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc409			icon\funcnpc\worldnpc409.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb054	CommonNpc	赖伟祺		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc409			icon\funcnpc\worldnpc409.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb055	CommonNpc	施志泽		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc409			icon\funcnpc\worldnpc409.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb056	CommonNpc	邹建		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc409			icon\funcnpc\worldnpc409.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb057	CommonNpc	丰明辉		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc409			icon\funcnpc\worldnpc409.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb058	CommonNpc	葛铭		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc132			icon\funcnpc\worldnpc132.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb059	CommonNpc	乌浒		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc132			icon\funcnpc\worldnpc132.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb060	CommonNpc	何浩达		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc132			icon\funcnpc\worldnpc132.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb061	CommonNpc	束长义		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc132			icon\funcnpc\worldnpc132.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb062	CommonNpc	后旭尧		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc132			icon\funcnpc\worldnpc132.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb063	CommonNpc	齐盼		8	87	2	2		1	1	4.8	hand1_2	npc\worldnpc196			icon\funcnpc\worldnpc196.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb064	CommonNpc	水圣杰		8	87	2	2		1	1	4.8	hand1_2	npc\worldnpc196			icon\funcnpc\worldnpc196.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb065	CommonNpc	莫佑		8	87	2	2		1	1	4.8	hand1_2	npc\worldnpc196			icon\funcnpc\worldnpc196.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb066	CommonNpc	平淞		8	87	2	2		1	1	4.8	hand1_2	npc\worldnpc196			icon\funcnpc\worldnpc196.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb067	CommonNpc	终晟睿		8	87	2	2		1	1	4.8	hand1_2	npc\worldnpc196			icon\funcnpc\worldnpc196.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb068	CommonNpc	彭斌		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc408			icon\funcnpc\worldnpc408.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb069	CommonNpc	年健柏		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc408			icon\funcnpc\worldnpc408.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb070	CommonNpc	鲁宙		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc408			icon\funcnpc\worldnpc408.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb071	CommonNpc	昝擎志		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc408			icon\funcnpc\worldnpc408.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb072	CommonNpc	通佳芝		8	87	2	2		1	1.3	4.8	hand1_2	npc\worldnpc407			icon\funcnpc\worldnpc407.png					0				3	0	0			20				1			7	2	4	talkrule070204							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb073	CommonNpc	祖小岚		8	87	2	2		1	1.3	4.8	hand1_2	npc\worldnpc407			icon\funcnpc\worldnpc407.png					0				3	0	0			20				1			7	2	4	talkrule070204							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb074	CommonNpc	卫梦菲		8	87	2	2		1	1.3	4.8	hand1_2	npc\worldnpc407			icon\funcnpc\worldnpc407.png					0				3	0	0			20				1			7	2	4	talkrule070204							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb075	CommonNpc	桑黛玉		8	87	2	2		1	1.3	4.8	hand1_2	npc\worldnpc407			icon\funcnpc\worldnpc407.png					0				3	0	0			20				1			7	2	4	talkrule070204							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb076	CommonNpc	樊黛		8	87	2	2		1	1.3	4.8	hand1_2	npc\worldnpc405			icon\funcnpc\worldnpc405.png					0				3	0	0			20				1			7	2	4	talkrule070204							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb077	CommonNpc	彭芹		8	87	2	2		1	1.3	4.8	hand1_2	npc\worldnpc405			icon\funcnpc\worldnpc405.png					0				3	0	0			20				1			7	2	4	talkrule070204							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb078	CommonNpc	越蕴		8	87	2	2		1	1.3	4.8	hand1_2	npc\worldnpc405			icon\funcnpc\worldnpc405.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb079	CommonNpc	姜健柏		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc423			icon\funcnpc\worldnpc423.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb080	CommonNpc	汤小岚		8	87	2	2		1	1.3	4.8	hand1_2	npc\worldnpc428			icon\funcnpc\worldnpc428.png					0				3	0	0			20				1			7	2	4	talkrule070204							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb081	CommonNpc	韦婧		8	87	2	2		1	1.3	4.8	hand1_2	npc\worldnpc428			icon\funcnpc\worldnpc428.png					0				3	0	0			20				1			7	2	4	talkrule070204							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb082	CommonNpc	车慧丽		8	87	2	2		1	1.3	4.8	hand1_2	npc\worldnpc428			icon\funcnpc\worldnpc428.png					0				3	0	0			20				1			7	2	4	talkrule070204							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb083	CommonNpc	翟旭尧		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc423			icon\funcnpc\worldnpc423.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb084	CommonNpc	索磊		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc423			icon\funcnpc\worldnpc423.png					0				3	0	0			20				1			7	2	3	talkrule070203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb085	CommonNpc	鲍予		8	87	2	2		1	0.5	4	hand1_1	npc\worldnpc081			icon\funcnpc\worldnpc081.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb086	CommonNpc	尹绰		8	87	2	2		1	0.5	4	hand1_1	npc\worldnpc081			icon\funcnpc\worldnpc081.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb087	CommonNpc	哈焕		8	87	2	2		1	0.5	4	hand1_1	npc\worldnpc081			icon\funcnpc\worldnpc081.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb088	CommonNpc	满眈		8	87	2	2		1	0.5	4	hand1_1	npc\worldnpc081			icon\funcnpc\worldnpc081.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb089	CommonNpc	石巍		8	87	2	2		1	0.5	4	hand1_1	npc\worldnpc081			icon\funcnpc\worldnpc081.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb090	CommonNpc	羊擎宇		8	87	2	2		1	0.5	4	hand1_1	npc\worldnpc081			icon\funcnpc\worldnpc081.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb091	CommonNpc	衡目		8	87	2	2		1	0.5	4	hand1_1	npc\worldnpc081			icon\funcnpc\worldnpc081.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb092	CommonNpc	慕眈		8	87	2	2		1	0.5	4	hand1_1	npc\worldnpc081			icon\funcnpc\worldnpc081.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb093	CommonNpc	仲磊		8	87	2	2		1	0.5	4	hand1_1	npc\worldnpc081			icon\funcnpc\worldnpc081.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb094	CommonNpc	柳眈		8	87	2	2		1	0.5	4	hand1_1	npc\worldnpc081			icon\funcnpc\worldnpc081.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb095	CommonNpc	麻致远		8	87	2	2		1	 	4	hand1_1	npc\worldnpc493			icon\funcnpc\worldnpc493.png					0				3	0	0			20				1			1	2	3	talkrule010203			1				159;169;179;191;192					280	15		1											1						1			2000	15		2000						1		0	10																							1			2																
gb096	CommonNpc	艾哲瀚		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc493			icon\funcnpc\worldnpc493.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb097	CommonNpc	鄢涉		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc493			icon\funcnpc\worldnpc493.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb098	CommonNpc	浦熠彤		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc493			icon\funcnpc\worldnpc493.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb099	CommonNpc	陶溯		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc493			icon\funcnpc\worldnpc493.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb100	CommonNpc	常昊强		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc493			icon\funcnpc\worldnpc493.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb101	CommonNpc	景萧		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc493			icon\funcnpc\worldnpc493.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb102	CommonNpc	后驰		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc159			icon\funcnpc\worldnpc159.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb103	CommonNpc	弘天		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc159			icon\funcnpc\worldnpc159.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb104	CommonNpc	阮楷瑞		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc159			icon\funcnpc\worldnpc159.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb105	CommonNpc	秋浩		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc159			icon\funcnpc\worldnpc159.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb106	CommonNpc	缪绅		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc159			icon\funcnpc\worldnpc159.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10									1454;1462;														1			2																
gb107	CommonNpc	水航		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc159			icon\funcnpc\worldnpc159.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb108	CommonNpc	帅则		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc493			icon\funcnpc\worldnpc493.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb109	CommonNpc	郏伟泽		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc493			icon\funcnpc\worldnpc493.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb110	CommonNpc	凌浩		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc493			icon\funcnpc\worldnpc493.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb111	CommonNpc	荆涉		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc493			icon\funcnpc\worldnpc493.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb112	CommonNpc	章风华		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc493			icon\funcnpc\worldnpc493.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
gb113	CommonNpc	华越泽		8	87	2	2		1	1.25	4	hand1_1	npc\worldnpc493			icon\funcnpc\worldnpc493.png					0				3	0	0			20				1			1	2	3	talkrule010203							159;169;179;191;192					1	2		1											1						1			2000	15		2000								0	10																							1			2																
