NPC编号	对象类型	ini注释名称	NPC乞讨信息	AI编辑包	表现AI包编号	NPC类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器名称	武器持握方式	模型编号	性别	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	身份参数01	身份参数2	身份参数3	对话规则	踢馆专用关联NPC	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	空闲状态对话	碰撞时对话	锁定位移攻击	禁播受击动作	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	所属帮会地块编号	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	防御概率	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	修理时间	修理动作	修理范围	普通攻击	技能表	无拾取物消失时间	AI编辑包	NPC交互停留时间	直接触发	脱战回血	镖车寻路	世界触发器相关	存在时间	捐献类型	使用轻功	天气包	缩放尺寸	跟随距离	跟随位置	是否镖道扬威镖车	镖车能否修复	镖车能否控制	移动状态	优先显示	不进入战斗
TGnpc042	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster252			icon\monster\monster252.png					0			3	0	0			8																																																																																																				
TGnpc1041	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster252			icon\monster\monster252.png					0			3	0	0			8																																																																																																				
TGnpc1042	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster252			icon\monster\monster252.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	13神风帮																																																																																																																																		
TGnpc052	CommonNpc	进入			8	50	2	2			1.25	4		hand1_1	npc\worldnpc190			icon\funcnpc\worldnpc190.png					0			3	0	0			8																																																																																																				
TGnpc053	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc190			icon\funcnpc\worldnpc190.png					0			3	0	0			8																																																																																																				
TGnpc054	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc190			icon\funcnpc\worldnpc190.png					0			3	0	0			8																																																																																																				
TGnpc1053	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc190			icon\funcnpc\worldnpc190.png					0			3	0	0			8																																																																																																				
TGnpc1054	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc190			icon\funcnpc\worldnpc190.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	14幽冥宫																																																																																																																																		
TGnpc031	CommonNpc	进入			8	50	2	2			1.3	4.8		hand1_2	npc\monster275			icon\monster\monster275.png					0			3	0	0			8																																																																																																				
TGnpc032	CommonNpc	切场景离开			8	51	2	2			1.3	4.8		hand1_2	npc\monster275			icon\monster\monster275.png					0			3	0	0			8																																																																																																				
TGnpc033	CommonNpc	不切场景离开			8	51	2	2			1.3	4.8		hand1_2	npc\monster275			icon\monster\monster275.png					0			3	0	0			8																																																																																																				
TGnpc1032	CommonNpc	切场景离开			8	51	2	2			1.3	4.8		hand1_2	npc\monster275			icon\monster\monster275.png					0			3	0	0			8																																																																																																				
TGnpc1033	CommonNpc	不切场景离开			8	51	2	2			1.3	4.8		hand1_2	npc\monster275			icon\monster\monster275.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	15古墓派																																																																																																																																		
TGnpc034	CommonNpc	进入			8	50	2	2			1.3	4.8		hand1_2	npc\monster078			icon\monster\monster078.png					0			3	0	0			8																																																																																																				
TGnpc035	CommonNpc	切场景离开			8	51	2	2			1.3	4.8		hand1_2	npc\monster078			icon\monster\monster078.png					0			3	0	0			8																																																																																																				
TGnpc036	CommonNpc	不切场景离开			8	51	2	2			1.3	4.8		hand1_2	npc\monster078			icon\monster\monster078.png					0			3	0	0			8																																																																																																				
TGnpc1035	CommonNpc	切场景离开			8	51	2	2			1.3	4.8		hand1_2	npc\monster078			icon\monster\monster078.png					0			3	0	0			8																																																																																																				
TGnpc1036	CommonNpc	不切场景离开			8	51	2	2			1.3	4.8		hand1_2	npc\monster078			icon\monster\monster078.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	16沐云庄																																																																																																																																		
TGnpc046	CommonNpc	进入			8	50	2	2			1.25	4		hand1_1	npc\monster189			icon\monster\monster189.png					0			3	0	0			8																																																																																																				
TGnpc047	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster189			icon\monster\monster189.png					0			3	0	0			8																																																																																																				
TGnpc048	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster189			icon\monster\monster189.png					0			3	0	0			8																																																																																																				
TGnpc1047	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster189			icon\monster\monster189.png					0			3	0	0			8																																																																																																				
TGnpc1048	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster189			icon\monster\monster189.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	17十二连环坞																																																																																																																																		
TGnpc055	CommonNpc	进入			8	50	2	2			1.25	4		hand1_1	npc\worldnpc358			icon\funcnpc\worldnpc358.png					0			3	0	0			8																																																																																																				
TGnpc056	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc358			icon\funcnpc\worldnpc358.png					0			3	0	0			8																																																																																																				
TGnpc057	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc358			icon\funcnpc\worldnpc358.png					0			3	0	0			8																																																																																																				
TGnpc1056	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc358			icon\funcnpc\worldnpc358.png					0			3	0	0			8																																																																																																				
TGnpc1057	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc358			icon\funcnpc\worldnpc358.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	18东方世家																																																																																																																																		
TGnpc058	CommonNpc	进入			8	50	2	2			1.25	4		hand1_1	npc\worldnpc253			icon\funcnpc\worldnpc253.png					0			3	0	0			8																																																																																																				
TGnpc059	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc253			icon\funcnpc\worldnpc253.png					0			3	0	0			8																																																																																																				
TGnpc060	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc253			icon\funcnpc\worldnpc253.png					0			3	0	0			8																																																																																																				
TGnpc1059	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc253			icon\funcnpc\worldnpc253.png					0			3	0	0			8																																																																																																				
TGnpc1060	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc253			icon\funcnpc\worldnpc253.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	19慕容世家																																																																																																																																		
TGnpc061	CommonNpc	进入			8	50	2	2			1.25	4		hand1_1	npc\worldnpc1427								0			3	0	0			8																																																																																																				
TGnpc062	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc1427								0			3	0	0			8																																																																																																				
TGnpc063	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc1427								0			3	0	0			8																																																																																																				
TGnpc1062	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc1427								0			3	0	0			8																																																																																																				
TGnpc1063	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc1427								0			3	0	0			8																																																																																																				
																																																																																																																																			
	20燕门世家																																																																																																																																		
TGnpc064	CommonNpc	进入			8	50	2	2			1.25	4		hand1_1	npc\monster259			icon\monster\monster259.png					0			3	0	0			8																																																																																																				
TGnpc065	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster259			icon\monster\monster259.png					0			3	0	0			8																																																																																																				
TGnpc066	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster259			icon\monster\monster259.png					0			3	0	0			8																																																																																																				
TGnpc1065	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster259			icon\monster\monster259.png					0			3	0	0			8																																																																																																				
TGnpc1066	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster259			icon\monster\monster259.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	21素云宫																																																																																																																																		
TGnpc067	CommonNpc	进入			8	50	2	2			1.3	4.8		hand1_2	npc\monster195			icon\monster\monster195.png					0			3	0	0			8																																																																																																				
TGnpc068	CommonNpc	切场景离开			8	51	2	2			1.3	4.8		hand1_2	npc\monster195			icon\monster\monster195.png					0			3	0	0			8																																																																																																				
TGnpc069	CommonNpc	不切场景离开			8	51	2	2			1.3	4.8		hand1_2	npc\monster195			icon\monster\monster195.png					0			3	0	0			8																																																																																																				
TGnpc1068	CommonNpc	切场景离开			8	51	2	2			1.3	4.8		hand1_2	npc\monster195			icon\monster\monster195.png					0			3	0	0			8																																																																																																				
TGnpc1069	CommonNpc	不切场景离开			8	51	2	2			1.3	4.8		hand1_2	npc\monster195			icon\monster\monster195.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	22凌霄城																																																																																																																																		
TGnpc070	CommonNpc	进入			8	50	2	2			1.25	4		hand1_1	npc\worldnpc308			icon\funcnpc\worldnpc308.png					0			3	0	0			8																																																																																																				
TGnpc071	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc308			icon\funcnpc\worldnpc308.png					0			3	0	0			8																																																																																																				
TGnpc072	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc308			icon\funcnpc\worldnpc308.png					0			3	0	0			8																																																																																																				
TGnpc1071	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc308			icon\funcnpc\worldnpc308.png					0			3	0	0			8																																																																																																				
TGnpc1072	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc308			icon\funcnpc\worldnpc308.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	23杀人庄																																																																																																																																		
TGnpc073	CommonNpc	进入			8	50	2	2			1.25	4		hand1_1	npc\worldnpc535			icon\funcnpc\worldnpc535.png					0			3	0	0			8																																																																																																				
TGnpc074	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc535			icon\funcnpc\worldnpc535.png					0			3	0	0			8																																																																																																				
TGnpc075	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc535			icon\funcnpc\worldnpc535.png					0			3	0	0			8																																																																																																				
TGnpc1074	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc535			icon\funcnpc\worldnpc535.png					0			3	0	0			8																																																																																																				
TGnpc1075	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc535			icon\funcnpc\worldnpc535.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	24大漠鬼城																																																																																																																																		
TGnpc076	CommonNpc	进入			8	50	2	2			1.25	4		hand1_1	npc\monster074			icon\monster\monster074.png					0			3	0	0			8																																																																																																				
TGnpc077	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster074			icon\monster\monster074.png					0			3	0	0			8																																																																																																				
TGnpc078	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster074			icon\monster\monster074.png					0			3	0	0			8																																																																																																				
TGnpc1077	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster074			icon\monster\monster074.png					0			3	0	0			8																																																																																																				
TGnpc1078	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster074			icon\monster\monster074.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	25天外天																																																																																																																																		
TGnpc079	CommonNpc	进入			8	50	2	2			1.25	4		hand1_1	npc\worldnpc384			icon\funcnpc\worldnpc384.png					0			3	0	0			8																																																																																																				
TGnpc080	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc384			icon\funcnpc\worldnpc384.png					0			3	0	0			8																																																																																																				
TGnpc081	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc384			icon\funcnpc\worldnpc384.png					0			3	0	0			8																																																																																																				
TGnpc1080	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc384			icon\funcnpc\worldnpc384.png					0			3	0	0			8																																																																																																				
TGnpc1081	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc384			icon\funcnpc\worldnpc384.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	26秦王府																																																																																																																																		
TGnpc082	CommonNpc	进入			8	50	2	2			1.25	4		hand1_1	npc\monster069			icon\monster\monster069.png					0			3	0	0			8																																																																																																				
TGnpc083	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster069			icon\monster\monster069.png					0			3	0	0			8																																																																																																				
TGnpc084	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster069			icon\monster\monster069.png					0			3	0	0			8																																																																																																				
TGnpc1083	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster069			icon\monster\monster069.png					0			3	0	0			8																																																																																																				
TGnpc1084	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster069			icon\monster\monster069.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	27饿虎山寨																																																																																																																																		
TGnpc085	CommonNpc	进入			8	50	2	2			1.25	4		hand1_1	npc\monster115			icon\monster\monster115.png					0			3	0	0			8																																																																																																				
TGnpc086	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster115			icon\monster\monster115.png					0			3	0	0			8																																																																																																				
TGnpc087	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster115			icon\monster\monster115.png					0			3	0	0			8																																																																																																				
TGnpc1086	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster115			icon\monster\monster115.png					0			3	0	0			8																																																																																																				
TGnpc1087	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster115			icon\monster\monster115.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	28抱犊寨																																																																																																																																		
TGnpc088	CommonNpc	进入			8	50	2	2			1.25	4		hand1_1	npc\worldnpc157			icon\funcnpc\worldnpc157.png					0			3	0	0			8																																																																																																				
TGnpc089	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc157			icon\funcnpc\worldnpc157.png					0			3	0	0			8																																																																																																				
TGnpc090	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc157			icon\funcnpc\worldnpc157.png					0			3	0	0			8																																																																																																				
TGnpc1089	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc157			icon\funcnpc\worldnpc157.png					0			3	0	0			8																																																																																																				
TGnpc1090	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc157			icon\funcnpc\worldnpc157.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	29天宝寨																																																																																																																																		
TGnpc091	CommonNpc	进入			8	50	2	2			1.25	4		hand1_1	npc\monster252			icon\monster\monster252.png					0			3	0	0			8																																																																																																				
TGnpc092	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster252			icon\monster\monster252.png					0			3	0	0			8																																																																																																				
TGnpc093	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster252			icon\monster\monster252.png					0			3	0	0			8																																																																																																				
TGnpc1092	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster252			icon\monster\monster252.png					0			3	0	0			8																																																																																																				
TGnpc1093	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster252			icon\monster\monster252.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	30虎啸山庄																																																																																																																																		
TGnpc094	CommonNpc	进入			8	50	2	2			1.25	4		hand1_1	npc\worldnpc566			icon\funcnpc\worldnpc566.png					0			3	0	0			8																																																																																																				
TGnpc095	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc566			icon\funcnpc\worldnpc566.png					0			3	0	0			8																																																																																																				
TGnpc096	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc566			icon\funcnpc\worldnpc566.png					0			3	0	0			8																																																																																																				
TGnpc1095	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc566			icon\funcnpc\worldnpc566.png					0			3	0	0			8																																																																																																				
TGnpc1096	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc566			icon\funcnpc\worldnpc566.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	31幽灵山庄																																																																																																																																		
TGnpc097	CommonNpc	进入			8	50	2	2			1.25	4		hand1_1	npc\worldnpc565			icon\funcnpc\worldnpc565.png					0			3	0	0			8																																																																																																				
TGnpc098	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc565			icon\funcnpc\worldnpc565.png					0			3	0	0			8																																																																																																				
TGnpc099	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc565			icon\funcnpc\worldnpc565.png					0			3	0	0			8																																																																																																				
TGnpc1098	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc565			icon\funcnpc\worldnpc565.png					0			3	0	0			8																																																																																																				
TGnpc1099	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\worldnpc565			icon\funcnpc\worldnpc565.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
	32天罗教																																																																																																																																		
TGnpc100	CommonNpc	进入			8	50	2	2			1.25	4		hand1_1	npc\monster052			icon\monster\monster052.png					0			3	0	0			8																																																																																																				
TGnpc101	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster052			icon\monster\monster052.png					0			3	0	0			8																																																																																																				
TGnpc102	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster052			icon\monster\monster052.png					0			3	0	0			8																																																																																																				
TGnpc1101	CommonNpc	切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster052			icon\monster\monster052.png					0			3	0	0			8																																																																																																				
TGnpc1102	CommonNpc	不切场景离开			8	51	2	2			1.25	4		hand1_1	npc\monster052			icon\monster\monster052.png					0			3	0	0			8																																																																																																				
																																																																																																																																			
																																																																																																																																			
GemGameNpc001	CommonNpc				8	123	2	2			1.25	4		hand1_1	npc\funcnpc001			icon\funcnpc\funcnpc001.png					0	npc\GemGameNpc.lua		3	0	0			20	prop_QiTaMenPai_1		Home_131	1								StoryMP_34																																																																																								
GemGameNpc002	CommonNpc				8	128	2	2			1.2	4.8		hand1_2	npc\worldnpc182			icon\funcnpc\worldnpc182.png					0	npc\GemGameNpc.lua		3	0	0			20	prop_QiTaMenPai_1		Home_131	1								StoryFP_38																																																																																								
GemGameNpc003	CommonNpc				8	129	2	2			1.25	4		hand1_1	npc\funcnpc001			icon\funcnpc\funcnpc001.png					0	npc\GemGameNpc.lua		3	0	0			20	prop_QiTaMenPai_1		Home_131	1								StoryFP_22																																																																																								
GemGameNpc004	CommonNpc				8	130	2	2			1.25	4		hand1_1	npc\worldnpc162			icon\funcnpc\worldnpc162.png					0	npc\GemGameNpc.lua		3	0	0			20	prop_QiTaMenPai_1		Home_131	1								StoryMP_2																																																																																								
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
tangmenyinshi01	CommonNpc	唐门影视01			8	90	2	2						#N/A	npc\b_tangmen091								0			3	0	0			20		 																																																																																																		
tangmenyinshi02	CommonNpc	唐门影视02			8	90	2	2						#N/A	npc\b_tangmen092								0			3	0	0			20																																																																																																				
tangmenyinshi03	CommonNpc	唐门影视03			8	90	2	2						#N/A	npc\b_tangmen093								0			3	0	0			20																																																																																																				
tangmenyinshi04	CommonNpc	唐门影视04			8	90	2	2						#N/A	npc\b_tangmen094								0			3	0	0			20																																																																																																				
tangmenyinshi05	CommonNpc	唐门影视05			8	90	2	2						#N/A	npc\b_tangmen095								0			3	0	0			20																																																																																																				
tangmenyinshi06	CommonNpc	唐门影视06			8	90	2	2						#N/A	npc\b_tangmen096								0			3	0	0			20																																																																																																				
																																																																																																																																			
																																																																																																																																			
	// 运镖NPC																																																																																																																																		
EscortNpc0200	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	200																																															1														
EscortNpc0201	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	201			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0202	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	202			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0203	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	203			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0204	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	204			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0205	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	205			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0206	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	206			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0207	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	207			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0208	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	208			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0209	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	209			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0210	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	210			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0211	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	211			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0212	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	212			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0213	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	213			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0214	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	214			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0215	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	215			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0216	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	216			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0217	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	217			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0218	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	218			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0219	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	219			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0220	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	220			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0221	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	221			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0222	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	222			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0223	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	223			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
EscortNpc0224	EscortNpc	运镖NPC			0	213	2	2			2	4		hand_0	npc\mount001			icon\funcnpc\worldnpc296_large.png						interact\escort\escort_npc.lua		3	0	0			200																						1																	224			1	10		1										1	-1			1	0	0			200000	0								666			8000	interact043	3								1														
