NPC编号	ini注释名称	对象类型	Npc类型	级别	实力包编号	修为经验	怪物强度	掉落	走路速度	跑步速度	武器持握方式	是否转身	模型编号	性别	模型半径	图片	npc声音	材质类型	脚本编号	技能表	连招表	AI类型	主动被动	响应范围	锁定位移攻击	禁播受击动作	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	武器名称	武器类型	出生状态	刷新时间	表现AI包编号	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	势力归属	势力关系表	剥皮范围	剥皮动作	读条时间	技能编号	技能等级	最大剥皮次数	剩余剥皮次数	是否在剥皮中	生活工具限制包ID	消耗体力	消耗工具耐久	排行榜积分	显示掉落	生活掉落包ID	生活心得	敌人NPC编号表	队友编号	不能被杀死	攻击防御比重	"战斗频率,毫秒"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	"追击范围,米"	附加随机能力编号	普通攻击	AI编辑包	直接触发	使用轻功	格挡模式	破防几率	破防技能	动作集	生存时间	进入战斗对话	超过距离就脱战	脱战回血	无视玩家	仇恨
	"//5,无极峰太极台"																																																																																												
monm075100	好汉坡力士	AttackNpc	1	31	40		1	NormalMon03101	1	4	hand_0		npc\monster006		0.143695	icon\monster\monster006.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monm075200	蛮横山贼	AttackNpc	14	28	39		1	NormalMon02801	1.25	4	hand1_1		npc\monster190		0.925	icon\monster\monster190.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1163												
monm075201	粮仓卫兵	AttackNpc	14	33	40		1	NormalMon03301	1.25	4	hand1_1		npc\monster105		0.99	icon\monster\monster105.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1166												
monm075202	卫兵队长	AttackNpc	14	33	40		1	NormalMon03301	1.25	4	hand1_1		npc\monster483		0.99	icon\monster\monster483.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1166												
monm075203	山贼首领	AttackNpc	14	33	40		1	NormalMon03301	1.25	4	hand1_1		npc\monster190		0.925	icon\monster\monster190.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1163												
monm075300	蒙面刀客	AttackNpc	14	33	40		1	NormalMon03301	1.25	4	hand1_1		npc\worldnpc574		0.915	icon\funcnpc\worldnpc574.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1147												
monm075400	嚣张土匪	AttackNpc	14	30	39		1	NormalMon03001	1.25	4	hand1_1		npc\monster190		0.925	icon\monster\monster190.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1152												
monm075401	过路土匪	AttackNpc	14	34	40		1	NormalMon03401	1.25	4	hand1_1		npc\monster190		0.925	icon\monster\monster190.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1150												
monm075402	过路土匪首领	AttackNpc	14	34	40		1	NormalMon03401	1.25	4	hand1_1		npc\monster190		0.925	icon\monster\monster190.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1150												
monm075403	会功夫的土匪	AttackNpc	14	34	40		1	NormalMon03401	1.25	4	hand1_1		npc\monster190		0.925	icon\monster\monster190.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1150												
monm075500	空门帮喽啰	AttackNpc	14	35	40		1	NormalMon03501	1.25	4	hand1_1		npc\worldnpc551		0.895	icon\funcnpc\worldnpc551.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1151												
monm075501	贼眉老道	AttackNpc	14	35	40		1	NormalMon03500	1	3	hand_0		npc\monster053		0.973777	icon\monster\monster053.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1149			-1									
monm075502	鼠眼老僧	AttackNpc	14	35	40		1	NormalMon03501	1.25	4	hand1_1		npc\monster074		0.905	icon\monster\monster074.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1147												
monm075503	恶毒老尼	AttackNpc	14	35	40		1	NormalMon03501	1.3	4	hand1_2		npc\monster602		0.825	icon\monster\monster602.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1147												
monm075504	空门帮护院	AttackNpc	14	35	40		1	NormalMon03501	1.25	4	hand1_1		npc\worldnpc551		0.895	icon\funcnpc\worldnpc551.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1151												
monm075600	五步蛇	AttackNpc	14	36	41		1	AnimalMon00112	1	3	hand_0		npc\monster117		0.989951	icon\monster\monster117.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1146			-1									
monm075601	五毒教捕蛇人	AttackNpc	14	35	40		1	NormalMon03501	1.25	4	hand1_1		npc\worldnpc551		0.895	icon\funcnpc\worldnpc551.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1148												
monm075700	馋蜜狗熊	AttackNpc	14	37	41		1	AnimalMon00125	1.5	4.5	hand_0		npc\monster002		1.582473	icon\monster\monster002.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1146			-1									
monm075701	竹叶青	AttackNpc	14	36	41		1	AnimalMon00112	1	3	hand_0		npc\monster117		0.989951	icon\monster\monster117.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1146			-1									
monm075702	捕熊猎户	AttackNpc	14	37	41		1	NormalMon03701	1.25	4	hand1_1		npc\worldnpc514		0.905	icon\funcnpc\worldnpc514.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1146												
	"//6,天柱峰金殿"																																																																																												
																																																																																													
monm076101	挖药山民	AttackNpc	14	34	40		1	NormalMon03401	1.25	4	hand1_1		npc\worldnpc491		0.91	icon\funcnpc\worldnpc491.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1145												
monm076400	残暴杀手	AttackNpc	14	23	6		2	NormalMon03701	1.25	4	hand1_1		npc\monster036		1.030654	icon\monster\monster036.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1142												
monm076401	帮凶矿工	AttackNpc	14	37	41		1	NormalMon03701	1.25	4	hand1_1		npc\worldnpc403		0.910314	icon\funcnpc\worldnpc403.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1142												
monm076402	残暴杀手首领	AttackNpc	14	37	41		1	NormalMon03701	1.25	4	hand1_1		npc\monster036		1.030654	icon\monster\monster036.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1142												
monm076500	阴邪道人	AttackNpc	14	38	41		1	NormalMon03803	1	3	hand_0		npc\monster053		0.973777	icon\monster\monster053.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1169			-1									
monm076501	假三清观打手	AttackNpc	14	38	41		1	NormalMon03803	1	3	hand_0		npc\monster053		0.973777	icon\monster\monster053.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1169			-1									
monm076600	伤人猛虎	AttackNpc	14	39	41		1	AnimalMon00116	0.6	3.7	hand_0		npc\monster003		1.645	icon\monster\monster003.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1149			-1									
monm076601	白额大虫	AttackNpc	14	39	41		1	AnimalMon00116	1	4	hand_0		npc\monster003		1.645	icon\monster\monster003.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1149			-1									
monm076602	山谷恶猴	AttackNpc	14	39	41		1	AnimalMon00106	1.5	3.2	hand_0		npc\monster600		0.645	icon\monster\monster600.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1149			-1									
monm076603	剪径歹人	AttackNpc	14	39	41		1	NormalMon03901	1.25	4	hand1_1		npc\monster190		0.925	icon\monster\monster190.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1142												
monm076604	劫镖恶贼	AttackNpc	14	39	41		1	NormalMon03901	1.25	4	hand1_1		npc\monster190		0.925	icon\monster\monster190.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1142												
monm076605	铁牙耗子	AttackNpc	7	39	41		1		1.25	4	hand1_1		npc\monster190		0.925	icon\monster\monster190.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monm076606	欺生恶猴	AttackNpc	14	39	41		1	AnimalMon00106	1.5	3.2	hand_0		npc\monster600		0.645	icon\monster\monster600.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1149			-1									
monm076607	老猴王	AttackNpc	14	39	41		1	AnimalMon00106	1.5	3.2	hand_0		npc\monster600		0.645	icon\monster\monster600.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1149			-1									
monm076608	白化虎王	AttackNpc	7	39	41		1	AnimalMon00116	1	4	hand_0		npc\monster003		1.645	icon\monster\monster003.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monm076609	剪径江湖客	AttackNpc	14	39	41		1	NormalMon03901	1.25	4	hand1_1		npc\monster190		0.925	icon\monster\monster190.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1142												
monm076700	金殿守卫	AttackNpc	14	40	41		1	NormalMon04000	1.25	4	hand1_1		npc\monster114		0.930587	icon\monster\monster114.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1144												
monm076701	镇殿护法	AttackNpc	14	40	41		1	NormalMon04000	1.25	4	hand1_1		npc\monster114		0.930587	icon\monster\monster114.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																									Convoy18641				2000		2000						30			1144												
	"//m08,少林L河南省"																																																																																												
	"//0,少林寺"																																																																																												
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
	"//1,太平村"	AttackNpc	1	12	36		1	NormalMon01201																																																																																					
monm081100	行脚商人	AttackNpc	14	8	35		1	NormalMon00801	1.25	4	hand1_1		npc\monster039		0.8839	icon\monster\monster039.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1179												
monm081200	行商保镖	AttackNpc	14	9	35		1	NormalMon00901	1.25	4	hand1_1		npc\monster122		0.919509	icon\monster\monster122.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1179												
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
monm081400	江湖刀客	AttackNpc	14	11	36		1	NormalMon01101	1.25	4	hand1_1		npc\monster115		0.915409	icon\monster\monster115.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1174												
monm081500	江湖剑客	AttackNpc	14	12	36		1	NormalMon01201	1.25	4	hand1_1		npc\monster114		0.930587	icon\monster\monster114.png						1	1				2	15	10	15	npc_foundplayer		3						-1	1	0																													2000		2000						30			1178												
monm081501	蛇怪	AttackNpc	1	12	36		1		1.25	4	hand_0		npc\monster117		1.932	icon\monster\monster117.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monm081502	鬼祟盗匪	AttackNpc	1	12	36		1	NormalMon01201	1.25	4	hand1_1		npc\monster313		0.905	icon\monster\monster313.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monm081503	鬼祟盗匪	AttackNpc	14	12	36		1	NormalMon01204	1.25	4	hand1_1		npc\monster313		0.905	icon\monster\monster313.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1198												
monm081504	鬼祟盗匪头目	AttackNpc	14	12	36		1	NormalMon01205	1.25	4	hand1_1		npc\monster313		0.905	icon\monster\monster313.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1198												
monm081700	黄毛犬	AttackNpc	7	14	36		1	AnimalMon00117	1.2	5	hand_0		npc\petm_c_1503		1.5							1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monm081701	凶恶匪徒	AttackNpc	14	14	36		1	NormalMon01401	1.25	4	hand1_1		npc\monster313		0.905	icon\monster\monster313.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1203												
monm081702	剪径强人	AttackNpc	14	14	36		1	NormalMon01401	1.25	4	hand1_1		npc\monster190		0.925	icon\monster\monster190.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1203												
monm081703	镖师	AttackNpc	14	14	36		1	NormalMon01401	1.25	4	hand1_1		npc\monster601		0.905	icon\monster\monster378.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1178												
monm081704	趟子手	AttackNpc	14	14	36		1	NormalMon01401	1.25	4	hand1_1		npc\monster262		0.92	icon\monster\monster262.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1177												
	"//2,嵩山书院"																																																																																												
monm082100	迂腐监生	AttackNpc	14	10	35		1	NormalMon01001	1.25	4	hand1_1		npc\monster562		0.89	icon\monster\monster562.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1206												
monm082101	癫狂书生 	AttackNpc	14	10	35		1	NormalMon01001	1.25	4	hand1_1		npc\monster297		0.93	icon\monster\monster297.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1206												
monm082200	纨绔子弟	AttackNpc	14	11	36		1	NormalMon01101	1.25	4	hand1_1		npc\monster286		0.965	icon\monster\monster286.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1177												
monm082201	地痞流氓	AttackNpc	14	11	36		1	NormalMon01101	1.25	4	hand1_1		npc\monster445		0.975	icon\monster\monster445.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1177												
monm082202	歇脚富商	AttackNpc	14	11	36		1	NormalMon01101	1.25	4	hand1_1		npc\monster039		0.8839	icon\monster\monster039.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1179												
monm082203	富商护卫	AttackNpc	14	11	36		1	NormalMon01101	1.25	4	hand1_1		npc\monster152		0.92	icon\monster\monster152.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1202												
monm082300	书院护卫	AttackNpc	14	12	36		1	NormalMon01201	1.25	4	hand1_1		npc\monster562		0.89	icon\monster\monster562.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1205												
monm082301	巡逻护卫	AttackNpc	1	12	36		1	NormalMon01201	1.25	4	hand1_1		npc\monster265		0.961669	icon\monster\monster265.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monm082302	书院杂役	AttackNpc	14	12	36		1	NormalMon01201	1.25	4	hand1_1		npc\monster122		0.919509	icon\monster\monster122.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1209												
monm082400	书院高手	AttackNpc	14	13	36		1	NormalMon01301	1.25	4	hand1_1		npc\monster446		0.975	icon\monster\monster446.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1205												
																																																																																													
																																																																																													
monm082500	道统祠卫兵	AttackNpc	14	14	36		1	NormalMon01401	1.25	4	hand1_1		npc\monster482		0.99	icon\monster\monster482.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1201												
monm082501	道统祠护卫	AttackNpc	1	14	36		1	NormalMon01401	1.25	4	hand1_1		npc\monster260		0.905	icon\monster\monster260.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monm082502	山贼探子	AttackNpc	1	14	36		1	NormalMon01401	1.25	4	hand1_1		npc\monster247		0.92	icon\monster\monster247.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monm082600	紫衫媚女	AttackNpc	14	15	36		1	NormalMon01501	1.3	4.8	hand1_2		npc\worldnpc523		0.87	icon\funcnpc\worldnpc523.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1204												
monm082601	潜逃恶匪	AttackNpc	14	15	36		1	NormalMon01501	1.25	4	hand1_1		npc\monster234		0.915	icon\monster\monster234.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1203												
monm082602	江湖宵小	AttackNpc	14	15	36		1	NormalMon01501	1.25	4	hand1_1		npc\monster239		0.96	icon\monster\monster239.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1203												
monm082700	青衣公子	AttackNpc	1	16	37		1	NormalMon01601	1.25	4	hand1_1		npc\monster160		0.925	icon\monster\monster160.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monm082701	歇脚脚夫	AttackNpc	14	16	37		1	NormalMon01601	1.25	4	hand1_1		npc\monster066		0.985	icon\monster\monster066.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1206												
monm082702	不轨贼人	AttackNpc	14	16	37		1	NormalMon01601	1.25	4	hand1_1		npc\monster458		0.925	icon\monster\monster458.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1200												
monm082703	歇脚镖卫	AttackNpc	1	16	37		1	NormalMon01601	1.25	4	hand1_1		npc\monster258		0.905	icon\monster\monster258.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
	"//3,嵩山剑派"																											30	10	60																																																															
monm083105	拜山江湖客	AttackNpc	14	14	36		1	NormalMon01401	1.25	4	hand1_1		npc\monster071		0.945	icon\monster\monster071.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1182												
monm083500	缇绮刺客	AttackNpc	14	18	37		1	NormalMon01801	1.25	4	hand1_1		npc\monster271		0.905	icon\monster\monster271.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1180												
monm083504	高级弟子	AttackNpc	14	18	37		1	NormalMon01804	1.25	4	hand1_1		npc\monster454		0.92	icon\monster\monster454.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1189												
monm083600	尸使亲卫	AttackNpc	14	19	37		1	NormalMon01901	1.3	4.8	hand1_2		npc\monster143		0.885	icon\monster\monster143.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1185												
monm083701	伪装的极乐谷弟子	AttackNpc	14	20	37		1	NormalMon02001	1.25	4	hand1_1		npc\monster562		0.89	icon\monster\monster562.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1191												
monm083702	恶道士	AttackNpc	14	20	37		1	NormalMon02001	1	3	hand_0		npc\monster053		0.973777	icon\monster\monster053.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1184			-1									
monm083703	鬼祟的探子	AttackNpc	14	20	37		1	NormalMon02001	1.25	4	hand1_1		npc\monster243		0.91	icon\monster\monster243.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1210												
monm083704	神秘的江湖人	AttackNpc	1	20	37		1	NormalMon02001	1.25	4	hand1_1		npc\monster242		0.945	icon\monster\monster242.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
montg12001	嵩山派长老	AttackNpc	8	23	112		1	NormalMon02304	1.25	4	hand1_1		npc\monster242		0.945	icon\monster\monster242.png				"mon_tg12_011,1,60"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30				1		2									
montg12002	嵩山派狂徒	AttackNpc	8	18	113		1	NormalMon02304	1.25	4	hand1_1		npc\monster265		0.961669	icon\monster\monster265.png				"mon_tg12_021,1,60"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30				1		2									
montg12003	嵩山派恶徒	AttackNpc	8	18	113		1	NormalMon02304	1.25	4	hand1_1		npc\monster265		0.961669	icon\monster\monster265.png				"mon_tg12_031,1,60"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30				1		2									
montg12004	嵩山剑客	AttackNpc	8	18	114		1	NormalMon02304	1.25	4	hand1_1		npc\monster252		0.93417	icon\monster\monster252.png				"mon_tg12_041,1,60"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30				1		2									
montg12005	嵩山护卫	AttackNpc	8	18	114		1	NormalMon02304	1.25	4	hand1_1		npc\monster519		0.93	icon\monster\monster519.png				"mon_tg12_051,1,60"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30				1		2									
montg12006	嵩山派精英	AttackNpc	8	18	112		1	NormalMon02304	1.25	4	hand1_1		npc\monster261		0.912081	icon\monster\monster261.png				"mon_tg12_061,1,60"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30				1		2									
montg12007	野狗	AttackNpc	10	18	113		1	AnimalMon00117	1.2	3.7	hand_0		npc\petm_c_1504		1.5							1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30				1		-1									
	"//4,塔林"																																																																																												
monm084103	假僧人	AttackNpc	14	27	39		1	NormalMon02705	1.25	4	hand1_1		npc\monster124		0.9506	icon\monster\monster124.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1219												
monm084104	神秘的黑衣探子	AttackNpc	14	27	39		1	NormalMon02701	1.25	4	hand1_1		npc\monster072		0.863286	icon\monster\monster072.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1210												
monm084105	鬼祟的探子	AttackNpc	14	27	39		1	NormalMon02701	1.25	4	hand1_1		npc\monster246		0.72	icon\monster\monster246.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1177												
monm084500	西域番僧	AttackNpc	14	31	40		1	NormalMon03101	1.25	4	hand1_1		npc\monster074		0.905	icon\monster\monster074.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1219												
monm084501	西域狂僧	AttackNpc	14	31	40		1	NormalMon03101	1.55	3.7	hand1_1		npc\monster472		0.925	icon\monster\monster472.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			1192												
																																																																																													
	"//c02,燕京M北京"																											30	10	60																																																															
	"//0,燕京城"																											30	10	60																																																															
monc020100	饥民	AttackNpc	14	1	34		1	NormalMon00101	1.25	4	hand1_1		npc\worldnpc132		0.911791	icon\funcnpc\worldnpc132.png				"mengji_nan,1,30"		1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			721												
monc020101	饥恶的难民	AttackNpc	14	7	35		1	NormalMon00701	1.25	4	hand1_1		npc\monster239		0.96	icon\monster\monster239.png				"mengji_nan,1,30"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			721												
monc020102	市井无赖	AttackNpc	14	7	35		1	NormalMon00701	1.25	4	hand1_1		npc\monster123		0.915	icon\monster\monster123.png				"mengji_nan,1,30;wudizirong_nan,1,30"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			722												
monc020103	假乞丐	AttackNpc	14	7	35		1	NormalMon00701	1.25	4	hand1_1		npc\worldnpc493		0.915	icon\funcnpc\worldnpc493.png				"mengji_nan,1,30;wudizirong_nan,1,30"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			723												
monc020200	荒郊恶犬	SkinableNpc	7	2	34		1	AnimalMon00117	1.2	5	hand_0		npc\petm_c_1503		1.5							1	1				2	30	10	60	npc_foundplayer		3						-1	1	0										5	life_lh_02	5000	sh_lh	150	1	1		212	1	15	6		1702	45					2000		2000						30						-1									
monc020201	江湖小偷	AttackNpc	14	2	34		1	NormalMon00201	1.25	4	hand1_1		npc\worldnpc511		0.885	icon\funcnpc\worldnpc511.png				"wudizirong_nan,1,30;qiaoquhaoduo_nan,1,30"		1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			724												
monc020202	燕京无赖	AttackNpc	14	2	34		1	NormalMon00201	1.25	4	hand1_1		npc\worldnpc165		0.920994	icon\funcnpc\worldnpc165.png				"mengji_nan,1,30;wudizirong_nan,1,30"		1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			722												
monc020203	野狗	AttackNpc	7	2	34		1	AnimalMon00117	1.2	5	hand_0		npc\petm_c_1504		1.5							1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
monc020300	凶恶衙役	AttackNpc	14	3	34		1	NormalMon00301	1.25	4	hand1_1		npc\monster382		0.97	icon\monster\monster382.png				"mengji_nan,1,30;saotui_nan,1,30"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			725												
monc020301	军营带刀护卫	AttackNpc	14	7	35		1	NormalMon00701	1.25	4	hand1_1		npc\worldnpc217		0.913145	icon\funcnpc\worldnpc217.png				"baijiaquan_nan,1,30;baijiatui_nan,1,30"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			725												
monc020302	收集食材的官兵	AttackNpc	14	7	35		1	NormalMon00701	1.25	4	hand1_1		npc\monster482		0.99	icon\monster\monster482.png				"baijiaquan_nan,1,30;baijiatui_nan,1,30"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			725												
monc020400	军马场刀兵	AttackNpc	14	23	38		1	NormalMon02301	1.25	4	hand1_1		npc\worldnpc217		0.913145	icon\funcnpc\worldnpc217.png				"baijiaquan_nan,1,30;baijiatui_nan,1,30"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			725												
monc020401	无赖官兵	AttackNpc	14	7	35		1	NormalMon00701	1.25	4	hand1_1		npc\monster105		0.99	icon\monster\monster105.png				"baijiaquan_nan,1,30;wudizirong_nan,1,30"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			725												
monc020402	官府猎犬	SkinableNpc	7	7	35		1	AnimalMon00117	1.2	5	hand_0		npc\petm_c_1504		1.5							1					2	30	10	60	npc_foundplayer		3						-1	1	0										5	life_lh_02	5000	sh_lh	1	1	1		78	0	1			1771	45					2000		2000						30						-1									
monc020403	军营教头	AttackNpc	14	7	35		1	NormalMon00701	1.25	4	hand1_1		npc\worldnpc217		0.913145	icon\funcnpc\worldnpc217.png				"guozubuqian_nan,1,30;feiti_nan,1,30"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			725												
monc020500	奸诈商贩	AttackNpc	14	5	34		1	NormalMon00501	1.25	4	hand1_1		npc\monster039		0.8839	icon\monster\monster039.png				"mengji_nan,1,30"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30			726												
monc020501	黑心顾客	AttackNpc	1	7	35		1	NormalMon00701	1.25	4	hand1_1		npc\monster122		0.919509	icon\monster\monster122.png				"mengji_nan,1,30"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monc020502	商贩打手	AttackNpc	1	7	35		1	NormalMon00701	1.25	4	hand1_1		npc\worldnpc552		0.91	icon\funcnpc\worldnpc552.png				"feiti_nan,1,30;jidianshi_nan,1,30"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
