NPC±àºÅ	¶ÔÏóÀàÐÍ	ini×¢ÊÍÃû³Æ	NPCÆòÌÖÐÅÏ¢	±íÏÖAI°ü±àºÅ	NPCÀàÐÍ	Ñ¡Ôñ²Ù×÷	Êó±êÐÎ×´	ÊÇ·ñ×ªÉí	×ßÂ·ËÙ¶È	ÅÜ²½ËÙ¶È	ÎäÆ÷³ÖÎÕ·½Ê½	Ä£ÐÍ±àºÅ	ÐÔ±ð	Ä£ÐÍ°ë¾¶	Í¼Æ¬	³öÉú×´Ì¬	npcÉùÒô	×é³É²ÄÁÏ	ÎäÆ÷Ãû³Æ	NPCÖÖÀàID	½Å±¾±àºÅ	ÊÇ·ñÄÜ½ÓïÚ	´¥·¢ÌØÐ§	AIÀàÐÍ	Ñ²ÂßÄ£Ê½	Ñ²Âß°ë¾¶	Â·¾¶ID	ÊÇ·ñËæ»ú³öÏÖ	ÏìÓ¦·¶Î§	ÃÅÅÉ	³ÆºÅ	¼®¹á	ÕóÓª	Ãû×Ö±íÐòºÅ	ÉúÆ½±íÐòºÅ	Éí·Ý²ÎÊý01	Éí·Ý²ÎÊý2	Éí·Ý²ÎÊý3	¶Ô»°¹æÔò	Ìß¹Ý×¨ÓÃ¹ØÁªNPC	ÉúÆ½	ÄÜ·ñÇÐ´è	Ëæ»ú¶Ô»°	ÏÂÆåÍæ¼ÒµÄ×îÐ¡µÈ¼¶	NPCÉíÉÏ¹ÒµÄÆåÆ×°ü	NPCÊÂ¼þ°ü±àºÅ	½øÈëÇÐ´èÇ°¶Ô»°	½áÊøÇÐ´èºó¶Ô»°	¿ÕÏÐ×´Ì¬¶Ô»°	Åö×²Ê±¶Ô»°	ÊµÁ¦°ü±àºÅ	¼¶±ð	ÐÞÎª¾­Ñé	¹ÖÎïÇ¿¶È	µôÂä	ÎäÆ÷ÀàÐÍ	Ëø¶¨Î»ÒÆ¹¥»÷	½û²¥ÊÜ»÷¶¯×÷	Ê°È¡È¨ÏÞÇå¿ÕÊ±¼ä	ÎÞÊ°È¡ÎïÏûÊ§Ê±¼ä	×î´óÏûÊ§Ê±¼ä	¸½¼ÓËæ»úÄÜÁ¦±àºÅ	ÆÕÍ¨¹¥»÷	¼¼ÄÜ±í	±»¶¯	¹Ì¶¨NPCÖØÉúÊ±¼ä	µÐÈËNPC±àºÅ±í	¶ÓÓÑ±àºÅ	ÄÜ·ñ¹¥»÷	ÄÜ²»ÄÜ±»¹¥»÷	²»ÄÜ±»É±ËÀ	¹¥·À±ÈÖØ	·ÀÓù¸ÅÂÊ	"Õ½¶·ÆµÂÊ,ºÁÃë"	"×·»÷·¶Î§,Ã×"	ÎÞ·¨±»Ó²Ö±	Ëø¶¨¼¼ÄÜ¼ä¸ô	ÕÙ»½ID	ÕÙ»½°ë¾¶	ÕÙ»½ÀàÐÍ	±íÑÝ¸ÅÂÊ	±íÑÝÊ±¼ä	ÊÆÁ¦¹éÊô	ÊÆÁ¦¹ØÏµ±í	Õ½¶·¿ªÊ¼µÄÕÙ»½ID	NPC½»»¥Í£ÁôÊ±¼ä	È¨ÖØ	³õÊ¼¶¯×÷¹Ì¶¨Ö¡²¥·Å	Åö×²¶Ô»°¹æÔò	ÉÌµêID	Ï´ºìÃû¹¦ÄÜ	²Ö¿âID	Ö°ÒµID	±¦Ê¯ÓÎÏ·NPC ID	½ÓÈÎÎñ±í	½»ÈÎÎñ±í	¿ÉÒÔ¼ÓÈëµÄÃÅÅÉ±í	¿É»ñµÃµÄÉí·Ý±í	¸´»îµã	Âä½Åµã	æäÕ¾	ÊäÈë¹ØÏµ°ü±àºÅ	ÊÇ·ñÓÐ¹«»á¹¦ÄÜ	°ïÅÉµØ¿é¹ºÂò	ÊÇ·ñÓÐÃÅÅÉÕ½¹¦ÄÜ	ÔËïÚ±àºÅ	ÊÇ·ñÓÐ°ïÅÉ²Ö¿â	ËùÊô°ï»áµØ¿é±àºÅ	AI±à¼­°ü	ÉÆ¶ñ²ÎÊý	Ö±½Ó´¥·¢	´æÔÚÊ±¼ä	µØÎ»ÆÀ·Ö	ÊÀ½çÊÂ¼þÏà¹Ø	±¨¸´µÈ¼¶	±¨¸´ÊÖ¶Î	ÊÇ·ñ¿É½á»é	ÍË³ö·¢Éù¶Ô»°	ÌìÆø°ü	NPCÓÅÏÈÏÔÊ¾	Ê¹ÓÃÇá¹¦	Ê±¼äÖá	Ëõ·Å	²»ÄÜÒÆ¶¯	²»ÄÜ·´»÷
WorldNpc01037	CommonNpc	Îâ´äÙ¯	5	8	96	2	2		1.3	4.8	hand1_2	npc\worldnpc129			icon\funcnpc\worldnpc129.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	4	talkrule070204							168;169;179;183;193					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01038	CommonNpc	²·´óÄê	1	8	96	2	2		1.25	4	hand1_1	npc\worldnpc128			icon\funcnpc\worldnpc128.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	5	2	talkrule070502							163;171;182;188;192					1	2		1											1						1			2000	15		2000								0	10									81267;	81267;														1			1												
WorldNpc01039	CommonNpc	ÄÏÏªÎÌ	3	8	96	2	2		1.25	4	hand1_1	npc\worldnpc126			icon\funcnpc\worldnpc126.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	4	talkrule070204							161;173;179;187;193					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01040	CommonNpc	ÌúÈ«Òå	3	8	96	2	2		1.25	4	hand1_1	npc\worldnpc207			icon\funcnpc\worldnpc207.png					0				3	0	0			20	prop_QiTaMenPai_0		Home_131	1			7	2	16	talkrule070216							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10									81251;															1			3												
WorldNpc01041	CommonNpc	Öî¸ð·²	3	8	96	2	2		1.25	4	hand1_1	npc\worldnpc207			icon\funcnpc\worldnpc207.png					0				3	0	0			20	prop_QiTaMenPai_0		Home_131	1			7	2	16	talkrule070216							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc01042	CommonNpc	Ñ¦ÃÍ	2	8	96	2	2		1.25	4	hand1_1	npc\worldnpc207			icon\funcnpc\worldnpc207.png					0				3	0	0			20	prop_QiTaMenPai_0		Home_131	1			7	2	16	talkrule070216			1				296;297;298;299;300					1	25		1											1						1			2000	15		2000						1		0	10																								1			3												
WorldNpc01043	CommonNpc	ÐÜ¼á	2	8	96	2	2		1.25	4	hand1_1	npc\worldnpc207			icon\funcnpc\worldnpc207.png					0				3	0	0			20	prop_QiTaMenPai_0		Home_131	1			7	2	16	talkrule070216							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc01044	CommonNpc	ÖìÍú	1	8	96	2	2		1.25	4	hand1_1	npc\worldnpc542			icon\funcnpc\worldnpc542.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	5	1	talkrule070501							162;174;182;189;198					1	2		1											1						1			2000	15		2000								0	10				Shop_shujia_201907						81256;														1			1												
WorldNpc01045	CommonNpc	Â³³¤¼ª	1	8	96	2	2		1.25	4	hand1_1	npc\worldnpc008			icon\funcnpc\worldnpc008.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	5	1	talkrule070501							159;175;176;184;195					1	2		1											1						1			2000	15		2000								0	10									30367;	30366;														1			1												
WorldNpc01046	CommonNpc	ÉêÀÏ¶þ	3	8	96	2	2		1.25	4	hand1_1	npc\worldnpc125			icon\funcnpc\worldnpc125.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	1	talkrule070201							161;169;177;191;192					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01047	CommonNpc	·½±¦Öù	1	8	96	2	2		1	1.6	hand_0	npc\worldnpc114			icon\funcnpc\worldnpc114.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	3	talkrule070203							158;169;176;183;192					1	2		1											1						1			2000	15		2000								0	10										81260;														1			2												
WorldNpc01048	CommonNpc	ÂíÈçÁú	1	8	96	2	2		1.25	4	hand1_1	npc\worldnpc384			icon\funcnpc\worldnpc384.png					0				3	0	0			20	prop_ZhongLiMenPai_214		Home_131	1			6	2	2	talkrule060202							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			4												
WorldNpc01049	CommonNpc	ÀîÄÏÐã	5	8	96	2	2		1.3	4.8	hand1_2	npc\worldnpc199			icon\funcnpc\worldnpc199.png					0				3	0	0			20	prop_ZhongLiMenPai_215		Home_131	1			6	2	2	talkrule060202							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			4												
WorldNpc01050	CommonNpc	·½¾ªµÀ		8	96	2	2		1.25	4	hand1_1	npc\worldnpc200			icon\funcnpc\worldnpc200.png					0				3	0	0			20	prop_XieEMenPai_2		Home_131	1			1	4	4	talkrule010404							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								4			3												
WorldNpc01051	CommonNpc	ÌÆÀì¶ù		8	96	2	2		1.3	4.8	hand1_2	npc\worldnpc385			icon\funcnpc\worldnpc385.png					0				3	0	0			20	prop_ZhongLiMenPai_1		Home_131	1			5	12	2	talkrule051202							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								2			2												
WorldNpc01052	CommonNpc	²©ÀöÁéÃÎ		8	96	2	2		1.3	4.8	hand1_2	npc\worldnpc305			icon\funcnpc\worldnpc305.png					0				3	0	0			20	prop_XieEMenPai_20		Home_131	1			6	2	2	talkrule060202			1				163;174;181;188;197					69	20		3											1						1			2000	15		2000								0	10																								1			4												
WorldNpc01053	CommonNpc	½­Æ½	1	8	96	2	2		1.25	4	hand1_1	npc\worldnpc541			icon\funcnpc\worldnpc541.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	5	1	talkrule070501							164;175;182;189;198					1	2		1											1						1			2000	15		2000								0	10																								1			1												
WorldNpc01054	CommonNpc	ÓáÁ¼	1	8	96	2	2		1.25	4	hand1_1	npc\worldnpc542			icon\funcnpc\worldnpc542.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	5	1	talkrule070501							165;169;176;190;199					1	2		1											1						1			2000	15		2000								0	10																								1			1												
WorldNpc01055	CommonNpc	Ë¾¿ÕÔÆ		8	96	2	2		1.25	4	hand1_1	npc\worldnpc202			icon\funcnpc\worldnpc202.png					0				3	0	0			20	prop_ZhongLiMenPai_216		Home_131	1			7	2	5	talkrule070205												1	2		1											1						1			2000	15		2000								0	10									81304;	81304;														1			2												
WorldNpc01056	CommonNpc	ÅáÏþÏþ	5	8	96	2	2		1.3	4.8	hand1_2	npc\worldnpc378			icon\funcnpc\worldnpc378.png					0				3	0	0			20	prop_ZhengPaiMenPai_3		Home_131	1			1	6	7	talkrule010607							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01057	CommonNpc	ÇØÓÄÈô	5	8	96	2	2		1.3	4.8	hand1_2	npc\worldnpc382			icon\funcnpc\worldnpc382.png					0				3	0	0			20	prop_ZhengPaiMenPai_3		Home_131	1			1	6	7	talkrule010607							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01058	CommonNpc	Ïôçºçº		8	96	2	2		1.3	4.8	hand1_2	npc\worldnpc254			icon\funcnpc\worldnpc254.png					0				3	0	0			20	prop_ZhongLiMenPai_2		Home_131	1			1	3	4	talkrule010304							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc01059	CommonNpc	ÂÀÊØÐÅ	3	8	96	2	2		1.25	4	hand1_1	npc\worldnpc214			icon\funcnpc\worldnpc214.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	1	talkrule070201							166;175;177;189;195					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01060	CommonNpc	ÅíÌìÓ¥	1	8	96	2	2		1.25	4	hand1_1	npc\worldnpc155			icon\funcnpc\worldnpc155.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_31	1			7	2	5	talkrule070205							162;174;178;186;192					1	2		1											1						1			2000	15		2000								0	10										2001;2002;2003;														1			2												
WorldNpc01061	CommonNpc	ÂÀ¹§	1	8	96	2	2		1.25	4	hand1_1	npc\worldnpc214			icon\funcnpc\worldnpc214.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	5	talkrule070205							168;169;179;183;193					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01062	CommonNpc	¾µ»ð		8	96	2	2		1	4	hand_0	npc\fbnpc00034			icon\monster\fbnpc00034.png					0				3	0	0			20	prop_XieEMenPai_1		Home_131	1			1	1	3	talkrule010103							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								4			3												
WorldNpc01063	CommonNpc	ÕÔÇì		8	96	2	2		1.5	6	hand1_1	npc\monster105			icon\monster\monster105.png					0				3	0	0			20	prop_XieEMenPai_16		Home_131				8	4	2	talkrule080402							296;297;298;299;300					98	100		4						120			rn_b_hand_01		0	180			0	0	0			1200	120		2000						999		0	10									40447;	40445;														1			3		3	22									
WorldNpc01064	CommonNpc	ÇñÇà²¨		8	96	2	2		1.25	4	hand1_1	npc\worldnpc139			icon\funcnpc\worldnpc139.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	3	talkrule070203							159;171;182;188;195					1	2		1											1						1			2000	15		2000								0	10										81263;														1			2												
WorldNpc01065	CommonNpc	ÎÂÓ³µû		8	96	2	2		1.25	4	hand1_2	npc\worldnpc212			icon\funcnpc\worldnpc212.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	6	talkrule070206							160;175;176;183;194					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01066	CommonNpc	½¯ÓñÀ¼		8	96	2	2		1.3	4.8	hand1_2	npc\worldnpc469			icon\funcnpc\worldnpc469.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	5	5	talkrule070505							167;172;178;184;196					1	2		1											1						1			2000	15		2000								0	10										81270;														1			3												
WorldNpc01067	CommonNpc	ÁÎ³¤Éú		8	96	2	2		1.25	4	hand1_1	npc\worldnpc125			icon\funcnpc\worldnpc125.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	6	3	talkrule070603							164;173;176;183;194					1	2		1											1						1			2000	15		2000								0	10																								1			4												
WorldNpc01068	CommonNpc	ÂÀÎÄ¾¸	4	8	96	2	2		1.25	4	hand1_1	npc\worldnpc399			icon\funcnpc\worldnpc399.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	6	1	talkrule070601							162;174;182;189;198					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01069	CommonNpc	ÂÀÐË	4	8	96	2	2		1.25	4	hand1_1	npc\worldnpc158			icon\funcnpc\worldnpc158.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	6	4	talkrule070604												1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01070	CommonNpc	×¯Ã÷Öé		8	96	2	2		1.3	4.8	hand1_2	npc\fbboss021003			icon\monster\fbboss021003.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			6	1	4	talkrule060104							161;169;177;191;192					1	2		1											1						1			2000	15		2000								0	10																								1			5												
WorldNpc01071	CommonNpc	Ç¾¶ù	5	8	96	2	2		1.3	4.8	hand1_2	npc\worldnpc111			icon\funcnpc\worldnpc111.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	5	4	talkrule070504							158;169;176;183;192					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01072	CommonNpc	ÕÔº£È«	1	8	96	2	2		1.25	4	hand1_1	npc\worldnpc105			icon\funcnpc\worldnpc105.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	10	talkrule070210							159;170;177;184;193					1	2		1											1						1			2000	15		2000								0	10				shop_tea_1001																				1			3												
WorldNpc01073	CommonNpc	ÁºÈÙ	1	8	96	2	2		1.25	4	hand1_1	npc\worldnpc008			icon\funcnpc\worldnpc008.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	5	1	talkrule070501							160;171;178;185;194					1	2		1											1						1			2000	15		2000								0	10																								1			1												
WorldNpc01074	CommonNpc	Ïô±ÌÖñ		8	96	2	2		1.3	4.8	hand1_2	npc\fbfunnpc015003			icon\monster\fbfunnpc015003.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	6	talkrule070206							161;172;179;186;195					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01075	CommonNpc	ÏôÌúµÑ		8	96	2	2		1.25	4	hand1_1	npc\worldnpc125			icon\funcnpc\worldnpc125.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	1	talkrule070201							162;173;180;187;196					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01076	CommonNpc	Ê¯ÓàÐË		8	96	2	2		1.25	4	hand1_1	npc\worldnpc126			icon\funcnpc\worldnpc126.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	3	talkrule070203							163;174;181;188;197					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01077	CommonNpc	½ªÈÊÎä		8	96	2	2		1.25	4	hand1_1	npc\worldnpc409			icon\funcnpc\worldnpc409.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	3	talkrule070203							164;175;182;189;198					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01078	CommonNpc	Í¯Ê¢		8	96	2	2		1.25	4	hand1_1	npc\worldnpc455			icon\funcnpc\worldnpc455.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	5	talkrule070205							165;169;176;190;199					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01079	CommonNpc	Ñîçö		8	96	2	2		1.25	4	hand1_1	npc\worldnpc560			icon\funcnpc\worldnpc560.png					0				3	0	0			20	prop_ZhongLiMenPai_217		Home_131	1			6	2	2	talkrule060202							296;297;298;299;300					1	2		1											1						1			2000	15		2000								0	10																								1			4												
WorldNpc01080	CommonNpc	Ä«Ñ®		8	96	2	2		1.25	4	hand1_1	npc\worldnpc139			icon\funcnpc\worldnpc139.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	3	talkrule070203							167;171;178;183;201					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01081	CommonNpc	Ò×¼ª		8	96	2	2		1.25	4	hand1_1	npc\worldnpc368			icon\funcnpc\worldnpc368.png					0	npc\clone\CJ\npc_talk_minigame.lua			3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	10	talkrule070210							168;172;179;184;202					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc01082	CommonNpc	ÓÝÍ¥Ö®		8	96	2	2		1.25	4	hand1_1	npc\worldnpc102			icon\funcnpc\worldnpc102.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	6	1	talkrule070601							165;169;176;187;195					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01083	CommonNpc	¹ù»³ÌÃ		8	96	2	2		0.65	1.3	hand_0	npc\worldnpc140			icon\funcnpc\worldnpc140.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	10	talkrule070210							166;175;177;189;195					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc01084	CommonNpc	ÀÏÎâ		8	96	2	2		1.25	4	hand1_1	npc\worldnpc126			icon\funcnpc\worldnpc126.png					0	npc\clone\CJ\npc_talk_minigame.lua			3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	1	13	talkrule070113							162;174;178;186;192					1	2		1											1						1			2000	15		2000								0	10																								1			3						4						
WorldNpc01085	CommonNpc	¹ùÁ¼Òå		8	96	2	2		1.25	4	hand1_1	npc\worldnpc125			icon\funcnpc\worldnpc125.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	1	13	talkrule070113							168;169;179;183;193					1	2		1											1						1			2000	15		2000								0	10																								1			3						4						
WorldNpc01086	CommonNpc	Äß»³µÀ		8	96	2	2		1.25	4	hand1_1	npc\worldnpc137			icon\funcnpc\worldnpc137.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	1	13	talkrule070113							163;171;182;188;192					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc01087	CommonNpc	Æë²®ÌÎ		8	96	2	2		1.25	4	hand1_1	npc\worldnpc447			icon\funcnpc\worldnpc447.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	1	13	talkrule070113							161;173;179;187;193					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc01088	CommonNpc	ÌÕ°²		8	96	2	2		1.25	4	hand1_1	npc\worldnpc446			icon\funcnpc\worldnpc446.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	1	13	talkrule070113							159;171;182;188;195					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc01089	CommonNpc	Çñ´ó³É	2	8	96	2	2		1.25	4	hand1_1	npc\worldnpc194			icon\funcnpc\worldnpc194.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	10	talkrule070210							160;175;176;183;194					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc01090	CommonNpc	ÓàÂ¡	4	8	96	2	2		1.25	4	hand1_1	npc\funcnpc005			icon\funcnpc\funcnpc005.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	10	talkrule070210							167;172;178;184;196					1	2		1											1						1			2000	15		2000								0	10									81265;	81265;														1			3												
WorldNpc01091	CommonNpc	Ã·Äï	3	8	96	2	2		1.3	4.8	hand1_2	npc\worldnpc415			icon\funcnpc\worldnpc415.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	10	talkrule070210							164;173;176;183;194					1	2		1											1						1			2000	15		2000								0	10										81269;														1			3						11						
WorldNpc01092	CommonNpc	Ð»°Ù´¨	2	8	96	2	2		1.25	4	hand1_1	npc\worldnpc214			icon\funcnpc\worldnpc214.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	9	talkrule070209							162;174;182;189;198					1	2		1											1						1			2000	15		2000								0	10									81268;	81268;														1			4												
WorldNpc01093	CommonNpc	ÕÔ°ÙÊ¤		8	96	2	2		1.5	6	hand1_1	npc\worldnpc217			icon\funcnpc\worldnpc217.png					0				3	0	0			20	prop_XieEMenPai_16		Home_131				8	4	2	talkrule080402							296;297;298;299;300					98	100		4						120			rn_b_hand_01		0	180			0	0	0			1200	120		2000						999		0	10																								1			3		3	22									
WorldNpc01094	CommonNpc	µËÁÖ	1	8	96	2	2		1.25	4	hand1_1	npc\worldnpc413			icon\funcnpc\worldnpc413.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	3	talkrule070203							161;169;177;191;192					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01095	CommonNpc	ÀîÆ¼¹Ã	5	8	96	2	2		1.3	4.8	hand1_2	npc\worldnpc406			icon\funcnpc\worldnpc406.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	4	talkrule070204							158;169;176;183;192					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01096	CommonNpc	ÕÔ´óÏÉ	3	8	96	2	2		0.9	2.4	hand_0	npc\monster041			icon\monster\monster041.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	1	17	talkrule070117							159;170;177;184;193					1	2		1											1						1			2000	15		2000								0	10																								1			3												
WorldNpc01097	CommonNpc	ÑÏÂ×	4	8	96	2	2		1.25	4	hand1_1	npc\worldnpc139			icon\funcnpc\worldnpc139.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_29	1			7	6	3	talkrule070603							160;171;178;185;194					1	2		1											1						1			2000	15		2000								0	10				Shop_20190417_shopyl_001					55583;55592;70127;70153;70159;70238;70186;70252;70522;	55583;55592;70127;70153;70159;70238;70186;70252;70522;														1			4												
WorldNpc01098	CommonNpc	²ÜÃÍ	2	8	96	2	2		1.25	4	hand1_1	npc\worldnpc518			icon\funcnpc\worldnpc518.png					0				3	0	0			20	prop_QiTaMenPai_0		Home_131	1			7	2	18	talkrule070218							161;172;179;186;195					1	2		1											1						1			2000	15		2000								0	10																								1			4												
WorldNpc01099	CommonNpc	ÃÏÀèÉú	4	8	96	2	2		1	4	hand1_1	npc\worldnpc106			icon\funcnpc\worldnpc106.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	3	talkrule070203							162;173;180;187;196					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01100	CommonNpc	ÓÝ´äÁ«	5	8	96	2	2		1.3	4.8	hand1_2	npc\worldnpc109			icon\funcnpc\worldnpc109.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	6	talkrule070206							163;174;181;188;197					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01101	CommonNpc	ÇØ¹«Íû	3	8	96	2	2		1.25	4	hand1_1	npc\worldnpc418			icon\funcnpc\worldnpc418.png					0				3	0	0			20	prop_QiTaMenPai_1		Home_131	1			7	2	1	talkrule070201							164;175;182;189;198					1	2		1											1						1			2000	15		2000								0	10																								1			2												
WorldNpc01102	CommonNpc	½¯´óµ¨	1	8	96	2	2		0.65	4	hand1_1	npc\worldnpc160			icon\funcnpc\worldnpc160.png					0	npc\clone\CJ\npc_talk_qiecuo.lua			3	0	0			20	prop_QiTaMenPai_0		Home_131	1			7	2	18	talkrule070218			1				296;297;298;299;300					2	7		3											1						1			2000	15		2000						1		0	10																								1			4												
WorldNpc01103	CommonNpc	½ð×ÓÐÛ	1	8	96	2	2		1.25	4	hand1_1	npc\worldnpc517			icon\funcnpc\worldnpc517.png					0	npc\clone\CJ\npc_talk_qiecuo.lua			3	0	0			20	prop_QiTaMenPai_0		Home_131	1			7	2	18	talkrule070218			1				296;297;298;299;300					2	7		3											1						1			2000	15		2000						1		0	10																								1			4												
WorldNpc01104	CommonNpc	×Þ¾ýÎä	1	8	96	2	2		1.25	4	hand1_1	npc\worldnpc518			icon\funcnpc\worldnpc518.png					0	npc\clone\CJ\npc_talk_qiecuo.lua			3	0	0			20	prop_QiTaMenPai_0		Home_131	1			7	2	18	talkrule070218			1				296;297;298;299;300					2	7		3											1						1			2000	15		2000						1		0	10																								1			4												
WorldNpc01105	CommonNpc	¸ðÁ¦È«	1	8	96	2	2		0.65	4	hand1_1	npc\worldnpc160			icon\funcnpc\worldnpc160.png					0	npc\clone\CJ\npc_talk_qiecuo.lua			3	0	0			20	prop_QiTaMenPai_0		Home_131	1			7	2	18	talkrule070218			1				296;297;298;299;300					2	7		3											1						1			2000	15		2000						1		0	10																								1			4												
WorldNpc01106	CommonNpc	ÅíÍÀ	2	8	96	2	2		1.25	4	hand1_1	npc\worldnpc517			icon\funcnpc\worldnpc517.png					0	npc\clone\CJ\npc_talk_qiecuo.lua			3	0	0			20	prop_QiTaMenPai_0		Home_131	1			7	2	18	talkrule070218			1				296;297;298;299;300					2	7		3											1						1			2000	15		2000						1		0	10																								1			4												
WorldNpc01107	CommonNpc	ÓàæçÓÂ	2	8	96	2	2		1.25	4	hand1_1	npc\worldnpc518			icon\funcnpc\worldnpc518.png					0	npc\clone\CJ\npc_talk_qiecuo.lua			3	0	0			20	prop_QiTaMenPai_0		Home_131	1			7	2	18	talkrule070218			1				296;297;298;299;300					2	7		3											1						1			2000	15		2000						1		0	10																								1			4												
