NPC编号	对象类型	ini注释名称	脚本编号	Npc类型	实力包编号	级别	修为经验	怪物强度	掉落	表现AI包编号	AI类型	主动被动	响应范围	NPC种类ID	模型编号	性别	模型半径	图片	npc声音	材质类型	脚本编号	技能表	护送类型	护送目标场景编号	护送目标点X	护送目标点Z	能否攻击	能不能被攻击	不能被杀死	护送事件表	锁定位移攻击	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	"追击范围,米"	路径ID	是否随机出现	武器持握方式	武器名称	武器类型	刷新时间	随机动作	出生状态	走路速度	跑步速度	能否移动	是否转身	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	进入切磋前对话	结束切磋后对话	空闲状态对话	进入战斗对话	脱离战斗对话	死亡对话	召唤对话	受到伤害状态对话	战斗AI命令表	敌人NPC编号表	队友编号	攻击防御比重	"战斗频率,毫秒"	使用锁定技能概率	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	附加随机能力编号	普通攻击	是否停止AI	AI编辑包	生存时间	轻功	直接触发	缩放	格挡方式(-1表示不格挡)	破防几率	动作集	势力归属
Summon00293	AttackNpc	锦衣卫守卫二		6	1	40		1			1	0	20	0	npc\monster290	1	0.905	icon\monster\monster290.png			npc\npc_task_summon.lua	"Npc_jy_yzq01,7,0;Npc_jy_yzq02,7,0;Npc_jy_yzq03,7,0;Npc_jy_yzq04,7,0;Npc_jy_yzq05,7,0;Npc_jy_yzq06,7,0;Npc_jy_yzq07,1,0;Npc_jy_yzq07_sky,1,0;Npc_jy_yzq08,1,0;jn_tg_yanxing,1,0"					0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500									Npc_jy_yzq01		1074								
Summon00294	AttackNpc	君子堂守卫一		6	1	40		1			1	0	20	0	npc\worldnpc751	1	0.905	icon\funcnpc\worldnpc751.png			npc\npc_task_summon.lua	"Npc_jz_xytf01,7,0;Npc_jz_xytf02,7,0;Npc_jz_xytf03,7,0;Npc_jz_xytf04,7,0;Npc_jz_xytf05,7,0;Npc_jz_xytf06,7,0;Npc_jz_xytf07,7,0;Npc_jz_xytf07_sky,7,0;jn_tg_yanxing,1,0"					0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500											766								
Summon00295	AttackNpc	君子堂守卫二		6	1	40		1			1	0	20	0	npc\worldnpc183	1	0.905	icon\funcnpc\worldnpc183.png			npc\npc_task_summon.lua	"Npc_jz_xytf01,7,0;Npc_jz_xytf02,7,0;Npc_jz_xytf03,7,0;Npc_jz_xytf04,7,0;Npc_jz_xytf05,7,0;Npc_jz_xytf06,7,0;Npc_jz_xytf07,7,0;Npc_jz_xytf07_sky,7,0;jn_tg_yanxing,1,0"					0	0				2	40	20	1		0	0	100			hand1_2			-1			1.25	4																						3500											881								
	//成都镖局任务			6	1			1						0																				20																																																								
Summon00055	AttackNpc	幼虎		6	1	20		1			5	0	10	0	npc\monster018		1.130451	icon\monster\monster018.png									0	0				2	40	20	1		0	0	100			hand_0			-1			0.8	4																						3500																			
Summon00056	AttackNpc	雌虎		6	1	20		1			5	0	10	0	npc\monster018		1.130451	icon\monster\monster018.png									0	0				2	40	20	1		0	0	100			hand_0			-1			0.8	4																						3500																			
Summon00057	AttackNpc	猥琐的酒鬼		6	1	20		1			5	0	10	0	npc\monster132		0.907274	icon\monster\monster132.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00058	AttackNpc	粗鲁的无赖		6	1	20		1			5	0	10	0	npc\monster103		0.901124	icon\monster\monster103.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00059	AttackNpc	猥琐的赌徒		6	1	20		1			5	0	10	0	npc\monster311		0.849352	icon\monster\monster311.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00060	AttackNpc	粗鲁的恶棍		6	1	20		1			5	0	10	0	npc\monster036		1.030654	icon\monster\monster036.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00061	AttackNpc	猥琐的混混		6	1	20		1			5	0	10	0	npc\monster103		0.901124	icon\monster\monster103.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00062	AttackNpc	粗鲁的恶汉		6	1	20		1			5	0	10	0	npc\monster189		0.938074	icon\monster\monster189.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00063	AttackNpc	贪婪的莽夫		6	1	20		1			5	0	10	0	npc\monster190		0.925	icon\monster\monster190.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00064	AttackNpc	欺善怕恶的泼皮		6	1	20		1			5	0	10	0	npc\monster036		1.030654	icon\monster\monster036.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00065	AttackNpc	发狂的流氓		6	1	20		1			5	0	10	0	npc\monster311		0.849352	icon\monster\monster311.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00066	AttackNpc	欺善怕恶的无赖		6	1	20		1			5	0	10	0	npc\monster103		0.901124	icon\monster\monster103.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00067	AttackNpc	贪婪的地痞		6	1	20		1			5	0	10	0	npc\monster190		0.925	icon\monster\monster190.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00068	AttackNpc	狡猾的的邪僧		6	1	22		1			5	0	10	0	npc\monster052		0.905824	icon\monster\monster052.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00069	AttackNpc	贪得无厌的黑衣客		6	1	22		1			5	0	10	0	npc\monster072		0.863286	icon\monster\monster072.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00070	AttackNpc	狡猾的的兵痞		6	1	22		1			5	0	10	0	npc\monster105		1.091011	icon\monster\monster105.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00071	AttackNpc	贪得无厌的女匪		6	1	22		1			5	0	10	0	npc\monster058		0.857726	icon\monster\monster058.png									0	0				2	40	20	1		0	0	100			hand1_2			-1			1.3	4.5																						3500																			
Summon00072	AttackNpc	凶狠的兵匪		6	1	22		1			5	0	10	0	npc\monster105		1.091011	icon\monster\monster105.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00073	AttackNpc	丧尽天良的强盗		6	1	22		1			5	0	10	0	npc\monster036		1.030654	icon\monster\monster036.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00074	AttackNpc	残暴的大盗		6	1	22		1			5	0	10	0	npc\monster115		0.915409	icon\monster\monster115.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00075	AttackNpc	丧尽天良的山贼		6	1	22		1			5	0	10	0	npc\monster103		0.901124	icon\monster\monster103.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00076	AttackNpc	丧尽天良的马贼		6	1	22		1			5	0	10	0	npc\monster190		0.925	icon\monster\monster190.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00077	AttackNpc	飞扬跋扈的地痞		6	1	22		1			5	0	10	0	npc\monster036		1.030654	icon\monster\monster036.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00078	AttackNpc	奸诈的路霸		6	1	22		1			5	0	10	0	npc\monster190		0.925	icon\monster\monster190.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00079	AttackNpc	飞扬跋扈的恶霸		6	1	22		1			5	0	10	0	npc\monster311		0.849352	icon\monster\monster311.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00080	AttackNpc	豺狼		6	1	20		1			5	0	10	0	npc\monster009		0.964841	icon\monster\monster009.png									0	0				2	40	20	1		0	0	100			hand_0			-1			1.2	5																						3500																			
Summon00081	AttackNpc	母狼		6	1	23		1			5	0	10	0	npc\monster009		0.964841	icon\monster\monster009.png									0	0				2	40	20	1		0	0	100			hand_0			-1			1.2	5																						3500																			
Summon00082	AttackNpc	红狼		6	1	23		1			5	0	10	0	npc\monster009		0.964841	icon\monster\monster009.png									0	0				2	40	20	1		0	0	100			hand_0			-1			1.2	5																						3500																			
Summon00083	AttackNpc	豹		6	1	23		1			5	0	10	0	npc\monster018		1.130451	icon\monster\monster018.png									0	0				2	40	20	1		0	0	100			hand_0			-1			0.8	4																						3500																			
Summon00084	AttackNpc	心怀鬼胎的路霸		6	1	23		1			5	0	10	0	npc\monster036		1.030654	icon\monster\monster036.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00085	AttackNpc	如狼似虎的恶霸		6	1	23		1			5	0	10	0	npc\monster311		0.849352	icon\monster\monster311.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00086	AttackNpc	心怀鬼胎的喽啰		6	1	23		1			5	0	10	0	npc\monster132		0.907274	icon\monster\monster132.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00087	AttackNpc	如狼似虎的劫匪		6	1	23		1			5	0	10	0	npc\monster103		0.901124	icon\monster\monster103.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00088	AttackNpc	如狼似虎的叛匪		6	1	23		1			5	0	10	0	npc\monster036		1.030654	icon\monster\monster036.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00089	AttackNpc	心怀鬼胎的恶匪		6	1	23		1			5	0	10	0	npc\monster189		0.938074	icon\monster\monster189.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00090	AttackNpc	贪得无厌的兵匪		6	1	25		1			5	0	10	0	npc\monster103		0.901124	icon\monster\monster103.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00091	AttackNpc	残暴的马贼		6	1	25		1			5	0	10	0	npc\monster110		0.90642	icon\monster\monster110.png									0	0				2	40	20	1		0	0	100			hand_0			-1			0.9	3.5																						3500																			
Summon00092	AttackNpc	贪得无厌的武士		6	1	25		1			5	0	10	0	npc\monster310		0.980152	icon\monster\monster310.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00093	AttackNpc	欺善怕恶的路霸		6	1	25		1			5	0	10	0	npc\monster115		0.915409	icon\monster\monster115.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00094	AttackNpc	发狂的恶霸		6	1	25		1			5	0	10	0	npc\monster036		1.030654	icon\monster\monster036.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
Summon00095	AttackNpc	七步蛇		6	1	25		1			5	0	10	0	npc\monster117		0.989951	icon\monster\monster117.png									0	0				2	40	20	1		0	0	100			hand_0			-1			1	-1																						3500																			
Summon00096	AttackNpc	竹叶青蛇		6	1	25		1			5	0	10	0	npc\monster117		0.989951	icon\monster\monster117.png									0	0				2	40	20	1		0	0	100			hand_0			-1			1	-1																						3500																			
Summon00097	AttackNpc	蟒蛇		6	1	25		1			5	0	10	0	npc\monster117		0.989951	icon\monster\monster117.png									0	0				2	40	20	1		0	0	100			hand_0			-1			1	-1																						3500																			
Summon00098	AttackNpc	巨蟒		6	1	25		1			5	0	10	0	npc\monster117		0.989951	icon\monster\monster117.png									0	0				2	40	20	1		0	0	100			hand_0			-1			1	-1																						3500																			
Summon00099	AttackNpc	熊仔		6	1	25		1			5	0	10	0	npc\monster002		1.582473	icon\monster\monster002.png									0	0				2	40	20	1		0	0	100			hand_0			-1			1.5	4.5																						3500																			
Summon00100	AttackNpc	熊		6	1	25		1			5	0	10	0	npc\monster002		1.582473	icon\monster\monster002.png									0	0				2	40	20	1		0	0	100			hand_0			-1			1.5	4.5																						3500																			
Summon00101	AttackNpc	巨熊		6	1	25		1			5	0	10	0	npc\monster002		1.582473	icon\monster\monster002.png									0	0				2	40	20	1		0	0	100			hand_0			-1			1.5	4.5																						3500																			
Summon00102	AttackNpc	狼		6	1	25		1			5	0	10	0	npc\monster009		0.964841	icon\monster\monster009.png									0	0				2	40	20	1		0	0	100			hand_0			-1			1.2	5																						3500																			
Summon00103	AttackNpc	毒狼		6	1	25		1			5	0	10	0	npc\monster009		0.964841	icon\monster\monster009.png									0	0				2	40	20	1		0	0	100			hand_0			-1			1.2	5																						3500																			
Summon00104	AttackNpc	饿狼		6	1	25		1			5	0	10	0	npc\monster009		0.964841	icon\monster\monster009.png									0	0				2	40	20	1		0	0	100			hand_0			-1			1.2	5																																									
Summon00105	AttackNpc	华鹏党羽		6	1	30		1			5	0	10	0	npc\monster115		0.915409	icon\monster\monster115.png									0	0				2	40	20	1		0	0	100			hand1_1			-1			1.25	4																						3500																			
					1																																																																																					
					1																																																																																					
					1																																																																																					
	//刷怪NPC(剧情任务)			6	1			1						0																				20																																																								
	"//m01,锦衣卫刷怪NPC"			6	1			1						0																				20																																																								
monrm010100	AttackNpc			6	1	8		1			1	0	10	0	npc\monster311		0.849352	icon\monster\monster311.png														2	40	20	60		0	5	15			hand1_1			-1			1.25	4																						3500																			
monrm010200	AttackNpc			6	1	8		1			1	0	10	0	npc\monster132		0.907274	icon\monster\monster132.png														2	40	20	60		0	5	15			hand1_1			-1			1.25	4																						3500																			
monrm010300	AttackNpc			6	1	8		1			1	0	10	0	npc\monster445		0.975	icon\monster\monster445.png														2	1	1	1		0	5	15			hand1_1			-1			1.25	4																						3500																			
monrm010400	AttackNpc			6	1	9		1			1	0	10	0	npc\monster114		0.930587	icon\monster\monster114.png														2	40	20	60		0	5	15			hand1_1			-1			1.25	4																						3500																			
monrm010500	AttackNpc			6	1	8		1			1	0	10	0	npc\monster445		0.975	icon\monster\monster445.png														2	40	20	60		0	5	15			hand1_1			-1			1.25	4																						3500																			
monrm010600	AttackNpc			6	1	8		1			1	0	10	0	npc\monster268		0.985	icon\monster\monster268.png														2	40	20	60		0	5	15			hand1_1			-1			1.25	4																						3500																			
monrm010700	AttackNpc			6	1	10		1			1	0	10	0	npc\monster262		0.92	icon\monster\monster262.png														2	40	20	60		0	5	15			hand1_1			-1			1.25	4																						3500																			
monrm010800	AttackNpc			6	1	10		1			1	0	10	0	npc\monster262		0.92	icon\monster\monster262.png														2	40	20	60		0	5	15			hand1_1			-1			1.25	4																						3500																			
monrm010900	AttackNpc			6	1	12		1			1	0	10	0	npc\monster040		0.92	icon\monster\monster040.png									0	0				2	40	20	60		0	5	15			hand_0			-1			1.5	3.6																						3500																			
monrm010901	AttackNpc			6	1	12		1			1	0	10	0	npc\monster040		0.92	icon\monster\monster040.png									0	0				2	40	20	60		0	5	15			hand_0			-1			1.5	4																																									
monrm011000	AttackNpc			6	1	12		1			1	0	10	0	npc\monster115		0.915409	icon\monster\monster115.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																						3500																			
monrm011001	AttackNpc			6	1	13		1			1	0	10	0	npc\monster115		0.915409	icon\monster\monster115.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm011002	AttackNpc			6	1	13		1			1	0	10	0	npc\monster115		0.915409	icon\monster\monster115.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm011003	AttackNpc			6	1	13		1			1	0	10	0	npc\monster115		0.915409	icon\monster\monster115.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm011100	AttackNpc			6	1	27		1			1	0	10	0	npc\monster121		1.058118	icon\monster\monster121.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm011200	AttackNpc			6	1	27		1			1	0	10	0	npc\monster121		1.058118	icon\monster\monster121.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm011300	AttackNpc			6	1	28		1			1	0	10	0	npc\monster121		1.058118	icon\monster\monster121.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm011400	AttackNpc			6	1	28		2			1	0	10	0	npc\monster121		1.058118	icon\monster\monster121.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm011500	AttackNpc			6	1	41		1			1	0	10	0	npc\monster036		1.030654	icon\monster\monster036.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm011600	AttackNpc			6	1	39		1			1	0	10	0	npc\monster382		0.97	icon\monster\monster382.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm011700	AttackNpc			6	1	39		1			1	0	10	0	npc\monster179		0.885	icon\monster\monster179.png									0	0				2	40	20	60		0	5	15			hand1_2			-1			1.3	4.5																																									
monrm011800	AttackNpc			6	1	36		1			1	0	10	0	npc\monster121		1.058118	icon\monster\monster121.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm011900	AttackNpc			6	1	36		1			1	0	10	0	npc\monster121		1.058118	icon\monster\monster121.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm012000	AttackNpc			6	1	36		1			1	0	10	0	npc\worldnpc353		0.919563	icon\funcnpc\worldnpc353.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm012100	AttackNpc			6	1	36		1			1	0	10	0	npc\worldnpc519		0.94	icon\funcnpc\worldnpc519.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm012200	AttackNpc			6	1	11		1			1	0	10	0	npc\worldnpc292		0.900314	icon\funcnpc\worldnpc292.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																						3500																			
monrm012300	AttackNpc			6	1	11		1			1	0	10	0	npc\worldnpc292		0.900314	icon\funcnpc\worldnpc292.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm012400	AttackNpc			6	1	12		1			1	0	10	0	npc\petm_C_1500		#N/A	#N/A									0	0				2	40	20	60		0	5	15			#N/A			-1			#N/A	#N/A																																									
monrm012500	AttackNpc			6	1	12		1			1	0	10	0	npc\monster117		0.989951	icon\monster\monster117.png									0	0				2	40	20	60		0	5	15			hand_0			-1			1	4																																									
monrm012600	AttackNpc			6	1	12		1			1	0	10	0	npc\monster179		0.885	icon\monster\monster179.png									0	0				2	40	20	60		0	5	15			hand1_2			-1			1.3	4.5																																									
monrm012700	AttackNpc			6	1	13		2			1	0	10	0	npc\monster122		0.919509	icon\monster\monster122.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm012800	AttackNpc			6	1	13		2			1	0	10	0	npc\monster446		0.975	icon\monster\monster446.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm012900	AttackNpc			6	1	13		2			1	0	10	0	npc\monster123		0.915	icon\monster\monster123.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm013000	AttackNpc			6	1	13		1			1	0	10	0	npc\worldnpc353		0.919563	icon\funcnpc\worldnpc353.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm013100	AttackNpc	东厂密探		6	1	37		1			1	0	10	0	npc\monster243		0.91	icon\monster\monster243.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm013200	AttackNpc	丐帮密探		6	1	37		1			1	0	10	0	npc\worldnpc292		0.900314	icon\funcnpc\worldnpc292.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm013300	AttackNpc	失职弟子		6	1	37		1			1	0	10	0	npc\monster383		0.97	icon\monster\monster383.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm013400	AttackNpc	占山匪徒		6	1	37		1			1	0	10	0	npc\monster189		0.938074	icon\monster\monster189.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm013500	AttackNpc	强盗		6	1	37		1			1	0	10	0	npc\monster458		0.925	icon\monster\monster458.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm013600	AttackNpc	丐帮帮众		6	1	37		1			1	0	10	0	npc\worldnpc081		0.901731	icon\funcnpc\worldnpc081.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm013700	AttackNpc	刀客		6	1	37		1			1	0	10	0	npc\monster234		#N/A	#N/A									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm013800	AttackNpc	六扇门好手		6	1	37		1			1	0	10	0	npc\worldnpc210		0.923384	icon\funcnpc\worldnpc210.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm013900	AttackNpc	东厂好手		6	1	37		1			1	0	10	0	npc\monster231		0.955	icon\monster\monster231.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm013901	AttackNpc	新捕死囚		6	1	1		1			1	0	10	0	npc\monster100		1.901731	icon\funcnpc\worldnpc082.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4						1																																			
monrm013902	AttackNpc	七步蛇		6	1	8		1			1	0	10	0	npc\monster117		2.848462	icon\monster\monster232.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4						1																																			
monrm013904	AttackNpc	艾狄辰		6	115	8		1			1	0	10	0	npc\fbnpc00034		0.92	icon\monster\fbnpc00034.png									0	0				2	10	10	10		0	5	15			hand1_1			-1			1.25	4																						2000																			
monrm013905	AttackNpc	恶鬼门贼徒		6	6	23		2			1	0	10	0	npc\monster312		0.906333	icon\monster\monster312.png									0	0				2	30	30	30		0	5	15			hand1_1			-1			1.25	4																																									
monrm013906	AttackNpc	劫狱人		6	6	23		2			1	0	10	0	npc\monster312		0.906333	icon\monster\monster312.png									0	0				2	30	30	30		0	5	15			hand1_1			-1			1.25	4																																									
monrm013907	AttackNpc	浣花剑派弟子		6	6	20		2			1	0	10	0	npc\monster286		0.906333	icon\monster\monster286.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm013908	AttackNpc	韩家打手		6	6	25		2			1	0	10	0	npc\monster114		0.906333	icon\monster\monster114.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm013909	AttackNpc	黑衣人		6	6	30		2			1	0	10	0	npc\monster171		0.906333	icon\monster\monster171.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																																									
monrm013910	AttackNpc	锦衣卫弟子		6	1	30		1			1	1	10	0	npc\worldnpc799_02	1	0.9	icon\funcnpc\fbnpc00034r.png				"jn_qxshz_001,1,80;jn_qxshz_002,1,100"					0	0				2	30	30	30		0	5	15			hand1_1			-1			1.25	4																						3500											2071								
					1																																																																																					
	"//m03,君子堂刷怪NPC"			6	1			1						0																				20																																																								
monrm030100	AttackNpc	霹雳堂弟子 王烈		6	1	26		1			1	0	10	0	npc\worldnpc077		0.919118	icon\funcnpc\worldnpc077.png									0	0				2	40	20	60		0	5				hand1_1			-1			1.25	4																																									
monrm030200	AttackNpc	极乐谷弟子 魏少东		6	1	26		1			1	0	10	0	npc\monster517		0.905	icon\monster\monster517.png									0	0				2	40	20	60		0	5				hand1_1			-1			1.25	4																																									
monrm030300	AttackNpc	锦衣卫门人 杜惊雷		6	1	26		1			1	0	10	0	npc\monster121		1.058118	icon\monster\monster121.png									0	0				2	40	20	60		0	5				hand1_1			-1			1.25	4																																									
monrm030400	AttackNpc	君子堂男弟子 欧阳晃		6	1	26		1			1	0	10	0	npc\worldnpc358		0.940895	icon\funcnpc\worldnpc358.png									0	0				2	40	20	60		0	5				hand1_1			-1			1.25	4																																									
monrm030500	AttackNpc	神医 布颜语		6	1	26		1			1	0	10	0	npc\fbfunnpc00121		0.88	icon\funcnpc\fbfunnpc00121.png									0	0				2	40	20	60		0	5				hand1_1			-1			1.25	4																						3500																			
monrm030600	AttackNpc	密宗杀手		6	1	34		1			1	0	30	0	npc\monster115		0.915409	icon\monster\monster115.png									0	0				2	40	20	60		0	5				hand1_1			-1			1.25	4																						3500																			
monrm030700	AttackNpc	张池		6	4	8		1			1	0	10	0	npc\worldnpc559		0.920429	icon\funcnpc\worldnpc559.png									0	0				2	40	2	60		0	5	15			hand1_1			-1			1.25	4						1																3500																			
monrm030800	AttackNpc	偷花贼		6	1	8		1			1	0	10	0	npc\monster122		0.919509	icon\monster\monster122.png									0	0				2	40	20	30		0	5	15			hand1_1			-1			1.25	4						1																3500																			
monrm030900	AttackNpc	极乐谷弟子		6	1	8		1			1	0	10	0	npc\monster143		0.938074	icon\monster\monster143.png									0	0				2	40	20	30		0	5	15			hand1_1			-1			1.25	4						1																3500																			
monrm031000	AttackNpc	极乐谷蒙面杀手		6	1	6		1			1	0	10	0	npc\monster058		0.857726	icon\monster\monster058.png									0	0				2	40	20	30		0	5	15			hand1_2			-1			1.3	4.5						1																3500																			
monrm031100	AttackNpc	极乐谷耳目		6	1	8		2			1	0	10	0	npc\monster109		0.96	icon\monster\monster109.png									0	0				2	40	20	30		0	5	15			hand1_1			-1			1.25	4						1																3500																			
monrm031200	AttackNpc	丐帮闹事弟子		6	1	17		1			1	0	10	0	npc\monster231		0.955	icon\monster\monster231.png									0	0				2	40	20	30		0	5	15			hand1_1			-1			1.25	4						1																3500																			
monrm031300	AttackNpc	君子堂守门弟子		6	1	17		1			1	0	10	0	npc\worldnpc235		0.870732	icon\funcnpc\worldnpc235.png									0	0				2	40	20	60		0	5	15			hand1_2			-1			1.3	4.5						1																3500																			
monrm031400	AttackNpc	君子堂弟子		6	1	29		1			1	0	10	0	npc\worldnpc236		0.957426	icon\funcnpc\worldnpc236.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4						1																																			
monrm031500	AttackNpc	密宗高手		6	1	29		1			1	0	10	0	npc\monster231		0.955	icon\monster\monster231.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4						1																3500																			
monrc031600	AttackNpc	锦衣卫爪牙		6	1	7		1			1	0	10	0	npc\monster121		1.058118	icon\monster\monster121.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																						3500																			
monrc031700	AttackNpc	君子堂弟子		6	1	6		1			1	0	10	0	npc\worldnpc191		0.916027	icon\funcnpc\worldnpc191.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4																						3500																			
monrc031800	AttackNpc	偷花贼		6	1	7		1			1	0	10	0	npc\worldnpc383		0.898573	icon\funcnpc\worldnpc383.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4						1																3500																			
monrc031900	AttackNpc	毒蜘蛛		6	1	7		1			1	0	10	0	npc\monster006		0.143695	icon\monster\monster006.png									0	0				2	40	20	60		0	5	15			hand_0			-1			0.4	1.2						1																3500																			
monrc032000	AttackNpc	君子堂弟子		6	1	7		1			1	0	10	0	npc\worldnpc236		0.957426	icon\funcnpc\worldnpc236.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4						1																3500																			
monrm032100	AttackNpc	慕容山庄弟子		6	1	23		1			1	0	10	0	npc\monster186		0.87	icon\monster\monster186.png									0	0				2	40	20	60		0	5	15			hand1_2			-1			1.3	4.5						1																3500																			
monrm032200	AttackNpc	君子堂弟子		6	1	22		1			1	0	10	0	npc\monster297		0.93	icon\monster\monster297.png									0	0				2	40	20	60		0	5	15			hand1_1			-1			1.25	4						1																3500																			
