NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	性别	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	是否能接镖	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	身份参数01	身份参数2	身份参数3	对话规则	踢馆专用关联NPC	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	空闲状态对话	碰撞时对话	仇恨	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	禁播受击动作	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	防御概率	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	婚宴npc类型	势力归属	势力关系表	战斗开始的召唤ID	NPC交互停留时间	权重	初始动作固定帧播放	碰撞对话规则	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	所属帮会地块编号	AI编辑包	善恶参数	直接触发	脱战回血	格挡方式(-1表示不格挡)	超过距离就脱战	使用轻功	破防几率	破防技能	防御CD	世界触发器相关	存在时间	是否理会玩家	缩放尺寸	跟随距离	跟随位置	是否跨场景	跟随角度	NPC所属势力	动作集	大逃杀专用	团队显示道具
monm033505	CommonNpc	黄龙使		8	14	2	2	10		1.25	4	hand1_1	npc\monster253		0.92	icon\monster\monster253.png					0				3	0	0			20																							1	61		1					15	10	60				1					1				2000	30		2000							517		0	10																							1051																					
monm033506	CommonNpc	嗜酒怪侠		8	12	2	2	10		1.25	4	hand1_1	npc\monster038		0.96	icon\monster\monster038.png					0				3	0	0			20																							1	61		1					15	10	60				1					1				2000	30		2000							517		0	10																																												
																																																																																																																																					
																																																																																																																																					
monm030200	CommonNpc	鬼祟的极乐谷弟子		8	12	2	2	10		1.25	4	hand1_1	npc\worldnpc544		0.93	icon\funcnpc\worldnpc544.png					0				3	0	0			20																							1	7		1					15	10	60				1					1				2000	30		2000							520		0	10																																												
monm030201	CommonNpc	送信的极乐谷弟子		8	12	2	2	10		1.25	4	hand1_1	npc\worldnpc543		0.915	icon\funcnpc\worldnpc543.png					0				3	0	0			20																							1	7		1					15	10	60				1					1				2000	30		2000							520		0	10																																												
monm030202	CommonNpc	极乐谷信使护卫		8	12	2	2	10		1.25	4	hand1_1	npc\worldnpc545		1.03	icon\funcnpc\worldnpc545.png					0				3	0	0			20																							1	7		1					15	10	60				1					1				2000	30		2000							520		0	10																																												
monm030203	CommonNpc	鬼祟的极乐谷头目		8	12	2	2	10		1.25	4	hand1_1	npc\worldnpc546		0.89	icon\funcnpc\worldnpc546.png					0				3	0	0			20																							1	7		1					15	10	60				1					1				2000	30		2000							520		0	10																																												
monm040303	CommonNpc	叛逃弟子		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc543		0.909732	icon\funcnpc\worldnpc392.png					0				3	0	0			20																							1	8		1					15	10	60				1					1				2000	30		2000							520		0	10																							1055																					
monm040306	CommonNpc	极乐谷外门弟子		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc390		0.91563	icon\funcnpc\worldnpc394.png					0				3	0	0			20																							1	8		1					15	10	60				1					1				2000	30		2000							520		0	10																							1055																					
monm040708	CommonNpc	极乐门巡逻		8	12	2	2	10		1.25	4	hand1_1	npc\worldnpc545		0.97	icon\funcnpc\worldnpc545.png					0				3	0	0			20																							1	45		1					15	10	60				1					1				2000	30		2000							520		0	10																																												
monm042502	CommonNpc	极乐谷斥候		8	12	2	2	10		1.25	4	hand1_1	npc\worldnpc394		0.91563	icon\funcnpc\worldnpc394.png					0				3	0	0			20																							1	12		1					15	10	60				1					1				2000	30		2000							520		0	10																																												
monm072600	CommonNpc	极乐谷接应弟子		8	14	2	2	10		1.25	4	hand1_1	npc\monster246		0.72	icon\monster\monster246.png					0				3	0	0			20																							1	14		1					15	10	60				1					1				2000	30		2000							520		0	10																							1164																					
monm072601	CommonNpc	极乐谷哨探		8	14	2	2	10		1.25	4	hand1_1	npc\monster246		0.72	icon\monster\monster246.png					0				3	0	0			20																							1	17		1					15	10	60				1					1				2000	30		2000							520		0	10																							1164																					
monm073300	CommonNpc	极乐谷弟子		8	12	2	2	10		1.25	4	hand1_1	npc\monster243		0.91	icon\monster\monster243.png					0				3	0	0			20																							1	18		1					15	10	60				1					1				2000	30		2000							520		0	10																																												
monm073302	CommonNpc	极乐谷侦查头目		8	12	2	2	10		1.25	4	hand1_1	npc\monster243		0.91	icon\monster\monster243.png					0				3	0	0			20																							1	25		1					15	10	60				1					1				2000	30		2000							520		0	10																																												
monm082401	CommonNpc	极乐谷弟子		8	14	2	2	10		1.25	4	hand1_2	npc\monster143		0.885	icon\monster\monster143.png					0				3	0	0			20																							1	13		1					15	10	60				1					1				2000	30		2000							520		0	10																							1208																					
monm083202	CommonNpc	极乐谷密探		8	14	2	2	10		1.25	4	hand1_1	npc\monster562		0.89	icon\monster\monster562.png					0				3	0	0			20																							1	15		1					15	10	60				1					1				2000	30		2000							520		0	10																							1186																					
monm083601	CommonNpc	极乐谷精英		8	14	2	2	10		1.25	4	hand1_1	npc\monster272		0.94	icon\monster\monster272.png					0				3	0	0			20																							1	19		1					15	10	60				1					1				2000	30		2000							520		0	10																							1186																					
monm083602	CommonNpc	极乐谷密探		8	14	2	2	10		1.25	4	hand1_1	npc\monster273		0.985	icon\monster\monster273.png					0				3	0	0			20																							1	19		1					15	10	60				1					1				2000	30		2000							520		0	10																							1194																					
																																																																																																																																					
monm041401	CommonNpc	黑风山教众		8	14	2	2	10		1.25	4	hand1_1	npc\monster043		0.928146	icon\monster\monster043.png					0				3	0	0			20																							1	17		1					15	10	60				1					1				2000	30		2000							521		0	10																							1066																					
monm041402	CommonNpc	黑风山弟子		8	14	2	2	10		1.25	4	hand1_1	npc\monster447		0.97	icon\monster\monster447.png					0				3	0	0			20																							1	17		1					15	10	60				1					1				2000	30		2000							521		0	10																							1066																					
monm041403	CommonNpc	黑风山长老		8	14	2	2	10		1.25	4	hand1_1	npc\monster472		0.905	icon\funcnpc\worldnpc035.png					0				3	0	0			20																							1	17		1					15	10	60				1					1				2000	30		2000							521		0	10																							1066																					
monm041404	CommonNpc	黑风山护法		8	14	2	2	10		1.25	4	hand1_1	npc\monster475		0.898542	icon\funcnpc\worldnpc074.png					0				3	0	0			20																							1	17		1					15	10	60				1					1				2000	30		2000							521		0	10																							1067																					
monm041405	CommonNpc	百啸洞巡查		8	14	2	2	10		1.25	4	hand1_1	npc\monster562		0.89	icon\monster\monster562.png					0				3	0	0			20																							1	17		1					15	10	60				1					1				2000	30		2000							521		0	10																							1067																					
monm041406	CommonNpc	黑风山密坛杀手		8	14	2	2	10		1.25	4	hand1_1	npc\monster171		0.909732	icon\funcnpc\worldnpc392.png					0				3	0	0			20																							1	17		1					15	10	60				1					1				2000	30		2000							521		0	10																							1067																					
monm041407	CommonNpc	黑风山密坛使者		8	14	2	2	10		1.25	4	hand1_1	npc\monster231		0.929212	icon\funcnpc\worldnpc393.png					0				3	0	0			20																							1	17		1					15	10	60				1					1				2000	30		2000							521		0	10																							1067																					
monm041408	CommonNpc	百啸洞斥候		8	14	2	2	10		1.25	4	hand1_1	npc\monster242		0.945	icon\monster\monster242.png					0				3	0	0			20																							1	17		1					15	10	60				1					1				2000	30		2000							521		0	10																							1067																					
monm041500	CommonNpc	黑风山使者		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc077		0.919118	icon\funcnpc\worldnpc077.png					0				3	0	0			20																							1	18		1					15	10	60				1					1				2000	30		2000							521		0	10																							1067																					
monm041700	CommonNpc	黑风山老妖		8	14	2	2	10		1.25	4	hand1_1	npc\monster312		0.86698	icon\monster\monster312.png					0				3	0	0			20																							1	20		1					15	10	60				1					1				2000	30		2000							521		0	10																							1067																					
																																																																																																																																					
																																																																																																																																					
monm051100	CommonNpc	沐云庄庄客		8	14	2	2	10		1.25	4	hand1_1	npc\monster122		0.919509	icon\monster\monster122.png					0				3	0	0			20																							1	23		1					15	10	60				1					1				2000	30		2000							522		0	10																							1084																					
monm051106	CommonNpc	沐云庄迎客使		8	14	2	2	10		1.25	4	hand1_1	npc\monster456		1	icon\monster\monster456.png					0				3	0	0			20																							1	23		1					15	10	60				1					1				2000	30		2000							522		0	10																							1086																					
monm051107	CommonNpc	沐云庄护卫		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc495		0.935	icon\funcnpc\worldnpc495.png					0				3	0	0			20																							1	23		1					15	10	60				1					1				2000	30		2000							522		0	10																							1084																					
monm051201	CommonNpc	朱雀哨塔守卫		8	14	2	2	10		1.25	4	hand1_1	npc\monster446		0.975	icon\monster\monster446.png					0				3	0	0			20																							1	24		1					15	10	60				1					1				2000	30		2000							522		0	10																							1084																					
monm051202	CommonNpc	沐云庄刀卫		8	14	2	2	10		1.25	4	blade4_1	npc\worldnpc383		0.898573	icon\funcnpc\worldnpc383.png				b_r_npcitem348	0				3	0	0			20																							1	24		1					15	10	60				1					1				2000	30		2000							522		0	10																							1084																					
monm051204	CommonNpc	玄武哨塔守卫		8	12	2	2	10		1.25	4	hand1_1	npc\monster455		0.9	icon\monster\monster455.png					0				3	0	0			20																							1	24		1					15	10	60				1					1				2000	30		2000							522		0	10																																												
monm051206	CommonNpc	白虎哨塔守卫		8	12	2	2	10		1.25	4	hand1_1	npc\monster252		0.93417	icon\monster\monster252.png					0				3	0	0			20																							1	24		1					15	10	60				1					1				2000	30		2000							522		0	10																																												
monm051207	CommonNpc	沐云庄棍卫		8	14	2	2	10		1.25	4	lstuff1_1	npc\monster249		1	icon\monster\monster249.png				lst_r_npcitem316	0				3	0	0			20																							1	24		1					15	10	60				1					1				2000	30		2000							522		0	10																							1084																					
monm051300	CommonNpc	庄主密使		8	14	2	2	10		1.25	4	hand1_1	npc\monster189		0.938074	icon\monster\monster189.png					0				3	0	0			20																							1	25		1					15	10	60				1					1				2000	30		2000							522		0	10																							1084																					
monm051301	CommonNpc	庄主护卫		8	12	2	2	10		1.25	4	hand1_1	npc\worldnpc496		0.905	icon\funcnpc\worldnpc496.png					0				3	0	0			20																							1	25		1					15	10	60				1					1				2000	30		2000							522		0	10																																												
monm051302	CommonNpc	巡逻庄丁		8	14	2	2	10		1.25	4	hand1_1	npc\monster235		0.915	icon\monster\monster235.png					0				3	0	0			20																							1	25		1					15	10	60				1					1				2000	30		2000							522		0	10																							1084																					
monm051305	CommonNpc	沐云庄巡逻剑客		8	14	2	2	10		1.25	4	hand1_1	npc\monster043		0.928146	icon\monster\monster043.png					0				3	0	0			20																							1	25		1					15	10	60				1					1				2000	30		2000							522		0	10																							1084																					
monm051500	CommonNpc	魅惑婢女		8	14	2	2	10		1.25	4	hand1_2	npc\monster048		0.865026	icon\monster\monster048.png					0				3	0	0			20																							1	27		1					15	10	60				1					1				2000	30		2000							522		0	10																							1084																					
monm051600	CommonNpc	沐云庄剑卫		8	14	2	2	10		1.25	4	sword1_2	npc\monster193		1	icon\monster\monster193.png				s_r_npcitem417	0				3	0	0			20																							1	28		1					15	10	60				1					1				2000	30		2000							522		0	10																							1084																					
monm051700	CommonNpc	沐云庄高手		8	14	2	2	10		1.25	4	hand1_1	npc\monster601		0.905	icon\monster\monster378.png					0				3	0	0			20																							1	29		1					15	10	60				1					1				2000	30		2000							522		0	10																							1084																					
monm052303	CommonNpc	沐云庄玄武塔总管——黎阙		8	12	2	2	10		1.25	4	hand1_1	npc\monster520		0.905	icon\monster\monster520.png					0				3	0	0			20																							1	29		1					15	10	60				1					1				2000	30		2000							522		0	10																																												
monm052304	CommonNpc	沐云庄朱雀塔总管——高英		8	14	2	2	10		1.25	4	hand1_2	npc\monster433		0.87	icon\monster\monster433.png					0				3	0	0			20																							1	29		1					15	10	60				1					1				2000	30		2000							522		0	10																							1084																					
monm052305	CommonNpc	沐云庄白虎塔总管——齐逖		8	14	2	2	10		1.25	4	hand1_1	npc\monster114		0.930587	icon\monster\monster114.png					0				3	0	0			20																							1	29		1					15	10	60				1					1				2000	30		2000							522		0	10																							1084																					
monm052306	CommonNpc	沐云庄日光使——白景		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc521		0.965	icon\funcnpc\worldnpc521.png					0				3	0	0			20																							1	29		1					15	10	60				1					1				2000	30		2000							522		0	10																							1084																					
monm062300	CommonNpc	沐云庄精英		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc558		0.915	icon\funcnpc\worldnpc558.png					0				3	0	0			20																							1	48		1					15	10	60				1					1				2000	30		2000							522		0	10																							1117																					
monm052307	CommonNpc	沐云庄月光使——冥萧		8	14	2	2	10		1.25	4	hand1_2	npc\monster173		0.87	icon\funcnpc\fbboss00165.png					0				3	0	0			20																							1	29		1					15	10	60				1					1				2000	30		2000							522		0	10																							1084																					
																																																																																																																																					
monm053100	CommonNpc	前寨帮众		8	14	2	2	10		1.25	4	hand1_1	npc\monster261		0.912081	icon\monster\monster261.png					0				3	0	0			20																							1	29		1					15	10	60				1					1				2000	30		2000							523		0	10																							1093																					
monm053101	CommonNpc	连环坞低阶帮众		8	14	2	2	10		1.25	4	hand1_1	npc\monster459		0.935	icon\monster\monster459.png					0				3	0	0			20																							1	29		1					15	10	60				1					1				2000	30		2000							523		0	10																							1093																					
monm053102	CommonNpc	水寨守卫		8	14	2	2	10		1.25	4	hand1_1	npc\monster500		0.915	icon\monster\monster500.png					0				3	0	0			20																							1	29		1					15	10	60				1					1				2000	30		2000							523		0	10																							1093																					
monm053103	CommonNpc	水寨高手		8	14	2	2	10		1.25	4	hand1_1	npc\monster562		0.89	icon\monster\monster562.png					0				3	0	0			20																							1	29		1					15	10	60				1					1				2000	30		2000							523		0	10																							1093																					
monm053104	CommonNpc	陆寨喽啰		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc157		0.920429	icon\funcnpc\worldnpc157.png					0				3	0	0			20																							1	29		1					15	10	60				1					1				2000	30		2000							523		0	10																							1095																					
monm053105	CommonNpc	陆寨高手		8	14	2	2	10		1.25	4	hand1_1	npc\monster445		0.975	icon\monster\monster445.png					0				3	0	0			20																							1	29		1					15	10	60				1					1				2000	30		2000							523		0	10																							1095																					
monm053106	CommonNpc	陆寨杂役		8	14	2	2	10		1.25	4	hand1_1	npc\monster132		0.907274	icon\monster\monster132.png					0				3	0	0			20																							1	29		1					15	10	60				1					1				2000	30		2000							523		0	10																							1095																					
monm053200	CommonNpc	分水关喽啰		8	14	2	2	10		1.25	4	hand1_1	npc\monster258		0.905	icon\monster\monster258.png					0				3	0	0			20																							1	30		1					15	10	60				1					1				2000	30		2000							523		0	10																							1093																					
monm053201	CommonNpc	分水关高手		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc202		0.919509	icon\funcnpc\worldnpc202.png					0				3	0	0			20																							1	30		1					15	10	60				1					1				2000	30		2000							523		0	10																							1093																					
monm053202	CommonNpc	连环坞中阶帮众		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc533		0.9	icon\funcnpc\worldnpc533.png					0				3	0	0			20																							1	30		1					15	10	60				1					1				2000	30		2000							523		0	10																							1093																					
monm053203	CommonNpc	连环坞高阶帮众		8	14	2	2	10		1.25	4	hand1_1	npc\monster242		0.945	icon\monster\monster242.png					0				3	0	0			20																							1	30		1					15	10	60				1					1				2000	30		2000							523		0	10																							1094																					
monm053204	CommonNpc	总舵密探		8	14	2	2	10		1.25	4	hand_0	npc\monster177		0.855	icon\monster\monster177.png					0				3	0	0			20																							1	30		1					15	10	60				1					1				2000	30		2000							523		0	10																							1094																					
monm053400	CommonNpc	前寨喽啰		8	14	2	2	10		1.25	4	hand1_1	npc\monster190		0.925	icon\monster\monster190.png					0				3	0	0			20																							1	32		1					15	10	60				1					1				2000	30		2000							523		0	10																							1093																					
monm053500	CommonNpc	分水关小头目		8	14	2	2	10		1.25	4	hand1_1	npc\monster074		0.905	icon\monster\monster074.png					0				3	0	0			20																							1	33		1					15	10	60				1					1				2000	30		2000							523		0	10																							1093																					
monm053600	CommonNpc	总舵三堂刀卫		8	14	2	2	10		1.25	4	blade4_1	npc\monster519		0.93	icon\monster\monster519.png				b_r_npcitem024	0				3	0	0			20																							1	34		1					15	10	60				1					1				2000	30		2000							523		0	10																							1094																					
monm053700	CommonNpc	总舵三堂高手		8	14	2	2	10		1.25	4	hand1_1	npc\monster447		0.97	icon\monster\monster447.png					0				3	0	0			20																							1	35		1					15	10	60				1					1				2000	30		2000							523		0	10																							1094																					
monm052402	CommonNpc	连环坞霹雳手——雷轩		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc533		0.9	icon\funcnpc\worldnpc533.png					0				3	0	0			20																							1	30		1					15	10	60				1					1				2000	30		2000							523		0	10																							1095																					
monm052403	CommonNpc	连环坞混江龙——冀飞		8	14	2	2	10		1.25	4	hand1_1	npc\monster521		0.93	icon\monster\monster521.png					0				3	0	0			20																							1	30		1					15	10	60				1					1				2000	30		2000							523		0	10																							1096																					
monm060803	CommonNpc	十二连环坞分水帮众		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc550		0.925	icon\funcnpc\worldnpc550.png					0				3	0	0			20																							1	12		1					15	10	60				1					1				2000	30		2000							523		0	10																							1102																					
monm052404	CommonNpc	连环坞影之刺客——江百明		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc078		0.885	icon\funcnpc\worldnpc078.png					0				3	0	0			20																							1	30		1					15	10	60				1					1				2000	30		2000							523		0	10																							1096																					
																																																																																																																																					
monm050105	CommonNpc	唐门毒痴		8	14	2	2	10		1.25	4	hand1_1	npc\worldnpc565		0.905	icon\funcnpc\worldnpc565.png					0				3	0	0			20																							1	6		1					15	10	60				1					1				2000	30		2000							524		0	10																							1213																					
monm050200	CommonNpc	唐门弟子		8	14	2	2	10		1.25	4	hand1_1	npc\monster379		1	icon\monster\monster379.png					0				3	0	0			20																							1	6		1					15	10	60				1					1				2000	30		2000							524		0	10																							1077																					
monm050202	CommonNpc	唐家堡巡逻弟子		8	12	2	2	10		1.25	4	hand1_1	npc\monster378		0.93	icon\monster\monster378.png					0				3	0	0			20																							1	6		1					15	10	60				1					1				2000	30		2000							524		0	10																																												
monm050203	CommonNpc	唐门毒使		8	14	2	2	10		1.25	4	hand1_2	npc\monster058		0.857726	icon\monster\monster058.png					0				3	0	0			20																							1	6		1					15	10	60				1					1				2000	30		2000							524		0	10																							1215																					
monm050204	CommonNpc	偷懒的唐门弟子		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc386		0.865235	icon\funcnpc\worldnpc386.png					0				3	0	0			20																							1	6		1					15	10	60				1					1				2000	30		2000							524		0	10																							1215																					
monm050207	CommonNpc	唐家堡药师		8	14	2	2	10		1.25	4	hand1_1	npc\monster168		1	icon\monster\monster168.png					0				3	0	0			20																							1	6		1					15	10	60				1					1				2000	30		2000							524		0	10																							1215																					
monm050500	CommonNpc	总堡护卫		8	14	2	2	10		1.25	4	hand1_1	npc\monster261		0.912081	icon\monster\monster261.png					0				3	0	0			20																							1	10		1					15	10	60				1					1				2000	30		2000							524		0	10																							1077																					
monm050501	CommonNpc	唐门高级弟子		8	14	2	2	10		1.25	4	hand1_1	npc\monster377		1	icon\monster\monster377.png					0				3	0	0			20																							1	10		1					15	10	60				1					1				2000	30		2000							524		0	10																							1215																					
monm050502	CommonNpc	唐门暗镖		8	14	2	2	10		1.25	4	hand1_1	npc\monster072		0.863286	icon\monster\monster072.png					0				3	0	0			20																							1	10		1					15	10	60				1					1				2000	30		2000							524		0	10																							1077																					
monm050503	CommonNpc	唐家堡炼毒师		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc246		0.851619	icon\funcnpc\worldnpc246.png					0				3	0	0			20																							1	10		1					15	10	60				1					1				2000	30		2000							524		0	10																							1077																					
monm050504	CommonNpc	唐门后堡护卫		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc385		0.892216	icon\funcnpc\worldnpc385.png					0				3	0	0			20																							1	10		1					15	10	60				1					1				2000	30		2000							524		0	10																							1077																					
monm050505	CommonNpc	后堡巡逻使		8	14	2	2	10		1.25	4	hand1_1	npc\monster166		1	icon\monster\monster166.png					0				3	0	0			20																							1	10		1					15	10	60				1					1				2000	30		2000							524		0	10																							1077																					
																																																																																																																																					
																																																																																																																																					
monm050600	CommonNpc	天宝寨帮众		8	14	2	2	10		1.25	4	hand1_1	npc\monster252		0.93417	icon\monster\monster252.png					0				3	0	0			20																							1	11		1					15	10	60				1					1				2000	30		2000							525		0	10																							1216																					
monm050601	CommonNpc	天宝寨探子		8	14	2	2	10		1.25	4	hand1_1	npc\monster262		0.92	icon\monster\monster262.png					0				3	0	0			20																							1	11		1					15	10	60				1					1				2000	30		2000							525		0	10																							1216																					
monm050602	CommonNpc	天宝寨喽啰		8	14	2	2	10		1.25	4	hand1_1	npc\monster236		0.915	icon\monster\monster236.png					0				3	0	0			20																							1	11		1					15	10	60				1					1				2000	30		2000							525		0	10																							1216																					
monm050603	CommonNpc	天宝寨哨塔守卫		8	14	2	2	10		1.25	4	hand1_1	npc\monster460		1	icon\monster\monster460.png					0				3	0	0			20																							1	11		1					15	10	60				1					1				2000	30		2000							525		0	10																							1216																					
monm050604	CommonNpc	巡逻帮众		8	14	2	2	10		1.25	4	hand1_1	npc\monster123		0.915	icon\monster\monster123.png					0				3	0	0			20																							1	11		1					15	10	60				1					1				2000	30		2000							525		0	10																							1216																					
monm050605	CommonNpc	天宝寨寨守		8	14	2	2	10		1.25	4	hand1_1	npc\monster242		0.945	icon\monster\monster242.png					0				3	0	0			20																							1	11		1					15	10	60				1					1				2000	30		2000							525		0	10																							1216																					
monm050606	CommonNpc	寨主护卫		8	14	2	2	10		1.25	4	hand1_1	npc\monster259		0.905	icon\monster\monster259.png					0				3	0	0			20																							1	11		1					15	10	60				1					1				2000	30		2000							525		0	10																							1216																					
monm050607	CommonNpc	天宝寨高手		8	14	2	2	10		1.25	4	hand1_1	npc\monster496		1	icon\monster\monster496.png					0				3	0	0			20																							1	11		1					15	10	60				1					1				2000	30		2000							525		0	10																							1216																					
																																																																																																																																					
																																																																																																																																					
monm060100	CommonNpc	峨眉派护山弟子		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc397		0.853893	icon\funcnpc\worldnpc397.png					0				3	0	0			20																							1	6		1					15	10	60				1					1				2000	30		2000							526		0	10																							1110																					
monm060600	CommonNpc	峨嵋护剑弟子		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc382		0.860046	icon\funcnpc\worldnpc382.png					0				3	0	0			20																							1	11		1					15	10	60				1					1				2000	30		2000							526		0	10																							1106																					
monm060800	CommonNpc	峨眉派高级弟子		8	14	2	2	10		1.25	4	hand1_2	npc\monster554		0.865	icon\monster\monster554.png					0				3	0	0			20																							1	12		1					15	10	60				1					1				2000	30		2000							526		0	10																							1110																					
monm060801	CommonNpc	梅系高级弟子		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc203		0.872345	icon\funcnpc\worldnpc203.png					0				3	0	0			20																							1	12		1					15	10	60				1					1				2000	30		2000							526		0	10																							1101																					
monm060804	CommonNpc	温泉护法		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc379		0.87	icon\monster\monster151.png					0				3	0	0			20																							1	12		1					15	10	60				1					1				2000	30		2000							526		0	10																							1112																					
monm060805	CommonNpc	冰剑孤女		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc525		0.84	icon\funcnpc\worldnpc525.png					0				3	0	0			20																							1	12		1					15	10	60				1					1				2000	30		2000							526		0	10																							1112																					
monm060806	CommonNpc	峨眉捣药弟子		8	14	2	2	10		1.25	4	hand1_2	npc\monster078		0.892101	icon\monster\monster078.png					0				3	0	0			20																							1	12		1					15	10	60				1					1				2000	30		2000							526		0	10																							1110																					
monm060807	CommonNpc	峨眉桂系弟子		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc306		0.867439	icon\funcnpc\worldnpc306.png					0				3	0	0			20																							1	12		1					15	10	60				1					1				2000	30		2000							526		0	10																							1110																					
monm060900	CommonNpc	镇妖护法		8	12	2	2	10		1.25	4	hand1_2	npc\worldnpc381		0.859723	icon\funcnpc\worldnpc381.png					0				3	0	0			20																							1	12		1					15	10	60				1					1				2000	30		2000							526		0	10																																												
monm060901	CommonNpc	镇妖塔守卫		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc381		0.859723	icon\funcnpc\worldnpc381.png					0				3	0	0			20																							1	12		1					15	10	60				1					1				2000	30		2000							526		0	10																							1111																					
monm060902	CommonNpc	锁妖师太		8	14	2	2	10		1.25	4	hand1_2	npc\monster078		0.892101	icon\monster\monster078.png					0				3	0	0			20																							1	12		1					15	10	60				1					1				2000	30		2000							526		0	10																							1111																					
monm060903	CommonNpc	峨眉破戒弟子		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc469		0.865	icon\funcnpc\worldnpc469.png					0				3	0	0			20																							1	12		1					15	10	60				1					1				2000	30		2000							526		0	10																							1111																					
monm060904	CommonNpc	五戒碑守护弟子		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc530		0.885	icon\funcnpc\worldnpc530.png					0				3	0	0			20																							1	12		1					15	10	60				1					1				2000	30		2000							526		0	10																							1111																					
monm061400	CommonNpc	峨眉巡逻弟子		8	14	2	2	10		1.25	4	hand1_2	npc\monster095		0.871958	icon\monster\monster095.png					0				3	0	0			20																							1	24		1					15	10	60				1					1				2000	30		2000							526		0	10																							1137																					
monm062100	CommonNpc	峨眉天池高手		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc744		0.845	icon\funcnpc\fbnpc00242.png					0				3	0	0			20																							1	46		1					15	10	60				1					1				2000	30		2000							526		0	10																							1115																					
monm062500	CommonNpc	荷系高级弟子		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc013		0.860941	icon\funcnpc\worldnpc013.png					0				3	0	0			20																							1	50		1					15	10	60				1					1				2000	30		2000							526		0	10																							1116																					
monm062501	CommonNpc	受重伤的荷系弟子		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc013		0.860941	icon\funcnpc\worldnpc013.png					0				3	0	0			20																							1	50		1					15	10	60				1					1				2000	30		2000							526		0	10																							1116																					
monm063100	CommonNpc	彩虹仙子		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc382		0.860046	icon\funcnpc\worldnpc382.png					0				3	0	0			20																							1	37		1					15	10	60				1					1				2000	30		2000							526		0	10																							1126																					
monm063200	CommonNpc	漫云剑仙子		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc469		0.865	icon\funcnpc\worldnpc469.png					0				3	0	0			20																							1	38		1					15	10	60				1					1				2000	30		2000							526		0	10																							1126																					
monm063401	CommonNpc	千佛顶护卫		8	14	2	2	10		1.25	4	hand1_2	npc\worldnpc203		0.872345	icon\funcnpc\worldnpc203.png					0				3	0	0			20																							1	39		1					15	10	60				1					1				2000	30		2000							526		0	10																							1126																					
monm063402	CommonNpc	千手拂尘		8	14	2	2	10		1.25	4	hand1_1	npc\monster048		0.865026	icon\monster\monster048.png					0				3	0	0			20																							1	39		1					15	10	60				1					1				2000	30		2000							526		0	10																							1126																					
