NPC编号	对象类型	特殊建筑类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	家园子npc类型	选择操作	鼠标形状	是否转身	走路速度	跑步速度	武器持握方式	武器名称	模型编号	性别	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	是否能接镖	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	缩放	称号	籍贯	阵营	名字表序号	生平表序号	身份参数01	身份参数2	身份参数3	对话规则	踢馆专用关联NPC	生平	能否切磋	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	空闲状态对话	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	防御概率	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	NPC交互停留时间	权重	碰撞对话规则	初始动作固定帧播放	商店ID	洗红名功能	仓库ID	职业ID	钓鱼活动	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	是否有帮派驻地	AI编辑包	善恶参数	直接触发	表演时间（ms）	使用次数	婚宴npc类型	格挡方式(-1表示不格挡)	脱战回血	存在时间(毫秒)	退出发声对话	天气包	护卫跟随点X	护卫跟随点Z	捐献类型	是否可见	优先显示
JobJinL011	CommonNpc		吴名状		8	132		2	2	1	1.25	4	hand1_1		npc\WorldNpc231	1		icon\funcnpc\WorldNpc231.png					0				3	0	0			20			Home_133	1																																																						Shop_cs_09001			sh_cs			1554;	1554;																												
JobJinL012	CommonNpc		邰颖		8	133		2	2	1	1.3	4.8	hand1_2		npc\worldNpc466	2		icon\funcnpc\worldNpc466.png					0				3	0	0			20			Home_133	1																																																						Shop_qs_09001			sh_qs			759;	759;																												
JobJinL013	CommonNpc		诸葛弈		8	134		2	2	1	1.25	4	hand1_1		npc\worldNpc458	1		icon\funcnpc\worldNpc458.png					0				3	0	0			20			Home_133	1										1	qpcj_10042																																											Shop_qis_09001			sh_qis			758;	758;																												
JobJinL014	CommonNpc		燕博文		8	135		2	2	1	1.25	4	hand1_1		npc\worldNpc520	1		icon\funcnpc\worldNpc520.png					0				3	0	0			20			Home_133	1																																																						Shop_ss_09001			sh_ss			756;	756;																												
JobJinL015	CommonNpc		况楷瑞		8	136		2	2	1	1.25	4	hand1_1		npc\worldNpc451	1		icon\funcnpc\worldNpc451.png					0				3	0	0			20			Home_133	1																																																						Shop_hs_09001			sh_hs			757;	757;																												
JobJinL016	CommonNpc		胡莱		8	137		2	2	1	1.25	4	hand1_1		npc\worldNpc197	1		icon\funcnpc\worldNpc197.png					0				3	0	0			20			Home_133	1																																																						Shop_gs_01001			sh_gs																																
JobJinL017	CommonNpc		洪千日		8	138		2	2	1	1.25	4	hand1_1		npc\worldNpc492	1		icon\funcnpc\worldNpc492.png					0				3	0	0			20			Home_133	1																																																						Shop_qg_01001			sh_qg																																
																																																																																																																													
																																																																																																																													
	//君子堂																																																																																																																												
JobJunZ001	CommonNpc		王金亮		8	122		2	2		1.25	4	hand1_1		npc\worldnpc180	1		icon\funcnpc\worldnpc180.png					0				3	0	0			20			Home_133	1			7	1	1	70101																																																																				1															
JobJunZ002	CommonNpc		潘庆		8	123		2	2		1.25	4	hand1_1		npc\funcnpc001			icon\funcnpc\funcnpc001.png					0				3	0	0			20			Home_133	1			7	1	2	70102																																																																				1															
JobJunZ003	CommonNpc		宋立仁		8	124		2	2		1.25	4	hand1_1		npc\worldnpc501	1		icon\funcnpc\worldnpc501.png					0				3	0	0			20			Home_133	1			7	1	3	70103																																																																				1															
JobJunZ004	CommonNpc		仲强		8	125		2	2		1.25	4	hand1_1		npc\worldnpc132	1		icon\funcnpc\worldnpc132.png					0				3	0	0			20			Home_133	1			7	1	4	70104																																																																				1															
JobJunZ005	CommonNpc		朱发贵		8	126		2	2		1.25	4	hand1_1		npc\worldnpc118	1		icon\funcnpc\worldnpc118.png					0				3	0	0			20			Home_133	1			7	1	5	70105																																																																				1															
JobJunZ006	CommonNpc		戴常		8	127		2	2		1.25	4	hand1_1		npc\worldnpc164	1		icon\funcnpc\worldnpc164.png					0				3	0	0			20			Home_133	1			7	1	6	70106																																																																				1															
JobJunZ007	CommonNpc		孙丽娘		8	128		2	2		1.2	4.8	hand1_2		npc\worldnpc182	2		icon\funcnpc\worldnpc182.png					0				3	0	0			20			Home_133	1			7	1	7	70107																																																																				1															
JobJunZ008	CommonNpc		唐春巧		8	129		2	2		1.25	4	hand1_1		npc\funcnpc001			icon\funcnpc\funcnpc001.png					0				3	0	0			20			Home_133	1			7	1	8	70108																																																																				1															
JobJunZ009	CommonNpc		杨锦天		8	130		2	2		1.25	4	hand1_1		npc\worldnpc162	1		icon\funcnpc\worldnpc162.png					0				3	0	0			20			Home_133	1			7	1	9	70109																																																																				1															
JobJunZ010	CommonNpc		佘玉秋		8	131		2	2		1.3	4.8	hand1_2		npc\worldnpc199	2		icon\funcnpc\worldnpc199.png					0				3	0	0			20			Home_133	1			7	1	10	70110																																																																				1															
JobJunZ011	CommonNpc		李强庭		8	132		2	2		1.25	4	hand1_1		npc\WorldNpc231	1		icon\funcnpc\WorldNpc231.png					0				3	0	0			20			Home_133	1			6	1	4	60104																																																																																			
JobJunZ012	CommonNpc		李希希		8	133		2	2	1	0.5	1.1	hand_0		npc\worldNpc169	2		icon\funcnpc\worldNpc169.png					0				3	0	0			20			Home_133	1																																																						Shop_qs_12001			sh_qs			859;	859;																												
JobJunZ013	CommonNpc		宇奕		8	134		2	2	1	1.25	4	hand1_1		npc\worldNpc460	1		icon\funcnpc\worldNpc460.png					0				3	0	0			20			Home_133	1										1	qpcj_10095																																											Shop_qis_12001			sh_qis			858;	858;																												
JobJunZ014	CommonNpc		袁劳诗		8	135		2	2	1	1.25	4	hand1_1		npc\worldNpc522	1		icon\funcnpc\worldNpc522.png					0				3	0	0			20			Home_133	1																																																						Shop_ss_12001			sh_ss			856;	856;																												
JobJunZ015	CommonNpc		周哲		8	136		2	2	1	1.25	4	hand1_1		npc\fbfunnpc00029			icon\monster\fbfunnpc00029.png					0				3	0	0			20			Home_133	1																																																						Shop_hs_12001			sh_hs			857;	857;																												
JobJunZ016	CommonNpc		鲍雨伸		8	137		2	2	1	1.25	4	hand1_1		npc\worldNpc197	1		icon\funcnpc\worldNpc197.png					0				3	0	0			20			Home_133	1			7	1	17	70117																																																																				1															
JobJunZ017	CommonNpc		张春阳		8	138		2	2	1	1.25	4	hand1_1		npc\worldNpc414	1		icon\funcnpc\worldNpc414.png					0				3	0	0			20			Home_133	1			7	1	16	70116																																																																				1															
																																																																																																																													
	//丐帮																																																																																																																												
JobGaiB001	CommonNpc		王金亮		8	122		2	2		1.25	4	hand1_1		npc\worldnpc180	1		icon\funcnpc\worldnpc180.png					0				3	0	0			20			Home_133	1			7	1	1	70101																																																																				1															
JobGaiB002	CommonNpc		潘庆		8	123		2	2		1.25	4	hand1_1		npc\funcnpc001			icon\funcnpc\funcnpc001.png					0				3	0	0			20			Home_133	1			7	1	2	70102																																																																				1															
JobGaiB003	CommonNpc		宋立仁		8	124		2	2		1.25	4	hand1_1		npc\worldnpc501	1		icon\funcnpc\worldnpc501.png					0				3	0	0			20			Home_133	1			7	1	3	70103																																																																				1															
JobGaiB004	CommonNpc		仲强		8	125		2	2		1.25	4	hand1_1		npc\worldnpc132	1		icon\funcnpc\worldnpc132.png					0				3	0	0			20			Home_133	1			7	1	4	70104																																																																				1															
JobGaiB005	CommonNpc		朱发贵		8	126		2	2		1.25	4	hand1_1		npc\worldnpc118	1		icon\funcnpc\worldnpc118.png					0				3	0	0			20			Home_133	1			7	1	5	70105																																																																				1															
JobGaiB006	CommonNpc		戴常		8	127		2	2		1.25	4	hand1_1		npc\worldnpc164	1		icon\funcnpc\worldnpc164.png					0				3	0	0			20			Home_133	1			7	1	6	70106																																																																				1															
JobGaiB007	CommonNpc		孙丽娘		8	128		2	2		1.2	4.8	hand1_2		npc\worldnpc182	2		icon\funcnpc\worldnpc182.png					0				3	0	0			20			Home_133	1			7	1	7	70107																																																																				1															
JobGaiB008	CommonNpc		唐春巧		8	129		2	2		1.25	4	hand1_1		npc\funcnpc001			icon\funcnpc\funcnpc001.png					0				3	0	0			20			Home_133	1			7	1	8	70108																																																																				1															
JobGaiB009	CommonNpc		杨锦天		8	130		2	2		1.25	4	hand1_1		npc\worldnpc162	1		icon\funcnpc\worldnpc162.png					0				3	0	0			20			Home_133	1			7	1	9	70109																																																																				1															
JobGaiB010	CommonNpc		佘玉秋		8	131		2	2		1.3	4.8	hand1_2		npc\worldnpc199	2		icon\funcnpc\worldnpc199.png					0				3	0	0			20			Home_133	1			7	1	10	70110																																																																				1															
JobGaiB011	CommonNpc		李强庭		8	132		2	2		1.25	4	hand1_1		npc\WorldNpc231	1		icon\funcnpc\WorldNpc231.png					0				3	0	0			20			Home_133	1			6	1	4	60104																																																																																			
JobGaiB012	CommonNpc		李希希		8	133		2	2	1	1	4.8	hand1_2		npc\worldNpc235	2		icon\funcnpc\worldNpc235.png					0				3	0	0			20			Home_133	1			7	1	12	70112																																																																				1															
JobGaiB013	CommonNpc		宇奕		8	134		2	2	1	1.3	4.8	hand1_2		npc\worldNpc203	2		icon\funcnpc\worldNpc203.png					0				3	0	0			20			Home_133	1			7	1	13	70113				1	qpcj_10094																																																															1															
JobGaiB014	CommonNpc		袁劳诗		8	135		2	2	1	0.65	1.3	hand_0		npc\worldNpc140	1		icon\funcnpc\worldNpc140.png					0				3	0	0			20			Home_133	1			7	1	14	70114																																																																				1															
JobGaiB015	CommonNpc		周哲		8	136		2	2	1	1.25	4	hand1_1		npc\worldNpc214	1		icon\funcnpc\worldNpc214.png					0				3	0	0			20			Home_133	1			7	1	15	70115																																																																				1															
JobGaiB016	CommonNpc		鲍雨伸		8	137		2	2	1	1.25	4	hand1_1		npc\worldNpc197	1		icon\funcnpc\worldNpc197.png					0				3	0	0			20			Home_133	1			7	1	17	70117																																																																				1															
JobGaiB017	CommonNpc		张春阳		8	138		2	2	1	1.25	4	hand1_1		npc\worldNpc414	1		icon\funcnpc\worldNpc414.png					0				3	0	0			20			Home_133	1																																																						Shop_qg_01001			sh_qg			860;	860;															1													
																																																																																																																													
																																																																																																																													
	//生活徒弟																																																																																																																												
kuanggongtudi	CommonNpc		顾坚实		8	96		2	2		1.25	4	hand1_1		npc\funcnpc029			icon\funcnpc\funcnpc029.png					0				3	0	0			20			Home_133	1												296;297;298;299;300																																																545;546;547;548;549;550;551;552;	545;546;547;548;549;550;551;552;																												
tiejiangtudi	CommonNpc		薛铁兵		8	96		2	2		1.25	4	hand1_1		npc\funcnpc024			icon\funcnpc\funcnpc024.png					0				3	0	0			20			Home_133	1												296;297;298;299;300																																																553;554;555;556;557;558;559;560;	553;554;555;556;557;558;559;560;																												
yufutudi	CommonNpc		乔洲		8	96		2	2		1.25	4	hand1_1		npc\funcnpc026			icon\funcnpc\funcnpc026.png					0				3	0	0			20			Home_133	1												296;297;298;299;300																																																561;562;563;564;565;566;567;568;	561;562;563;564;565;566;567;568;																												
qiaofutudi	CommonNpc		张木瑞		8	96		2	2		1.25	4	hand1_1		npc\funcnpc027			icon\funcnpc\funcnpc027.png					0				3	0	0			20			Home_133	1												296;297;298;299;300																																																569;570;571;572;573;574;575;576;	569;570;571;572;573;574;575;576;																												
nongfutudi	CommonNpc		王晓农		8	96		2	2		1.25	4	hand1_1		npc\funcnpc028			icon\funcnpc\funcnpc028.png					0				3	0	0			20			Home_133	1												296;297;298;299;300																																																577;578;579;580;581;582;583;584;	577;578;579;580;581;582;583;584;																												
liehutudi	CommonNpc		赵猛		8	96		2	2		1.25	4	hand1_1		npc\funcnpc022			icon\funcnpc\funcnpc022.png					0				3	0	0			20			Home_133	1												296;297;298;299;300																																																585;586;587;588;589;590;591;592;	585;586;587;588;589;590;591;592;																							3					
caifengtudi	CommonNpc		钱辛吉		8	96		2	2		1.25	4	hand1_1		npc\funcnpc020			icon\funcnpc\funcnpc020.png					0				3	0	0			20			Home_133	1												296;297;298;299;300																																																593;594;595;596;597;598;599;600;	593;594;595;596;597;598;599;600;																												
jinjiangtudi	CommonNpc		谷巧生		8	96		2	2		1.25	4	hand1_1		npc\funcnpc029			icon\funcnpc\funcnpc029.png					0				3	0	0			20			Home_133	1												296;297;298;299;300																																																601;602;603;604;605;606;607;608;	601;602;603;604;605;606;607;608;																												
yaoshitudi	CommonNpc		李辉春		8	96		2	2		1.25	4	hand1_1		npc\funcnpc020			icon\funcnpc\funcnpc020.png					0	npc\clone\CJ\npc_talk_minigame.lua			3	0	0			20			Home_133	1												296;297;298;299;300																																																609;610;611;612;613;614;615;616;	609;610;611;612;613;614;615;616;																												
dushitudi	CommonNpc		吴仁耀		8	96		2	2		1.25	4	hand1_1		npc\funcnpc020			icon\funcnpc\funcnpc020.png					0				3	0	0			20			Home_133	1												296;297;298;299;300																																																617;618;619;620;621;622;623;624;	617;618;619;620;621;622;623;624;																												
chushitudi	CommonNpc		刘佳肴		8	96		2	2		1.25	4	hand1_1		npc\funcnpc021			icon\funcnpc\funcnpc021.png					0				3	0	0			20			Home_133	1												296;297;298;299;300																																																625;626;627;628;629;630;631;632;	625;626;627;628;629;630;631;632;																												
qinshitudi	CommonNpc		楚知音		8	96		2	2	1	1.25	4	hand1_1		npc\funcnpc020			icon\funcnpc\funcnpc020.png					0				3	0	0			20			Home_133	1												296;297;298;299;300																																																634;635;636;637;638;639;640;641;	634;635;636;637;638;639;640;641;																												
qishitudi	CommonNpc		夏棋		8	96		2	2	1	1.25	4	hand1_1		npc\Worldnpc138	1		icon\funcnpc\Worldnpc138.png					0				3	0	0			20			Home_133	1												296;297;298;299;300																																																643;644;645;646;647;648;649;650;	643;644;645;646;647;648;649;650;																												
shushengtudi	CommonNpc		孔小明		8	96		2	2	1	1.25	4	hand1_1		npc\funcnpc020			icon\funcnpc\funcnpc020.png					0				3	0	0			20			Home_133	1												296;297;298;299;300																																																652;653;654;655;656;657;658;659;	652;653;654;655;656;657;658;659;																							4					
huashitudi	CommonNpc		宇文绘生		8	96		2	2	1	1.25	4	hand1_1		npc\funcnpc020			icon\funcnpc\funcnpc020.png					0				3	0	0			20			Home_133	1												296;297;298;299;300																																																661;662;663;664;665;666;667;668;	661;662;663;664;665;666;667;668;																												
guashitudi	CommonNpc		赵太吉		8	96		2	2	1	1.25	4	hand1_1		npc\funcnpc025			icon\funcnpc\funcnpc025.png					0				3	0	0			20			Home_133	1												296;297;298;299;300																																																678;679;680;681;682;683;684;685;	678;679;680;681;682;683;684;685;																							1					
qigaitudi	CommonNpc		史姚凡		8	96		2	2	1	1.25	4	hand1_1		npc\funcnpc023			icon\funcnpc\funcnpc023.png					0				3	0	0			20			Home_133	1												296;297;298;299;300																																																670;671;672;673;674;675;676;677;	670;671;672;673;674;675;676;677;																												
																																																																																																																													
shhd	CommonNpc		布政使司		8	96		2	2	1	1.25	4	hand1_1		npc\worldnpc103	1		icon\funcnpc\worldnpc103.png					0	npc\npc_job_911.lua			3	0	0			20				1																																																												911;	911;																												
xianglong	CommonNpc		古奇龙		8	138		2	2	1	1.25	4	hand1_1		npc\worldNpc059	1		icon\funcnpc\worldNpc059.png					0				3	0	0			20				1																																																						Shop_qg_02001																																			
																																																																																																																													
shhd1	CommonNpc		赛马大使		8	96		2	2	1	1.25	4	hand1_1		npc\worldnpc103	1		icon\funcnpc\worldnpc103.png					0	npc\saima\shhd1.lua			3	0	0			20				1																																																													912;																												
shhd2	CommonNpc		赛马官员		8	96		2	2	1	1.25	4	hand1_1		npc\worldnpc800	1		icon\funcnpc\worldnpc800.png					0				3	0	0			20				1																																																																																									
shhd3	CommonNpc		赛马官员		8	96		2	2	1	1.25	4	hand1_1		npc\worldnpc800_01			icon\funcnpc\worldnpc800.png					0				3	0	0			20				1																																																																																									
shhd4	CommonNpc		赛马官员		8	96		2	2	1	1.25	4	hand1_1		npc\worldnpc800_02	1		icon\funcnpc\worldnpc800.png					0				3	0	0			20				1																																																																																									
shhd5	CommonNpc		赛马官员		8	96		2	2	1	1.25	4	hand1_1		npc\worldnpc800_03	1		icon\funcnpc\worldnpc800.png					0				3	0	0			20				1																																																																																									
																																																																																																																													
																																																																																																																													
hunyin	CommonNpc		官媒		8	139		2	2	1	1.25	4	hand1_1		npc\monster372	1		icon\funcnpc\monster372.png					0				3	0	0			20				1																																																						Shop_jiehun_01																																			
hunyin02	CommonNpc		媒婆		8	302		2	2	1	1.25	4	hand1_1		npc\Worldnpc186	1		icon\funcnpc\Worldnpc138.png					0				3	0	0			20				1																																																																																									1
																																																																																																																													
yanxi	CommonNpc		宴席开启npc		8	96		2	2	1	1.25	4	hand1_1		npc\monster372	1		icon\funcnpc\monster372.png					0				3	0	0			20				1																																																																																									
																																																																																																																													
fastgrow01	CommonNpc		生活成长		8	96		2	2	1	1.25	4	hand1_1		npc\fbfunnpc00121	1							0				3	0	0			20				1																																																																																									
																																																																																																																													
																																																																																																																													
MkTongy001	CommonNpc		沐寒		8	405		2	2	1	1.3	4.8	hand1_2		npc\worldnpc522	1		icon\funcnpc\worldnpc522.png					0				3	0	0			20			Home_131	1																																																																																									
																																																																																																																													
	//下棋NPC																																																																																																																												
	//鸡鸣驿																																																																																																																												
JiMYqishiNpc001	CommonNpc		马棋才		8	181		2	2	1	0	-1	hand1_1		npc\fbboss015001	1		icon\monster\fbboss015001.png					0				3	0	0			20				1										1	qpcj_10001																																																																														
JiMYqishiNpc006	CommonNpc		许志远		8	181		2	2	1	0	-1	hand1_1		npc\fbfunnpc00029			icon\monster\fbfunnpc00029.png					0				3	0	0			20				1										1	qpcj_10002																																																																														
JiMYqishiNpc007	CommonNpc		曾洪		8	181		2	2	1	0	-1	hand1_1		npc\fbboss015004	1		icon\monster\fbboss015004.png					0				3	0	0			20				1										1	qpcj_10007																																																																														
JiMYqishiNpc008	CommonNpc		畅欢		8	181		2	2	1	0	-1	hand1_1		npc\fbnpc021005			icon\monster\fbnpc021005.png					0				3	0	0			20				1										1	qpcj_10012																																																		1091;1097;																												
JiMYqishiNpc009	CommonNpc		董二宝		8	181		2	2	1	0	-1	hand1_1		npc\fbfunnpc00121			icon\monster\fbfunnpc00121.png					0				3	0	0			20				1										1	qpcj_10014																																																																														
JiMYqishiNpc027	CommonNpc		苗挺		8	181		2	2	1	0	-1	hand1_1		npc\fbnpc015002			icon\monster\fbnpc015002.png					0				3	0	0			20				1										1	qpcj_10017																																																																														
JiMYqishiNpc028	CommonNpc		何涛		8	181		2	2	1	0	-1	hand1_1		npc\fbnpc015004			icon\monster\fbnpc015004.png					0				3	0	0			20				1										1	qpcj_10019																																																																														
																																																																																																																													
																																																																																																																													
	//恶人谷																																																																																																																												
ERGqishiNpc009	CommonNpc		叶山		8	181		2	2	1	0	-1	hand_0		npc\worldnpc114	1		icon\funcnpc\worldnpc114.png					0				3	0	0			20				1										1	qpcj_10005																																																																														
ERGqishiNpc010	CommonNpc		李柯		8	181		2	2	1	0	-1	hand1_1		npc\worldnpc197	1		icon\funcnpc\worldnpc197.png					0				3	0	0			20				1										1	qpcj_10009																																																																														
ERGqishiNpc011	CommonNpc		孙意年		8	181		2	2	1	0	-1	hand1_1		npc\worldnpc239	1		icon\funcnpc\worldnpc239.png					0				3	0	0			20				1										1	qpcj_10012																																																																														
ERGqishiNpc012	CommonNpc		彭圆伟		8	181		2	2	1	0	-1	hand1_1		npc\monster124	1		icon\monster\monster124.png					0				3	0	0			20				1										1	qpcj_10014																																																																														
ERGqishiNpc013	CommonNpc		乔威		8	181		2	2	1	0	-1	hand1_1		npc\worldnpc247	1		icon\funcnpc\worldnpc247.png					0				3	0	0			20				1										1	qpcj_10018																																																																														
																																																																																																																													
																																																																																																																													
	//烟雨庄																																																																																																																												
YanYZqishiNpc003	CommonNpc		肖莫白		8	181		2	2	1	0	-1	hand1_1		npc\worldnpc490	1		icon\funcnpc\worldnpc490.png					0				3	0	0			20				1										1	qpcj_10002																																																																														
YanYZqishiNpc004	CommonNpc		邱飞		8	181		2	2	1	0	-1	hand1_1		npc\worldnpc519	1		icon\funcnpc\worldnpc519.png					0				3	0	0			20				1										1	qpcj_10003																																																																														
YanYZqishiNpc005	CommonNpc		楚铭		8	181		2	2	1	0	-1	hand1_1		npc\worldnpc520	1		icon\funcnpc\worldnpc520.png					0				3	0	0			20				1										1	qpcj_10006																																																																														
YanYZqishiNpc006	CommonNpc		丁克		8	181		2	2	1	0	-1	hand1_1		npc\worldnpc451	1		icon\funcnpc\worldnpc451.png					0				3	0	0			20				1										1	qpcj_10008																																																																														
YanYZqishiNpc007	CommonNpc		文续		8	181		2	2	1	0	-1	hand1_1		npc\worldnpc425	1		icon\funcnpc\worldnpc425.png					0				3	0	0			20				1										1	qpcj_10012																																																																														
YanYZqishiNpc008	CommonNpc		花思雨		8	181		2	2	1	0	-1	hand1_2		npc\worldnpc410	2		icon\funcnpc\worldnpc410.png					0				3	0	0			20				1										1	qpcj_10015																																																																														
YanYZqishiNpc009	CommonNpc		张嘉凤		8	181		2	2	1	0	-1	hand1_2		npc\worldnpc443	2		icon\funcnpc\worldnpc443.png					0				3	0	0			20				1										1	qpcj_10018																																																																														
																																																																																																																													
																																																																																																																													
	//千灯镇																																																																																																																												
QianDZqishiNpc001	CommonNpc		路永		8	181		2	2	1	0	-1	hand1_1		npc\fbboss015003	1		icon\monster\fbboss015003.png					0				3	0	0			20				1										1	qpcj_10003																																																																														
QianDZqishiNpc002	CommonNpc		阮山		8	181		2	2	1	0	-1	hand1_1		npc\fbboss015005	1		icon\monster\fbboss015005.png					0				3	0	0			20				1										1	qpcj_10004																																																																														
QianDZqishiNpc003	CommonNpc		梁舒		8	181		2	2	1	0	-1	hand1_1		npc\fbboss015008	1		icon\monster\fbboss015008.png					0				3	0	0			20				1										1	qpcj_10007																																																																														
QianDZqishiNpc004	CommonNpc		项大伟		8	181		2	2	1	0	-1	hand1_1		npc\fbfunnpc00035			icon\monster\fbfunnpc00035.png					0				3	0	0			20				1										1	qpcj_10009																																																																									3					
QianDZqishiNpc005	CommonNpc		莫思远		8	181		2	2	1	0	-1	hand1_1		npc\fbfunnpc015002			icon\monster\fbfunnpc015002.png					0				3	0	0			20				1										1	qpcj_10010																																																																									3					
QianDZqishiNpc006	CommonNpc		撒莱		8	181		2	2	1	0	-1	hand1_1		npc\fbnpc021005			icon\monster\fbnpc021005.png					0				3	0	0			20				1										1	qpcj_10015																																																																														
QianDZqishiNpc007	CommonNpc		韩西		8	181		2	2	1	0	-1	hand1_1		npc\monster383	1		icon\monster\monster383.png					0				3	0	0			20				1										1	qpcj_10016																																																																														
QianDZqishiNpc008	CommonNpc		尤见仁		8	181		2	2	1	0	-1	hand1_1		npc\fbnpc021012			icon\monster\fbnpc021012.png					0				3	0	0			20				1										1	qpcj_10019																																																																														
																																																																																																																													
																																																																																																																													
	//洛阳																																																																																																																												
LuoYqishiNpc001	CommonNpc		单瑞		8	181		2	2		0	-1	hand1_1		npc\monster071	1		icon\monster\monster071.png					0				3	0	0			20														1	qpcj_10001	296;297;298;299;300																																																																													
LuoYqishiNpc002	CommonNpc		乔贝		8	181		2	2		0	-1	hand1_2		npc\monster050	2		icon\monster\monster050.png					0				3	0	0			20														1	qpcj_10003	296;297;298;299;300																																																																													
LuoYqishiNpc003	CommonNpc		戚昌杰		8	181		2	2		0	-1	hand1_1		npc\monster264_02	1		icon\monster\monster264_02.png					0				3	0	0			20														1	qpcj_10004	296;297;298;299;300																																																																													
LuoYqishiNpc004	CommonNpc		秦敏		8	181		2	2		0	-1	hand1_2		npc\femalenpc			icon\funcnpc\femalenpc.png					0				3	0	0			20														1	qpcj_10006	296;297;298;299;300																																																																													
LuoYqishiNpc005	CommonNpc		冉纲		8	181		2	2		0	-1	hand1_1		npc\fbnpc021005			icon\monster\fbnpc021005.png					0				3	0	0			20														1	qpcj_10008	296;297;298;299;300																																																																													
LuoYqishiNpc006	CommonNpc		石景		8	181		2	2		0	-1	hand1_1		npc\fbboss015003	1		icon\monster\fbboss015003.png					0				3	0	0			20														1	qpcj_10010	296;297;298;299;300																																																																													
LuoYqishiNpc007	CommonNpc		谈波		8	181		2	2		0	-1	hand1_1		npc\monster283	1		icon\monster\monster283.png					0				3	0	0			20														1	qpcj_10011	296;297;298;299;300																																																																													
LuoYqishiNpc008	CommonNpc		齐安雄		8	181		2	2		0	-1	hand1_1		npc\monster286	1		icon\monster\monster286.png					0				3	0	0			20														1	qpcj_10013	296;297;298;299;300																																																																													
LuoYqishiNpc009	CommonNpc		严炽		8	181		2	2		0	-1	hand1_1		npc\monster379	1		icon\monster\monster379.png					0				3	0	0			20														1	qpcj_10015	296;297;298;299;300																																																																													
LuoYqishiNpc010	CommonNpc		丘存		8	181		2	2		0	-1	hand1_1		npc\monster455	1		icon\monster\monster455.png					0				3	0	0			20														1	qpcj_10016	296;297;298;299;300																																																																													
LuoYqishiNpc011	CommonNpc		左白		8	181		2	2		0	-1	hand1_1		npc\fbfunnpc021003			icon\monster\fbfunnpc021003.png					0				3	0	0			20														1	qpcj_10018	296;297;298;299;300																																																																													
LuoYqishiNpc012	CommonNpc		仰晨光		8	181		2	2		0	-1	hand1_1		npc\fbnpc021005			icon\monster\fbnpc021005.png					0				3	0	0			20														1	qpcj_10019	296;297;298;299;300																																																																													
																																																																																																																													
																																																																																																																													
	//成都																																																																																																																												
ChengDqishiNpc001	CommonNpc		秦偲		8	181		2	2		0	-1	hand1_2		npc\fbnpc00242	1		icon\monster\fbnpc00242.png					0				3	0	0			20														1	qpcj_10004	296;297;298;299;300																																																																													
ChengDqishiNpc002	CommonNpc		瞿蝶		8	181		2	2		0	-1	hand1_2		npc\monster149_01	2		icon\monster\monster149_01.png					0				3	0	0			20														1	qpcj_10005	296;297;298;299;300																																																																								8					
ChengDqishiNpc003	CommonNpc		黄素岚		8	181		2	2		0	-1	hand1_2		npc\monster151	2		icon\monster\monster151.png					0				3	0	0			20														1	qpcj_10008	296;297;298;299;300																																																39202;	39201;																												
ChengDqishiNpc004	CommonNpc		安易然		8	181		2	2		0	-1	hand1_2		npc\worldnpc011	2		icon\funcnpc\worldnpc011.png					0				3	0	0			20														1	qpcj_10011	296;297;298;299;300																																																																													
ChengDqishiNpc005	CommonNpc		丁勤		8	181		2	2		0	-1	hand1_1		npc\fbboss015001	1		icon\monster\fbboss015001.png					0				3	0	0			20														1	qpcj_10013	296;297;298;299;300																																																																													
ChengDqishiNpc006	CommonNpc		殷灿		8	181		2	2		0	-1	hand1_1		npc\monster109	1		icon\monster\monster109.png					0				3	0	0			20														1	qpcj_10017	296;297;298;299;300																																																																													
																																																																																																																													
																																																																																																																													
	//少林																																																																																																																												
ShaoLqishiNpc001	CommonNpc		鱼承禄		8	181		2	2	1	0.5	2	hand1_1		npc\fbboss015003	1		icon\monster\fbboss015003.png					0				3	0	0			20														1	qpcj_10022																																																																														
ShaoLqishiNpc002	CommonNpc		双启		8	181		2	2	1	0.5	2	hand1_1		npc\monster071	1		icon\monster\monster071.png					0				3	0	0			20														1	qpcj_10023																																																																														
ShaoLqishiNpc003	CommonNpc		智镜		8	181		2	2	1	0.5	2	hand1_1		npc\worldnpc046	1		icon\funcnpc\worldnpc046.png					0				3	0	0			20														1	qpcj_10024																																																																														
