NPC编号	ini注释名称	对象类型	副本分组场景刷新属性包	NPC类型	实力包编号	级别	修为经验	怪物强度	掉落	掉落数量	走路速度	跑步速度	武器持握方式	是否转身	模型编号	性别	模型半径	图片	npc声音	材质类型	脚本编号	技能表	AI类型	主动被动	响应范围	锁定位移攻击	禁播受击动作	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	武器名称	武器类型	出生状态	表现AI包编号	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	空闲状态对话	进入战斗对话	脱离战斗对话	死亡对话	召唤对话	受到伤害状态对话	敌人NPC编号表	队友编号	不能被杀死	攻击防御比重	"战斗频率,毫秒"	无法被硬直	锁定技能间隔	召唤类型	召唤ID	召唤半径	表演概率	表演时间	"追击范围,米"	附加随机能力编号	普通攻击	势力归属	势力关系表	AI编辑包	直接触发	刷新时间	格挡类型	世界触发器相关	使用轻功	NPC绑定点	破防几率	破防技能	防御CD	世界战场声威	拾取半径	超过距离就脱战	脱战回血	存在时间	是否理会玩家	优先显示	缩放尺寸	跟随距离	跟随位置	时间轴	动作集	伤害判定奖励类BOSS类型	追击高度差	竞拍掉落	团队显示道具
bosstg23005	姬凌凤	BossNpc		9	69	35		3			1.15	4.2	sword2f_2		npc\worldnpc411		0.819394	icon\funcnpc\worldnpc411.png			npc\tiguan\23\bosstg23005.lua	"jn_tg23_051,1,10;jn_tg23_052,1,0;jn_tg23_053,1,0;jn_tg23_054,1,30;jn_tg23_055,1,10;jn_tg23_056,1,0"	7			1	1	2	8	60	40	npc_foundplayer					s_r_npcitem087			1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg23006	姬凌燕	BossNpc		9	69	35		3			1.3	4.8	hand1_2		npc\worldnpc412		0.820855	icon\funcnpc\worldnpc412.png			npc\tiguan\23\bosstg23006.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg23007	东郭高	BossNpc		9	69	35		3			1.25	4	hand1_1		npc\worldnpc419		0.869695	icon\funcnpc\worldnpc419.png			npc\tiguan\23\bosstg23007.lua	"jn_tg23_071,1,0;jn_tg23_072,1,0;jn_tg23_073,1,0;jn_tg23_074,1,0;jn_tg23_075,1,20;jn_tg23_076,1,10;jn_tg23_077,1,0"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
																																																																																																	
	24：大漠鬼城																																																																									0																							
bosstg24001	雷行空	BossNpc		9	69	60		3			1.25	4	hand1_1		npc\worldnpc317		0.960266	icon\funcnpc\worldnpc317.png			npc\tiguan\24\bosstg24001.lua	"jn_tg24_011,1,20;jn_tg24_012,1,0;jn_tg24_013,1,0;jn_tg24_014,1,0;jn_tg24_015,1,30;jn_tg24_016,1,10;jn_tg24_017,1,0"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg24002	朱允炆	BossNpc		9	69	60		3			1.25	4	hand1_1		npc\worldnpc520		0.97	icon\funcnpc\worldnpc520.png			npc\tiguan\24\bosstg24002.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg24003	黑莫尔	BossNpc		9	69	60		3			0.82	5	blade1_1		npc\monster312		0.86698	icon\monster\monster312.png			npc\tiguan\24\bosstg24003.lua	"jn_tg24_031,1,0;jn_tg24_032,1,0;jn_tg24_033,1,0;jn_tg24_034,1,30;jn_tg24_035,1,10;jn_tg24_036,1,0"	7			1	1	2	8	60	40	npc_foundplayer					b_r_npcitem153			1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg24004	黑珍珠	BossNpc		9	69	60		3			1.25	4	hand1_1		npc\worldnpc574		0.915	icon\funcnpc\worldnpc574.png			npc\tiguan\24\bosstg24004.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg24005	端木祺	BossNpc		9	69	60		3			1.25	4	hand1_1		npc\monster246		0.72	icon\monster\monster246.png			npc\tiguan\24\bosstg24005.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg24006	詹逵	BossNpc		9	69	60		3			0.8	5	lstuff3_1		npc\monster247		0.92	icon\monster\monster247.png			npc\tiguan\24\bosstg24006.lua	"jn_tg24_061,1,20;jn_tg24_062,1,0;jn_tg24_063,1,0;jn_tg24_064,1,0;jn_tg24_065,1,30;jn_tg24_066,1,10;jn_tg24_067,1,0"	7			1	1	2	8	60	40	npc_foundplayer					lsp_r_npcitem215			1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg24007	欧阳画扇	BossNpc		9	69	60		3			0.82	5	blade1_1		npc\worldnpc496		0.905	icon\funcnpc\worldnpc496.png			npc\tiguan\24\bosstg24007.lua	"jn_tg24_071,1,0;jn_tg24_072,1,0;jn_tg24_073,1,0;jn_tg24_074,1,0;jn_tg24_075,1,30;jn_tg24_076,1,10;jn_tg24_077,1,0"	7			1	1	2	8	60	40	npc_foundplayer					b_r_npcitem501			1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg24008	林曼儿	BossNpc		9	69	60		3			1.3	4.8	hand1_2		npc\worldnpc113		0.874221	icon\funcnpc\worldnpc113.png			npc\tiguan\24\bosstg24008.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg24009	樊一坤	BossNpc		9	69	60		3			0.8	5	lstuff3_1		npc\monster311		0.849352	icon\monster\monster311.png			npc\tiguan\24\bosstg24009.lua	"jn_tg24_091,1,0;jn_tg24_092,1,20;jn_tg24_093,1,0;jn_tg24_094,1,0;jn_tg24_095,1,30;jn_tg24_096,1,10;jn_tg24_097,1,0"	7			1	1	2	8	60	40	npc_foundplayer					lsp_r_npcitem406			1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg24010	千拙大师	BossNpc		9	69	60		3			0.75	5	lstuff5_1		npc\monster124		0.9506	icon\monster\monster124.png			npc\tiguan\24\bosstg24010.lua	"jn_tg24_101,1,30;jn_tg24_102,1,0;jn_tg24_103,1,0;jn_tg24_104,1,0;jn_tg24_105,1,30;jn_tg24_106,1,10;jn_tg24_107,1,0"	7			1	1	2	8	60	40	npc_foundplayer					lst_r_npcitem147			1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg24011	铁尺道长	BossNpc		9	69	60		3			0.67	5	sword2_1		npc\worldnpc052		0.955	icon\funcnpc\worldnpc052.png			npc\tiguan\24\bosstg24011.lua	"jn_tg24_111,1,0;jn_tg24_112,1,30;jn_tg24_113,1,0;jn_tg24_114,1,0;jn_tg24_115,1,30;jn_tg24_116,1,10;jn_tg24_117,1,0"	7			1	1	2	8	60	40	npc_foundplayer					s_r_npcitem092			1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg24012	仁波切	BossNpc		9	69	60		3			1.25	4	hand1_1		npc\monster492		0.91	icon\monster\monster492.png			npc\tiguan\24\bosstg24012.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg24013	诸十三	BossNpc		9	69	60		3			1.15	5	sword1_1		npc\worldnpc573		0.9	icon\funcnpc\worldnpc573.png			npc\tiguan\24\bosstg24013.lua	"jn_tg24_131,1,0;jn_tg24_132,1,0;jn_tg24_133,1,0;jn_tg24_134,1,30;jn_tg24_135,1,10;jn_tg24_136,1,0"	7			1	1	2	8	60	40	npc_foundplayer					s_r_npcitem391			1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
																																																																																																	
	25：天外天																																																																									0																							
bosstg25001	血影子	BossNpc		9	69	60		3			1.5	5	gblade1_1		npc\worldnpc1624		0.90942	icon\funcnpc\worldnpc1646.png			npc\tiguan\25\bosstg25001.lua	"jn_tg25_011,1,0;jn_tg25_012,1,0;jn_tg25_013,1,0;jn_tg25_014,1,0;jn_tg25_015,1,0;jn_tg25_016,1,40;jn_tg25_017,1,40"	7			1	1	2	8	60	40	npc_foundplayer					b_r_npcitem328			1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg25002	赵赵姑娘	BossNpc		9	69	60		3			1.3	4.8	hand1_2		npc\worldnpc013		0.860941	icon\funcnpc\worldnpc013.png			npc\tiguan\25\bosstg25002.lua	"jn_tg25_021,1,0;jn_tg25_022,1,0;jn_tg25_023,1,0;jn_tg25_024,1,0;jn_tg25_025,1,0"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg25003	黑手	BossNpc		9	69	60		3			0.82	5	gblade1_1		npc\worldnpc234		0.89503	icon\funcnpc\worldnpc1647.png			npc\tiguan\25\bosstg25003.lua	"jn_tg25_031,1,0;jn_tg25_032,1,0;jn_tg25_033,1,0;jn_tg25_034,1,40;jn_tg25_035,1,40"	7			1	1	2	8	60	40	npc_foundplayer					b_r_npcitem328			1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg25004	历清狂	BossNpc		9	69	60		3			1.25	4	hand1_1		npc\worldnpc521		0.965	icon\funcnpc\worldnpc1648.png			npc\tiguan\25\bosstg25004.lua	"jn_tg25_041,1,0;jn_tg25_042,1,60;jn_tg25_043,1,0;jn_tg25_044,1,40;jn_tg25_045,1,40"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg25005	赫连璧	BossNpc		9	69	60		3			1.25	4	hand1_1		npc\worldnpc207		0.89833	icon\funcnpc\worldnpc207.png			npc\tiguan\25\bosstg25005.lua	"jn_tg25_051,1,0;jn_tg25_052,1,0;jn_tg25_053,1,0;jn_tg25_054,1,40;jn_tg25_055,1,40"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg25006	霍缡凤	BossNpc		9	69	60		3			1.05	3.8	dknife1_2		npc\worldnpc510		0.845	icon\funcnpc\worldnpc510.png			npc\tiguan\25\bosstg25006.lua	"jn_tg25_061,1,0;jn_tg25_062,1,60;jn_tg25_063,1,60;jn_tg25_064,1,40;jn_tg25_065,1,40"	7			1	1	2	8	60	40	npc_foundplayer					dk_rl_npcitem300			1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
																																																																								85																									
	26：秦王府																																																																							85		0																							
bosstg26001	朱靖	BossNpc		9	69	60		3			1.25	4	hand1_1		npc\worldnpc1622		0.89503	icon\funcnpc\worldnpc1622.png			npc\tiguan\26\bosstg26001.lua	"jn_tg26_011,1,30;jn_tg26_012,1,0;jn_tg26_013,1,0;jn_tg26_014,1,0;jn_tg26_015,1,30;jn_tg26_016,1,30"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg26002	老太君	BossNpc		9	69	60		3			1.3	4.8	hand1_2		npc\worldnpc009		0.892664	icon\funcnpc\worldnpc009.png			npc\tiguan\26\bosstg26002.lua	"jn_tg26_021,1,30;jn_tg26_022,1,0;jn_tg26_023,1,30;jn_tg26_024,1,0;jn_tg26_025,1,30;jn_tg26_026,1,30"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg26003	永成公主	BossNpc		9	69	60		3			1.3	4.8	hand1_2		npc\worldnpc240		0.996431	icon\funcnpc\worldnpc1623.png			npc\tiguan\26\bosstg26003.lua	"jn_tg26_031,1,30;jn_tg26_032,1,30;jn_tg26_033,1,30;jn_tg26_034,1,30"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg26004	丝衣	BossNpc		9	69	60		3			1.3	4.8	hand1_2		npc\worldnpc203		0.872345	icon\funcnpc\worldnpc1624.png			npc\tiguan\26\bosstg26004.lua	"jn_tg26_041,1,30;jn_tg26_042,1,30;jn_tg26_043,1,0;jn_tg26_044,1,30;jn_tg26_045,1,30"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg26005	张丹灵	BossNpc		9	69	60		3			1.3	4.8	hand1_2		npc\worldnpc167		0.89	icon\funcnpc\worldnpc167.png			npc\tiguan\26\bosstg26005.lua	"jn_tg26_051,1,30;jn_tg26_052,1,30;jn_tg26_053,1,0;jn_tg26_054,1,0;jn_tg26_055,1,30;jn_tg26_056,1,30"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg26006	丁烈	BossNpc		9	69	60		3			1.25	4	hand1_1		npc\worldnpc534		0.925	icon\funcnpc\worldnpc534.png			npc\tiguan\26\bosstg26006.lua	"jn_tg26_061,1,0;jn_tg26_062,1,30;jn_tg26_063,1,0;jn_tg26_064,1,30;jn_tg26_065,1,30;jn_tg26_066,1,30"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg26007	铁臂苍狼	BossNpc		9	69	60		3			1.25	4	hand1_1		npc\monster447_2		0.97	icon\funcnpc\worldnpc1626.png			npc\tiguan\26\bosstg26007.lua	"jn_tg26_071,1,0;jn_tg26_072,1,0;jn_tg26_073,1,30;jn_tg26_074,1,30"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
																																																																																																	
	27：饿虎山寨																																																																									0																							
bosstg27001	熊霸天	BossNpc		9	123	10		4			1.25	4	lstuff1_1		npc\fbboss00167		0.945	icon\monster\fbboss00167.png			npc\tiguan\27\bosstg27001.lua	"jn_tg27_0011,1,20;jn_tg27_0012,1,0;jn_tg27_0013,1,0;jn_tg27_0014,1,0;jn_tg27_0015,1,0"	7			1	1	2	8	60	40	npc_foundplayer					lst_r_889			1																	1		1000	1	1000	0					30			1		85	1	0	2										7												
bosstg27002	万骄芷	BossNpc		9	120	10		3			1.3	4.8	dsword1_2		npc\monster333		0.865	icon\monster\monster333.png			npc\tiguan\27\bosstg27002.lua	"jn_tg27_0022,1,0;jn_tg27_0023,1,0;jn_tg27_0024,1,30;jn_tg27_0025,1,0"	7			1	1	2	8	60	40	npc_foundplayer					db_rl_npcitem323			1																	1		1500	1	1000	0					30		jn_tg27_0021	1		85	1	0	2										7												
bosstg27003	秦天豹	BossNpc		9	121	10		3			1.25	4	hand1_1		npc\monster492		0.97	icon\monster\monster492.png			npc\tiguan\27\bosstg27003.lua	"jn_tg27_031,1,50;jn_tg27_032,1,10;jn_tg27_033,1,0;jn_tg27_034,1,50;jn_tg27_035,1,50;jn_tg27_036,1,50"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg27004	黄奎	BossNpc		9	130	10		3			1.25	4	hand1_1		npc\monster458		0.925	icon\monster\monster458.png			npc\tiguan\27\bosstg27004.lua	"jn_tg27_041,1,0;jn_tg27_042,1,0;jn_tg27_043,1,0;jn_tg27_044,1,30;jn_tg27_045,1,10;jn_tg27_046,1,0"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg27005	向无极	BossNpc		9	122	10		3			1.25	4	hand1_1		npc\monster072		0.863286	icon\monster\monster072.png			npc\tiguan\27\bosstg27005.lua	"jn_tg27_051,1,30;jn_tg27_052,1,0;jn_tg27_053,1,30;jn_tg27_054,1,30;jn_tg27_055,1,10;jn_tg27_056,1,0"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg27006	瓦努玉崆	BossNpc		9	118	10		3			1.25	4	hand1_1		npc\monster104		1.095932	icon\monster\monster104.png			npc\tiguan\27\bosstg27006.lua	"jn_tg27_061,1,30;jn_tg27_062,1,0;jn_tg27_063,1,30;jn_tg27_064,1,10;jn_tg27_065,1,0"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg27007	龙杏霄	BossNpc		9	69	10		3			1.25	4	hand1_1		npc\monster115		0.915409	icon\monster\monster115.png			npc\tiguan\27\bosstg27007.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg27008	范强	BossNpc		9	69	10		3			1.25	4	hand1_1		npc\worldnpc564		0.907274	icon\funcnpc\worldnpc564.png			npc\tiguan\27\bosstg27008.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg27009	范翼	BossNpc		9	69	10		3			1.25	4	hand1_1		npc\worldnpc565		0.92	icon\funcnpc\worldnpc565.png			npc\tiguan\27\bosstg27009.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg27010	居谦	BossNpc		9	69	10		3			1.25	4	hand1_1		npc\monster521		0.92	icon\monster\monster521.png			npc\tiguan\27\bosstg27010.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg27011	李龙翼	BossNpc		9	69	10		3			1.25	4	hand1_1		npc\monster252		0.93417	icon\monster\monster252.png			npc\tiguan\27\bosstg27011.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg27012	乔百乾	BossNpc		9	69	10		3			1.25	4	hand1_1		npc\monster258		0.905	icon\monster\monster258.png			npc\tiguan\27\bosstg27012.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg27013	张宇奇	BossNpc		9	69	10		3			1.25	4	hand1_1		npc\monster440		0.91	icon\monster\monster440.png			npc\tiguan\27\bosstg27013.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg27014	黄钟	BossNpc		9	69	10		3			1.25	4	hand1_1		npc\monster601		0.905	icon\monster\monster601.png			npc\tiguan\27\bosstg27014.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg27015	薛雪	BossNpc		9	69	10		3			1.3	4.8	hand1_2		npc\monster323		0.871958	icon\monster\monster323.png			npc\tiguan\27\bosstg27015.lua		7			1	1	2	8	60	40	npc_foundplayer								1																			1500	1	1000	0					30			1		85	1	0	2										7												
																																																																																																	
	28：抱犊寨																																																																									0																							
bosstg28001	公孙奇	BossNpc		9	126	10		3			1.25	4	lstuff3_1		npc\worldnpc355		0.919563	icon\funcnpc\worldnpc355.png			npc\tiguan\28\bosstg28001.lua	"jn_tg28_011,1,30;jn_tg28_012,1,30;jn_tg28_016,1,0;jn_tg28_017,1,60;jn_tg28_018,1,0;jn_tg28_019,1,0"	7			1	1	2	8	60	40	npc_foundplayer					lst_r_npcitem160			1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg28002	公孙昊天	BossNpc		9	127	10		3			1.25	4	hand1_1		npc\worldnpc354		0.919563	icon\funcnpc\worldnpc354.png			npc\tiguan\28\bosstg28002.lua	"jn_tg28_021,1,30;jn_tg28_022,1,30;jn_tg28_023,1,30;jn_tg28_024,1,0;jn_tg28_025,1,0;jn_tg28_026,1,0"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg28003	公孙赞	BossNpc		9	120	10		3			1.25	4	hand1_1		npc\worldnpc563		0.905	icon\funcnpc\worldnpc563.png			npc\tiguan\28\bosstg28003.lua	"jn_tg28_031,1,30;jn_tg28_032,1,30;jn_tg28_033,1,30;jn_tg28_034,1,0;jn_tg28_035,1,0;jn_tg28_036,1,0"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg28004	公孙降	BossNpc		9	120	10		3			1.25	4	hand1_1		npc\worldnpc553		0.935	icon\funcnpc\worldnpc553.png			npc\tiguan\28\bosstg28004.lua	"jn_tg28_041,1,30;jn_tg28_042,1,30;jn_tg28_046,1,0;jn_tg28_047,1,0;jn_tg28_048,1,0;jn_tg28_049,1,60;jn_tg28_0410,1,60"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg28005	公孙德清	BossNpc		9	69	10		3			1.25	4	hand1_1		npc\worldnpc315		0.931476	icon\funcnpc\worldnpc315.png			npc\tiguan\28\bosstg28005.lua	"jn_tg28_051,1,30;jn_tg28_052,1,30;jn_tg28_053,1,30;jn_tg28_054,1,0;jn_tg28_055,1,0;jn_tg28_056,1,0"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg28006	公孙无奇	BossNpc		9	69	10		3			1.25	4	hand1_1		npc\monster445		0.975	icon\monster\monster445.png			npc\tiguan\28\bosstg28006.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg28007	公孙翰	BossNpc		9	69	10		3			1.25	4	hand1_1		npc\monster126		0.887865	icon\monster\monster126.png			npc\tiguan\28\bosstg28007.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
																																																																																																	
	29：天宝寨																																																																									0																							
bosstg29001	刘铁胆	BossNpc		9	124	10		3			1.25	4	hand1_1		npc\worldnpc553		0.935	icon\funcnpc\worldnpc553.png			npc\tiguan\29\bosstg29001.lua	"jn_tg29_011,1,0;jn_tg29_012,1,0;jn_tg29_013,1,0;jn_tg29_014,1,30;jn_tg29_015,1,30;jn_tg29_016,1,0"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg29002	唐语曦	BossNpc		9	122	10		3			1.25	4	hand1_1		npc\worldnpc207		0.89833	icon\funcnpc\worldnpc207.png			npc\tiguan\29\bosstg29002.lua	"jn_tg29_021,1,35;jn_tg29_022,1,0;jn_tg29_023,1,25;jn_tg29_024,1,0;jn_tg29_025,1,30;jn_tg29_026,1,10;jn_tg29_027,1,0"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg29003	韩笑	BossNpc		9	122	10		3			1.25	4	hand1_1		npc\monster446		0.975	icon\monster\monster446.png			npc\tiguan\29\bosstg29003.lua	"jn_tg29_031,1,35;jn_tg29_032,1,0;jn_tg29_033,1,0;jn_tg29_034,1,30;jn_tg29_035,1,10;jn_tg29_036,1,0"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg29004	张飞雨	BossNpc		9	120	10		3			1.25	4	hand1_1		npc\monster066		0.985	icon\monster\monster066.png			npc\tiguan\29\bosstg29004.lua	"jn_tg29_041,1,0;jn_tg29_042,1,0;jn_tg29_043,1,0;jn_tg29_044,1,30;jn_tg29_045,1,10;jn_tg29_046,1,0"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg29005	谢阕吟	BossNpc		9	118	10		4			1.25	3.5	dax1_1		npc\monster036		1.030654	icon\monster\monster036.png			npc\tiguan\29\bosstg29005.lua	"jn_tg29_0051,1,30;jn_tg29_0052,1,0;jn_tg29_0053,1,50;jn_tg29_0054,1,0;jn_tg29_0055,1,0;jn_tg29_0056,1,0"	7			1	1	2	8	60	40	npc_foundplayer					da_rl_npcitem205			1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg29006	仇毅	BossNpc		9	126	10		3			1.25	4	hand1_1		npc\worldnpc572		0.91	icon\funcnpc\worldnpc572.png			npc\tiguan\29\bosstg29006.lua	"jn_tg29_061,1,30;jn_tg29_062,1,0;jn_tg29_063,1,0;jn_tg29_064,1,0;jn_tg29_065,1,10;jn_tg29_066,1,0"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg29007	唐一飞	BossNpc		9	69	10		3			1.3	4.8	hand1_2		npc\worldnpc387		0.864341	icon\funcnpc\worldnpc387.png			npc\tiguan\29\bosstg29007.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg29008	唐天豪	BossNpc		9	69	10		3			1.25	4	hand1_1		npc\worldnpc564		0.905	icon\funcnpc\worldnpc564.png			npc\tiguan\29\bosstg29008.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg29009	于一辉	BossNpc		9	69	10		3			1.25	4	hand1_1		npc\worldnpc202		0.919509	icon\funcnpc\worldnpc202.png			npc\tiguan\29\bosstg29009.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg29010	龚权	BossNpc		9	69	10		3			1.25	4	hand1_1		npc\worldnpc384		0.922367	icon\funcnpc\worldnpc384.png			npc\tiguan\29\bosstg29010.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg29011	方统	BossNpc		9	69	10		3			1.25	4	hand1_1		npc\worldnpc565		0.905	icon\funcnpc\worldnpc565.png			npc\tiguan\29\bosstg29011.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg29012	许百万	BossNpc		9	69	10		3			1.25	4	hand1_1		npc\monster447		0.97	icon\monster\monster447.png			npc\tiguan\29\bosstg29012.lua		7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg29013	李行空	BossNpc		9	69	10		3			1.25	4	hand1_1		npc\monster242		0.945	icon\monster\monster242.png			npc\tiguan\29\bosstg29013.lua					1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
																																																																																																	
	30：虎啸山庄																																																																									0																							
bosstg30001	关逢雷	BossNpc		9	133	18		4			1.15	5	sword5_1		npc\worldnpc178		1.072289	icon\funcnpc\worldnpc178.png			npc\tiguan\30\bosstg30001.lua	"jn_tg30_011,1,0;jn_tg30_012,1,0;jn_tg30_013,1,33;jn_tg30_014,1,33;jn_tg30_015,1,0;jn_tg30_016,1,0;jn_tg30_017,1,33;jn_tg30_018,1,0"	7			1	1	2	8	60	40	npc_foundplayer					s_r_npcitem202	2		1																	1		500	1	1000	0					30			1		85	1	0	2										7												
bosstg30002	洪喜	BossNpc		9	139	18		3			1.15	5	sword1_1		npc\worldnpc248		0.898178	icon\funcnpc\worldnpc248.png			npc\tiguan\30\bosstg30002.lua	"jn_tg30_021,1,30;jn_tg30_022,1,0;jn_tg30_023,1,30;jn_tg30_024,1,30;jn_tg30_025,1,10;jn_tg30_026,1,0"	7			1	1	2	8	60	40	npc_foundplayer					s_r_npcitem204	2		1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
bosstg30003	刘百手	BossNpc		9	134	18		3			1.25	4	hand1_1		npc\worldnpc564		0.905	icon\funcnpc\worldnpc564.png			npc\tiguan\30\bosstg30003.lua	"jn_tg30_031,1,30;jn_tg30_032,1,0;jn_tg30_033,1,0;jn_tg30_034,1,30;jn_tg30_035,1,10;jn_tg30_036,1,0"	7			1	1	2	8	60	40	npc_foundplayer								1																	1		1500	1	1000	0					30			1		85	1	0	2										7												
