STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
70074			s1530101	5	FuncNpc00106	FuncNpc00106	14	14					115583			60015				title_70074	context_70074				target_70074										1	0	1	1	1															
70075			s1530101	5	hd_dw_001	hd_dw_001							115592					SubmitNpcEx_70075		title_70075	context_70075				target_70075										1	0	0	0	0															
70076			s1530101	5	hd_dw_001	hd_dw_001							115592;115591					SubmitNpcEx_70076		title_70076	context_70076				target_70076										1	0	1	1	1															
70077			s1530101	5	hd_dw_001	hd_dw_001							115909;114952					SubmitNpcEx_70077		title_70077	context_70077				target_70077										1	0	1	1	1															
70078			s1530101	5	hd_dw_001	hd_dw_001							115910;114952					SubmitNpcEx_70078		title_70078	context_70078				target_70078										1	0	1	1	1															
70079			s1530101	5	WorldNpc01097	WorldNpc01097							115648					SubmitNpcEx_70079		title_70079	context_70079				target_70079										1	0	0	0	0															
70080			s1530101	5	WorldNpc01097	WorldNpc01097							115648;115647;114952					SubmitNpcEx_70080		title_70080	context_70080				target_70080										1	0	0	0	0															
70083			s1530101	5	WorldNpc01246	WorldNpc01246	14	14					115833							title_70083	context_70083				target_70083										1	0	1	7	1															
70401			s1530101	5	outlandwar_lpf001	outlandwar_lpf001	2	2		1			115864;17545			60016		SubmitNpcEx_70401		title_70401	context_70401	accept_70401_1;menu_70401_1	complete_70401;submit_70401		target_70401		next_70401	CanAcceptMenu_70401		CompleteMenu_70401		9849			0	0	1	1	1															
70084			s1530101	5	hd_qm_mutong	hd_qm_mutong	14	14					115865;115866;115869							title_70084	context_70084	accept_70084_1;menu_70084_1	complete_70084;submit_70084		target_70084		next_70084	CanAcceptMenu_70084		CompleteMenu_70084					1	0	1	1	1															
70405			s1530101	5	WorldNpc01194	WorldNpc01194	14	14					115872;17545			60018		SubmitNpcEx_70405		title_70405	context_70405	accept_70405_1;menu_70405_1	complete_70405;submit_70405		target_70405			CanAcceptMenu_70405		CompleteMenu_70405					1	0	0	0	0															
70087			s1530101	5	npc_ftask_002	npc_ftask_002	16	2					114952;115881;115882			60017		SubmitNpcEx_70087		title_70087	context_70087				target_70087										1	0	1	1	1															
70402			s1530101	5	npc_ftask_007	npc_ftask_007	16	16					29168					SubmitNpcEx_70402		title_70402	context_70402	accept_70402_1;menu_70402_1	complete_70402;submit_70402		target_70402			CanAcceptMenu_70402		CompleteMenu_70402					1	0	1	1	1															
70403			s1530101	5	WorldNpc01194	WorldNpc01194	14	14					29168					SubmitNpcEx_70403		title_70403	context_70403	accept_70403_1;menu_70403_1	complete_70403;submit_70403		target_70403			CanAcceptMenu_70403		CompleteMenu_70403					1	0	1	1	1															
70404			s1530101	5	WorldNpc01194	WorldNpc10992	14	4					29169					SubmitNpcEx_70404		title_70404	context_70404	accept_70404_1;menu_70404_1	complete_70404;submit_70404		target_70404		next_70404	CanAcceptMenu_70404		CompleteMenu_70404					1	0	1	1	1															
70088			s1530101	5	npc_ftask_001	npc_ftask_001	16	16					29171							title_70088	context_70088	accept_70088_1;menu_70088_1	complete_70088;submit_70088		target_70088			CanAcceptMenu_70088		CompleteMenu_70088					1	0	1	1	1															
70410			s1530101	5						1										title_70410	context_70410				target_70410										1	0	1	1	3															
70411			s1530101	5						1										title_70411	context_70411				target_70411										1	0	1	1	3															
70412			s1530101	5						1										title_70412	context_70412				target_70412										1	0	1	1	3															
70413			s1530101	5						1										title_70413	context_70413				target_70413										1	0	1	1	3															
70414			s1530101	5						1										title_70414	context_70414				target_70414										1	0	1	1	3															
70232			s1530501	5	Guild_tasknpc_001	Guild_tasknpc_001	14	14					28727					SubmitNpcEx_70232		title_70232	context_70232				target_70232		next_70232								1	0	3	1	1															
70233			s1530501	5	Guild_tasknpc_001	Guild_tasknpc_001	14	14					28727					SubmitNpcEx_70233		title_70233	context_70233				target_70233		next_70233								1	0	3	1	1															
70235			s1530501	5	Guild_tasknpc_001	Guild_tasknpc_001	14	14					28727					SubmitNpcEx_70235		title_70235	context_70235				target_70235		next_70235								1	0	3	1	1															
70236			s1530501	5	Guild_tasknpc_001	Guild_tasknpc_001	14	14					28727;27235					SubmitNpcEx_70236		title_70236	context_70236				target_70236		next_70236								0	0	3	1	1															
70094			s1530101	5	hd_dw_001	hd_dw_001							116035					SubmitNpcEx_70094		title_70094	context_70094				target_70094										1	0	0																	
70095			s1530101	5	hd_dw_001	hd_dw_001							116188					SubmitNpcEx_70095		title_70095	context_70095				target_70095										1	0	0	0	0															
70102			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436					SubmitNpcEx_70102		title_70102	context_70102	accept_70102_1;menu_70102_1	complete_70102;submit_70102		target_70102		next_70102	CanAcceptMenu_70102							1	0	1	1	10															
70103			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116418;116234;114952;116098;116408;116421;116429					SubmitNpcEx_70103		title_70103	context_70103				target_70103										0	0	0	0	0															
70104			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116418;116234;114952;116144;116408;116420;116428					SubmitNpcEx_70104		title_70104	context_70104				target_70104										0	0	0	0	0															
70105			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116418;116239;114952;116098;116409;116423;116431					SubmitNpcEx_70105		title_70105	context_70105				target_70105										0	0	0	0	0															
70106			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116418;116239;114952;116144;116409;116422;116430					SubmitNpcEx_70106		title_70106	context_70106				target_70106										0	0	0	0	0															
70107			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116418;116240;114952;116098;116410;116425;116433					SubmitNpcEx_70107		title_70107	context_70107				target_70107										0	0	0	0	0															
70108			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116418;116240;114952;116144;116410;116424;116432					SubmitNpcEx_70108		title_70108	context_70108				target_70108										0	0	0	0	0															
70109			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116418;116241;114952;116098;116411;116427;116435					SubmitNpcEx_70109		title_70109	context_70109				target_70109										0	0	0	0	0															
70110			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116418;116241;114952;116144;116411;116426;116434					SubmitNpcEx_70110		title_70110	context_70110				target_70110										0	0	0	0	0															
70111			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;116098;116412					SubmitNpcEx_70111		title_70111	context_70111				target_70111										0	0	0	0	0															
70112			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;116098;116413					SubmitNpcEx_70112		title_70112	context_70112				target_70112										0	0	0	0	0															
70113			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;116098;116414					SubmitNpcEx_70113		title_70113	context_70113				target_70113										0	0	0	0	0															
70114			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;116098;116415					SubmitNpcEx_70114		title_70114	context_70114				target_70114										0	0	0	0	0															
70115			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;116098;116416					SubmitNpcEx_70115		title_70115	context_70115				target_70115										0	0	0	0	0															
70116			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;116098;116417					SubmitNpcEx_70116		title_70116	context_70116				target_70116										0	0	0	0	0															
70117			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;116098;116412							title_70117	context_70117				target_70117										1	0	0	0	0															
70118			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;116098;116413							title_70118	context_70118				target_70118										1	0	0	0	0															
70119			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;116098;116414							title_70119	context_70119				target_70119										1	0	0	0	0															
70120			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;116098;116415							title_70120	context_70120				target_70120										1	0	1	27	2															
70121			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;116098;116416							title_70121	context_70121				target_70121										1	0	1	27	3															
70122			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;116098;116417							title_70122	context_70122				target_70122										1	0	1	27	4															
70126			s1530101	5	WorldNpc01194	WorldNpc01194	14	14					116509;17545			60022		SubmitNpcEx_70126		title_70126	context_70126	accept_70126_1;menu_70126_1	complete_70126;submit_70126		target_70126			CanAcceptMenu_70126		CompleteMenu_70126					1	0	0	0	0															
70123			s1530101	5	sz462	sz462							108837;114952;116506					SubmitNpcEx_70123		title_70123	context_70123				target_70123										1	0	1	1	1															
70124			s1530101	5	sz462	sz462							108837;114952;116506;116500;116502;116503;116505;117913;117914					SubmitNpcEx_70124		title_70124	context_70124				target_70124										1	0	1	1	1															
70125			s1530101	5	sz462	sz462							108837;114952;116506;116500;116501;116503;116504;117913;117914					SubmitNpcEx_70125		title_70125	context_70125				target_70125										1	0	1	1	1															
70127			s1530101	5	WorldNpc01097	WorldNpc01097							115648;115647;114952					SubmitNpcEx_70127		title_70127	context_70127				target_70127										1	0	0	0	0															
70128			s1530101	5	hd_dw_001	hd_dw_001							116531;115647;114952					SubmitNpcEx_70128		title_70128	context_70128				target_70128										1	0	0	0	0															
70129			s1530101	5	hd_dw_001	hd_dw_001							116532;114952					SubmitNpcEx_70129		title_70129	context_70129				target_70129										1	0	0	0	0															
70130			s1530101	5	hd_dw_001	hd_dw_001							116614					SubmitNpcEx_70130		title_70130	context_70130				target_70130										1	0	0	0	0															
70131			s1530101	5	hd_dw_001	hd_shcx_001			70132			70132	116614;114952					SubmitNpcEx_70131		title_70131	context_70131		complete_70131;submit_70131		target_70131										1	0	1	1	1			163												
70132			s1530101	5		hd_dw_001												SubmitNpcEx_70132		title_70132	context_70132		complete_70132;submit_70132		target_70132					CompleteMenu_70132					0	0	0	0	0			163												
70133			s1530101	5	hd_dw_001	hd_dw_001							116693;17046;17545;116692					SubmitNpcEx_70133		title_70133	context_70133	accept_70133_1;menu_70133_1	complete_70133;submit_70133		target_70133		next_70133	CanAcceptMenu_70133		CompleteMenu_70133					1	0	0																	
70134			s1530101	5	hd_dw_001	hd_dw_001							116693;17052;17545;116692					SubmitNpcEx_70134		title_70134	context_70134	accept_70134_1;menu_70134_1	complete_70134;submit_70134		target_70134		next_70134	CanAcceptMenu_70134		CompleteMenu_70134					1	0	0																	
70135			s1530101	5	hd_dw_001	hd_dw_001							116693;17055;17545;116692					SubmitNpcEx_70135		title_70135	context_70135	accept_70135_1;menu_70135_1	complete_70135;submit_70135		target_70135		next_70135	CanAcceptMenu_70135		CompleteMenu_70135					1	0	0																	
70136			s1530101	5	hd_dw_001	hd_dw_001							116693;18711;17545;116692					SubmitNpcEx_70136		title_70136	context_70136	accept_70136_1;menu_70136_1	complete_70136;submit_70136		target_70136		next_70136	CanAcceptMenu_70136		CompleteMenu_70136					1	0	0																	
70137			s1530101	5	hd_dw_001	hd_dw_001							116693;18715;17545;116692					SubmitNpcEx_70137		title_70137	context_70137	accept_70137_1;menu_70137_1	complete_70137;submit_70137		target_70137		next_70137	CanAcceptMenu_70137		CompleteMenu_70137					1	0	0																	
70138			s1530101	5	hd_dw_001	hd_dw_001							116693;18720;17545;116692					SubmitNpcEx_70138		title_70138	context_70138	accept_70138_1;menu_70138_1	complete_70138;submit_70138		target_70138		next_70138	CanAcceptMenu_70138		CompleteMenu_70138					1	0	0																	
70139			s1530101	5	hd_dw_001	hd_dw_001							116693;18722;17545;116692					SubmitNpcEx_70139		title_70139	context_70139	accept_70139_1;menu_70139_1	complete_70139;submit_70139		target_70139		next_70139	CanAcceptMenu_70139		CompleteMenu_70139					1	0	0																	
70140			s1530101	5	hd_dw_001	hd_dw_001							116885					SubmitNpcEx_70140		title_70140	context_70140				target_70140										1	0	0	0	0															
70141			s1530101	5	newmp_sjy_002	newmp_sjy_002	786	786					116886;116712;116662;116914					SubmitNpcEx_70141		title_70141	context_70141	accept_70141_1;menu_70141_1	complete_70141;submit_70141		target_70141			CanAcceptMenu_70141		CompleteMenu_70141					1	0	0	0	0															
70142			s1530101	5	hd_npc_zdyl_001	hd_npc_zdyl_001	14	14					116884;116895							title_70142	context_70142	accept_70142_1;menu_70142_1	complete_70142;submit_70142		target_70142		next_70142	CanAcceptMenu_70142		CompleteMenu_70142					1	0	1	1	1															
70143			s1530101	5	hd_npc_zdyl_001	hd_npc_zdyl_001	14	14					116903;116895							title_70143	context_70143	accept_70143_1;menu_70143_1	complete_70143;submit_70143		target_70143		next_70143	CanAcceptMenu_70143		CompleteMenu_70143					0	0	1	1	1															
70144			s1530101	5	WorldNpc01650	WorldNpc01650	14	14					116905;115904					SubmitNpcEx_70144		title_70144	context_70144	accept_70144_1;menu_70144_1	complete_70144;submit_70144		target_70144		next_70144	CanAcceptMenu_70144		CompleteMenu_70144					1	0	0																	
70145			s1530101	5	WorldNpc01194	WorldNpc01194	14	14					116924;17545			60023		SubmitNpcEx_70145		title_70145	context_70145	accept_70145_1;menu_70145_1	complete_70145;submit_70145		target_70145			CanAcceptMenu_70145		CompleteMenu_70145					1	0	0	0	0															
70146			s1530101	5	FuncNpc00106	FuncNpc00106	14	14					116925			60012				title_70146	context_70146				target_70146										1	0	1	1	1															
70147			s1530101	5		hd_dw_001							117888;114952					SubmitNpcEx_70147		title_70147	context_70147				target_70147										1	0	0	0	0															
70148			s1530101	5		hd_dw_001							117889;114952					SubmitNpcEx_70148		title_70148	context_70148				target_70148										1	0	0	0	0															
70149			s1530101	5	WorldNpc01650	WorldNpc01650	14	14					116946					SubmitNpcEx_70149		title_70149	context_70149				target_70149		next_70149								1	0	0	0	0															
70150			s1530101	5	WorldNpc01650	WorldNpc01650	14	14					116947;114952					SubmitNpcEx_70150		title_70150	context_70150				target_70150		next_70150								1	0	0	0	0															
70151			s1530101	5	hd_dw_001	hd_dw_001							116948;116942					SubmitNpcEx_70151		title_70151	context_70151				target_70151										1	0	0	0	0															
70152			s1530101	5	sz348	sz348	14	14					116951;115587							title_70152	context_70152				target_70152										1	0	0	0	0															
70153			s1530101	5	WorldNpc01097	WorldNpc01097	14	14					117124;115647;114952							title_70153	context_70153				target_70153										1	0	0	0	0															
70157			s1530101	5	WorldNpc01194	WorldNpc01194	14	14					117189;17545			60024		SubmitNpcEx_70157		title_70157	context_70157	accept_70157_1;menu_70157_1	complete_70157;submit_70157		target_70157			CanAcceptMenu_70157		CompleteMenu_70157					1	0	0	0	0															
70154			s1530101	5	npc_ghkh_hd_001	npc_ghkh_hd_001	15	15					29677							title_70154	context_70154				target_70154										1	0	1	1	9999															
70155			s1530101	5	npc_ghkh_hd_001	npc_ghkh_hd_001	15	15					29677							title_70155	context_70155				target_70155										1	0	1	1	9999															
70156			s1530101	5	npc_ghkh_hd_001	npc_ghkh_hd_001	15	15					29677							title_70156	context_70156				target_70156										1	0	1	1	9999															
70158			s1530101	5	hd_dw_001	hd_dw_001	14	14					117214					SubmitNpcEx_70158		title_70158	context_70158				target_70158		next_70158								1	0	0	0	0															
70159			s1530101	5	WorldNpc01097	WorldNpc01097	14	14					117214					SubmitNpcEx_70159		title_70159	context_70159				target_70159		next_70159								1	0	0	0	0															
70160			s1530101	5	sz493	sz493	14	14					117246					SubmitNpcEx_70160		title_70160	context_70160				target_70160		next_70160								1	0	0			1														
70162			s1530101	5	sz493	sz493	14	14					117263							title_70162	context_70162	accept_70162_1;menu_70162_1	complete_70162;submit_70162		target_70162		next_70162	CanAcceptMenu_70162		CompleteMenu_70162					1	0	1	1	1															
70161			s1530101	5	hd_dw_001	hd_dw_001	14	14					117252					SubmitNpcEx_70161		title_70161	context_70161				target_70161		next_70161								1	0	0	0	0															
70190			s1530101	5	act818_mj_001	act818_mj_001	17	17					117521					SubmitNpcEx_70190		title_70190	context_70190				target_70190		next_70190								1	0	1	1	20															
70163			s1530101	5	hd_dw_001	hd_dw_001	14	14					117275					SubmitNpcEx_70163		title_70163	context_70163	accept_70163_1;menu_70163_1	complete_70163;submit_70163		target_70163		next_70163	CanAcceptMenu_70163		CompleteMenu_70163					1	0	0	0	0															
70164			s1530101	5	hd_dw_001	hd_dw_001	14	14					29733					SubmitNpcEx_70164		title_70164	context_70164	accept_70164_1;menu_70164_1	complete_70164;submit_70164		target_70164		next_70164	CanAcceptMenu_70164		CompleteMenu_70164					1	0	0	0	0															
70241			s1530101	5	hd_dw_001	hd_dw_001							117883					SubmitNpcEx_70241		title_70241	context_70241	accept_70241_1;menu_70241_1			target_70241		next_70241								0	1	1	1	1	1														
70242			s1530101	5	hd_dw_001	hd_dw_001							117884					SubmitNpcEx_70242		title_70242	context_70242	accept_70242_1;menu_70242_1			target_70242		next_70242								0	1	1	1	1	1														
70165			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116418;116234;114952;117287;116408;116421;116429					SubmitNpcEx_70165		title_70165	context_70165				target_70165										0	0	0	0	0															
70166			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116418;116234;114952;117405;116408;116420;116428					SubmitNpcEx_70166		title_70166	context_70166				target_70166										0	0	0	0	0															
70167			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116418;116239;114952;117287;116409;116423;116431					SubmitNpcEx_70167		title_70167	context_70167				target_70167										0	0	0	0	0															
70168			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116418;116239;114952;117405;116409;116422;116430					SubmitNpcEx_70168		title_70168	context_70168				target_70168										0	0	0	0	0															
70169			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116418;116240;114952;117287;116410;116425;116433					SubmitNpcEx_70169		title_70169	context_70169				target_70169										0	0	0	0	0															
70170			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116418;116240;114952;117405;116410;116424;116432					SubmitNpcEx_70170		title_70170	context_70170				target_70170										0	0	0	0	0															
70171			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116418;116241;114952;117287;116411;116427;116435					SubmitNpcEx_70171		title_70171	context_70171				target_70171										0	0	0	0	0															
70172			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116418;116241;114952;117405;116411;116426;116434					SubmitNpcEx_70172		title_70172	context_70172				target_70172										0	0	0	0	0															
70173			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;117509;116412					SubmitNpcEx_70173		title_70173	context_70173				target_70173										0	0	0	0	0															
70174			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;117509;116413					SubmitNpcEx_70174		title_70174	context_70174				target_70174										0	0	0	0	0															
70175			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;117509;116414					SubmitNpcEx_70175		title_70175	context_70175				target_70175										0	0	0	0	0															
70176			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;117509;116415					SubmitNpcEx_70176		title_70176	context_70176				target_70176										0	0	0	0	0															
70177			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;117509;116416					SubmitNpcEx_70177		title_70177	context_70177				target_70177										0	0	0	0	0															
70178			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;117509;117510					SubmitNpcEx_70178		title_70178	context_70178				target_70178										0	0	0	0	0															
70179			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;117509;116412							title_70179	context_70179				target_70179										0	0	0	0	0															
70180			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;117509;116413							title_70180	context_70180				target_70180										0	0	0	0	0															
70181			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;117509;116414							title_70181	context_70181				target_70181										0	0	0	0	0															
70182			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;117509;116415							title_70182	context_70182				target_70182										0	0	0	0	0															
70183			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;117509;116416							title_70183	context_70183				target_70183										0	0	0	0	0															
70184			s1530101	5	act818_mj_001	act818_mj_001	17	17					116436;116419;114952;117509;116417							title_70184	context_70184				target_70184										0	0	0	0	0															
70185			s1530101	5	WorldNpc01194	WorldNpc01194	14	14					117521;17545			60025		SubmitNpcEx_70185		title_70185	context_70185	accept_70185_1;menu_70185_1	complete_70185;submit_70185		target_70185			CanAcceptMenu_70185		CompleteMenu_70185					1	0	0	0	0															
70237			s1530101	5	hd_dw_001	hd_dw_001	14	14					117516					SubmitNpcEx_70237		title_70237	context_70237	accept_70237_1;menu_70237_1	complete_70237;submit_70237		target_70237		next_70237	CanAcceptMenu_70237		CompleteMenu_70237					1	0	0	0	0															
70238			s1530101	5	WorldNpc01097	WorldNpc01097	14	14					117545					SubmitNpcEx_70238		title_70238	context_70238	accept_70238_1;menu_70238_1	complete_70238;submit_70238		target_70238		next_70238	CanAcceptMenu_70238		CompleteMenu_70238					1	0	0	0	0															
70186			s1530101	5	WorldNpc01097	WorldNpc01097	14	14					117542;115647;114952					SubmitNpcEx_70186		title_70186	context_70186	accept_70186_1;menu_70186_1	complete_70186;submit_70186		target_70186		next_70186	CanAcceptMenu_70186		CompleteMenu_70186					1	0	0	0	0															
70239			s1530101	5	hd_dw_001	hd_dw_001	14	14					117568;17545;17047							title_70239	context_70239	accept_70239_1;menu_70239_1	complete_70239;submit_70239		target_70239			CanAcceptMenu_70239		CompleteMenu_70239					1	0	0	0	0															
70415			s1530101	5	hd_wyhd_001	hd_wyhd_001	14	14					117671							title_70415	context_70415				target_70415										1	0	1	1	1															
70240			s1530101	5	hd_dw_001	hd_dw_001	14	14					117874;29946					SubmitNpcEx_70240		title_70240	context_70240	accept_70240_1;menu_70240_1	complete_70240;submit_70240		target_70240		next_70240	CanAcceptMenu_70240		CompleteMenu_70240					1	0	0	0	0															
70187			s1530101	5	WorldNpc01194	WorldNpc01194	14	14					117878;17545			60026		SubmitNpcEx_70187		title_70187	context_70187	accept_70187_1;menu_70187_1	complete_70187;submit_70187		target_70187			CanAcceptMenu_70187		CompleteMenu_70187					1	0	0	0	0															
70188			s1530101	5	WorldNpc01650	WorldNpc01650	14	14					117881;115904					SubmitNpcEx_70188		title_70188	context_70188	accept_70188_1;menu_70188_1	complete_70188;submit_70188		target_70188		next_70188	CanAcceptMenu_70188		CompleteMenu_70188					1	0	0																	
70250			s1530101	5	hd_dw_001	hd_dw_001	14	14					117888;114952					SubmitNpcEx_70250		title_70250	context_70250				target_70250		next_70250								1	0	0	0	0															
70251			s1530101	5	hd_dw_001	hd_dw_001	14	14					117889;114952					SubmitNpcEx_70251		title_70251	context_70251				target_70251		next_70251								1	0	0	0	0															
70252			s1530101	5	WorldNpc01097	WorldNpc01097	14	14					17047;17545;117915					SubmitNpcEx_70252		title_70252	context_70252	accept_70252_1;menu_70252_1	complete_70252;submit_70252		target_70252		next_70252	CanAcceptMenu_70252		CompleteMenu_70252					1	0	0	0	0															
70520			s1530101	5	WorldNpc07833	WorldNpc07833	25	25					117987;17545			60027		SubmitNpcEx_70520		title_70520	context_70520	accept_70520_1;menu_70520_1	complete_70520;submit_70520		target_70520		next_70520	CanAcceptMenu_70520		CompleteMenu_70520					0	0	1	1	1															
70521			s1530101	5	hd_dw_001	hd_dw_001	14	14					117996;17545					SubmitNpcEx_70521		title_70521	context_70521	accept_70521_1;menu_70521_1	complete_70521;submit_70521		target_70521		next_70521	CanAcceptMenu_70521		CompleteMenu_70521					1	0	0	0	0															
70522			s1530101	5	WorldNpc01097	WorldNpc01097	14	14					118037;17545					SubmitNpcEx_70522		title_70522	context_70522	accept_70522_1;menu_70522_1	complete_70522;submit_70522		target_70522		next_70522	CanAcceptMenu_70522		CompleteMenu_70522					1	0	0	0	0															
70523			s1530101	5	sz493	sz493	14	14					117246					SubmitNpcEx_70523		title_70523	context_70523				target_70523		next_70523								1	0	0			1														
70096			s1530101	5	hd_dw_001	hd_dw_001	14	14					29994					SubmitNpcEx_70096		title_70096	context_70096	accept_70096_1;menu_70096_1	complete_70096;submit_70096		target_70096		next_70096	CanAcceptMenu_70096		CompleteMenu_70096					1	0	0																	
70097			s1530101	5	sz460	sz460	14	14					29995					SubmitNpcEx_70097		title_70097	context_70097	accept_70097_1;menu_70097_1	complete_70097;submit_70097		target_70097		next_70097	CanAcceptMenu_70097		CompleteMenu_70097					1	0	1	1	1															
70098			s1530101	5	sz460	sz460	14	14					29996					SubmitNpcEx_70098		title_70098	context_70098	accept_70098_1;menu_70098_1	complete_70098;submit_70098		target_70098		next_70098	CanAcceptMenu_70098		CompleteMenu_70098					1	0	1	1	1															
70099			s1530101	5	sz460	sz460	14	14					29996					SubmitNpcEx_70099		title_70099	context_70099	accept_70099_1;menu_70099_1	complete_70099;submit_70099		target_70099		next_70099	CanAcceptMenu_70099		CompleteMenu_70099					1	0	1	1	1															
70261			s1530101	5	Transcity02A	Transcity02A	14	14					118140;17545			60028		SubmitNpcEx_70261		title_70261	context_70261	accept_70261_1;menu_70261_1	complete_70261;submit_70261		target_70261		next_70261	CanAcceptMenu_70261		CompleteMenu_70261					1	0	0	0	0															
70260			s1530101	5	npc_act_cj_nz01	npc_act_cj_nz01	17	17					120004					SubmitNpcEx_70260		title_70260	context_70260	accept_70260_1;menu_70260_1	complete_70260;submit_70260		target_70260		next_70260	CanAcceptMenu_70260		CompleteMenu_70260					1	0	1	1	1															
70608			s1530101	5	haiwai_Christmasnpc_01	haiwai_Christmasnpc_01	14	14					18709;119304	18709;119304				SubmitNpcEx_70608		title_70608	context_70608	accept_70608_1;menu_70608_1	complete_70608;submit_70608		target_70608		next_70608	CanAcceptMenu_70608		CompleteMenu_70608					1	0	1	1	1															
70609			s1530101	5	haiwai_Christmasnpc_01	haiwai_Christmasnpc_01	14	14					18709;119304	18709;119304				SubmitNpcEx_70609		title_70609	context_70609	accept_70609_1;menu_70609_1	complete_70609;submit_70609		target_70609		next_70609	CanAcceptMenu_70609		CompleteMenu_70609					1	0	1	1	1															
70610			s1530101	5	haiwai_Christmasnpc_01	haiwai_Christmasnpc_01	14	14					18709;119304	18709;119304				SubmitNpcEx_70610		title_70610	context_70610	accept_70610_1;menu_70610_1	complete_70610;submit_70610		target_70610		next_70610	CanAcceptMenu_70610		CompleteMenu_70610					1	0	1	1	1															
70611			s1530101	5	haiwai_Christmasnpc_01	haiwai_Christmasnpc_01	14	14					18709;119304	18709;119304				SubmitNpcEx_70611		title_70611	context_70611	accept_70611_1;menu_70611_1	complete_70611;submit_70611		target_70611		next_70611	CanAcceptMenu_70611		CompleteMenu_70611					1	0	1	1	1															
70612			s1530101	5	haiwai_Christmasnpc_01	haiwai_Christmasnpc_01	14	14					18709;119304	18709;119304				SubmitNpcEx_70612		title_70612	context_70612	accept_70612_1;menu_70612_1	complete_70612;submit_70612		target_70612		next_70612	CanAcceptMenu_70612		CompleteMenu_70612					1	0	1	1	1															
70613			s1530101	5	haiwai_Christmasnpc_01	haiwai_Christmasnpc_01	14	14					18709;119304	18709;119304				SubmitNpcEx_70613		title_70613	context_70613	accept_70613_1;menu_70613_1	complete_70613;submit_70613		target_70613		next_70613	CanAcceptMenu_70613		CompleteMenu_70613					1	0	1	1	1															
70614			s1530101	5	haiwai_Christmasnpc_01	haiwai_Christmasnpc_01	14	14					18709;119304	18709;119304				SubmitNpcEx_70614		title_70614	context_70614	accept_70614_1;menu_70614_1	complete_70614;submit_70614		target_70614		next_70614	CanAcceptMenu_70614		CompleteMenu_70614					1	0	1	7	1															
