NPC编号	对象类型	名称	模型编号	触发范围	NPC类型	走路速度	跑步速度	相对位置	子怪物	巡逻模式	AI类型	追击范围	路径编号	能否死亡	脚本编号	AI编辑包	刷新时间
Leader_clone004_065	TeamLeaderNpc	粮草队伍	npc\itemnpc057	15	11	5	5	"0,3;-2,2;0,2;2,2;-2,0;0,0;2,0;-2,-2;2,-2;-2,-4;0,-4;2,-4"	FunnpcClone004675;FunnpcClone004676;FunnpcClone004674;FunnpcClone004676;FunnpcClone004676;FunnpcClone004674;FunnpcClone004676;FunnpcClone004676;FunnpcClone004676;FunnpcClone004676;FunnpcClone004674;FunnpcClone004676;	1	6	30	clone004_77	1			
Leader_clone004_066	TeamLeaderNpc	鞑靼追击	npc\itemnpc057	15	11	5	5	"0,3;-2,2;0,2;"	FunnpcClone004037;FunnpcClone004038;FunnpcClone004038;	1	6	30	clone004_75	1			
																	
Leader_clone004_068	TeamLeaderNpc	正门进攻鞑靼	npc\itemnpc057	15	11	5	5	"0,1;-1,0;1,0;-1,-1;1,-1;-1,-2;1,-2;-1,-3;1,-3"	FunnpcClone004589;FunnpcClone004589;FunnpcClone004589;FunnpcClone004587;FunnpcClone004587;FunnpcClone004588;FunnpcClone004588;FunnpcClone004588;FunnpcClone004588;	1	6	30	clone004_76	1			
Leader_clone004_069	TeamLeaderNpc	东泉村巡逻村民1（农民）	npc\itemnpc057	15	11	5	5	"0.492,-3.016;0.167,-1.144;1.414,-1.863;1.320,-0.626;-0.505,-2.035"	FunnpcClone004013;FunnpcClone004014;FunnpcClone004016;FunnpcClone004018;FunnpcClone004019	1	6	30	clone004_76	1			
Leader_clone004_070	TeamLeaderNpc	东泉村巡逻村民2（农民）	npc\itemnpc057	15	11	5	5	"0.400,-0.563;-1.121,0.014;0.434,0.796"	FunnpcClone004013;FunnpcClone004014;FunnpcClone004016	1	6	30	clone004_75	1			
Leader_clone004_071	TeamLeaderNpc	东泉村巡逻村民3（农民）	npc\itemnpc057	15	11	5	5	"-0.897,0.507;1.189,0.585;0.275,-0.957"	FunnpcClone004018;FunnpcClone004016;FunnpcClone004014	1	6	30	clone004_77	1			
Leader_clone004_072	TeamLeaderNpc	村民线鞑靼进村BOSS	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2"	BossClone004201;FunnpcClone004063;FunnpcClone004063	1	6	30	clone004_60	1			
Leader_clone004_073	TeamLeaderNpc	村民线鞑靼进村1	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2;-1,-3;1,-3"	FunnpcClone0045003;FunnpcClone0045001;FunnpcClone0045001;FunnpcClone0045001;FunnpcClone0045001;FunnpcClone0045002;FunnpcClone0045002;FunnpcClone004063;FunnpcClone004063;FunnpcClone004063;FunnpcClone004063;FunnpcClone004063	1	6	30	clone004_60	1			
Leader_clone004_074	TeamLeaderNpc	村民线鞑靼进村2	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2;-1,-3;1,-3;-1,-4;1,-4"	FunnpcClone0045003;FunnpcClone0045001;FunnpcClone0045001;FunnpcClone0045001;FunnpcClone0045001;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone004063;FunnpcClone004063;FunnpcClone004063	1	6	30	clone004_60	1			
Leader_clone004_075	TeamLeaderNpc	村民线鞑靼进村3	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2;-1,-3;1,-3;-2,-1;2,-1;-2,-2;2,-2;-2,-3;2,-3"	FunnpcClone0045003;FunnpcClone0045003;FunnpcClone0045003;FunnpcClone0045002;FunnpcClone0045002;FunnpcClone0045002;FunnpcClone0045002;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000	1	6	30	clone004_60	1			
Leader_clone004_076	TeamLeaderNpc	村民线鞑靼进村4	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2;-1,-3;1,-3;-1,-4;1,-4;-2,-1;2,-1;-2,-2;2,-2;-2,-3;2,-3;-2,-4;2,-4"	FunnpcClone0045003;FunnpcClone0045001;FunnpcClone0045001;FunnpcClone0045001;FunnpcClone0045001;FunnpcClone0045002;FunnpcClone0045002;FunnpcClone0045002;FunnpcClone0045002;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone004063;FunnpcClone004063	1	6	30	clone004_60	1			
Leader_clone004_077	TeamLeaderNpc	村民线鞑靼进村5	npc\itemnpc057	15	11	5	5	"0,0;-1,-1;1,-1;-1,-2;1,-2;-1,-3;1,-3;-1,-4;1,-4;-2,-1;2,-1;-2,-2;2,-2;-2,-3;2,-3;-2,-4;2,-4"	FunnpcClone0045003;FunnpcClone0045001;FunnpcClone0045001;FunnpcClone0045001;FunnpcClone0045001;FunnpcClone0045002;FunnpcClone0045002;FunnpcClone0045002;FunnpcClone0045002;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone0045000;FunnpcClone004063;FunnpcClone004063	1	6	30	clone004_60	1			
Leader_clone004_078	TeamLeaderNpc	lfs雁门关巡逻1	npc\itemnpc057e	15	11	2	5	"1,1;-1,1;1,-1;-1,-1"	FunnpcClone0048723;FunnpcClone0048723;FunnpcClone0048723;FunnpcClone0048723	1	6	30	clone004_lfs_003	1			
Leader_clone004_079	TeamLeaderNpc	lfs雁门关巡逻2	npc\itemnpc057e	15	11	2	5	"1,1;-1,1;1,-1;-1,-1"	FunnpcClone0048723;FunnpcClone0048723;FunnpcClone0048723;FunnpcClone0048723	1	6	30	clone004_lfs_004	1			
Leader_clone004_080	TeamLeaderNpc	jj雁门关巡逻兵1	npc\itemnpc057e	15	11	2	5	"0,0;2,0;0,2;2,2"	FunnpcClone0046007;FunnpcClone0046007;FunnpcClone0046007;FunnpcClone0046007	1	6	30	clone_jj_001	1			
Leader_clone004_081	TeamLeaderNpc	jj雁门关巡逻兵2	npc\itemnpc057e	15	11	2	5	"0,0;2,0;0,2;2,2"	FunnpcClone0046007;FunnpcClone0046007;FunnpcClone0046007;FunnpcClone0046007	1	6	30	clone_jj_002	1			
Leader_clone004_082	TeamLeaderNpc	jj东泉村鞑靼巡逻兵1	npc\itemnpc057e	15	11	2	5	"0,0;-1,-3;1,-3;-1,-6;1,-6"	FunnpcClone0046113;FunnpcClone0046113;FunnpcClone0046113;FunnpcClone0046113;FunnpcClone0046113	1	6	30	clone_jj_003	1			
Leader_clone004_083	TeamLeaderNpc	jj东泉村鞑靼巡逻兵2	npc\itemnpc057e	15	11	2	5	"0,0;0,-2"	FunnpcClone0046112;FunnpcClone0046112	1	6	30	clone_jj_004	1			
Leader_clone004_084	TeamLeaderNpc	jj东泉村鞑靼巡逻兵3	npc\itemnpc057e	15	11	2	5	"0,0;0,-2"	FunnpcClone0046112;FunnpcClone0046112	1	6	30	clone_jj_005	1			
Leader_clone004_085	TeamLeaderNpc	jj蛇谷鞑靼巡逻兵4	npc\itemnpc057e	15	11	2	5	"0,0;0,-2"	FunnpcClone0046209;FunnpcClone0046209	1	6	30	clone_jj_006	1			
Leader_clone004_086	TeamLeaderNpc	jj鞑靼大营巡逻兵5	npc\itemnpc057e	15	11	2	5	"0,0;2,0"	FunnpcClone0046508;FunnpcClone0046508	1	6	30	clone_jj_007	1			
Leader_clone004_087	TeamLeaderNpc	jj鞑靼大营巡逻兵6	npc\itemnpc057e	15	11	2	5	"0,0;2,0"	FunnpcClone0046508;FunnpcClone0046508	1	6	30	clone_jj_008	1			
Leader_clone004_088	TeamLeaderNpc	jj鞑靼大营巡逻兵7	npc\itemnpc057e	15	11	2	5	"0,0;2,0"	FunnpcClone0046508;FunnpcClone0046508	1	6	30	clone_jj_009	1			
Leader_clone004_089	TeamLeaderNpc	jj鞑靼大营巡逻兵8	npc\itemnpc057e	15	11	2	5	"0,0;2,0"	FunnpcClone0046508;FunnpcClone0046508	1	6	30	clone_jj_010	1			
Leader_clone004_090	TeamLeaderNpc	jj鞑靼大营巡逻兵9	npc\itemnpc057e	15	11	2	5	"0,0;2,0"	FunnpcClone0046508;FunnpcClone0046508	1	6	30	clone_jj_011	1			
Leader_clone004_067	TeamLeaderNpc	逃跑农民	npc\itemnpc057e	15	11	2	5	"0,0"	FunnpcClone004075	1	6	30	clone004_75	1	npc\clone\clone004\EscapeNpc.lua		
Leader_clone004_091	TeamLeaderNpc	逃跑农民	npc\itemnpc057e	15	11	2	5	"0,0"	FunnpcClone004076	1	6	30	clone004_75	1	npc\clone\clone004\EscapeNpc.lua		
Leader_clone004_092	TeamLeaderNpc	逃跑农民	npc\itemnpc057e	15	11	2	5	"0,0"	FunnpcClone004077	1	6	30	clone004_75	1	npc\clone\clone004\EscapeNpc.lua		
Leader_clone004_093	TeamLeaderNpc	逃跑农民	npc\itemnpc057e	15	11	2	5	"0,0"	FunnpcClone004078	1	6	30	clone004_75	1	npc\clone\clone004\EscapeNpc.lua		
Leader_clone004_094	TeamLeaderNpc	逃跑农民	npc\itemnpc057e	15	11	2	5	"0,0"	FunnpcClone004079	1	6	30	clone004_75	1	npc\clone\clone004\EscapeNpc.lua		
Leader_clone004_095	TeamLeaderNpc	逃跑农民	npc\itemnpc057e	15	11	2	5	"0,0"	FunnpcClone004076	1	6	30	clone004_75	1	npc\clone\clone004\EscapeNpc.lua		
Leader_clone004_096	TeamLeaderNpc	逃跑农民	npc\itemnpc057e	15	11	2	5	"0,0"	FunnpcClone004077	1	6	30	clone004_75	1	npc\clone\clone004\EscapeNpc.lua		
																	
Leader_clone007_001	TeamLeaderNpc	死门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007021a;NpcClone007011a;NpcClone007012a	1	6	0	AI_clone007_xl01	1			
Leader_clone007_002	TeamLeaderNpc	死门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007021a;NpcClone007011a;NpcClone007012a	1	6	0	AI_clone007_xl02	1			
Leader_clone007_003	TeamLeaderNpc	死门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007021a;NpcClone007013a;NpcClone007013a	1	6	0	AI_clone007_xl03	1			
Leader_clone007_004	TeamLeaderNpc	休门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007021yg;NpcClone007022m;NpcClone007022m	1	6	0	AI_clone007_xl04	1			
Leader_clone007_005	TeamLeaderNpc	杜门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007021ya;NpcClone007019a;NpcClone007018a	1	6	0	AI_clone007_xl05	1			
Leader_clone007_006	TeamLeaderNpc	杜门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007021ya;NpcClone007019a;NpcClone007018a	1	6	0	AI_clone007_xl06	1			
Leader_clone007_007	TeamLeaderNpc	杜门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007021ya;NpcClone007020a;NpcClone007020a	1	6	0	AI_clone007_xl07	1			
Leader_clone007_008	TeamLeaderNpc	杜门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007021ya;NpcClone007020a;NpcClone007020a	1	6	0	AI_clone007_xl08	1			
Leader_clone007_009	TeamLeaderNpc	景门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007021yf;NpcClone007022k;NpcClone007022k	1	6	0	AI_clone007_xl09	1			
Leader_clone007_010	TeamLeaderNpc	惊门机关人巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007007;NpcClone007003;NpcClone007003	1	6	0	AI_clone007_xl10	1			
	//困难																
Leader_clone007_101	TeamLeaderNpc	死门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007121a;NpcClone007111a;NpcClone007112a	1	6	0	AI_clone007_xl01	1			
Leader_clone007_102	TeamLeaderNpc	死门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007121a;NpcClone007111a;NpcClone007112a	1	6	0	AI_clone007_xl02	1			
Leader_clone007_103	TeamLeaderNpc	死门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007121a;NpcClone007113a;NpcClone007113a	1	6	0	AI_clone007_xl03	1			
Leader_clone007_104	TeamLeaderNpc	休门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007121yg;NpcClone007122m;NpcClone007122m	1	6	0	AI_clone007_xl04	1			
Leader_clone007_105	TeamLeaderNpc	杜门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007121ya;NpcClone007119a;NpcClone007118a	1	6	0	AI_clone007_xl05	1			
Leader_clone007_106	TeamLeaderNpc	杜门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007121ya;NpcClone007119a;NpcClone007118a	1	6	0	AI_clone007_xl06	1			
Leader_clone007_107	TeamLeaderNpc	杜门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007121ya;NpcClone007120a;NpcClone007120a	1	6	0	AI_clone007_xl07	1			
Leader_clone007_108	TeamLeaderNpc	杜门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007121ya;NpcClone007120a;NpcClone007120a	1	6	0	AI_clone007_xl08	1			
Leader_clone007_109	TeamLeaderNpc	景门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007121yf;NpcClone007122k;NpcClone007122k	1	6	0	AI_clone007_xl09	1			
Leader_clone007_110	TeamLeaderNpc	惊门机关人巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007107;NpcClone007103;NpcClone007103	1	6	0	AI_clone007_xl10	1			
	//地狱																
Leader_clone007_201	TeamLeaderNpc	死门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007221a;NpcClone007211a;NpcClone007212a	1	6	0	AI_clone007_xl01	1			
Leader_clone007_202	TeamLeaderNpc	死门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007221a;NpcClone007211a;NpcClone007212a	1	6	0	AI_clone007_xl02	1			
Leader_clone007_203	TeamLeaderNpc	死门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007221a;NpcClone007213a;NpcClone007213a	1	6	0	AI_clone007_xl03	1			
Leader_clone007_204	TeamLeaderNpc	休门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007221yg;NpcClone007222m;NpcClone007222m	1	6	0	AI_clone007_xl04	1			
Leader_clone007_205	TeamLeaderNpc	杜门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007221ya;NpcClone007219a;NpcClone007218a	1	6	0	AI_clone007_xl05	1			
Leader_clone007_206	TeamLeaderNpc	杜门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007221ya;NpcClone007219a;NpcClone007218a	1	6	0	AI_clone007_xl06	1			
Leader_clone007_207	TeamLeaderNpc	杜门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007221ya;NpcClone007220a;NpcClone007220a	1	6	0	AI_clone007_xl07	1			
Leader_clone007_208	TeamLeaderNpc	杜门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007221ya;NpcClone007220a;NpcClone007220a	1	6	0	AI_clone007_xl08	1			
Leader_clone007_209	TeamLeaderNpc	景门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007221yf;NpcClone007222k;NpcClone007222k	1	6	0	AI_clone007_xl09	1			
Leader_clone007_210	TeamLeaderNpc	惊门机关人巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007207;NpcClone007203;NpcClone007203	1	6	0	AI_clone007_xl10	1			
	//修罗																
Leader_clone007_301	TeamLeaderNpc	死门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007321a;NpcClone007311a;NpcClone007312a	1	6	0	AI_clone007_xl01	1			
Leader_clone007_302	TeamLeaderNpc	死门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007321a;NpcClone007311a;NpcClone007312a	1	6	0	AI_clone007_xl02	1			
Leader_clone007_303	TeamLeaderNpc	死门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007321a;NpcClone007313a;NpcClone007313a	1	6	0	AI_clone007_xl03	1			
Leader_clone007_304	TeamLeaderNpc	休门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007321yg;NpcClone007322m;NpcClone007322m	1	6	0	AI_clone007_xl04	1			
Leader_clone007_305	TeamLeaderNpc	杜门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007321ya;NpcClone007319a;NpcClone007318a	1	6	0	AI_clone007_xl05	1			
Leader_clone007_306	TeamLeaderNpc	杜门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007321ya;NpcClone007319a;NpcClone007318a	1	6	0	AI_clone007_xl06	1			
Leader_clone007_307	TeamLeaderNpc	杜门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007321ya;NpcClone007320a;NpcClone007320a	1	6	0	AI_clone007_xl07	1			
Leader_clone007_308	TeamLeaderNpc	杜门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007321ya;NpcClone007320a;NpcClone007320a	1	6	0	AI_clone007_xl08	1			
Leader_clone007_309	TeamLeaderNpc	景门巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007321yf;NpcClone007322k;NpcClone007322k	1	6	0	AI_clone007_xl09	1			
Leader_clone007_310	TeamLeaderNpc	惊门机关人巡逻	npc\itemnpc057		11	3	5	"0,0;-1,-1;1,-1"	NpcClone007307;NpcClone007303;NpcClone007303	1	6	0	AI_clone007_xl10	1			
																	
																	
																	
																	
																	
Leader_clone009_002	TeamLeaderNpc	入口巡逻2	npc\itemnpc057e		11	3	5	"0,0;0,1"	NpcClone009103;NpcClone009103	1	6	0	clone009_002	1			
Leader_clone009_003	TeamLeaderNpc	震云台巡逻左	npc\itemnpc057e		11	3	5	"0,0;0,-1"	NpcClone009103;NpcClone009103	1	6	0	clone009_003	1			
Leader_clone009_004	TeamLeaderNpc	震云台巡逻右	npc\itemnpc057e		11	3	5	"0,0;0,-1"	NpcClone009103;NpcClone009103	1	6	0	clone009_004	1			
Leader_clone009_005	TeamLeaderNpc	眉严院前巡逻	npc\itemnpc057e		11	3	5	"0,0;-1,-1"	NpcClone009106;NpcClone009106	1	6	0	clone009_005	1			
Leader_clone009_006	TeamLeaderNpc	眉严塔巡逻	npc\itemnpc057e		11	3	5	"0,0;-1,-1"	NpcClone009106;NpcClone009106	1	6	0	clone009_006	1			
Leader_clone009_007	TeamLeaderNpc	眉严塔后巡逻1	npc\itemnpc057e		11	3	5	"0,0;-1,-1"	NpcClone009106;NpcClone009106	1	6	0	clone009_007	1			
Leader_clone009_008	TeamLeaderNpc	眉严塔后巡逻2	npc\itemnpc057e		11	3	5	"0,0;-1,-1"	NpcClone009106;NpcClone009106	1	6	0	clone009_008	1			
Leader_clone009_009	TeamLeaderNpc	眉严院山下巡逻	npc\itemnpc057e		11	3	5	"0,0;-1,-1"		1	6	0	clone009_009	1			
Leader_clone009_010	TeamLeaderNpc	绝魂窟巡逻	npc\itemnpc057e		11	3	5	"0,0;-1,-1"		1	6	0	clone009_010	1			
Leader_clone009_011	TeamLeaderNpc	仙女庵前巡逻	npc\itemnpc057e		11	3	5	"0,0;-1,-1"	NpcClone009112;NpcClone009112	1	6	0	clone009_011	1			
Leader_clone009_012	TeamLeaderNpc	仙女庵后巡逻	npc\itemnpc057e		11	3	5	"0,0;-1,-1"	NpcClone009112;NpcClone009112	1	6	0	clone009_012	1			
Leader_clone009_013	TeamLeaderNpc	卧云庵巡逻1	npc\itemnpc057e		11	3	5	"0,0;-1,-1"	NpcClone009112;NpcClone009112	1	6	0	clone009_017	1			
Leader_clone009_014	TeamLeaderNpc	卧云庵巡逻2	npc\itemnpc057e		11	3	5	"0,0;-1,-1"	NpcClone009112;NpcClone009112	1	6	0	clone009_018	1			
Leader_clone009_015	TeamLeaderNpc	眉严塔巡逻	npc\itemnpc057e		11	3	5	"0,0;-1,-1"	NpcClone009006;NpcClone009003	1	6	0	clone009_020	1			
Leader_clone009_016	TeamLeaderNpc	舍身崖桥前巡逻	npc\itemnpc057		11	3	5	"0,0;0,1"	NpcClone009115;NpcClone009115	1	6	0	clone009_027	1			
Leader_clone009_017	TeamLeaderNpc	舍身崖楼梯巡逻1	npc\itemnpc057		11	3	5	"0,0;0,1"	NpcClone009115;NpcClone009115	1	6	0	clone009_028	1			
Leader_clone009_018	TeamLeaderNpc	舍身崖楼梯巡逻2	npc\itemnpc057		11	3	5	"0,0;0,1"	NpcClone009115;NpcClone009115	1	6	0	clone009_029	1			
Leader_clone009_019	TeamLeaderNpc	舍身崖楼梯巡逻3	npc\itemnpc057		11	3	5	"0,0;0,1"	NpcClone009115;NpcClone009115	1	6	0	clone009_030	1			
Leader_clone009_020	TeamLeaderNpc	舍身崖后巡逻	npc\itemnpc057		11	3	5	"0,0;0,1"	NpcClone009115;NpcClone009115	1	6	0	clone009_031	1			
																	
Leader_clone005_001	TeamLeaderNpc	木人巷塔林巡逻1	npc\itemnpc057	10	11	2	5	"0,0"	NpcClone005006	1	6	0	clone005_001	1			
Leader_clone005_002	TeamLeaderNpc	木人巷塔林巡逻2	npc\itemnpc057	10	11	2	5	"0,0"	NpcClone005008	1	6	0	clone005_002	1			
Leader_clone005_003	TeamLeaderNpc	木人巷塔林巡逻3	npc\itemnpc057	10	11	2	5	"0,0;1,0"	NpcClone005002;NpcClone005004	1	6	0	clone005_003	1			
Leader_clone005_004	TeamLeaderNpc	木人巷塔林巡逻4	npc\itemnpc057	10	11	2	5	"0,0;-1,-1"	NpcClone005003;NpcClone005005	1	6	0	clone005_004	1			
Leader_clone005_005	TeamLeaderNpc	木人巷罗汉区1	npc\itemnpc057	10	11	2	5	"0,0;-1,-1"	NpcClone005016;NpcClone005017	1	6	0	clone005_005	1			
Leader_clone005_006	TeamLeaderNpc	木人巷罗汉区2	npc\itemnpc057	10	11	2	5	"0,0;-1,-1"	NpcClone005015;NpcClone005016	1	6	0	clone005_006	1			
Leader_clone005_007	TeamLeaderNpc	木人巷罗汉区3	npc\itemnpc057	10	11	2	5	"0,0;-1,-1"	NpcClone005015;NpcClone005017	1	6	0	clone005_007	1			
Leader_clone005_008	TeamLeaderNpc	木人巷罗汉区4	npc\itemnpc057	10	11	2	5	"0,0;-1,-1"	NpcClone005016;NpcClone005017	1	6	0	clone005_008	1			
Leader_clone005_009	TeamLeaderNpc	木人巷精英区1	npc\itemnpc057	10	11	2	5	"0,0;-1,0"	NpcClone005018;NpcClone005023	1	6	0	clone005_009	1			
Leader_clone005_010	TeamLeaderNpc	木人巷精英区2	npc\itemnpc057	10	11	2	5	"0,0;-1,0"	NpcClone005018;NpcClone005023	1	6	0	clone005_010	1			
Leader_clone005_011	TeamLeaderNpc	木人巷精英区3	npc\itemnpc057	10	11	2	5	"0,0;1,-1"	NpcClone005018;NpcClone005023	1	6	0	clone005_011	1			
Leader_clone005_012	TeamLeaderNpc	木人巷八角塔1	npc\itemnpc057	10	11	2	5	"0,0"	NpcClone005022	1	6	0	clone005_012	1			
Leader_clone005_013	TeamLeaderNpc	木人巷八角塔2	npc\itemnpc057	10	11	2	5	"0,0"	NpcClone005022	1	6	0	clone005_013	1			
Leader_clone005_014	TeamLeaderNpc	木人巷八角塔3	npc\itemnpc057	10	11	2	5	"0,0"	NpcClone005022	1	6	0	clone005_014	1			
Leader_clone005_015	TeamLeaderNpc	木人巷解禅通道1	npc\itemnpc057	10	11	2	5	"0,0;-1,-1"	NpcClone005026;NpcClone005026	1	6	0	clone005_015	1			
Leader_clone005_016	TeamLeaderNpc	木人巷解禅通道2	npc\itemnpc057	10	11	2	5	"0,0;-1,-1"	NpcClone005025;NpcClone005025	1	6	0	clone005_016	1			
Leader_clone005_017	TeamLeaderNpc	木人巷塔林巡逻4	npc\itemnpc057	10	11	2	5	"0,0"	NpcClone005007	1	6	0	clone005_017	1			
Leader_clone005_018	TeamLeaderNpc	木人巷塔林巡逻5	npc\itemnpc057	10	11	2	5	"0,0"	NpcClone005008	1	6	0	clone005_018	1			
Leader_clone005_019	TeamLeaderNpc	木人巷塔林巡逻6	npc\itemnpc057	10	11	2	5	"0,0;-1,-1"	NpcClone005004;NpcClone005005	1	6	0	clone005_019	1			
Leader_clone005_020	TeamLeaderNpc	木人巷塔林巡逻7	npc\itemnpc057	10	11	2	5	"0,0"	NpcClone005006	1	6	0	clone005_020	1			
Leader_clone005_021	TeamLeaderNpc	木人巷塔林巡逻8	npc\itemnpc057	10	11	2	5	"0,0"	NpcClone005008	1	6	0	clone005_021	1			
Leader_clone005_022	TeamLeaderNpc	木人巷塔林巡逻9	npc\itemnpc057	10	11	2	5	"0,0;-1,-1"	NpcClone005003;NpcClone005004	1	6	0	clone005_022	1			
Leader_clone005_023	TeamLeaderNpc	木人巷塔林巡逻10	npc\itemnpc057	10	11	2	5	"0,0;-1,-1"	NpcClone005002;NpcClone005005	1	6	0	clone005_023	1			
Leader_clone005_024	TeamLeaderNpc	木人巷塔林巡逻11	npc\itemnpc057	10	11	2	5	"0,0"	NpcClone005007	1	6	0	clone005_024	1			
Leader_clone005_025	TeamLeaderNpc	木人巷塔林巡逻12	npc\itemnpc057	10	11	2	5	"0,0"	NpcClone005004	1	6	0	clone005_025	1			
Leader_clone005_026	TeamLeaderNpc	木人巷塔林巡逻13	npc\itemnpc057	10	11	2	5	"0,0"	NpcClone005005	1	6	0	clone005_026	1			
Leader_clone005_027	TeamLeaderNpc	木人巷塔林巡逻14	npc\itemnpc057	10	11	2	5	"0,0"	NpcClone005006	1	6	0	clone005_027	1			
Leader_clone005_028	TeamLeaderNpc	木人巷解禅迷宫1	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1"	NpcClone005026;NpcClone005025	1	6	0	clone005_028	1			
Leader_clone005_029	TeamLeaderNpc	木人巷解禅迷宫2	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1"	NpcClone005026;NpcClone005025	1	6	0	clone005_029	1			
Leader_clone005_030	TeamLeaderNpc	木人巷解禅迷宫3	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1"	NpcClone005026;NpcClone005025	1	6	0	clone005_030	1			
Leader_clone005_031	TeamLeaderNpc	木人巷解禅迷宫4	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1"	NpcClone005026;NpcClone005025	1	6	0	clone005_031	1			
Leader_clone005_032	TeamLeaderNpc	木人巷解禅迷宫5	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1"	NpcClone005026;NpcClone005025	1	6	0	clone005_032	1			
Leader_clone005_033	TeamLeaderNpc	木人巷解禅迷宫6	npc\itemnpc057	10	11	2.5	6	"0,0;-1,-1"	NpcClone005026;NpcClone005025	1	6	0	clone005_033	1			
