NPC编号	对象类型	名称	模型编号	NPC类型	移动的时候是否旋转	走路速度	跑步速度	AI类型	巡逻模式	路径编号	是否碰撞	相对于自身的可站立高度	Xz平面上可站立范围类形	"StandShape=0时为半径StandShape=1时为长,垂直于面向"	"StandShape=1时为宽,平行于面向"	脚本编号	NPC绑定点	响应范围	有无响应	AI编辑包	模型预载入	存在时间
flynpc_nlb_butterfly37	FlyNpc	蝴蝶	npc\worldnpc1108_1	202	0	2	2	8	1	AI_adv124_butterfly_037	0	3	0	0	0			1	0	3370		
flynpc_nlb_butterfly38	FlyNpc	蝴蝶	npc\worldnpc1108_2	202	0	2	2	8	1	AI_adv124_butterfly_038	0	3	0	0	0			1	0	3372		
flynpc_nlb_butterfly39	FlyNpc	蝴蝶	npc\worldnpc1109_1	202	0	2	2	8	1	AI_adv124_butterfly_039	0	3	0	0	0			1	0	3371		
flynpc_nlb_butterfly40	FlyNpc	蝴蝶	npc\worldnpc1109_2	202	0	2	2	8	1	AI_adv124_butterfly_040	0	3	0	0	0			1	0	3373		
flynpc_nlb_butterfly41	FlyNpc	蝴蝶	npc\worldnpc1108_1	202	0	2	2	8	1	AI_adv124_butterfly_041	0	3	0	0	0			1	0	3370		
flynpc_nlb_butterfly42	FlyNpc	蝴蝶	npc\worldnpc1108_2	202	0	2	2	8	1	AI_adv124_butterfly_042	0	3	0	0	0			1	0	3372		
flynpc_nlb_butterfly43	FlyNpc	蝴蝶	npc\worldnpc1109_1	202	0	2	2	8	1	AI_adv124_butterfly_043	0	3	0	0	0			1	0	3371		
flynpc_nlb_butterfly44	FlyNpc	蝴蝶	npc\worldnpc1109_2	202	0	2	2	8	1	AI_adv124_butterfly_044	0	3	0	0	0			1	0	3373		
flynpc_nlb_butterfly45	FlyNpc	蝴蝶	npc\worldnpc1108_1	202	0	2	2	8	1	AI_adv124_butterfly_045	0	3	0	0	0			1	0	3370		
flynpc_nlb_butterfly46	FlyNpc	蝴蝶	npc\worldnpc1108_2	202	0	2	2	8	1	AI_adv124_butterfly_046	0	3	0	0	0			1	0	3372		
flynpc_nlb_butterfly47	FlyNpc	蝴蝶	npc\worldnpc1109_1	202	0	2	2	8	1	AI_adv124_butterfly_047	0	3	0	0	0			1	0	3371		
flynpc_nlb_butterfly48	FlyNpc	蝴蝶	npc\worldnpc1109_2	202	0	2	2	8	1	AI_adv124_butterfly_048	0	3	0	0	0			1	0	3373		
flynpc_nlb_butterfly49	FlyNpc	蝴蝶	npc\worldnpc1108_1	202	0	2	2	8	1	AI_adv124_butterfly_049	0	3	0	0	0			1	0	3370		
flynpc_nlb_butterfly50	FlyNpc	蝴蝶	npc\worldnpc1108_2	202	0	2	2	8	1	AI_adv124_butterfly_050	0	3	0	0	0			1	0	3372		
flynpc_nlb_butterfly51	FlyNpc	蝴蝶	npc\worldnpc1109_1	202	0	2	2	8	1	AI_adv124_butterfly_051	0	3	0	0	0			1	0	3371		
flynpc_nlb_butterfly52	FlyNpc	蝴蝶	npc\worldnpc1109_2	202	0	2	2	8	1	AI_adv124_butterfly_052	0	3	0	0	0			1	0	3373		
flynpc_nlb_butterfly53	FlyNpc	蝴蝶	npc\worldnpc1108_1	202	0	2	2	8	1	AI_adv124_butterfly_053	0	3	0	0	0			1	0	3370		
flynpc_nlb_butterfly54	FlyNpc	蝴蝶	npc\worldnpc1108_2	202	0	2	2	8	1	AI_adv124_butterfly_054	0	3	0	0	0			1	0	3372		
flynpc_nlb_butterfly55	FlyNpc	蝴蝶	npc\worldnpc1109_1	202	0	2	2	8	1	AI_adv124_butterfly_055	0	3	0	0	0			1	0	3371		
flynpc_nlb_butterfly56	FlyNpc	蝴蝶	npc\worldnpc1109_2	202	0	2	2	8	1	AI_adv124_butterfly_056	0	3	0	0	0			1	0	3373		
flynpc_nlb_butterfly57	FlyNpc	蝴蝶	npc\worldnpc1108_1	202	0	2	2	8	1	AI_adv124_butterfly_057	0	3	0	0	0			1	0	3370		
flynpc_nlb_butterfly58	FlyNpc	蝴蝶	npc\worldnpc1108_2	202	0	2	2	8	1	AI_adv124_butterfly_058	0	3	0	0	0			1	0	3372		
flynpc_nlb_butterfly59	FlyNpc	蝴蝶	npc\worldnpc1109_1	202	0	2	2	8	1	AI_adv124_butterfly_059	0	3	0	0	0			1	0	3371		
flynpc_nlb_butterfly60	FlyNpc	蝴蝶	npc\worldnpc1109_2	202	0	2	2	8	1	AI_adv124_butterfly_060	0	3	0	0	0			1	0	3373		
flynpc_nlb_butterfly61	FlyNpc	蝴蝶	npc\worldnpc1108_1	202	0	2	2	8	1	AI_adv124_butterfly_057	0	3	0	0	0			1	0	3370		
flynpc_nlb_butterfly62	FlyNpc	蝴蝶	npc\worldnpc1109_1	202	0	2	2	8	1	AI_adv124_butterfly_057	0	3	0	0	0			1	0	3371		
flynpc_nlb_butterfly63	FlyNpc	蝴蝶	npc\worldnpc1108_2	202	0	2	2	8	1	AI_adv124_butterfly_057	0	3	0	0	0			1	0	3372		
flynpc_nlb_butterfly64	FlyNpc	蝴蝶	npc\worldnpc1109_2	202	0	2	2	8	1	AI_adv124_butterfly_057	0	3	0	0	0			1	0	3373		
																						
flynpc_nlb_hh_tzsy01	FlyNpc	铁嘴山鹰	npc\petm_z_0600	202	0	7	7	8	1	AI_adv124_bird01	0	3	0	0	0			1	0			
flynpc_nlb_hh_tzsy02	FlyNpc	铁嘴山鹰	npc\petm_z_0600	202	0	7	7	8	1	AI_adv124_bird02	0	3	0	0	0			1	0			
flynpc_nlb_hh_tzsy03	FlyNpc	铁嘴山鹰	npc\petm_z_0600	202	0	7	7	8	1	AI_adv124_bird03	0	3	0	0	0			1	0			
flynpc_nlb_hh_tzsy04	FlyNpc	铁嘴山鹰	npc\petm_z_0600	202	0	7	7	8	1	AI_adv124_bird01	0	3	0	0	0			1	0			
flynpc_nlb_hh_tzsy05	FlyNpc	铁嘴山鹰	npc\petm_z_0600	202	0	7	7	8	1	AI_adv124_bird02	0	3	0	0	0			1	0			
flynpc_nlb_hh_tzsy06	FlyNpc	铁嘴山鹰	npc\petm_z_0600	202	0	7	7	8	1	AI_adv124_bird03	0	3	0	0	0			1	0			
flynpc_nlb_hh_tzsy07	FlyNpc	铁嘴山鹰	npc\petm_z_0600	202	0	7	7	8	1	AI_adv124_bird01	0	3	0	0	0			1	0			
flynpc_nlb_hh_tzsy08	FlyNpc	铁嘴山鹰	npc\petm_z_0600	202	0	7	7	8	1	AI_adv124_bird02	0	3	0	0	0			1	0			
flynpc_nlb_hh_tzsy09	FlyNpc	铁嘴山鹰	npc\petm_z_0600	202	0	7	7	8	1	AI_adv124_bird03	0	3	0	0	0			1	0			
																						
FlyNpc_wjd_boat01	FlyNpc	无极岛大船	npc\donghaibaochuan02	48	0	1	1	8	0		0	3	0	3	3		"DriveNpc_wjd_01,10.5,10,8,1.5;DriveNpc_wjd_01,11,10,-1.3,1.5;DriveNpc_wjd_01,-11,10,-1.3,4.5;DriveNpc_wjd_01,-11,10,8,4.5;npc_wjd_xx_007,8,10,4.5,0;DriveNpc_wjd_01,10.5,10,3,1.5;DriveNpc_wjd_01,-11,10,3,4.5;"					4000000
npc_wjd_25_01	FlyNpc	渔船	npc\boat02	48	0	3	3	8	0		0	3	0	3	3		"npc_wjd_25_03,0,0.4,-2.5,0"	1	0			
																						
nangongflynpc001	FlyNpc	侍女	npc\worldnpc1433	202	0	4	4	8	1	nangong_shp_001	0	3	0	0	0			2	0			
nangongflynpc002	FlyNpc	侍女	npc\worldnpc1433	202	0	4	4	8	1	nangong_shp_002	0	3	0	0	0			2	0			
nangongflynpc003	FlyNpc	侍女	npc\worldnpc1433	202	0	4	4	8	1	nangong_shp_003	0	3	0	0	0			2	0			
