NPC编号	对象类型	名称	模型编号	脚本编号	AI编号	巡逻模式	寻路是是否转向	走路速度	跑步速度	路径编号	NPC类型	NPC种类ID	响应范围	是否可见	是否可被攻击	是否需要判断高度	Y轴上多近的距离才算触发	是否需要判断矩形触发范围	矩形的边长	矩形的边宽	AI编辑包	触发回调功能	是否可见	存在时间	碰撞形状	碰撞高度	碰撞半径	如果碰撞体配置成矩形柱体 长	如果碰撞体配置成矩形柱体 宽	子弹类型:0 普通子弹只简单碰撞 1火墙类子弹 每秒检查在范围内的对象
Trigger_nlb_hh_th	TriggerNpc	投壶标记	npc\itemnpc057								202	4	10	0	1			0												
																														
bullet_tg01	BulletNpc	矩形子弹	npc\itemnpc057								202	4		0	1										4	5		3	3	0
bullet_tg02	BulletNpc	圆柱子弹	npc\itemnpc057								202	4		0	1										0	5	2			0
bullet_tg03	BulletNpc	矩形子弹（不可见）	npc\itemnpc057								202	4		1	1										4	5		4	4	0
NPC_jxc07	TriggerNpc	冰凌刺	npc\itemnpc057								202	4	5	0	1			0												
NPC_bhjtz02	BulletNpc	碧海惊涛掌	npc\itemnpc057								202	4		0	1										4	6		5	5	0
NPC_single_js	TriggerNpc	剑弑剑阵	npc\itemnpc057								202	4	10	0	1			0												
NPC_CS_single_wxd	TriggerNpc	万仙鼎	npc\itemnpc057								202	4	10	0	1			0												
																														
		//帮会战场																												
Newguild_TriggerNpcBattle000	TriggerNpc	攻击增强	npc\fbmac004012e								202	4	2	0	1	1	3	1	3	3										
Newguild_TriggerNpcBattle001	TriggerNpc	攻击增强	npc\fbmac004012e								202	4	1	0	1	1	3	1	3	3										
Newguild_TriggerNpcBattle002	TriggerNpc	回复	npc\fbmac004012f								202	4	1	0	1	1	3	1	3	3										
Newguild_TriggerNpcBattle003	TriggerNpc	防御	npc\fbmac004012g								202	4	1	0	1	1	3	1	3	3										
Newguild_TriggerNpcBattle004	TriggerNpc	攻击增强	npc\fbmac004012e_1								202	4	5	0	1	1	3	1	3	3										
																														
qyby_zd	TriggerNpc	轰天雷	npc\itemnpc057								202	4	10	0	1			0												
NPC_ykr08	BulletNpc	隐空刃回旋镖	npc\itemnpc057								202	4		0	1										4	3		4	4	0
NPC_lzxss04	BulletNpc	血爪	npc\itemnpc057								202	4		0	1										4	3		3	3	0
NPC_lzxss06	BulletNpc	血骷	npc\itemnpc057								202	4		0	1										4	3		3	3	0
NPC_fbg05	BulletNpc	风波棍	npc\itemnpc057								202	4		0	1										4	3		5	5	0
NPC_ykr04	TriggerNpc	鬼哭神嚎	npc\itemnpc057								202	4	5	0	1			0												
NPC_ykr06_hide	TriggerNpc	风声鹤唳	npc\itemnpc057								202	4	5	0	1			0												
NPC_hq_01	BulletNpc	香蕉皮	npc\itemnpc057								202	4		0	1										0	1	2			0
NPC_wshj	TriggerNpc	当前区域	npc\itemnpc057								202	4	10	0	1			0												
NPC_mwcq07	TriggerNpc	群鸿戏海	npc\itemnpc057								202	4	6	0	1			0												
NPC_mwcq08	TriggerNpc	飞龙舞凤	npc\itemnpc057								202	4	6	0	1			0												
NPC_tmby01	BulletNpc	余音音波	npc\itemnpc057								202	4		0	1										4	3		4	4	0
NPC_gymmc_06	TriggerNpc	留影	npc\itemnpc057								202	4	5	0	1			0												
		//东海引导																												
NPC_donghai_event_skill_01	BulletNpc	碧海惊涛掌	npc\itemnpc057								202	4		0	1									2000	4	6		1	1	0
																														
		//88随机蝙蝠岛																												
npc_sjclone01_007	TriggerNpc	蝙蝠洞透明公用NPC	npc\itemnpc057								202	4	10	0	1			0												
npc_sjclone01_015	BulletNpc	风随手里剑	npc\itemnpc057								202	4		0	1										4	3		3	3	0
npc_sjclone02_016	BulletNpc	箭	npc\itemnpc057								202	4		0	1										4	2		2	2	0
																														
NPC_wjd	BulletNpc	无极岛炮弹	npc\fbnpc00005								202	4		0	1										4	5		5	5	0
																														
clone034_mon_01	TriggerNpc	夺魂内圈	npc\itemnpc057								202	4		0	1			0												
clone034_mon_02	TriggerNpc	夺魂中圈	npc\itemnpc057								202	4		0	1			0												
clone034_mon_03	TriggerNpc	夺魂外圈	npc\itemnpc057								202	4		0	1			0												
event_clone034_01	TriggerNpc	陷阱	npc\itemnpc057								202	4		0	1			0												
event_clone034_02	TriggerNpc	机关关闭点	npc\itemnpc1380								202	4		0	1			0												
event_clone034_03	TriggerNpc	火焰	npc\itemnpc057								202	4		0	1			0												
event_clone034_tp	TriggerNpc	玄门铁炮	npc\itemnpc057								202	4		0	1			0												
event_clone034_10	BulletNpc	暗器	npc\itemnpc057								202	4		0	1										4	3		4	4	0
event_clone034_jm	TriggerNpc	剑阵·灭	npc\itemnpc057								202	4		0	1			0												
event_clone034_qfytx	TriggerNpc	清风崖两仪阵	npc\itemnpc057								202	4		0	1			0			4375									
																														
Trigger_clone034_jwz	TriggerNpc	剑网阵	npc\itemnpc057								202	4		0	1			0												
Trigger_clone034_jwzzj	TriggerNpc	剑网阵重剑	npc\itemnpc057								202	4		0	1			0												
Trigger_clone034_tiaoyue	TriggerNpc	挑岳标记	npc\itemnpc057								202	4		0	1			0												
Trigger_clone034_bengshan	TriggerNpc	崩山标记	npc\itemnpc057								202	4		0	1			0												
Trigger_clone034_yxz	TriggerNpc	月相阵	npc\itemnpc057								202	4		0	1			0												
NPC_gsd_01	BulletNpc	官商道扇风	npc\itemnpc057								202	4		0	1										4	3		5	5	0
NPC_gsd_01xyz	BulletNpc	最后一行防BUG配置	npc\itemnpc057								202	4		0	1										4	3		5	5	0
																														
TriggerNpc003005_a	TriggerNpc	地面标记	npc\itemnpc057								202	4	12	0	1	1	0.5	1	10	3	5125									
TriggerNpc003016	TriggerNpc	宝藏点	npc\itemnpc057								202	4	12	0	1	1	0.5	1	10	3	5126									
																														
																														
npc_clone039_01	BulletNpc	矩形暗器	npc\itemnpc057								202	4		0	1										4	2		3	2	0
npc_clone039_02	BulletNpc	球形暗器	npc\itemnpc057								202	4		0	1										0	2	2			0
event_clone039_01	TriggerNpc	暗器	npc\itemnpc057								202	4		0	1			0												
event_clone039_MY	TriggerNpc	冰柱后方区域	npc\itemnpc057								202	4		0	1			0												
event_clone039_hx	TriggerNpc	滑雪	npc\itemnpc057								202	4	5	0	1															0
event_clone039_hx02	TriggerNpc	滑雪终点	npc\itemnpc057								202	4	5	0	1															0
																														
guildchaoswar_TriggerNpcBattle002	TriggerNpc	回复	npc\fbmac004012f								202	4	1	0	1	1	3	1	3	3										
NPC_sjcyj	TriggerNpc	荒天落日箭	npc\itemnpc057								202	4	5		1			0												
NPC_tyjf01	TriggerNpc	落雪剑	npc\itemnpc057								202	4	5		1			0												
																														
event_clone040_01	TriggerNpc	暗器	npc\itemnpc057								202	4		0	1			0												
																														
NPC_fbg05	BulletNpc	风波棍	npc\itemnpc057								202	4		0	1										4	3		5	5	0
smokebomb_xtxjf	TriggerNpc	烟雾弹	npc\itemnpc057								202	4	10		1			0												
