NPC编号	对象类型	名称	模型编号	头像	NPC类型	NPC种类ID	响应范围	脚本编号	采集范围	采集动作名	读条时间(ms)	掉落	掉落数量	无拾取物消失时间/秒	最大消失时间/秒	刷新时间	存在时间	宝箱开启前特效	宝箱开启后特效	钥匙数量	钥匙id	NPC特效名称	是否可选中	鼠标形状	模型缩放	开启条件	AI编辑包	拾取规则（0为自由拾取，1为系统分配，2为队伍分配，不填默认为0）	级别	怪物强度	限制创建次数	拾取锁定时间（防止拾取者见利踢人，单位：s）
BoxNpc_qy_em0001	BoxNpc	宝箱	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3		3	interact041	2000	qy_em0006	1	10	10	10				1	key_em_ydyaoshi		2	9								
BoxNpc_qy_em0002	BoxNpc	宝箱	npc\itemnpc589	icon\funcnpc\itemboxnpc002.png	161		3		3	interact041	2000	qy_em0008	1	10	10	10				1	key_em_zytyaoshi		2	9								
		//洛阳奇遇																														
BoxNpc_qy_luoyang	BoxNpc	宝箱	npc\itemboxnpc003	icon\funcnpc\itemboxnpc003.png	161		3		3	interact041	2000	book_zhenfa_wd_02	1	60	60	-1				1	key_luoyang_cangbaodian		2	9								
BoxNpc_qy_yd	BoxNpc	宝箱	npc\itemnpc589	icon\funcnpc\itemboxnpc003.png	161		3		3	interact041	2000	BoxNpc_qy_yd	1	60	-1	-1				1	qy_qdz_002		2	9								
BoxNpc_qy_yd001	BoxNpc	宝箱	npc\itemnpc589	icon\funcnpc\itemboxnpc003.png	161		3		3	interact041	2000	BoxNpc_qy_yd	1	60	-1	-1				1	qy_yyz_003		2	9								
		//引导奇遇																														
BoxNpc_qy_yd002	BoxNpc	宝箱	npc\itemnpc589	icon\funcnpc\itemboxnpc003.png	161		3		3	interact041	2000	BoxNpc_qy_yd	1	60	-1	-1				1			2	9								
BoxNpc_qy_yd003	BoxNpc	宝箱	npc\itemnpc589	icon\funcnpc\itemboxnpc003.png	161		3		3	interact041	2000	BoxNpc_qy_yd	1	60	-1	-1				1	qy_jmy_005		2	9								
Box_yd_qd001	BoxNpc	宝箱	npc\itemboxnpc002	icon\prop\prop036.png	172		3	Adventure\Box_yd_qd001.lua	3	interact017	2000	qy_qiandengzhen0018	4	100	100	-1		item_open02	item_open03	1	key_yd_qd001		2	9								
		//鸡鸣驿奇遇																														
BoxNpc_qy_jmy001	BoxNpc	猴子丢石块	npc\cj_102022	icon\funcnpc\cj_102022.png	161		3		2	interact041	2000	BoxNpc_qy_jmy001	1	1	60	-1							2	9								
BoxNpc_qy_jmy002	BoxNpc	猴子丢金锭	npc\cj_102022	icon\funcnpc\cj_102022.png	161		3		2	interact041	2000	BoxNpc_qy_jmy002	1	1	60	-1							2	9								
BoxNpc_qy_jmy003	BoxNpc	猴子丢奇石	npc\cj_102022	icon\funcnpc\cj_020020.png	161		3		2	interact041	2000	BoxNpc_qy_jmy003	1	1	60	-1							2	9								
BoxNpc_qy_jmy004	BoxNpc	玉石	npc\cj020040	icon\funcnpc\cj_102023.png	161		3	Adventure\yanjing\BoxNpc_qy_jmy004.lua	2	interact041	2000	BoxNpc_qy_jmy004	1	1	-1	6400000							2	9								
qy_jmybx001	BoxNpc	落草宝箱	npc\itemboxnpc003	icon\prop\prop630.png	161		3		2	interact041	2000	qy_equipment_04_31	1	1	60	-1							2	9								
																																
		//燕京奇遇																														
Box_qy_jmy003_caoyao	BoxNpc	神奇的草药	npc\itemnpc166	npc\funcnpc\itemnpc166.png	161		3		3	interact017	5000	key_qy_jmy003_caoyao	1	-1	-1	60000				1	key_qy_jmy003_yaochu		2	9								
Box_qy_yanjing_sfdt	BoxNpc	碎石堆	npc\itemnpc649	icon\funcnpc\task.png	161		3		3	interact041	5000	key_yanjing_dsk	1	-1	-1	60000				1			2	9								
																																
		//丐帮奇遇																														
Box_qy_jy001_guozi	BoxNpc	神奇的果子	npc\itemnpc219	icon\prop\prop188.png	161		10		3	interact017	5000	qy_jy102	1	-1	-1	60000				1	key_qy_jy101_chan		2	9								
BoxNpc_qy_gb001	BoxNpc	草药	npc\cj_160250b2	icon\funcnpc\cj_160250.png	161		3	Adventure\hb\BoxNpc_qy_gb001.lua	3	interact041	2000	BoxNpc_qy_gb001	1	1	-1	6400000							2	9		22920						
Box_qy_jy101_baoxiang	BoxNpc	神奇的草药	npc\itemnpc005	icon\funcnpc\itemnpc005.png	161		3		3	interact017	5000	qy_tableitem_CF_01	1	-1	-1	60000				1	key_qy_jy101_yaoshi		2	9								
		//锦衣卫奇遇																														
Box_qy_jy003_gou	BoxNpc	被麻到的狗	npc\petm_c_1504	icon\funcnpc\task.png	161		3		3	interact017	2000	key_qy_gb010	1	1	10	-1							2	9		11316						
Box_qy_jy001	BoxNpc	宝物	npc\itemboxnpc002	icon\funcnpc\itemnpc005.png	161		3	Adventure\hb\Box_qy_jy001.lua	3	interact017	5000	Box_qy_jy001	1	-1	-1	60000							2	9		11189						
		//门派战																														
BoxClone_jyw001	BoxNpc	水桶	npc\npcitem067	icon\funcnpc\task.png	161		3		2	interact017	2000	SchoolWarBox05	1	-1	-1	10000							2	2								
																																
		//暮色奇遇																														
Box_qy_muse_dd	BoxNpc	断刀	npc\itemnpc146	icon\funcnpc\task.png	161		3		3	interact017	2000	key_qyms_dd	1	-1	-1	-1				1	key_qyms_sx2		2	9								
Box_qy_kongque_01	BoxNpc	龙结草	npc\cj_106020c	icon\funcnpc\itemnpc066.png	161		10		3	interact041	2000	qy_key_kongque_003		10		-1				1	key_kongque_002		2	9								
Box_qy_muse_shux	BoxNpc	书信	npc\itemnpc475	icon\funcnpc\itemnp475.png	161		3		3	interact017	1000	key_qyms_hbssx	1	-1	-1	-1				1	key_qyms_dhs		2	9								
Box_qy_msjmy101_baoxiang	BoxNpc	神奇的草药	npc\itemnpc005	icon\funcnpc\itemnpc005.png	161		3		3	interact017	5000	qy_msjmy101	1	-1	-1	60000				1	key_qy_msjmy103_key		2	9								
Box_qy_kongque_02	BoxNpc	龙结草	npc\cj_106020c	icon\funcnpc\itemnpc066.png	161		10		3	interact041	2000	qy_key_kongque_004		10		-1				1	key_kongque_006		2	9								
		//孔雀副本用																														
Box_clone001_dizi	BoxNpc	武器架	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3		2	interact041	5000	Kongq_ceshi				-1							2	9								
qyjysmqhc	BoxNpc	青花瓷碎片	npc\itemnpc160	icon\funcnpc\task.png	161		3		3	interact017	100	key_qyjysm_qhcsb	1	1	-1	-1				1	key_qyjysm_hzz		2	9								
qyjysmhsfm	BoxNpc	黑色粉末	npc\itemnpc533	icon\funcnpc\task.png	161		3		3	interact017	100	key_qyjysm_hsfm	1	1	-1	10000				1	key_qyjysm_youb		2	9								
qyjysmshiti	BoxNpc	尸体	npc\itemnpc409	icon\funcnpc\task.png	161		3		3	interact017	100	key_qyjysm_wdrhtl	1	1	-1	-1				1	key_qyjysm_lingp		2	9								
qyjysmrenpi	BoxNpc	人皮面具	npc\itemnpc481	icon\funcnpc\task.png	161		3		3	interact017	100	key_qyjysm_rpmj	1	1	-1	-1				1	key_qyjysm_sz		2	9								
Box_qyjysm_longxi	BoxNpc	被麻到的龙蜥	npc\worldnpc1106	icon\funcnpc\task.png	161		3		3	interact017	100	key_qyjysm_longxi	1	1	10	-1							2	9		23346						
Box_qyjysm_shiti	BoxNpc	尸体	npc\itemnpc408	icon\funcnpc\task.png	161		3		3	interact017	100	key_qyjysm_shiti	1	1	-1	-1							2	9		23347						
Box_qyjysm_shiti1	BoxNpc	尸体	npc\itemnpc409	icon\funcnpc\task.png	161		3		3	interact017	100	key_qyjysm_shiti	1	1	-1	-1							2	9		23347						
Box_qyjysm_shiti2	BoxNpc	尸体	npc\itemnpc410	icon\funcnpc\task.png	161		3		3	interact017	100	key_qyjysm_shiti	1	1	-1	-1							2	9		23347						
		//清明节																														
QingmCup_001	BoxNpc	清明节酒杯	npc\itemnpc034	icon\funcnpc\task.png	161		3		3	interact017	5000	drop_qingming_1	1	1	60	20							2	9		13654						
																																
		//五一活动																														
Box_qy_120401_shaolin_ss4	BoxNpc	宝箱	npc\npcitem067	icon\funcnpc\itemnpc066.png	161		10		3	interact041	100	qy_120401_shaolin_dl_01		10		100							2	9		23554						
Act_May1_npc_box	BoxNpc	五一活动宝箱	npc\itemnpc590	icon\prop\prop625.png	161		3		3	interact017	2000	drop_9yback_001	6	1	600000	-1							2	9				1				
BoxNpc_qy_120401_shaolin_01	BoxNpc	痕迹	npc\npcitem560	icon\funcnpc\itemnpc005.png	161		10		3	interact017	100	qy_120401_shaolin_dl_02		10		100				1	key_120401_2shaolin_zj		2	28		18302						
																																
Box_wd3n_lu	BoxNpc	书信	npc\itemnpc589	icon\funcnpc\itemboxnpc003.png	161		3		3	interact017	100	qy_wdschool_01_01	1	-1	-1	-1							2	9		14679						
Box_wd3n_pan	BoxNpc	书信	npc\itemnpc589	icon\funcnpc\itemboxnpc003.png	161		3		3	interact017	100	qy_wdschool_02_01	1	-1	-1	-1							2	9		14680						
Box_wd3n_zhu	BoxNpc	书信	npc\itemnpc082	icon\funcnpc\task.png	161		3		3	interact017	100	qy_wdschool_03_01	1	-1	-1	-1							2	9		14682						
Box_wd3n_QYFB	BoxNpc	书信	npc\itemnpc589	icon\funcnpc\itemboxnpc003.png	161		3		3	interact017	100	qy_wdschool_chou	1	-1	-1	-1				1	key_wd3n_qyfz		2	9								
																																
																																
		//副本boss宝箱掉落																														
		//暮色之村阶段一																														
		//普通																														
BossBox003001A	BoxNpc	周厉风	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss001	4			-1							2	9				2	10	10	1	5
BossBox003002A	BoxNpc	魏不羁	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss002	4			-1							2	9				2	11	10	1	5
BossBox003003A	BoxNpc	钱昔之	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss003	4			-1							2	9				2	12	10	1	5
BossBox003004A	BoxNpc	叶楼凯	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss004	4			-1							2	9				2	13	10	1	5
BossBox003005A	BoxNpc	韩似锦	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss005	4			-1							2	9				2	14	10	1	5
BossBox003006A	BoxNpc	赵子亟	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss006	4			-1							2	9				2	15	10	1	5
		//困难																														
BossBox003201A	BoxNpc	周厉风	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss201	5			-1							2	9				2	28	10	1	5
BossBox003202A	BoxNpc	魏不羁	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss202	5			-1							2	9				2	28	10	1	5
BossBox003203A	BoxNpc	钱昔之	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss203	5			-1							2	9				2	28	10	1	5
BossBox003204A	BoxNpc	叶楼凯	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss204	5			-1							2	9				2	28	10	1	5
BossBox003205A	BoxNpc	韩似锦	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss206	5			-1							2	9				2	28	10	1	5
BossBox003206A	BoxNpc	赵子亟	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss207	5			-1							2	9				2	28	10	1	5
BossBox003207A	BoxNpc	裘云	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss205	5			-1							2	9				2	28	9	1	5
BossBox003208A	BoxNpc	郭刚	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss208	5			-1							2	9				2	28	9	1	5
		//地狱																														
BossBox003301A	BoxNpc	周厉风	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss301	6			-1							2	9				2	41	10	1	5
BossBox003302A	BoxNpc	魏不羁	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss302	6			-1							2	9				2	41	10	1	5
BossBox003303A	BoxNpc	钱昔之	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss303	6			-1							2	9				2	41	10	1	5
BossBox003304A	BoxNpc	叶楼凯	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss304	6			-1							2	9				2	41	10	1	5
BossBox003305A	BoxNpc	韩似锦	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss307	6			-1							2	9				2	41	10	1	5
BossBox003306A	BoxNpc	赵子亟	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss308	6			-1							2	9				2	41	10	1	5
BossBox003307A	BoxNpc	裘云	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss305	6			-1							2	9				2	41	9	1	5
BossBox003308A	BoxNpc	郭刚	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss306	6			-1							2	9				2	41	9	1	5
BossBox003310A	BoxNpc	宇文绝	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss309	6			-1							2	9				2	41	10	1	5
																																
		//暮色之村阶段二																														
		//普通																														
BossBox003001B	BoxNpc	周厉风	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss001_b	4			-1							2	9				2	10	10	1	5
BossBox003002B	BoxNpc	魏不羁	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss002_b	4			-1							2	9				2	11	10	1	5
BossBox003003B	BoxNpc	钱昔之	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss003_b	4			-1							2	9				2	12	10	1	5
BossBox003004B	BoxNpc	叶楼凯	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss004_b	4			-1							2	9				2	13	10	1	5
BossBox003005B	BoxNpc	韩似锦	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss005_b	4			-1							2	9				2	14	10	1	5
BossBox003006B	BoxNpc	赵子亟	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss006_b	4			-1							2	9				2	15	10	1	5
		//困难																														
BossBox003201B	BoxNpc	周厉风	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss201_b	5			-1							2	9				2	28	10	1	5
BossBox003202B	BoxNpc	魏不羁	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss202_b	5			-1							2	9				2	28	10	1	5
BossBox003203B	BoxNpc	钱昔之	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss203_b	5			-1							2	9				2	28	10	1	5
BossBox003204B	BoxNpc	叶楼凯	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss204_b	5			-1							2	9				2	28	10	1	5
BossBox003205B	BoxNpc	韩似锦	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss206_b	5			-1							2	9				2	28	10	1	5
BossBox003206B	BoxNpc	赵子亟	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss207_b	5			-1							2	9				2	28	10	1	5
BossBox003207B	BoxNpc	裘云	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss205_b	5			-1							2	9				2	28	9	1	5
BossBox003208B	BoxNpc	郭刚	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss208_b	5			-1							2	9				2	28	9	1	5
		//地狱																														
BossBox003301B	BoxNpc	周厉风	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss301_b	5			-1							2	9				2	41	10	1	5
BossBox003302B	BoxNpc	魏不羁	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss302_b	5			-1							2	9				2	41	10	1	5
BossBox003303B	BoxNpc	钱昔之	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss303_b	5			-1							2	9				2	41	10	1	5
BossBox003304B	BoxNpc	叶楼凯	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss304_b	5			-1							2	9				2	41	10	1	5
BossBox003305B	BoxNpc	韩似锦	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss307_b	5			-1							2	9				2	41	10	1	5
BossBox003306B	BoxNpc	赵子亟	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss308_b	5			-1							2	9				2	41	10	1	5
BossBox003307B	BoxNpc	裘云	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss305_b	5			-1							2	9				2	41	9	1	5
BossBox003308B	BoxNpc	郭刚	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss306_b	5			-1							2	9				2	41	9	1	5
BossBox003310B	BoxNpc	宇文绝	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss309_b	5			-1							2	9				2	41	10	1	5
		//暮色之村阶段三																														
		//普通																														
BossBox003001C	BoxNpc	周厉风	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss001_c	6			-1							2	9				2	10	10	1	5
BossBox003002C	BoxNpc	魏不羁	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss002_c	6			-1							2	9				2	11	10	1	5
BossBox003003C	BoxNpc	钱昔之	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss003_c	6			-1							2	9				2	12	10	1	5
BossBox003004C	BoxNpc	叶楼凯	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss004_c	6			-1							2	9				2	13	10	1	5
BossBox003005C	BoxNpc	韩似锦	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss005_c	6			-1							2	9				2	14	10	1	5
BossBox003006C	BoxNpc	赵子亟	npc\itemboxnpc002		161		3		3	interact041	5000	MuseBoss006_c	6			-1							2	9				2	15	10	1	5
		//困难																														
BossBox003201C	BoxNpc	周厉风	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss201_c	6			-1							2	9				2	28	10	1	5
BossBox003202C	BoxNpc	魏不羁	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss202_c	6			-1							2	9				2	28	10	1	5
BossBox003203C	BoxNpc	钱昔之	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss203_c	6			-1							2	9				2	28	10	1	5
BossBox003204C	BoxNpc	叶楼凯	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss204_c	6			-1							2	9				2	28	10	1	5
BossBox003205C	BoxNpc	韩似锦	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss206_c	6			-1							2	9				2	28	10	1	5
BossBox003206C	BoxNpc	赵子亟	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss207_c	6			-1							2	9				2	28	10	1	5
BossBox003207C	BoxNpc	裘云	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss205_c	6			-1							2	9				2	28	9	1	5
BossBox003208C	BoxNpc	郭刚	npc\itemboxnpc003		161		3		3	interact041	5000	MuseBoss208_c	6			-1							2	9				2	28	9	1	5
		//地狱																														
BossBox003301C	BoxNpc	周厉风	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss301_c	6			-1							2	9				2	41	10	1	5
BossBox003302C	BoxNpc	魏不羁	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss302_c	6			-1							2	9				2	41	10	1	5
BossBox003303C	BoxNpc	钱昔之	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss303_c	6			-1							2	9				2	41	10	1	5
BossBox003304C	BoxNpc	叶楼凯	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss304_c	6			-1							2	9				2	41	10	1	5
BossBox003305C	BoxNpc	韩似锦	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss307_c	6			-1							2	9				2	41	10	1	5
BossBox003306C	BoxNpc	赵子亟	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss308_c	6			-1							2	9				2	41	10	1	5
BossBox003307C	BoxNpc	裘云	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss305_c	6			-1							2	9				2	41	9	1	5
BossBox003308C	BoxNpc	郭刚	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss306_c	6			-1							2	9				2	41	9	1	5
BossBox003310C	BoxNpc	宇文绝	npc\itemnpc590		161		3		3	interact041	5000	MuseBoss309_c	6			-1							2	9				2	41	10	1	5
		//修罗61-70																														
BossBox003601C	BoxNpc	周厉风	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss601_c	6			-1							2	9				2	65	10	1	5
BossBox003602C	BoxNpc	魏不羁	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss602_c	6			-1							2	9				2	65	10	1	5
BossBox003603C	BoxNpc	钱昔之	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss603_c	6			-1							2	9				2	65	10	1	5
BossBox003604C	BoxNpc	叶楼凯	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss604_c	6			-1							2	9				2	65	10	1	5
BossBox003605C	BoxNpc	韩似锦	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss607_c	6			-1							2	9				2	65	10	1	5
BossBox003606C	BoxNpc	赵子亟	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss608_c	6			-1							2	9				2	65	10	1	5
BossBox003607C	BoxNpc	裘云	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss305_c	6			-1							2	9				2	65	9	1	5
BossBox003608C	BoxNpc	郭刚	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss306_c	6			-1							2	9				2	65	9	1	5
BossBox003610C	BoxNpc	宇文绝	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss609_c	6			-1							2	9				2	65	10	1	5
		//修罗71-																														
BossBox003701C	BoxNpc	周厉风	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss701_c	6			-1							2	9				2	75	10	1	5
BossBox003702C	BoxNpc	魏不羁	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss702_c	6			-1							2	9				2	75	10	1	5
BossBox003703C	BoxNpc	钱昔之	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss703_c	6			-1							2	9				2	75	10	1	5
BossBox003704C	BoxNpc	叶楼凯	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss704_c	6			-1							2	9				2	75	10	1	5
BossBox003705C	BoxNpc	韩似锦	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss707_c	6			-1							2	9				2	75	10	1	5
BossBox003706C	BoxNpc	赵子亟	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss708_c	6			-1							2	9				2	75	10	1	5
BossBox003707C	BoxNpc	裘云	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss305_c	6			-1							2	9				2	75	9	1	5
BossBox003708C	BoxNpc	郭刚	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss306_c	6			-1							2	9				2	75	9	1	5
BossBox003710C	BoxNpc	宇文绝	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss709_c	6			-1							2	9				2	75	10	1	5
		//修罗镇派阶段																														
BossBox003801C	BoxNpc	周厉风	npc\itemnpc591		161		3		3	interact041	5000	Comb_MuseBoss801_c	6			-1							2	9				2	75	10	1	5
BossBox003802C	BoxNpc	魏不羁	npc\itemnpc591		161		3		3	interact041	5000	Comb_MuseBoss802_c	6			-1							2	9				2	75	10	1	5
BossBox003803C	BoxNpc	钱昔之	npc\itemnpc591		161		3		3	interact041	5000	Comb_MuseBoss803_c	6			-1							2	9				2	75	10	1	5
BossBox003804C	BoxNpc	叶楼凯	npc\itemnpc591		161		3		3	interact041	5000	Comb_MuseBoss804_c	6			-1							2	9				2	75	10	1	5
BossBox003805C	BoxNpc	韩似锦	npc\itemnpc591		161		3		3	interact041	5000	Comb_MuseBoss807_c	6			-1							2	9				2	75	10	1	5
BossBox003806C	BoxNpc	赵子亟	npc\itemnpc591		161		3		3	interact041	5000	Comb_MuseBoss808_c	6			-1							2	9				2	75	10	1	5
BossBox003807C	BoxNpc	裘云	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss305_c	6			-1							2	9				2	75	9	1	5
BossBox003808C	BoxNpc	郭刚	npc\itemnpc591		161		3		3	interact041	5000	MuseBoss306_c	6			-1							2	9				2	75	9	1	5
BossBox003810C	BoxNpc	宇文绝	npc\itemnpc591		161		3		3	interact041	5000	Comb_MuseBoss809_c	6			-1							2	9				2	75	10	1	5
																																
		//青云堡阶段一																														
		//普通																														
BossBox021001A	BoxNpc	田锋	npc\itemboxnpc002		161		3		3	interact041	5000	QingYBoss001	6			-1							2	9		10376		2	33	10	1	5
BossBox021002A	BoxNpc	老管家	npc\itemboxnpc002		161		3		3	interact041	5000	QingYBoss002	6			-1							2	9		10376		2	33	10	1	5
BossBox021003A	BoxNpc	鲍梦婕	npc\itemboxnpc002		161		3		3	interact041	5000	QingYBoss003	6			-1							2	9		10376		2	33	10	1	5
BossBox021004A	BoxNpc	薛仁	npc\itemboxnpc002		161		3		3	interact041	5000	QingYBoss004	6			-1							2	9		10376		2	33	10	1	5
BossBox021005A	BoxNpc	郭棣	npc\itemboxnpc002		161		3		3	interact041	5000	QingYBoss005	6			-1							2	9		10376		2	33	10	1	5
		//困难																														
BossBox021201A	BoxNpc	田锋	npc\itemboxnpc003		161		3		3	interact041	5000	QingYBoss201	6			-1							2	9		10376		2	40	10	1	5
BossBox021202A	BoxNpc	老管家	npc\itemboxnpc003		161		3		3	interact041	5000	QingYBoss202	6			-1							2	9		10376		2	40	10	1	5
BossBox021203A	BoxNpc	鲍梦婕	npc\itemboxnpc003		161		3		3	interact041	5000	QingYBoss203	6			-1							2	9		10376		2	40	10	1	5
BossBox021204A	BoxNpc	薛仁	npc\itemboxnpc003		161		3		3	interact041	5000	QingYBoss204	6			-1							2	9		10376		2	40	10	1	5
BossBox021205A	BoxNpc	郭棣	npc\itemboxnpc003		161		3		3	interact041	5000	QingYBoss205	6			-1							2	9		10376		2	40	10	1	5
BossBox021206A	BoxNpc	吴真	npc\itemboxnpc003		161		3		3	interact041	5000	QingYBoss206	6			-1							2	9		10376		2	40	10	1	5
		//地狱																														
BossBox021301A	BoxNpc	田锋	npc\itemnpc590		161		3		3	interact041	5000	QingYBoss301	6			-1							2	9		10376		2	48	10	1	5
BossBox021302A	BoxNpc	老管家	npc\itemnpc590		161		3		3	interact041	5000	QingYBoss302	6			-1							2	9		10376		2	48	10	1	5
BossBox021303A	BoxNpc	鲍梦婕	npc\itemnpc590		161		3		3	interact041	5000	QingYBoss303	6			-1							2	9		10376		2	48	10	1	5
BossBox021304A	BoxNpc	薛仁	npc\itemnpc590		161		3		3	interact041	5000	QingYBoss304	6			-1							2	9		10376		2	48	10	1	5
BossBox021305A	BoxNpc	郭棣	npc\itemnpc590		161		3		3	interact041	5000	QingYBoss305	6			-1							2	9		10376		2	48	10	1	5
BossBox021306A	BoxNpc	吴真	npc\itemnpc590		161		3		3	interact041	5000	QingYBoss306	6			-1							2	9		10376		2	48	10	1	5
BossBox021308A	BoxNpc	仇恨天	npc\itemnpc590		161		3		3	interact041	5000	QingYBoss309	6			-1							2	9		10376		2	48	10	1	5
																																
		//青云堡阶段二																														
		//普通																														
BossBox021001B	BoxNpc	田锋	npc\itemboxnpc002		161		3		3	interact041	5000	QingYBoss001_b	6			-1							2	9		10376		2	33	10	1	5
BossBox021002B	BoxNpc	老管家	npc\itemboxnpc002		161		3		3	interact041	5000	QingYBoss002_b	6			-1							2	9		10376		2	33	10	1	5
BossBox021003B	BoxNpc	鲍梦婕	npc\itemboxnpc002		161		3		3	interact041	5000	QingYBoss003_b	6			-1							2	9		10376		2	33	10	1	5
BossBox021004B	BoxNpc	薛仁	npc\itemboxnpc002		161		3		3	interact041	5000	QingYBoss004_b	6			-1							2	9		10376		2	33	10	1	5
BossBox021005B	BoxNpc	郭棣	npc\itemboxnpc002		161		3		3	interact041	5000	QingYBoss005_b	6			-1							2	9		10376		2	33	10	1	5
		//困难																														
BossBox021201B	BoxNpc	田锋	npc\itemboxnpc003		161		3		3	interact041	5000	QingYBoss201_b	6			-1							2	9		10376		2	40	10	1	5
BossBox021202B	BoxNpc	老管家	npc\itemboxnpc003		161		3		3	interact041	5000	QingYBoss202_b	6			-1							2	9		10376		2	40	10	1	5
BossBox021203B	BoxNpc	鲍梦婕	npc\itemboxnpc003		161		3		3	interact041	5000	QingYBoss203_b	6			-1							2	9		10376		2	40	10	1	5
