NPC编号	对象类型	名称	进入条件	江湖人脉值	计入场景编号	传送到目标场景的坐标	进入分组编号	对话方式	触发方式	是否弹出进入按钮	模型编号	头像	NPC种类ID	NPC类型	响应范围	选择状态	脚本编号	鼠标形状	成功进入描述	无法进入描述	AI编辑包	客户端不可见	衰减一次所需时间	衰减最大值
wssz_door_in_8184	AdventureDoor	万兽山庄分组进8184猴子	26166		0		8184	1	1	1	npc\itemnpc057k	icon\funcnpc\clonedoor.png	4	49	10	2		2	EntrySuccess010					
wssz_door_out_8184	AdventureDoor	万兽山庄分组出8184			0		-1	1	1	0	npc\itemnpc057k	icon\funcnpc\clonedoor.png	4	49	50	2		2						
wssz_door_in_8189	AdventureDoor	万兽山庄分组进8189老鹰	26165		0		8189	1	1	1	npc\itemnpc057k	icon\funcnpc\clonedoor.png	4	49	10	2		2	EntrySuccess010					
wssz_door_out_8189	AdventureDoor	万兽山庄分组出8189			0		-1	1	1	0	npc\itemnpc057k	icon\funcnpc\clonedoor.png	4	49	50	2		2						
wssz_door_in_8190	AdventureDoor	万兽山庄分组进8190乌龟	26167		0		8190	1	1	1	npc\itemnpc057k	icon\funcnpc\clonedoor.png	4	49	10	2		2	EntrySuccess010					
wssz_door_out_8190	AdventureDoor	万兽山庄分组出8190			0		-1	1	1	0	npc\itemnpc057k	icon\funcnpc\clonedoor.png	4	49	50	2		2						
wssz_door_in_8191	AdventureDoor	万兽山庄分组进8191猛虎	26164		0		8191	1	1	1	npc\itemnpc057k	icon\funcnpc\clonedoor.png	4	49	10	2		2	EntrySuccess010					
wssz_door_out_8191	AdventureDoor	万兽山庄分组出8191			0		-1	1	1	0	npc\itemnpc057k	icon\funcnpc\clonedoor.png	4	49	50	2		2						
door_qywx_jhngcj_001	AdventureDoor	五内锦衣卫抛尸谷	29951		0		7133	1	1	0	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	40	2		2	EntrySuccess008	EntryFail001		1		
																								
PlotDoor_5nei_cc_ing8348	AdventureDoor	五内-陈宸-论经场景进入	26933		0		8348	1	1	0	npc\itemnpc057	icon\funcnpc\clonedoor.png	4	49	45	2		2	EntrySuccess003					
PlotDoor_5nei_cc_ing8349	AdventureDoor	五内-陈宸-论经场景进入	26925		0		8390	1	1	0	npc\itemnpc057	icon\funcnpc\clonedoor.png	4	49	45	2		2	EntrySuccess003					
PlotDoor5neigbqz001	AdventureDoor	苏州酒楼进分组	26767		0		8349	1	1	0	npc\itemnpc057		4	49	20	2		2				1		
PlotDoor5neigbqz002	AdventureDoor	烟雨庄鹿分组	107426		0		8353	1	1	0	npc\itemnpc057		4	49	20	2		2				1		
PlotDoor5neigbqz003	AdventureDoor	去5内小场景	26813		332	"366.660,31.644,19.938,-1.795"	8361	1	1	0	npc\itemnpc057		4	49	10	2		2	EntrySuccess003	EntryFail001				
																								
PlotDoor_0tm5nei_01	AdventureDoor	雪山进入分组场景	26815		0		8364	1	1	0	npc\itemnpc057	icon\funcnpc\clonedoor.png	4	49	40	2		2		EntryFail001				
PlotDoor_0tm5nei_02	AdventureDoor	返回君子堂苦竹林			7	"1120.425,60.506,115.175,3.075"	-1	1	1	0	npc\itemnpc057k	icon\funcnpc\clonedoor.png	4	49	10	2		2	EntrySuccess002					
PlotDoor_0tm5nei_03	AdventureDoor	雪山进入分组场景--山崖下			0		8364	1	1	0	npc\itemnpc057	icon\funcnpc\clonedoor.png	4	49	40	2		2		EntryFail001				
																								
door_5neijy_58537infz	AdventureDoor	五内锦衣卫抛尸谷	107514		0		8358	1	1	0	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	6	2		2	EntrySuccess008	EntryFail001		1		
door_5neijz_57035_01	AdventureDoor	五内君子堂进入分组	107732		0		7134	1	1	0	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	6	2		2	EntrySuccess008	EntryFail001		1		
door_5neijz_57037_01	AdventureDoor	五内君子堂进入分组	107797		0		7135	1	1	0	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	6	2		2	EntrySuccess008	EntryFail001		1		
groupscenedoor_8360_1	AdventureDoor	千灯劫进			346	"595.026,-44.255,746.581,2.307"	8360	1	2	1	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	10	2		2	EntrySuccess003	EntryFail001				
groupscenedoor_8360_2	AdventureDoor	千灯劫出			1		-1	1	1	0	npc\itemnpc057	icon\funcnpc\clonedoor.png	4	49	10	2		2						
																								
	//五内属性玩法																							
PlotDoor_5nei_cc_ing8365	AdventureDoor	五内-陈宸-峨眉邢君可与莫无情隐居结婚			0		8365	1	1	0	npc\itemnpc057	icon\funcnpc\clonedoor.png	4	49	45	2		2	EntrySuccess003					
																								
	//五内-武当																							
NPC_5nei_wd_01	AdventureDoor	抓貂	26802		0		8357	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
NPC_5nei_wd_likai	AdventureDoor	离开			0		-1	1	1	0	npc\itemnpc057		4	49	50	2		2				1		
NPC_5nei_z2_qc	AdventureDoor	切磋			0		-1	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
NPC_5nei_z2_wgm1	AdventureDoor	无根门	107767		0		8378	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
NPC_5nei_z2_qj	AdventureDoor	劝架	107787		0		8379	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
NPC_5nei_z2_lqc1	AdventureDoor	连青城	107788		0		8380	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
NPC_5nei_z2_wg1	AdventureDoor	围攻十缺	107789		0		8381	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
NPC_5nei_z2_sqtx	AdventureDoor	十缺偷袭	107791		0		8382	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
NPC_5nei_z2_kzj	AdventureDoor	苦竹居	26822		0		8383	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
NPC_5nei_z2_xs	AdventureDoor	雪山	107796		352	"695.321,466.191,828.238,0.501"	8384	1	1	0	npc\ride_horse_0501		4	49	45	2		2				1		
NPC_5nei_z2_lkxs	AdventureDoor	离开雪山			14	"288.557,-0.006,443.698,-0.565"		1	1	1	npc\ride_horse_0501		4	49	45	2		2	EntrySuccess017			0		
NPC_5nei_z2_cd	AdventureDoor	前往成都	26840		17	"400.257,22.977,585.433,0.098"		1	1	1	npc\ride_horse_0501		4	49	45	2		2	EntrySuccess014			0		
NPC_5nei_z2_sz	AdventureDoor	前往苏州	26842		14	"1816.089,9.972,879.469,-2.325"		1	1	1	npc\ride_horse_0501		4	49	45	2		2	EntrySuccess015			0		
NPC_5nei_z2_jzt	AdventureDoor	前往君子堂	26843		7	"1174.530,2.581,718.888,-2.233"		1	1	1	npc\ride_horse_0501		4	49	45	2		2	EntrySuccess016			0		
PlotDoor_5nei_nx_8286	AdventureDoor	五内大侠养成			299	"48.12,-15.74,-28.37,15.86"	8286	1	1	0	npc\itemnpc057	icon\funcnpc\clonedoor.png	4	49	20	2		2	EntrySuccess003					
PlotDoor_5nei_nx_8335	AdventureDoor	五内大侠养成			299	"48.12,-15.74,-28.37,15.86"	8335	1	1	0	npc\itemnpc057	icon\funcnpc\clonedoor.png	4	49	20	2		2	EntrySuccess003					
PlotDoor_5nei_nx_sl	AdventureDoor	武当四内-回武当			11	"374.898,106.408,341.290,1.896"		1	1	1	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	10	2		2	EntrySuccess003					
PlotDoor_0tm5nei_bird	AdventureDoor	捕鸟返回苏州			14	"770.000,1.903,484.000,1.903"	-1	1	1	1	npc\itemnpc057k	icon\funcnpc\clonedoor.png	4	49	5	2		2	EntrySuccess002					
NPC_chz_dy	AdventureDoor	参合指奇遇	108639		0		8394	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
NPC_xhmd_dy	AdventureDoor	血海魔刀奇遇	109718		0		8534	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
																								
	//血刀门																							
NPC_xdm_wj_19	AdventureDoor	灭鼠	109522		0		8528	1	1	0	npc\itemnpc057		4	49	20	2		2				1		
NPC_xdm_wj_21	AdventureDoor	制药	109533		0		8529	1	1	0	npc\itemnpc057		4	49	10	2		2				1		
NPC_xdm_dy_01	AdventureDoor	击杀同门			0		8527	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
NPC_xdm_cc_in_01	AdventureDoor	血刀门-入门任务	109766		0		8541	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
npc_xdm_ww19	AdventureDoor	矿洞-进	27253		552	"-556.588,-6.046,-1768.979,-0.364"	-1	1	1	0	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	1	2		2						
npc_xdm_ww20	AdventureDoor	矿洞场景-出			552	"-351.3,441.9,-587.6,0.2"	-1	1	1	0	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	1	2		2						
NPC_xdm_dy_02	AdventureDoor	养棺场景	109770		0		8543	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
NPC_xdm_dy_03	AdventureDoor	养棺场景	109771		0		8544	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
NPC_xdm_mhd_wj	AdventureDoor	迷魂洞-出			552	"-5.2,264.1,-541.2,-1.0"	-1	1	1	0	npc\itemnpc057k	icon\funcnpc\clonedoor.png	4	49	3	2		2						
NPC_xdm_dy_04	AdventureDoor	武当四内-回武当			552	"-14.136,265.182,-540.810,2.572"		1	1	1	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	3	2		2	entrysuccess018					
	//长风镖局坐夜																							
cfbj_door_in_3211	AdventureDoor	长风镖局3211进	29932		0		3211	1	1	0	npc\itemnpc057_tg2	icon\funcnpc\clonedoor.png	4	49	2	2		2	EntrySuccess011					
cfbj_door_out_3211	AdventureDoor	长风镖局3211出			0		-1	1	1	0	npc\itemnpc057_tg2	icon\funcnpc\clonedoor.png	4	49	2	2		2	EntrySuccess012					
																								
	//念萝坝花会																							
PlotDoor_nlb_hh_01	AdventureDoor	莲花-入	110290		0		8602	1	1	0	npc\itemnpc057		4	49	40	2		2				1		
PlotDoor_nlb_cc_01	AdventureDoor	花会离开			17	"967.001,18.762,762.375,1.214"	-1	1	1	0	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	30	2		2	EntrySuccess003			1		
PlotDoor_nlb_mxm_01	AdventureDoor	潜入刑部	110301		0		8605	1	1	0	npc\itemnpc057k		4	49	40	2		2				1		
	//华山																							
PlotDoor_hs_dy_01	AdventureDoor	铸剑	111179		571	"1503.794,147.996,947.344,-2.106"	8630	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
PlotDoor_hs_dy_02	AdventureDoor	心剑台	111147		571	"1820.000,118.955,814.000,0.063"	8631	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
PlotDoor_hs_dy_03	AdventureDoor	剑冢	111178		571	"1525.733,146.439,1023.631,0.041"	8632	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
PlotDoor_hs_dy_04	AdventureDoor	华山-心剑台出口			571	"1807.265,119.050,799.401,0.594"		1	1	1	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	3	2		2	EntrySuccess019					
PlotDoor_hs_dy_05	AdventureDoor	华山-铸剑出口			571	"1509.369,146.435,938.118,-1.337"		1	1	1	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	3	2		2	EntrySuccess019					
PlotDoor_hs_dy_06	AdventureDoor	华山-剑冢出口			571	"1527.380,146.003,1030.229,-2.990"		1	1	1	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	3	2		2	EntrySuccess019					
PlotDoor_hsp_ljt	AdventureDoor	华山派灵剑台分组	27748		0		8640	1	1	0	npc\itemnpc057	icon\funcnpc\clonedoor.png	4	49	5	2		2		EntryFail001				
																								
PlotDoor_hsp_cc_30411	AdventureDoor	华山派入门任务-君子线	27724		0		8636	1	1	0	npc\funcnpc019		4	49	45	2		2				1		
npc_hsp_mxm020	AdventureDoor	尊剑台			571	"1761.415,101.450,856.001,-3.070"	-1	1	2	1	npc\worldnpc222_02_mxm	icon\funcnpc\clonedoor.png	4	49	5	2		2	entrysuccess002					
NPC_shl_dy	AdventureDoor	圣火令奇遇	111354		0		8645	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
	//新镇派																							
PlotDoor_zp_cc_01	AdventureDoor	镇派-掠夺码头分组场景进入NPC	112182		0		8705	1	1	0	npc\funcnpc019		4	49	45	2		2				1		
																								
PlotDoor_pld_dy_01	AdventureDoor	传入			348	"2083.140,38.526,1442.375,-2.023"	8713	1	1	0	npc\itemnpc057		4	49	10	2		2				1		
PlotDoor_pld_dy_02	AdventureDoor	传出			604			1	1	1	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	3	2		2	EntrySuccessgb02					
																								
		//凌霄城																						
npc_hwcy_mxm05	AdventureDoor	荷舞藏渊			633	"644.51,18.10,436.31,0"	-1	1	2	1	npc\itemnpc057k	icon\funcnpc\clonedoor.png	4	49	5	2		2	entrysuccess002					
																								
PlotDoor_qynew_dy_01	AdventureDoor	71039进分组	115223		0		8984	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
PlotDoor_qynew_dy_02	AdventureDoor	71082进山洞	115227		65	"253.775,39.759,-551.805,-0.268"	8985	1	1	1	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	3	2		2	EntrySuccess003					
PlotDoor_qynew_dy_03	AdventureDoor	71039进分组	115228		0		8986	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
PlotDoor_qynew_dy_04	AdventureDoor	出山洞			1	"583.821,-44.157,1203.274,2.233"		1	1	1	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	3	2		2	EntrySuccess003					
PlotDoor_qynew_dy_05	AdventureDoor	71012进分组	28891		63	"182.826,7.272,469.780,1.979"	8987	1	1	1	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	3	2		2	EntrySuccess003					
PlotDoor_qynew_dy_06	AdventureDoor	出山洞			14	"1251.413,8.842,504.439,-0.338"		1	1	1	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	3	2		2	EntrySuccess003					
PlotDoor_qynew_dy_07	AdventureDoor	71039进分组	9332		0		8988	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
																								
PlotDoor_yxhd_dy_01	AdventureDoor	出山洞			14	"509.522,0.631,750.968,-1.576"		1	1	1	npc\funcnpc019	icon\funcnpc\clonedoor.png	4	49	3	2		2	EntrySuccess003					
PlotDoor_yxhd_dy_02	AdventureDoor	71039进分组	29026		0		9005	1	1	0	npc\itemnpc057		4	49	45	2		2				1		
																								
		//祭拜夫子																						
PlotDoor_jibfz_fc_01	AdventureDoor	出分组			15	"1215.353,1.906,1636.571,2.685"	-1	1	1	1	npc\itemnpc057k		4	49	3	2		2	jibaifuzi_fc_001					
																								
PlotDoor_wuy_dy_02	AdventureDoor	出分组			16	"891.552,-25.002,730.087,-0.029"	-1	1	1	1	npc\itemnpc057k		4	49	3	2		2	huodong_dy5101					
																								
PlotDoor_xjdy_15	AdventureDoor	离开			13	"840.362,-112.897,717.867,1.669"	-1	1	2	1	npc\funcnpc019		4	49	5	2		2	entrysuccess002					
PlotDoor_xjdy_16	AdventureDoor	离开			14	"782.310,0.268,670.385,3.071"	-1	1	2	1	npc\funcnpc019		4	49	5	2		2	entrysuccess002					
PlotDoor_xjdy_17	AdventureDoor	离开			15	"1080.635,-2.837,2036.526,-2.300"	-1	1	2	1	npc\funcnpc019		4	49	5	2		2	entrysuccess002					
PlotDoor_xjdy_18	AdventureDoor	离开			16	"1047.000,-19.064,958.000,-1.516"	-1	1	2	1	npc\funcnpc019		4	49	5	2		2	entrysuccess002					
PlotDoor_xjdy_19	AdventureDoor	离开			17	"763.714,21.871,355.971,1.480"	-1	1	2	1	npc\funcnpc019		4	49	5	2		2	entrysuccess002					
																								
PlotDoor_xmg_dy_01	AdventureDoor	74336进分组	29945		0		9096	1	1	0	npc\itemnpc057		4	49	3	2		2				1		
PlotDoor_xmg_dy_02	AdventureDoor	74336进分组			832		-1	1	1	0	npc\itemnpc057		4	49	3	2		2				1		
