NPC编号	对象类型	名称	模型编号	NPC类型	NPC种类ID	响应范围	触发事件编号	触发类型	触发任务ID	是否可见	交互顺序	脚本编号	触发条件	AI编辑包
EventNpcClone013019	EventNpc	乾宫提示	npc\fbmac013019f	202	4	2				1				
EventNpcClone013020	EventNpc	九折迷宫剧情事件触发771	npc\itemnpc057	202	4	5				1				
EventNpcClone013021	EventNpc	陷害唐蓝剧情事件触发776	npc\itemnpc057	202	4	5		6		1		npc\clone\clone013\EventNpcClone013021.lua		
EventNpcClone013022	EventNpc	结束副本剧情事件触发778	npc\itemnpc057	202	4	5		6		1		npc\clone\clone013\EventNpcClone013022.lua		
EventNpcClone013023	EventNpc	唐门恩仇（简单）	npc\itemnpc057	202	4	5		6		1		npc\clone\clone013\EventNpcClone013023.lua		
EventNpcClone013099	EventNpc	唐门九宫八卦阵检测范围	npc\worldnpc140	202	4	4		6		1				
														
														
														
														
														
EventNpcClone015001	EventNpc	亲情动画触发NPC	npc\fbmac004012	202	4	10		6						
EventNpcClone015002	EventNpc	受伤动画触发NPC	npc\fbmac004012	202	4	10		6						
EventNpcClone015003	EventNpc	神秘人动画触发NPC	npc\fbmac004012	202	4	10		6						
EventNpcClone015004	EventNpc	沈公墓动画触发NPC	npc\fbmac004012	202	4	10		6						
EventNpcClone015005	EventNpc	传送管家触发NPC	npc\fbmac004012	202	4	3		6						
EventNpcClone015006	EventNpc	触发NPC6（瑶光塔传送NPC）	npc\fbmac004012	202	4	7		6						
EventNpcClone015007	EventNpc	触发NPC7	npc\fbmac004012	202	4	10		6						
EventNpcClone015008	EventNpc	触发NPC8	npc\fbmac004012	202	4	10		6						
EventNpcClone015009	EventNpc	触发NPC9	npc\fbmac004012	202	4	10		6						
EventNpcClone015010	EventNpc	进副本荷塘触发NPC	npc\fbmac004012	202	4	10		6						
EventNpcClone015011	EventNpc	酒窖出触发NPC	npc\fbmac004012	202	4	1		6						
EventNpcClone015012	EventNpc	酒窖进触发NPC	npc\fbmac004012	202	4	1		6						
EventNpcClone015013	EventNpc	触发NPC13	npc\fbmac004012	202	4	10		6						
EventNpcClone015014	EventNpc	触发NPC14	npc\fbmac004012	202	4	10		6						
EventNpcClone015015	EventNpc	BOSS战酒坛1	npc\itemnpc001	47	4	2		6		0				216
EventNpcClone015016	EventNpc	BOSS战酒坛2	npc\itemnpc001	47	4	2		6		0				217
EventNpcClone015017	EventNpc	BOSS战酒坛3	npc\itemnpc001	47	4	2		6		0				218
EventNpcClone015018	EventNpc	地球光效	npc\fbmac015027	202	4			6						
EventNpcClone015019	EventNpc	太阳	npc\fbmac015027	202	4			6		0				
EventNpcClone015020	EventNpc	月亮	npc\fbmac015027	202	4			6		0				
EventNpcClone015031	EventNpc	触发NPC31	npc\fbmac004012	47	4	5		6						
EventNpcClone015032	EventNpc	触发NPC32	npc\fbmac004012	47	4			6						
EventNpcClone015171	EventNpc	江行初雪图	npc\fbmac004012	202	4	10		6		1				
EventNpcClone015172	EventNpc	春暖花开	npc\fbmac004012	202	4	10		6		1				
EventNpcClone015173	EventNpc	百花争艳	npc\fbmac004012	202	4	10		6		1				
EventNpcClone015174	EventNpc	百毒心经	npc\fbmac004012	202	4	10		6		1				
EventNpcClone015175	EventNpc	星火燎原	npc\fbmac004012	202	4	10		6		1				
														
														
EventNpcClone021001	EventNpc	地下客房触发NPC1	npc\itemnpc057e	47	4	5				1				
EventNpcClone021002	EventNpc	地下客房触发NPC2	npc\itemnpc057e	47	4	5				1				
EventNpcClone021003	EventNpc	地下客房触发NPC3	npc\itemnpc057e	47	4	2				1				
EventNpcClone021004	EventNpc	地下书房门触发NPC	npc\itemnpc057e	47	4	2				1				
EventNpcClone021005	EventNpc	地下大殿前广场动画触发NPC	npc\itemnpc057e	47	4	20				1				
EventNpcClone021006	EventNpc	炼金室剧情动画播放NPC	npc\itemnpc057e	47	4	10				1				
EventNpcClone021007	EventNpc	机关龙使用道具触发NPC	npc\itemnpc057e	47	4	7				1				
EventNpcClone021008	EventNpc	删除哑女1	npc\itemnpc057e	47	4	2				1				
EventNpcClone021009	EventNpc	大火球爆炸NPC	npc\itemnpc057e	47	4	2				1				
EventNpcClone021010	EventNpc	火球路径触发点1	npc\itemnpc057e	47	4	0.5				1				
EventNpcClone021011	EventNpc	火球路径触发点2	npc\itemnpc057e	47	4	0.5				1				
EventNpcClone021012	EventNpc	火球路径触发点3	npc\itemnpc057e	47	4	0.5				1				
EventNpcClone021013	EventNpc	火球路径触发点4	npc\itemnpc057e	47	4	0.5				1				
EventNpcClone021014	EventNpc	火球路径触发点5	npc\itemnpc057e	47	4	0.5				1				
EventNpcClone021015	EventNpc	火球路径触发点6	npc\itemnpc057e	47	4	1				1				
EventNpcClone021016	EventNpc	火球路径触发点7	npc\itemnpc057e	47	4	2				1				
EventNpcClone021017	EventNpc	哑女2启动寻路点	npc\itemnpc057e	47	4	2				1				
EventNpcClone021018	EventNpc	哑女2停止寻路点	npc\itemnpc057e	47	4	2				1				
EventNpcClone021019	EventNpc	火球路径触发点10	npc\itemnpc057e	47	4	2				1				
EventNpcClone021020	EventNpc	洛阳徐先生	npc\itemnpc057e	47	4	50				1		npc\clone\clone021\EventNpcClone021020.lua		
														
														
	//奇遇投放触发NPC													
Eventbook_qinggong_7_1	EventNpc	熏香使用检测	npc\itemnpc057e	47	4	50		6		1				
Event_ng_book_jz_005_1	EventNpc	奇遇触发灵符检测	npc\itemnpc057e	47	4	20		6		1		npc\clone\adventureNPC\Event_ng_book_jz_005_1.lua		
Event_ng_book_jz_005_2	EventNpc	进95号场景播动画检测	npc\itemnpc057e	47	4	10		6		1		npc\clone\adventureNPC\Event_ng_book_jz_005_2.lua		
Event_ng_book_jz_005_3	EventNpc	进入劫匪分组场景19	npc\itemnpc057e	47	4	50		6		1		npc\clone\adventureNPC\Event_ng_book_jz_005_3.lua	10248	
Event_ng_book_jz_005_4	EventNpc	场景19返回大世界检测	npc\itemnpc057e	47	4	52		6		1		npc\clone\adventureNPC\Event_ng_book_jz_005_4.lua		
														
EventNpcClone01101	EventNpc	黑心商贩触发任务	npc\fbnpc021021	47	4	20		2	6006	1				
EventNpc_ec_Clone00101	EventNpc	密室奇遇触发任务	npc\itemnpc057e	47	4	20		6		1				
														
EventNpc_qy_tangmen015_1	EventNpc	唐门奇遇21号分组场景进	npc\itemnpc057e	47	4	18		6		1		npc\clone\CJ\Event_condition.lua	24718	
EventNpc_qy_tangmen015_2	EventNpc	唐门奇遇21号分组场景出	npc\itemnpc057e	47	4	26		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_tangmen017_1	EventNpc	唐门奇遇22号分组场景进	npc\itemnpc057e	47	4	5		6		1		npc\clone\CJ\EventNpc_qy_tangmen017_1.lua		
EventNpc_qy_tangmen017_2	EventNpc	唐门奇遇22号分组场景出	npc\itemnpc057e	47	4	20		6		1		npc\clone\CJ\EventNpc_qy_tangmen017_2.lua		
														
EventNpc_qy_tangmen030_1	EventNpc	唐门奇遇23号分组场景进（百晓生）	npc\itemnpc057e	47	4	15		6		1		npc\clone\CJ\EventNpc_qy_tangmen030_1.lua		
EventNpc_qy_tangmen030_2	EventNpc	唐门奇遇23号分组场景出（百晓生）	npc\itemnpc057e	47	4	22		6		1		npc\clone\CJ\EventNpc_qy_tangmen030_2.lua		
														
EventNpc_qy_tangmen030_3	EventNpc	唐门奇遇24号分组场景进(回心涧黑衣人)	npc\itemnpc057e	47	4	10		6		1		npc\clone\CJ\EventNpc_qy_tangmen030_3.lua	9923	
EventNpc_qy_tangmen030_4	EventNpc	唐门奇遇24号分组场景出(回心涧黑衣人)	npc\itemnpc057e	47	4	40		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_tangmen131_1	EventNpc	进入触发NPC	npc\itemnpc057e	47	4	20		6		1		npc\clone\CJ\Event_condition.lua	22429	
EventNpc_qy_tangmen131_2	EventNpc	出分组场景触发NPC	npc\itemnpc057e	47	4	40		6		1		npc\clone\adventureNPC\Event_ng_book_jz_005_4.lua		
														
EventNpc_qy_tangmen7015_1	EventNpc	唐门新增奇遇1分组场景进	npc\itemnpc057e	47	4	20		6		1		npc\clone\CJ\Event_condition.lua		
EventNpc_qy_tangmen7015_2	EventNpc	唐门新增奇遇1分组场景出	npc\itemnpc057e	47	4	20		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
	EventNpc		npc\itemnpc057e	47	4	20		6		1				
EventNpc_qy_tangmen7016_1	EventNpc	唐门新增奇遇2分组场景进	npc\itemnpc057e	47	4	20		6		1		Adventure\EventNpc_QY_TM.lua	10278	
EventNpc_qy_tangmen7016_2	EventNpc	唐门新增奇遇2分组场景出	npc\itemnpc057e	47	4	20		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
	EventNpc		npc\itemnpc057e	47	4	20		6		1				
EventNpc_qy_tangmen7017_1	EventNpc	唐门新增奇遇3分组场景进	npc\itemnpc057e	47	4	20		6		1		Adventure\EventNpc_QY_TM.lua	10278	
EventNpc_qy_tangmen7017_2	EventNpc	唐门新增奇遇3分组场景出	npc\itemnpc057e	47	4	20		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
	EventNpc		npc\itemnpc057e	47	4	20		6		1				
EventNpc_qy_tangmen7018_1	EventNpc	唐门新增奇遇4分组场景进	npc\itemnpc057e	47	4	20		6		1		Adventure\EventNpc_QY_TM.lua	10278	
EventNpc_qy_tangmen7018_2	EventNpc	唐门新增奇遇4分组场景出	npc\itemnpc057e	47	4	20		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
	EventNpc		npc\itemnpc057e	47	4	20		6		1				
EventNpc_qy_tangmen7019_1	EventNpc	唐门新增奇遇5分组场景进	npc\itemnpc057e	47	4	20		6		1		npc\clone\CJ\Event_condition.lua		
EventNpc_qy_tangmen7019_2	EventNpc	唐门新增奇遇5分组场景出	npc\itemnpc057e	47	4	20		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
EventNpc_qy_qyb354_2	EventNpc	青云堡奇遇354分组场景出	npc\itemnpc057e	47	4	40		6		1		Adventure\clone021\EventNpc_qy_qyb354_2.lua		
EventNpc_qy_qybmafei_1	EventNpc	马斐刷新点1	npc\itemnpc057e	47	4	5		6		1				
EventNpc_qy_qybmafei_2	EventNpc	马斐刷新点2	npc\itemnpc057e	47	4	5		6		1				
EventNpc_qy_qybmafei_3	EventNpc	马斐刷新点3	npc\itemnpc057e	47	4	5		6		1				
														
EventNpc_qy_tangmen7050_1	EventNpc	唐门3内奇遇分组场景进	npc\itemnpc057e	47	4	8		6		1		npc\clone\CJ\Event_condition.lua	23288	
EventNpc_qy_tangmen7050_2	EventNpc	唐门3内奇遇分组场景出	npc\itemnpc057e	47	4	13		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_tangmen7051_1	EventNpc	唐门3内奇遇分组场景进	npc\itemnpc057e	47	4	6		6		1		npc\clone\CJ\Event_condition.lua	23287	
EventNpc_qy_tangmen7051_2	EventNpc	唐门3内奇遇分组场景出	npc\itemnpc057e	47	4	10		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
								6		1				
EventNpc_qy_tangmen7052_1	EventNpc	唐门3内奇遇分组场景进	npc\itemnpc057e	47	4	6		6		1		npc\clone\CJ\Event_condition.lua	23286	
EventNpc_qy_tangmen7052_2	EventNpc	唐门3内奇遇分组场景出	npc\itemnpc057e	47	4	12		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_tangmen7061_1	EventNpc	唐门3内奇遇疾风谷进	npc\itemnpc057e	47	4	15		6		1		npc\clone\CJ\Event_condition.lua	23786	
EventNpc_qy_tangmen7061_2	EventNpc	唐门3内奇遇分组场景出	npc\itemnpc057e	47	4	25		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_tangmen7062_1	EventNpc	唐门3内奇遇成都进密室分组场景进	npc\itemnpc057e	47	4	10		6		1		npc\clone\CJ\Event_condition.lua	23378	
EventNpc_qy_tangmen7062_2	EventNpc	唐门3内奇遇成都进密室分组场景出	npc\itemnpc057e	47	4	15		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_tangmen_task18214	EventNpc	唐门3内奇遇任务	npc\itemnpc057e	47	4	3		2	18214	1	1			
														
EventNpc_qy_tangmen_task18223	EventNpc	唐门3内奇遇任务	npc\itemnpc057e	47	4	3		2	18223	1	1			
EventNpc_qy_tangmen7065_1	EventNpc	唐门3内奇遇分组场景进	npc\itemnpc057e	47	4	20		6		1		Adventure\tm\EventNpc_qy_tangmen7065_1.lua	14676	
EventNpc_qy_tangmen7065_2	EventNpc	唐门3内奇遇分组场景出	npc\itemnpc057e	47	4	60		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_tangmen7066_1	EventNpc	唐门3内奇遇分组场景进	npc\itemnpc057e	47	4	30		6		1		npc\clone\CJ\Event_condition.lua	23553	
EventNpc_qy_tangmen7066_2	EventNpc	唐门3内奇遇分组场景出	npc\itemnpc057e	47	4	70		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_120501_tangmen_betrayer	EventNpc	唐门3内奇遇分组场景进	npc\itemnpc057e	47	4	15		6		1		Adventure\tm\EventNpc_qy_120501_tangmen_betrayer.lua	23551	
														
EventNpc_qy_tangmen7068_1	EventNpc	暗线成都卧底与唐芸交谈进	npc\itemnpc057e	47	4	10		6		1		npc\clone\CJ\Event_condition.lua	23499	
EventNpc_qy_tangmen7068_2	EventNpc	暗线成都卧底与唐芸交谈出	npc\itemnpc057e	47	4	20		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_tangmen7069_1	EventNpc	暗线丐帮与唐芸会合进	npc\itemnpc057e	47	4	12		6		1		Adventure\tm\EventNpc_qy_tangmen7069_1.lua	23458	
EventNpc_qy_tangmen7069_2	EventNpc	暗线丐帮与唐芸会合出	npc\itemnpc057e	47	4	20		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_tangmen7070_1	EventNpc	暗线丐帮刺杀场景进	npc\itemnpc057e	47	4	30		6		1		npc\clone\CJ\Event_condition.lua	11148	
EventNpc_qy_tangmen7070_2	EventNpc	暗线丐帮刺杀场景出	npc\itemnpc057e	47	4	70		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_tangmen7071_1	EventNpc	暗线丐帮唐芸逃离进	npc\itemnpc057e	47	4	12		6		1		npc\clone\CJ\Event_condition.lua	11148	
EventNpc_qy_tangmen7071_2	EventNpc	暗线丐帮唐芸逃离出	npc\itemnpc057e	47	4	20		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_tangmen7072_1	EventNpc	暗线唐门卧底与唐芸会合进	npc\itemnpc057e	47	4	12		6		1		npc\clone\CJ\Event_condition.lua	23549	
EventNpc_qy_tangmen7072_2	EventNpc	暗线唐门卧底与唐芸会合出	npc\itemnpc057e	47	4	20		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_tangmen7073_1	EventNpc	暗线唐门正门高潮进	npc\itemnpc057e	47	4	20		6		1		Adventure\tm\EventNpc_qy_tangmen7073_1.lua	14675	
EventNpc_qy_tangmen7073_2	EventNpc	暗线唐门正门高潮出	npc\itemnpc057e	47	4	60		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_tangmen_end	EventNpc	唐门3内孔雀山庄	npc\itemnpc057e	47	4	30		6		1		Adventure\tm\EventNpc_qy_tangmen_end.lua	23369	
														
														
EventNpc_qy_001	EventNpc	千灯镇跑路NPC	npc\itemnpc057e	47	4	5		6		1		Adventure\EventNpc_qy_001.lua		
EventNpc_qy_002	EventNpc	恶人谷触发NPC1	npc\itemnpc057e	47	4	5		6		1		Adventure\EventNpc_qy_002.lua	820	
EventNpc_qy_003	EventNpc	恶人谷触发NPC2	npc\itemnpc057e	47	4	5		6		1		Adventure\EventNpc_qy_003.lua		
EventNpc_qy_004	EventNpc	烟雨庄触发NPC1	npc\itemnpc057e	47	4	5		6		1		Adventure\EventNpc_qy_004.lua	820	
EventNpc_qy_005	EventNpc	烟雨庄触发NPC2	npc\itemnpc057e	47	4	5		6		1		Adventure\EventNpc_qy_005.lua		
EventNpc_qy_006	EventNpc	漠河镇触发NPC1	npc\itemnpc057e	47	4	5		6		1		Adventure\EventNpc_qy_006.lua	820	
EventNpc_qy_007	EventNpc	漠河镇触发NPC2	npc\itemnpc057e	47	4	5		6		1		Adventure\EventNpc_qy_007.lua		
														
EventNpc_qy_tangmen001	EventNpc	判定任务	npc\itemnpc057e	47	4	15		6	18204	1		npc\clone\CJ\EventNpc_qy_tangmen001.lua		
EventNpc_qy_tangmen002	EventNpc	自动承接任务	npc\itemnpc057e	47	4	15		6	18203	1		npc\clone\CJ\EventNpc_qy_tangmen002.lua		
														
														
														
EventNpc_qy_jilegu020_1	EventNpc	极乐谷奇遇20最后结局	npc\itemnpc057e	47	4	18		6				npc\clone\CJ\EventNpc_qy_jilegu020_1.lua		
														
EventNpc_qy_qiandengzhen0018_1	EventNpc	千灯镇奇遇分组场景进	npc\itemnpc057e	47	4	20		6		1		npc\clone\CJ\EventNpc_qy_qiandengzhen0018_1.lua	22461	
EventNpc_qy_qiandengzhen0018_2	EventNpc	千灯镇奇遇分组场景出	npc\itemnpc057e	47	4	25		6		1		npc\clone\CJ\EventNpc_qy_qiandengzhen0018_2.lua		
EventNpc_qy_qdz0019_1	EventNpc	千灯镇奇遇分组场景出	npc\itemnpc057e	47	4	30		6		1		npc\clone\CJ\Event_condition.lua	10447	
EventNpc_qy_qdz0019_2	EventNpc	千灯镇奇遇分组场景出	npc\itemnpc057e	47	4	35		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_em028_1	EventNpc	峨眉奇遇28号分组场景进	npc\itemnpc057e	47	4	9		6		1		npc\clone\CJ\Event_condition.lua	9524	
EventNpc_qy_em028_2	EventNpc	峨眉奇遇28号分组场景出	npc\itemnpc057e	47	4	15		6		1		npc\clone\adventureNPC\Event_ng_book_jz_005_4.lua		
														
EventNpc_qy_em030_1	EventNpc	峨眉奇遇30号分组场景进	npc\itemnpc057e	47	4	5		6		1		npc\clone\CJ\Event_condition.lua	9547	
EventNpc_qy_em030_2	EventNpc	峨眉奇遇30号分组场景出	npc\itemnpc057e	47	4	30		6		1		npc\clone\adventureNPC\Event_ng_book_jz_005_4.lua		
														
EventNpc_qy_em031_1	EventNpc	峨眉奇遇31号分组场景进	npc\itemnpc057e	47	4	40		6		1		npc\clone\CJ\Event_condition.lua	9501	
EventNpc_qy_em031_2	EventNpc	峨眉奇遇31号分组场景出	npc\itemnpc057e	47	4	60		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_em032_1	EventNpc	峨眉奇遇32号分组场景进	npc\itemnpc057e	47	4	40		6		1		npc\clone\CJ\Event_condition.lua	9518	
EventNpc_qy_em032_2	EventNpc	峨眉奇遇32号分组场景出	npc\itemnpc057e	47	4	60		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_em033_1	EventNpc	峨眉奇遇33号分组场景进	npc\itemnpc057e	47	4	40		6		1		npc\clone\CJ\Event_condition.lua	9519	
EventNpc_qy_em033_2	EventNpc	峨眉奇遇33号分组场景出	npc\itemnpc057e	47	4	60		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
														
EventNpc_qy_em034_1	EventNpc	峨眉奇遇34号分组场景进	npc\itemnpc057e	47	4	40		6		1		npc\clone\CJ\Event_condition.lua	9517	
EventNpc_qy_em034_2	EventNpc	峨眉奇遇34号分组场景出	npc\itemnpc057e	47	4	60		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
EventNpc_qy_em035	EventNpc	峨眉3内奇遇18421触发动画	npc\itemnpc057e	47	4	20	5851	4	18421	1				
EventNpc_qy_em036_1	EventNpc	峨眉3内奇遇18430进分组场景	npc\itemnpc057e	47	4	15		6		1		npc\clone\CJ\Event_condition.lua	14565	
EventNpc_qy_em036_2	EventNpc	峨眉3内奇遇18430出分组场景	npc\itemnpc057e	47	4	20		6		1		npc\clone\CJ\EventNpc_qy_tangmen015_2.lua		
EventNpc_qy_em038	EventNpc	峨眉3内奇遇18432触发动画	npc\itemnpc057e	47	4	20	5860	4	18432	1				
EventNpc_qy_em039	EventNpc	峨眉3内奇遇18435触发动画	npc\itemnpc057e	47	4	20	5861	4	18435	1				
EventNpc_qy_em040	EventNpc	峨眉3内奇遇18436触发动画	npc\itemnpc057e	47	4	20	5862	4	18436	1				
EventNpc_task18471	EventNpc	峨眉3内奇遇18471府衙门口触发NPC	npc\itemnpc057	47	4	5		6		1		Adventure\em3n\EventNpc_task18471.lua	14473	
EventNpc_task18472	EventNpc	峨眉3内奇遇18472野外分组场景触发NPC（组队）	npc\itemnpc057	47	4	20		6		1		Adventure\em3n\EventNpc_task18472.lua	14474	
EventNpc_task18473	EventNpc	峨眉3内奇遇小场景传送NPC	npc\itemnpc057	47	4	5		6		1		Adventure\em3n\EventNpc_task18473.lua	14475	
EventNpc_em3n_yewai_in	EventNpc	峨眉3内奇遇18472野外分组场景触发NPC（组队）	npc\itemnpc057	47	4	30		6		1		Adventure\em3n\EventNpc_em3n_yewai_in.lua	14474	
EventNpc_em3n_yewai_out	EventNpc	峨眉3内奇遇小场景传送NPC	npc\itemnpc057	47	4	40		6		1		Adventure\em3n\EventNpc_em3n_yewai_out.lua		
EventNpc_em3n_shandong_in	EventNpc	峨眉3内奇遇18473野外分组场景触发NPC（组队）	npc\itemnpc057	47	4	5		6		1		Adventure\em3n\EventNpc_em3n_shandong_in.lua	14475	
EventNpc_em3n_shandong_out	EventNpc	峨眉3内奇遇18473野外分组场景触发NPC（组队）	npc\itemnpc057	47	4	50		6		1		Adventure\em3n\EventNpc_em3n_shandong_out.lua		
EventNpc_qygp_tjq_out	EventNpc	玄音洞出口	npc\itemnpc057	47	4	50		6		1		Adventure\em3n\EventNpc_em3n_shandong_out.lua		
EventNpc_qy_em7086_02	EventNpc	峨眉3内故事1出7086分组场景	npc\itemnpc057e	47	4	40		6		1		Adventure\em3n\EventNpc_qy_em7086_02.lua		
EventNpc_qy_em7087_01	EventNpc	峨眉3内故事1进7087分组场景	npc\itemnpc057e	47	4	5		6		1		Adventure\em3n\EventNpc_qy_em7087_01.lua	14480	
EventNpc_qy_em7087_02	EventNpc	峨眉3内故事1出7088分组场景	npc\itemnpc057e	47	4	40		6		1		Adventure\em3n\EventNpc_qy_em7086_02.lua		
														
EventNpc_qy_em041	EventNpc	峨眉3内支线5	npc\itemnpc057e	47	4	20		6		1		Adventure\cd\EventNpc_qy_em041.lua	14590	
EventNpc_qy_em7086_01	EventNpc	峨眉3内故事1进7086分组场景	npc\itemnpc057e	47	4	5		6		1		Adventure\em3n\EventNpc_qy_em7086_01.lua	23550	
EventNpc_qy_em18403	EventNpc	绝音师太处动画	npc\itemnpc057e	47	4	40	5106	4	18403	1				
EventNpc_qy_em18406	EventNpc	赵大璟图谋不轨动画	npc\itemnpc057e	47	4	40	5107	4	18406	1				
														
EventNpc_qy_luoyang_05	EventNpc	洛阳奇遇38号分组场景动画触发	npc\itemnpc057e	202	4	10		6		1		Adventure\ly\EventNpc_qy_luoyang_05.lua		
EventNpc_qy_luoyang_00	EventNpc	洛阳奇遇37号创建遗书	npc\itemnpc057e	47	4	20		6		1		Adventure\ly\EventNpc_qy_luoyang_00.lua		
EventNpc_qy_luoyang_01	EventNpc	洛阳奇遇37号分组场景进	npc\itemnpc057	202	4	8		6		0		Adventure\ly\EventNpc_qy_luoyang_01.lua		
EventNpc_qy_luoyang_02	EventNpc	洛阳奇遇37号分组场景出	npc\itemnpc057	202	4	10		6		0		Adventure\yd\EventNpc_qy_yd_02.lua		
EventNpc_qy_luoyang_03	EventNpc	洛阳奇遇38号分组场景进	npc\itemnpc057	202	4	50		6		0		Adventure\ly\EventNpc_qy_luoyang_03.lua		
EventNpc_qy_luoyang_04	EventNpc	洛阳奇遇38号分组场景出	npc\itemnpc057	202	4	60		6		0		Adventure\yd\EventNpc_qy_yd_02.lua		
EventNpc_qy_luoyang_indoor	EventNpc	洛阳奇遇进入62号场景传送门	npc\itemnpc057	202	4	5		6		0		Adventure\ly\EventNpc_qy_luoyang_indoor.lua		
EventNpc_qy_luoyang_indoor2	EventNpc	洛阳奇遇进入63号场景传送门	npc\itemnpc057	202	4	5		6		0		Adventure\ly\EventNpc_qy_luoyang_indoor2.lua		
EventNpc_qy_yd_01	EventNpc	千灯奇遇新手引导36号分组场景进	npc\itemnpc057	202	4	60		6		0		Adventure\yd\EventNpc_qy_yd_01.lua		
EventNpc_qy_yd_02	EventNpc	烟雨庄奇遇新手引导48号分组场景进	npc\itemnpc057	202	4	60		6		0		Adventure\yd\EventNpc_qy_yd_02.lua		
EventNpc_qy_yd_03	EventNpc	成都奇遇新手引导352号分组场景进	npc\itemnpc057	202	4	60		6		0		Adventure\yd\EventNpc_qy_yd_03.lua		
EventNpc_qy_yd_04	EventNpc	鸡鸣驿奇遇新手引导353号分组场景进	npc\itemnpc057	202	4	60		6		0		Adventure\yd\EventNpc_qy_yd_04.lua		
EventNpc_qy_yd_indoor	EventNpc	奇遇引导进入传送门（千灯镇）	npc\itemnpc057	202	4	5		6		0		Adventure\yd\EventNpc_qy_yd_indoor.lua	10432	
EventNpc_yd_yyz_indoor	EventNpc	奇遇引导进入传送门（烟雨庄）	npc\itemnpc057	202	4	5		6		0		Adventure\yd\EventNpc_yd_yyz_indoor.lua	10433	
EventNpc_yd_cd_indoor	EventNpc	奇遇引导进入传送门（成都）	npc\itemnpc057	202	4	5		6		0		Adventure\yd\EventNpc_qy_cd_indoor.lua	10434	
EventNpc_yd_jmy_indoor	EventNpc	奇遇引导进入传送门（鸡鸣驿）	npc\itemnpc057	202	4	5		6		0		Adventure\yd\EventNpc_yd_jmy_indoor.lua	10435	
EventNpc_qy_sz_indoor	EventNpc	苏州奇遇进入传送门	npc\itemnpc057	47	4	10		6		0		npc\clone\CJ\Event_condition.lua	9817	
EventNpc_qy_sz_outdoor	EventNpc	苏州奇遇出来传送门	npc\itemnpc057	47	4	10		6		0		npc\clone\CJ\EventNpc_qy_sz_outdoor.lua		
EventNpcClone021021	EventNpc	五行阵触发	npc\itemnpc057e	47	4	20				1				
EventNpcClone021022	EventNpc		npc\itemnpc057e	47	4	50				1				
EventNpcClone021023	EventNpc	五行阵剧情触发	npc\itemnpc057e	47	4	20				1				
EventNpcClone021024	EventNpc	乾	npc\itemnpc057e	47	4	20				1				
EventNpcClone021025	EventNpc	坤	npc\itemnpc057e	47	4	20				1				
EventNpcClone021026	EventNpc	离	npc\itemnpc057e	47	4	20				1				
EventNpcClone021027	EventNpc	兑	npc\itemnpc057e	47	4	20				1				
EventNpcClone021028	EventNpc	震	npc\itemnpc057e	47	4	20				1				
EventNpcClone021029	EventNpc	坎	npc\itemnpc057e	47	4	20				1				
EventNpcClone021030	EventNpc	艮	npc\itemnpc057e	47	4	20				1				
EventNpcClone021032	EventNpc	巽	npc\itemnpc057e	47	4	20				1				
EventNpcClone021033	EventNpc	第一关	npc\itemnpc057e	47	4	20				1				
EventNpcClone021031	EventNpc	鲍梦婕前触发	npc\itemnpc057e	47	4	20				1				
